name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,06/30/2010,03/31/2010
TotalRevenue,"1,218,157,000","281,598,000","315,036,000","316,574,000","304,949,000","290,677,000","261,036,000","232,753,000","202,942,000","202,836,000","208,302,000","202,961,000","200,727,000","186,962,000","191,543,000","212,788,000","212,296,000","212,008,000","210,721,000","204,556,000","196,273,000","184,074,000","181,481,000","184,081,000","180,768,000","174,529,000","192,008,000","198,313,000","211,573,000","203,575,000","206,016,000","212,406,000","208,487,000","201,792,000","197,593,000","178,092,000","161,933,000","148,223,000","137,036,000","128,083,000","120,786,000","119,673,000","111,655,000","110,284,097","120,209,659","112,945,244","91,883,397","91,052,762"
	OperatingRevenue,"1,218,157,000","281,598,000","315,036,000","316,574,000","304,949,000","290,677,000","261,036,000","232,753,000","202,942,000","202,836,000","208,302,000","202,961,000","200,727,000","186,962,000","191,543,000","212,788,000","212,296,000","212,008,000","210,721,000","204,556,000","196,273,000","184,074,000","181,481,000","184,081,000","180,768,000","174,529,000","192,008,000","198,313,000","211,573,000","203,575,000","206,016,000","212,406,000","208,487,000","201,792,000","197,593,000","178,092,000","161,933,000","148,223,000","137,036,000","128,083,000","120,786,000","119,673,000","111,655,000","110,284,097","120,209,659","112,945,244","91,883,397","91,052,762"
CostOfRevenue,"563,521,000","139,932,000","143,341,000","142,235,000","138,013,000","139,465,000","120,240,000","108,657,000","102,204,000","104,717,000","99,841,000","99,847,000","101,486,000","99,282,000","98,457,000","102,741,000","106,744,000","105,224,000","102,002,000","98,525,000","102,765,000","99,588,000","97,098,000","96,371,000","95,147,000","95,299,000","99,348,000","101,691,000","104,358,000","108,841,000","100,839,000","103,174,000","101,461,000","109,492,000","111,399,000","102,911,000","93,102,000","548,946,000","77,571,000","144,489,000","62,377,000","98,656,000","65,792,000","167,441,000","0","0","0","0"
GrossProfit,"654,636,000","141,666,000","171,695,000","174,339,000","166,936,000","151,212,000","140,796,000","124,096,000","100,738,000","98,119,000","108,461,000","103,114,000","99,241,000","87,680,000","93,086,000","110,047,000","105,552,000","106,784,000","108,719,000","106,031,000","93,508,000","84,486,000","84,383,000","87,710,000","85,621,000","79,230,000","92,660,000","96,622,000","107,215,000","94,734,000","105,177,000","109,232,000","107,026,000","92,300,000","86,194,000","75,181,000","68,831,000","-400,723,000","59,465,000","-16,406,000","58,409,000","21,017,000","45,863,000","-57,156,903","120,209,659","112,945,244","91,883,397","91,052,762"
OperatingExpense,"128,963,000","34,675,000","33,874,000","31,281,000","29,133,000","29,403,000","27,304,000","26,851,000","24,111,000","27,159,000","29,144,000","27,566,000","28,383,000","29,948,000","28,845,000","28,210,000","26,675,000","26,798,000","27,473,000","25,401,000","27,005,000","26,454,000","25,796,000","25,801,000","26,608,000","24,505,000","26,972,000","26,067,000","28,902,000","26,905,000","27,267,000","28,216,000","26,201,000","25,148,000","27,828,000","21,821,000","20,447,000","20,591,000","20,032,000","21,812,000","16,902,000","16,652,000","19,172,000","-127,618,877","80,218,136","95,794,741","79,258,793","67,225,028"
	SellingGeneralAndAdministration,"128,963,000","34,675,000","33,874,000","31,281,000","29,133,000","29,403,000","27,304,000","26,851,000","24,111,000","27,159,000","29,144,000","27,566,000","28,383,000","29,948,000","28,845,000","28,210,000","26,675,000","26,798,000","27,473,000","25,401,000","27,005,000","26,454,000","25,796,000","25,801,000","26,608,000","24,505,000","26,972,000","26,067,000","28,902,000","26,905,000","27,267,000","28,216,000","26,201,000","25,148,000","27,828,000","21,821,000","20,447,000","20,591,000","20,032,000","21,812,000","16,902,000","16,652,000","19,172,000","-127,618,877","80,218,136","95,794,741","79,258,793","67,225,028"
		GeneralAndAdministrativeExpense,"97,763,000","27,614,000","25,862,000","23,150,000","21,137,000","21,823,000","20,147,000","20,599,000","18,756,000","21,611,000","23,142,000","21,637,000","22,547,000","24,545,000","22,706,000","21,644,000","19,828,000","19,789,000","20,122,000","17,798,000","19,713,000","19,080,000","17,922,000","17,721,000","18,204,000","16,347,000","17,356,000","15,455,000","17,166,000","15,243,000","14,483,000","14,935,000","14,308,000","13,974,000","16,546,000","11,728,000","11,600,000","12,415,000","12,466,000","14,596,000","9,791,000","9,555,000","12,797,000","-134,023,932","73,297,024","89,321,908","73,570,447","61,680,001"
			SalariesAndWages,,,,,,,,,,,,,,,"0","0",,"0","0","0","6,339,000","6,339,000","6,339,000","6,786,000","7,136,000","7,819,000","10,475,000","10,532,000","10,650,000","10,414,000","12,430,000","12,431,000","16,166,000","23,637,000","23,637,000","23,441,000","23,851,000","476,266,000","15,968,000","88,088,000","8,816,000","42,963,000","19,520,000","-130,100,347","63,427,624","81,784,723","66,175,437","54,262,493"
			RentAndLandingFees,"23,332,000","6,582,000","5,682,000","5,560,000","5,508,000","5,192,000","5,182,000","6,338,000","5,213,000","5,189,000","5,197,000","5,214,000","5,341,000","7,567,000","5,136,000","5,337,000","4,302,000","3,925,000","3,745,000","3,579,000","3,660,000","3,506,000","3,388,000","3,321,000","3,186,000","3,181,000","3,425,000","3,113,000","2,954,000","3,012,000","2,990,000","2,811,000","2,768,000","2,686,000","2,695,000","2,609,000","2,556,000","2,616,000","2,442,000","2,294,000","2,207,000","2,308,000","2,449,000",,,,,
			OtherGandA,"74,431,000","21,032,000","20,180,000","17,590,000","15,629,000","16,631,000","14,965,000","14,261,000","13,543,000","16,422,000","17,945,000","16,423,000","17,206,000","16,978,000","17,570,000","16,307,000","15,526,000","15,864,000","16,377,000","14,219,000","16,053,000","15,574,000","14,534,000","14,400,000","15,018,000","13,166,000","13,931,000","12,342,000","14,212,000","12,231,000","11,493,000","12,124,000","11,540,000","11,288,000","13,851,000","9,119,000","9,044,000","9,799,000","10,024,000","12,302,000","7,584,000","7,247,000","10,348,000","4,675,415","9,869,400","7,537,185","7,395,010","7,417,508"
