name,ttm,03/31/2022,03/31/2021
OperatingCashFlow,"-66,208,208","-217,166","-185,958"
	CashFlowFromContinuingOperatingActivities,"-66,208,208","-217,166","-185,958"
		NetIncomeFromContinuingOperations,"-79,841,417","-385,450","-84,033"
		OperatingGainsLosses,"4,824,137","-92,746","3,117"
			GainLossOnInvestmentSecurities,"4,824,137","-92,746","3,117"
		OtherNonCashItems,"4,734,668","-11,857","-525"
		ChangeInWorkingCapital,"-11,448,596","272,887","-104,517"
			ChangeInPrepaidAssets,"-899,787","19,500","-165,713"
			ChangeInPayablesAndAccruedExpense,"4,287,191","253,387","61,196"
				ChangeInPayable,"415,803","-1,816","6,381"
				ChangeInAccruedExpense,"3,871,388","255,203","54,815"
InvestingCashFlow,"132,364,000","0","-133,000,000"
	CashFlowFromContinuingInvestingActivities,"132,364,000","0","-133,000,000"
		NetOtherInvestingChanges,,,"-133,000,000"
FinancingCashFlow,"-89,496,653","0","134,149,653"
	CashFlowFromContinuingFinancingActivities,"-89,496,653","0","134,149,653"
		NetIssuancePaymentsOfDebt,"42,163,000","0","0"
			NetLongTermDebtIssuance,"42,163,000","0","0"
				LongTermDebtIssuance,"44,613,000","0","125,000"
				LongTermDebtPayments,"-2,450,000","0","-125,000"
		NetCommonStockIssuance,,"0","137,185,000"
			CommonStockIssuance,,"0","137,185,000"
		NetOtherFinancingCharges,,,"-3,035,347"
EndCashPosition,"-22,377,166","18,129","963,695"
	ChangesInCash,"-23,340,861","-217,166","963,695"
	BeginningCashPosition,"963,695","235,295","0"
IssuanceOfCapitalStock,"-137,185,000","0","137,185,000"
IssuanceOfDebt,"44,613,000","0","125,000"
RepaymentOfDebt,"-2,450,000","0","-125,000"
FreeCashFlow,"-66,844,208","-217,166","-185,958"
