name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,12/31/2008
TotalAssets,"16,527,000,000","16,451,000,000","16,686,064,000","15,426,885,000","14,431,903,000","12,795,988,000","12,638,810,000","12,288,019,000","11,675,485,000","11,519,167,000","11,804,092,000","11,443,178,000","11,160,268,000","10,630,635,000","11,380,127,000","9,959,396,000","9,546,789,000","9,573,222,000","9,347,047,000","9,314,286,000","8,874,436,000","8,831,777,000","9,246,477,000","8,836,713,000","8,279,255,000","8,254,351,000","8,121,148,000","8,353,552,000","7,819,492,000","7,666,100,000","7,388,215,000","7,016,163,000","6,629,621,000","6,520,600,000","6,501,070,000","6,302,979,000","6,181,909,000","6,050,847,000","5,999,298,000","5,790,943,000","5,653,193,000","5,370,337,000","5,556,259,000","5,784,087,000","5,906,477,000","5,821,826,000","5,685,891,000","5,486,238,000","5,503,099,000","5,530,281,000","5,557,699,000","5,665,755,000"
TotalLiabilitiesNetMinorityInterest,"11,148,000,000","10,668,000,000","11,073,079,000","10,152,033,000","9,466,228,000","7,874,340,000","7,903,875,000","7,712,408,000","7,306,563,000","7,094,165,000","7,557,870,000","7,355,144,000","7,279,732,000","6,885,247,000","7,704,129,000","6,388,174,000","6,074,348,000","6,090,197,000","6,048,650,000","6,116,128,000","5,796,851,000","5,817,428,000","6,217,924,000","5,892,741,000","5,433,285,000","5,492,686,000","5,428,058,000","5,694,305,000","5,212,922,000","5,090,056,000","4,807,206,000","4,469,425,000","4,166,430,000","4,064,357,000","4,125,479,000","3,957,479,000","3,798,344,000","3,699,078,000","3,713,493,000","3,627,398,000","3,560,708,000","3,335,398,000","3,572,463,000","3,755,917,000","3,918,306,000","3,828,105,000","3,744,021,000","3,606,623,000","3,454,345,000","3,497,430,000","3,473,223,000","3,691,490,000"
TotalEquityGrossMinorityInterest,"5,379,000,000","5,783,000,000","5,612,985,000","5,274,852,000","4,965,675,000","4,921,648,000","4,734,935,000","4,575,611,000","4,368,922,000","4,425,002,000","4,246,222,000","4,088,034,000","3,880,536,000","3,745,388,000","3,675,998,000","3,571,222,000","3,472,441,000","3,483,025,000","3,298,397,000","3,198,158,000","3,077,585,000","3,014,349,000","3,028,553,000","2,943,972,000","2,845,970,000","2,761,665,000","2,693,090,000","2,659,247,000","2,606,570,000","2,576,044,000","2,581,009,000","2,546,738,000","2,463,191,000","2,456,243,000","2,375,591,000","2,345,500,000","2,383,565,000","2,351,769,000","2,285,805,000","2,163,545,000","2,092,485,000","2,034,939,000","1,983,796,000","2,028,170,000","1,988,171,000","1,993,721,000","1,941,870,000","1,879,615,000","2,048,754,000","2,032,851,000","2,084,476,000","1,974,265,000"
	StockholdersEquity,"5,363,000,000","5,767,000,000","5,597,135,000","5,263,744,000","4,955,273,000","4,909,972,000","4,723,770,000","4,565,400,000","4,359,345,000","4,420,484,000","4,242,141,000","4,084,889,000","3,878,027,000","3,741,881,000","3,674,215,000","3,569,523,000","3,470,535,000","3,479,955,000","3,293,894,000","3,193,423,000","3,072,462,000","3,008,179,000","3,022,280,000","2,941,062,000","2,843,308,000","2,758,502,000","2,690,070,000","2,656,409,000","2,603,936,000","2,572,917,000","2,578,085,000","2,544,024,000","2,459,523,000","2,453,049,000","2,372,322,000","2,342,220,000","2,379,867,000","2,348,065,000","2,280,797,000","2,158,024,000","2,087,473,000","2,028,600,000","1,976,246,000","2,014,539,000","1,974,386,000","1,980,017,000","1,928,345,000","1,866,334,000","2,035,378,000","2,019,800,000","1,999,480,000","1,891,841,000"
		CapitalStock,"0","0","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","2,174,406,000","0",,
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0","0","0","0","0",,"0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,
			CommonStock,"0","0","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","2,174,406,000","0",,
		AdditionalPaidInCapital,"2,103,000,000","2,179,000,000","2,186,372,000","2,186,926,000","2,173,859,000","2,214,935,000","2,273,007,000","2,259,491,000","2,247,569,000","2,300,926,000","2,288,737,000","2,276,737,000","2,265,143,000","2,258,290,000","2,266,830,000","2,254,253,000","2,244,290,000","2,236,351,000","2,226,691,000","2,215,849,000","2,203,710,000","2,191,756,000","2,182,879,000","2,173,632,000","2,164,711,000","2,150,813,000","2,138,623,000","2,130,552,000","2,124,751,000","2,109,712,000","2,102,283,000","2,096,246,000","2,091,222,000","2,077,828,000","2,070,457,000","2,110,557,000","2,122,805,000","2,111,605,000","2,097,654,000","2,092,283,000","2,087,089,000","2,081,242,000","2,078,627,000","2,070,666,000","2,065,551,000","2,057,098,000","2,030,313,000","2,028,859,000",,,,
		RetainedEarnings,"3,721,000,000","3,680,000,000","3,476,903,000","3,088,627,000","2,837,241,000","2,655,495,000","2,426,949,000","2,294,552,000","2,173,720,000","2,161,049,000","1,985,073,000","1,845,865,000","1,707,140,000","1,644,165,000","1,600,296,000","1,496,638,000","1,384,712,000","1,311,112,000","1,128,981,000","1,150,582,000","1,066,740,000","1,046,822,000","1,012,452,000","943,198,000","870,118,000","846,691,000","785,859,000","737,980,000","672,275,000","662,310,000","608,146,000","553,734,000","503,796,000","520,764,000","482,141,000","431,265,000","409,917,000","387,015,000","306,417,000","211,703,000","147,446,000","124,816,000","90,608,000","76,063,000","50,220,000","72,074,000","31,242,000","4,577,000",,,,
		GainsLossesNotAffectingRetainedEarnings,"-461,000,000","-92,000,000","-66,141,000","-11,810,000","-55,828,000","39,541,000","23,813,000","11,356,000","-61,945,000","-41,492,000","-31,670,000","-37,714,000","-94,257,000","-160,575,000","-192,912,000","-181,369,000","-158,468,000","-67,509,000","-61,779,000","-173,009,000","-197,989,000","-230,400,000","-173,052,000","-175,769,000","-191,522,000","-239,003,000","-234,413,000","-212,124,000","-193,091,000","-199,106,000","-132,345,000","-105,957,000","-135,496,000","-145,544,000","-180,277,000","-199,603,000","-152,856,000","-150,556,000","-123,275,000","-145,963,000","-147,063,000","-177,459,000","-192,990,000","-132,191,000","-141,386,000","-149,156,000","-133,211,000","-167,103,000","-139,028,000","-147,491,000","-170,304,000","-261,455,000"
