name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,06/30/2013
TotalAssets,"5,079,238,000","2,588,590,000","3,811,537,000","2,414,885,000","2,663,552,000","2,850,963,000","2,004,851,000","1,985,648,000","2,256,928,000","2,323,432,000","1,598,474,000","1,803,941,000","2,094,996,000","1,580,352,000","1,464,103,000","1,507,599,000","1,610,878,000","1,549,328,000","1,134,268,000","1,137,441,000","1,354,936,000","1,252,941,000","915,442,000","1,390,689,000","1,574,627,000","1,017,855,000","671,963,000","720,548,000","862,360,000","982,428,000","538,725,000","528,151,000","651,598,000","515,233,000","377,916,000"
	CurrentAssets,"4,516,991,000","2,087,086,000","3,332,027,000","2,032,883,000","2,298,320,000","2,495,817,000","1,673,041,000","1,663,154,000","1,957,993,000","2,034,417,000","1,325,736,000","1,596,189,000","1,908,148,000","1,397,306,000","1,286,470,000","1,378,240,000","1,497,357,000","1,466,924,000","1,055,447,000","1,062,846,000","1,287,062,000","1,188,086,000","857,135,000","1,335,208,000","1,521,854,000","969,547,000","628,071,000","678,783,000","831,441,000","952,311,000","509,645,000","500,265,000","635,312,000","498,016,000","366,716,000"
		CashCashEquivalentsAndShortTermInvestments,"96,465,000","84,104,000","69,582,000","206,743,000","182,276,000","232,333,000","240,068,000","285,407,000","180,633,000","145,749,000","129,659,000","161,790,000","139,015,000","104,048,000","84,887,000","137,193,000","129,530,000","111,027,000","97,399,000","103,468,000","101,450,000","82,257,000","77,998,000","86,496,000","89,707,000","79,024,000","78,691,000","81,258,000","93,227,000","89,480,000","72,843,000","78,848,000","88,944,000","2,829,000","7,594,000"
			CashAndCashEquivalents,"96,465,000","84,104,000","66,431,000","202,287,000","175,453,000","218,696,000","221,514,000","250,851,000","114,325,000","75,900,000","100,529,000","132,476,000","90,856,000","84,114,000","63,662,000","137,193,000","129,530,000","111,027,000","97,399,000","103,468,000","101,450,000","82,257,000","77,998,000","86,496,000","89,707,000","79,024,000","78,691,000","81,258,000","93,227,000","89,480,000","72,843,000","78,848,000","88,944,000","2,829,000","7,594,000"
			OtherShortTermInvestments,"0","0","3,151,000","4,456,000","6,823,000","13,637,000","18,554,000","34,556,000","66,308,000","69,849,000","29,130,000","29,314,000","48,159,000","19,934,000","21,225,000",,,,,,,,,,,,,,,,,,,,
		Receivables,"17,794,000","9,830,000","8,094,000","6,267,000","9,211,000","6,118,000","4,672,000","4,923,000","5,761,000","4,348,000","3,906,000","4,358,000","5,137,000","4,267,000","2,992,000","3,453,000","3,384,000","2,739,000","2,565,000","2,040,000","2,177,000","2,067,000","1,757,000","1,681,000","1,725,000","1,468,000","1,328,000","1,115,000","1,070,000","1,030,000","799,000","756,000","922,000","684,000","740,000"
			AccountsReceivable,"17,794,000","9,830,000","8,094,000","6,267,000","9,211,000","6,118,000","4,672,000","4,923,000","5,761,000","4,348,000","3,906,000","4,358,000","5,137,000","4,267,000","2,992,000","3,453,000","3,384,000","2,739,000","2,565,000","2,040,000","2,177,000","2,067,000","1,757,000","1,681,000","1,725,000","1,468,000","1,328,000","1,115,000","1,070,000","1,030,000","799,000","756,000","791,000","684,000","740,000"
				GrossAccountsReceivable,,,,"7,067,000",,"6,779,000","5,289,000","5,396,000",,,,"4,831,000",,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,"-800,000",,"-661,000","-617,000","-473,000",,,,"-473,000",,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131,000",,
