name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
OperatingCashFlow,"-120,921,000","-7,955,000","-42,400,000","-36,098,000","-34,468,000","-27,022,000","-17,319,000","-20,196,000","-15,935,000","-21,246,000","-12,576,000","-16,284,000","-14,197,000","-24,687,000","-15,904,000","-10,474,000","-11,448,000","-17,390,000","-10,996,000","-11,084,000","-9,689,000","-10,910,000","13,176,000","-4,776,000","-8,883,000","32,071,000"
	CashFlowFromContinuingOperatingActivities,"-120,921,000","-7,955,000","-42,400,000","-36,098,000","-34,468,000","-27,022,000","-17,319,000","-20,196,000","-15,935,000","-21,246,000","-12,576,000","-16,284,000","-14,197,000","-24,687,000","-15,904,000","-10,474,000","-11,448,000","-17,390,000","-10,996,000","-11,084,000","-9,689,000","-10,910,000","13,176,000","-4,776,000","-8,883,000","32,071,000"
		NetIncomeFromContinuingOperations,"-182,625,000","-47,258,000","-48,983,000","-45,471,000","-40,913,000","-34,693,000","-28,842,000","-22,491,000","-19,786,000","-16,926,000","-16,246,000","-16,792,000","-17,071,000","21,901,000","-22,432,000","-17,069,000","-12,353,000","-12,403,000","-13,967,000","-7,732,000","-8,947,000","-8,061,000","1,259,000","-5,838,000","-3,765,000","-5,356,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,"0","0","0","20,000",,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,"0","0","0","0","0","0","0","20,000",,,,,,,,
		DepreciationAmortizationDepletion,"834,000","205,000","211,000","212,000","206,000","226,000","260,000","256,000","246,000","248,000","282,000","310,000","316,000","337,000","350,000","342,000","307,000","258,000","255,000","235,000","229,000","209,000","206,000","184,000","150,000","115,000"
			DepreciationAndAmortization,"834,000","205,000","211,000","212,000","206,000","226,000","260,000","256,000","246,000","248,000","282,000","310,000","316,000","337,000","350,000","342,000","307,000","258,000","255,000","235,000","229,000","209,000","206,000","184,000","150,000","115,000"
				Depreciation,"834,000","205,000","211,000","212,000","206,000","226,000","260,000","256,000","246,000","248,000","282,000","310,000","316,000","337,000","350,000","342,000","307,000","258,000","255,000","235,000","229,000","209,000","206,000","184,000","150,000","115,000"
		AmortizationOfSecurities,,,"0","0","0","0","0","0","-20,000","-66,000","-135,000","-78,000","-13,000","4,000","-8,000","-40,000","-91,000","-157,000","-175,000",,,,,,,
		StockBasedCompensation,"19,855,000","5,485,000","4,860,000","4,928,000","4,582,000","4,039,000","1,989,000","1,918,000","1,656,000","1,609,000","1,262,000","1,285,000","1,161,000","1,164,000","1,128,000","1,053,000","958,000","745,000","432,000","373,000","353,000","264,000","231,000","196,000","132,000","109,000"
		OtherNonCashItems,"879,000","194,000","604,000","42,000","39,000","38,000","38,000","36,000","37,000","37,000","38,000","58,000","-19,000","26,000","33,000","21,000","43,000","13,000","-44,000","-44,000","-43,000","-28,000","-371,000","-14,000","195,000","292,000"
		ChangeInWorkingCapital,"40,136,000","33,419,000","908,000","4,191,000","1,618,000","3,368,000","9,236,000","85,000","1,932,000","-6,148,000","2,223,000","-1,067,000","1,429,000","-48,119,000","5,058,000","5,240,000","-269,000","-5,853,000","2,459,000","-3,842,000","-1,324,000","-3,322,000","11,480,000","682,000","-5,400,000","37,203,000"
			ChangeInReceivables,,,,,,,"0","0","0","0","298,000","-10,000","180,000","-9,000","127,000","1,095,000","-1,393,000","496,000","-53,000","-218,000","199,000","339,000","-238,000","1,600,000","-1,758,000","-15,000"
