name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015
TotalRevenue,"3,127,214,000","875,363,000","842,744,000","740,176,000","668,931,000","589,988,000","548,090,000","447,969,000","400,849,000","364,868,000","331,224,000","295,066,000","275,039,000","233,139,000","204,302,000","168,895,000","147,754,000","129,116,000","115,236,000","100,542,000","95,870,000","87,372,000","81,952,000","71,533,000","64,510,000","59,340,000","51,338,000","44,262,000","37,954,000","33,365,000"
	OperatingRevenue,"3,127,214,000","875,363,000","842,744,000","740,176,000","668,931,000","589,988,000","548,090,000","447,969,000","400,849,000","364,868,000","331,224,000","295,066,000","275,039,000","233,139,000","204,302,000","168,895,000","147,754,000","129,116,000","115,236,000","100,542,000","95,870,000","87,372,000","81,952,000","71,533,000","64,510,000","59,340,000","51,338,000","44,262,000","37,954,000","33,365,000"
CostOfRevenue,"1,609,734,000","450,292,000","446,197,000","375,561,000","337,684,000","291,684,000","265,969,000","217,095,000","191,718,000","171,333,000","156,534,000","136,904,000","125,024,000","107,089,000","96,288,000","77,031,000","67,940,000","59,582,000","55,022,000","48,254,000","42,333,000","37,286,000","34,205,000","31,285,000","28,203,000","26,827,000","22,480,000","19,602,000","16,827,000","15,545,000"
GrossProfit,"1,517,480,000","425,071,000","396,547,000","364,615,000","331,247,000","298,304,000","282,121,000","230,874,000","209,131,000","193,535,000","174,690,000","158,162,000","150,015,000","126,050,000","108,014,000","91,864,000","79,814,000","69,534,000","60,214,000","52,288,000","53,537,000","50,086,000","47,747,000","40,248,000","36,307,000","32,513,000","28,858,000","24,660,000","21,127,000","17,820,000"
OperatingExpense,"2,453,533,000","642,879,000","680,173,000","596,960,000","533,521,000","495,643,000","467,412,000","343,144,000","311,775,000","286,231,000","268,489,000","252,828,000","243,747,000","213,638,000","144,880,000","116,897,000","101,772,000","93,791,000","79,260,000","76,319,000","60,607,000","64,841,000","56,707,000","51,524,000","47,160,000","38,879,000","37,053,000","33,604,000","30,587,000","26,614,000"
	SellingGeneralAndAdministration,"1,598,503,000","402,268,000","456,924,000","387,070,000","352,241,000","320,843,000","308,556,000","206,492,000","191,074,000","171,892,000","158,253,000","148,347,000","144,964,000","135,783,000","93,249,000","74,557,000","61,961,000","56,215,000","46,431,000","44,645,000","30,893,000","38,319,000","32,120,000","30,418,000","29,791,000","24,015,000","23,964,000","22,002,000","21,199,000","18,134,000"
		GeneralAndAdministrativeExpense,"476,569,000","114,362,000","125,502,000","122,522,000","114,183,000","110,253,000","128,569,000","65,617,000","61,251,000","55,170,000","51,859,000","47,690,000","54,543,000","64,176,000","34,214,000","28,608,000","24,212,000","23,393,000","18,809,000","18,867,000","4,740,000","17,203,000","14,304,000","14,545,000","11,635,000","10,593,000","10,756,000","9,935,000","7,035,000","8,265,000"
			OtherGandA,"476,569,000","114,362,000","125,502,000","122,522,000","114,183,000","110,253,000","128,569,000","65,617,000","61,251,000","55,170,000","51,859,000","47,690,000","54,543,000","64,176,000","34,214,000","28,608,000","24,212,000","23,393,000","18,809,000","18,867,000","4,740,000","17,203,000","14,304,000","14,545,000","11,635,000","10,593,000","10,756,000","9,935,000","7,035,000","8,265,000"
		SellingAndMarketingExpense,"1,121,934,000","287,906,000","331,422,000","264,548,000","238,058,000","210,590,000","179,987,000","140,875,000","129,823,000","116,722,000","106,394,000","100,657,000","90,421,000","71,607,000","59,035,000","45,949,000","37,749,000","32,822,000","27,622,000","25,778,000","26,153,000","21,116,000","17,816,000","15,873,000","18,156,000","13,422,000","13,208,000","12,067,000","14,164,000","9,869,000"
	ResearchAndDevelopment,"855,030,000","240,611,000","223,249,000","209,890,000","181,280,000","174,800,000","158,856,000","136,652,000","120,701,000","114,339,000","110,236,000","104,481,000","98,783,000","77,855,000","51,631,000","42,340,000","39,811,000","37,576,000","32,829,000","31,674,000","29,714,000","26,522,000","24,587,000","21,106,000","17,369,000","14,864,000","13,089,000","11,602,000","9,388,000","8,480,000"
