name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalAssets,"7,162,000,000","7,021,000,000","7,007,000,000","6,781,000,000","6,751,000,000","6,843,000,000","8,217,000,000","12,251,000,000","12,221,000,000","16,257,000,000","16,729,000,000","16,754,000,000","16,606,000,000","16,178,000,000","16,587,000,000","16,350,000,000","16,391,000,000","16,682,000,000","16,808,000,000","16,703,000,000","16,657,000,000","16,954,000,000"
	CurrentAssets,"2,041,000,000","1,862,000,000","2,068,000,000","1,794,000,000","1,768,000,000","1,873,000,000","3,177,000,000","3,435,000,000","3,395,000,000","3,715,000,000","4,252,000,000","3,633,000,000","3,478,000,000","3,428,000,000","3,382,000,000","3,255,000,000","3,116,000,000","3,332,000,000","3,175,000,000","2,987,000,000","3,054,000,000","3,332,000,000"
		CashCashEquivalentsAndShortTermInvestments,"283,000,000","197,000,000","627,000,000","350,000,000","328,000,000","458,000,000","1,756,000,000","1,609,000,000","1,507,000,000","1,291,000,000","849,000,000","728,000,000","640,000,000","783,000,000","538,000,000","438,000,000","390,000,000","617,000,000","443,000,000","328,000,000","493,000,000","932,000,000"
			CashAndCashEquivalents,"283,000,000","197,000,000","627,000,000","350,000,000","328,000,000","458,000,000","1,756,000,000","1,609,000,000","1,507,000,000","1,291,000,000","849,000,000","728,000,000","640,000,000","783,000,000","538,000,000","438,000,000","390,000,000","617,000,000","443,000,000","328,000,000","493,000,000","932,000,000"
		Receivables,"543,000,000","522,000,000","520,000,000","509,000,000","474,000,000","430,000,000","482,000,000","844,000,000","893,000,000","1,002,000,000","1,072,000,000","1,269,000,000","1,214,000,000","1,135,000,000","1,256,000,000","1,276,000,000","1,205,000,000","1,150,000,000","1,249,000,000","1,220,000,000","1,128,000,000","1,072,000,000"
			AccountsReceivable,"502,000,000","474,000,000","473,000,000","456,000,000","425,000,000","375,000,000","425,000,000","796,000,000","849,000,000","938,000,000","1,063,000,000","1,256,000,000","1,200,000,000","1,040,000,000","1,243,000,000","1,263,000,000","1,191,000,000","1,059,000,000","1,232,000,000","1,202,000,000","1,111,000,000","963,000,000"
				GrossAccountsReceivable,"506,000,000","477,000,000","476,000,000","459,000,000","428,000,000","378,000,000","430,000,000","697,000,000",,"943,000,000",,,,"1,046,000,000",,,,"1,067,000,000",,,,"976,000,000"
				AllowanceForDoubtfulAccountsReceivable,"-4,000,000","-3,000,000","-3,000,000","-3,000,000","-3,000,000","-3,000,000","-5,000,000","-6,000,000",,"-5,000,000",,,,"-6,000,000",,,,"-8,000,000",,,,"-13,000,000"
			TaxesReceivable,,,,,,,,"48,000,000","44,000,000","9,000,000","9,000,000","13,000,000","14,000,000","14,000,000","13,000,000","13,000,000","14,000,000","14,000,000","17,000,000","18,000,000","17,000,000","21,000,000"
			DuefromRelatedPartiesCurrent,"41,000,000","48,000,000","47,000,000","53,000,000","49,000,000","55,000,000","57,000,000","63,000,000",,"8,000,000",,,,"13,000,000",,,,"8,000,000",,,,"10,000,000"
			OtherReceivables,,,,,,,,,,"47,000,000",,,,"68,000,000",,,,"69,000,000",,,,"78,000,000"
		Inventory,"968,000,000","854,000,000","801,000,000","812,000,000","816,000,000","784,000,000","744,000,000","903,000,000","912,000,000","1,312,000,000","1,413,000,000","1,517,000,000","1,507,000,000","1,411,000,000","1,469,000,000","1,426,000,000","1,422,000,000","1,370,000,000","1,415,000,000","1,376,000,000","1,369,000,000","1,245,000,000"
			RawMaterials,"342,000,000","325,000,000","322,000,000","303,000,000","279,000,000","266,000,000","254,000,000","290,000,000","291,000,000","466,000,000","462,000,000","522,000,000","521,000,000","586,000,000","595,000,000","551,000,000","530,000,000","507,000,000","510,000,000","482,000,000","465,000,000","446,000,000"
			WorkInProcess,"114,000,000","102,000,000","106,000,000","109,000,000","108,000,000","108,000,000","101,000,000","120,000,000","128,000,000","178,000,000","192,000,000","204,000,000","196,000,000","133,000,000","143,000,000","141,000,000","137,000,000","161,000,000","170,000,000","160,000,000","162,000,000","163,000,000"
			FinishedGoods,"512,000,000","427,000,000","373,000,000","400,000,000","429,000,000","410,000,000","389,000,000","517,000,000","515,000,000","699,000,000","786,000,000","818,000,000","816,000,000","720,000,000","759,000,000","750,000,000","769,000,000","717,000,000","752,000,000","752,000,000","760,000,000","654,000,000"
			InventoriesAdjustmentsAllowances,,,,,,,,"-24,000,000","-22,000,000","-31,000,000","-27,000,000","-27,000,000","-26,000,000","-28,000,000","-28,000,000","-16,000,000","-14,000,000","-15,000,000","-17,000,000","-18,000,000","-18,000,000","-18,000,000"
		AssetsHeldForSaleCurrent,"134,000,000","162,000,000","0","0","0","26,000,000","23,000,000","11,000,000","11,000,000","11,000,000","813,000,000","7,000,000","15,000,000","5,000,000","11,000,000","2,000,000","3,000,000","144,000,000","3,000,000","4,000,000","4,000,000","26,000,000"
		HedgingAssetsCurrent,,,,,,,,"2,000,000","0","6,000,000","8,000,000","9,000,000","12,000,000","12,000,000","14,000,000","14,000,000","10,000,000","11,000,000","12,000,000","4,000,000","10,000,000","7,000,000"
		OtherCurrentAssets,"113,000,000","127,000,000","120,000,000","123,000,000","150,000,000","175,000,000","172,000,000","66,000,000","72,000,000","93,000,000","97,000,000","103,000,000","90,000,000","82,000,000","94,000,000","99,000,000","86,000,000","40,000,000","53,000,000","55,000,000","50,000,000","50,000,000"
	TotalNonCurrentAssets,"5,121,000,000","5,159,000,000","4,939,000,000","4,987,000,000","4,983,000,000","4,969,000,000","5,040,000,000","8,816,000,000","8,826,000,000","12,542,000,000","12,477,000,000","13,121,000,000","13,128,000,000","12,750,000,000","13,205,000,000","13,095,000,000","13,275,000,000","13,350,000,000","13,633,000,000","13,716,000,000","13,603,000,000","13,622,000,000"
		NetPPE,"2,043,000,000","2,064,000,000","1,947,000,000","1,978,000,000","1,965,000,000","1,945,000,000","1,903,000,000","2,755,000,000","2,755,000,000","3,277,000,000","3,235,000,000","3,427,000,000","3,379,000,000","3,021,000,000","3,007,000,000","2,970,000,000","2,947,000,000","2,923,000,000","2,983,000,000","2,988,000,000","2,998,000,000","3,010,000,000"
			GrossPPE,"4,573,000,000","4,541,000,000","4,405,000,000","4,363,000,000","4,290,000,000","4,218,000,000","4,112,000,000","6,184,000,000",,"7,082,000,000",,,,"6,730,000,000",,,,"6,332,000,000",,,,"6,172,000,000"
				Properties,"0","0","0","0","0","0","0","0",,"0",,,,"0",,,,"0",,,,"0"
				LandAndImprovements,"72,000,000","72,000,000","85,000,000","86,000,000","86,000,000","87,000,000","85,000,000","108,000,000",,"146,000,000",,,,"163,000,000",,,,"170,000,000",,,,"168,000,000"
				BuildingsAndImprovements,"641,000,000","638,000,000","592,000,000","565,000,000","533,000,000","532,000,000","518,000,000","722,000,000",,"898,000,000",,,,"932,000,000",,,,"903,000,000",,,,"888,000,000"
				MachineryFurnitureEquipment,"3,395,000,000","3,383,000,000","3,310,000,000","3,279,000,000","3,236,000,000","3,148,000,000","3,043,000,000","4,665,000,000",,"5,157,000,000",,,,"5,190,000,000",,,,"4,931,000,000",,,,"4,862,000,000"
				OtherProperties,"272,000,000","278,000,000","254,000,000","268,000,000","278,000,000","260,000,000","237,000,000","359,000,000",,"430,000,000",,,,"29,000,000",,,,"28,000,000",,,,"28,000,000"
				ConstructionInProgress,"193,000,000","170,000,000","164,000,000","165,000,000","157,000,000","191,000,000","229,000,000","330,000,000",,"451,000,000",,,,"416,000,000",,,,"300,000,000",,,,"226,000,000"
			AccumulatedDepreciation,"-2,530,000,000","-2,477,000,000","-2,458,000,000","-2,385,000,000","-2,325,000,000","-2,273,000,000","-2,209,000,000","-3,382,000,000",,"-3,805,000,000",,,,"-3,709,000,000",,,,"-3,409,000,000",,,,"-3,162,000,000"
		GoodwillAndOtherIntangibleAssets,"2,924,000,000","2,939,000,000","2,812,000,000","2,826,000,000","2,839,000,000","2,851,000,000","2,864,000,000","5,446,000,000","5,475,000,000","8,561,000,000","8,571,000,000","9,111,000,000","9,167,000,000","9,222,000,000","9,476,000,000","9,528,000,000","9,610,000,000","9,659,000,000","9,757,000,000","9,810,000,000","9,854,000,000","9,902,000,000"
			Goodwill,"1,812,000,000","1,812,000,000","1,760,000,000","1,760,000,000","1,760,000,000","1,760,000,000","1,760,000,000","3,025,000,000",,"4,865,000,000",,,,"5,250,000,000",,,,"5,465,000,000",,,,"5,431,000,000"
			OtherIntangibleAssets,"1,112,000,000","1,127,000,000","1,052,000,000","1,066,000,000","1,079,000,000","1,091,000,000","1,104,000,000","2,404,000,000",,"3,696,000,000",,,,"3,972,000,000",,,,"4,194,000,000",,,,"4,471,000,000"
		InvestmentsAndAdvances,,,,,,,,"26,000,000","25,000,000","24,000,000","24,000,000","25,000,000","24,000,000","24,000,000","23,000,000","24,000,000","23,000,000","24,000,000","24,000,000","23,000,000","22,000,000","22,000,000"
			LongTermEquityInvestment,,,,,,,,"26,000,000","25,000,000","24,000,000","24,000,000","25,000,000","24,000,000","24,000,000","23,000,000","24,000,000","23,000,000","24,000,000","24,000,000","23,000,000","22,000,000","22,000,000"
		FinancialAssets,,,,,,,,"78,000,000","95,000,000","151,000,000","155,000,000","104,000,000","94,000,000","29,000,000","249,000,000","128,000,000","227,000,000","281,000,000","392,000,000","394,000,000","258,000,000","257,000,000"
		NonCurrentAccountsReceivable,,,,,,,,"423,000,000","394,000,000","415,000,000","389,000,000","347,000,000","355,000,000","348,000,000","340,000,000","338,000,000","355,000,000","352,000,000","354,000,000","377,000,000","356,000,000","352,000,000"
		DuefromRelatedPartiesNonCurrent,,,,,,"0","0","423,000,000","394,000,000","339,000,000","389,000,000","347,000,000","355,000,000","328,000,000","340,000,000","338,000,000","355,000,000","329,000,000","354,000,000","377,000,000","356,000,000","330,000,000"
		NonCurrentDeferredAssets,"7,000,000","7,000,000","10,000,000","10,000,000","9,000,000","7,000,000","11,000,000","9,000,000","7,000,000","27,000,000","20,000,000","23,000,000","24,000,000","28,000,000","27,000,000","28,000,000","32,000,000","32,000,000","44,000,000","44,000,000","42,000,000","8,000,000"
			NonCurrentDeferredTaxesAssets,"7,000,000","7,000,000","10,000,000","10,000,000","9,000,000","7,000,000","11,000,000","9,000,000","7,000,000","27,000,000","20,000,000","23,000,000","24,000,000","28,000,000","27,000,000","28,000,000","32,000,000","32,000,000","44,000,000","44,000,000","42,000,000","8,000,000"
		OtherNonCurrentAssets,"147,000,000","149,000,000","170,000,000","173,000,000","170,000,000","166,000,000","262,000,000","79,000,000","75,000,000","87,000,000","83,000,000","84,000,000","85,000,000","78,000,000","83,000,000","79,000,000","81,000,000","79,000,000","79,000,000","80,000,000","73,000,000","71,000,000"
