name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,06/30/2006,03/31/2006,06/30/2005
TotalRevenue,"3,339,210,000","720,057,000","1,113,130,000","821,071,000","684,952,000","658,758,000","923,946,000","399,675,000","503,871,000","422,821,000","656,643,000","398,933,000","527,847,000","412,308,000","767,754,000","378,191,000","446,917,000","460,373,000","540,031,000","406,601,000","370,470,000","387,247,000","445,369,000","386,314,000","350,656,000","257,713,000","408,243,000","308,951,000","268,096,000","237,983,000","321,888,000","227,161,000","217,696,000","149,113,000","218,672,000","187,328,000","207,446,000","151,422,000","214,049,000","153,029,000","172,497,000","102,798,000","110,485,000","163,943,000","141,991,000","107,845,000","102,629,000","123,587,000","64,840,000","87,841,000","109,174,000","83,196,000","71,043,000","49,726,000","33,236,000","56,813,000","60,118,000","44,488,000","93,792,000","72,399,000","65,912,000","89,496,000","42,859,000","45,626,000","14,274,000"
	OperatingRevenue,"3,339,210,000","720,057,000","1,113,130,000","821,071,000","684,952,000","658,758,000","923,946,000","399,675,000","503,871,000","422,821,000","656,643,000","398,933,000","527,847,000","412,308,000","767,754,000","378,191,000","446,917,000","460,373,000","540,031,000","406,601,000","370,470,000","387,247,000","445,369,000","386,314,000","350,656,000","257,713,000","408,243,000","308,951,000","268,096,000","237,983,000","321,888,000","227,161,000","217,696,000","149,113,000","218,672,000","187,328,000","207,446,000","151,422,000","214,049,000","153,029,000","172,497,000","102,798,000","110,485,000","163,943,000","141,991,000","107,845,000","102,629,000","123,587,000","64,840,000","87,841,000","109,174,000","83,196,000","71,043,000","49,726,000","33,236,000","56,813,000","60,118,000","44,488,000","93,792,000","72,399,000","65,912,000","89,496,000","42,859,000","45,626,000","14,274,000"
PretaxIncome,"1,131,243,000","211,876,000","460,126,000","248,834,000","210,407,000","197,232,000","332,561,000","66,797,000","89,042,000","52,431,000","160,493,000","72,906,000","129,287,000","86,021,000","252,658,000","76,838,000","107,201,000","114,674,000","187,477,000","88,897,000","48,336,000","112,939,000","99,871,000","86,263,000","64,269,000","17,412,000","76,679,000","12,827,000","33,109,000","12,105,000","69,651,000","40,448,000","45,073,000","20,955,000","49,869,000","32,430,000","39,077,000","15,700,000","43,571,000","14,660,000","21,914,000","-9,758,000","2,001,000","11,919,000","11,236,000","11,575,000","8,743,000","17,565,000","-3,251,000","10,628,000","18,974,000","12,286,000","-12,937,000","1,455,000","-16,521,000","1,870,000","7,869,000","-2,602,000","14,251,000","10,364,000","-103,646,000","24,096,000","25,564,000","26,920,000","2,260,000"
TaxProvision,"251,127,000","34,782,000","110,155,000","59,712,000","46,478,000","31,681,000","77,109,000","15,677,000","21,814,000","13,551,000","34,793,000","20,402,000","32,030,000","7,821,000","60,502,000","17,539,000","25,541,000","4,938,000","188,876,000","28,815,000","22,459,000","18,292,000","39,913,000","38,980,000","30,676,000","9,734,000","46,703,000","7,392,000","16,723,000","6,212,000","30,542,000","15,264,000","15,387,000","7,563,000","26,474,000","12,350,000","17,066,000","7,322,000","18,586,000","7,187,000","9,773,000","-4,638,000","1,863,000","10,626,000","5,977,000","4,258,000","4,372,000","8,547,000","-1,698,000","4,659,000","12,499,000","4,602,000","1,373,000","1,058,000","-3,463,000","1,475,000","2,461,000","-294,000","3,606,000","3,217,000","643,000","4,936,000","905,000","979,000","377,000"
NetIncomeCommonStockholders,"753,780,000","158,016,000","295,860,000","159,545,000","140,359,000","144,352,000","220,377,000","42,610,000","56,412,000","31,175,000","105,184,000","43,278,000","81,742,000","67,232,000","163,305,000","49,461,000","68,931,000","95,543,000","-19,412,000","45,911,000","18,184,000","80,771,000","43,428,000","34,695,000","24,087,000","5,318,000","20,602,000","7,197,000","10,764,000","4,300,000","27,732,000","24,309,000","24,265,000","10,568,000","16,900,000","13,941,000","16,405,000","5,948,000","19,001,000","5,280,000","7,913,000","-3,389,000","-677,000","1,738,000","2,240,000","3,567,000","3,266,000","3,509,000","96,000","2,009,000","1,649,000","2,633,000","-6,043,000","191,000","-5,336,000","-468,000","2,056,000","-965,000","3,138,000","2,319,000","-44,174,000","4,220,000","24,653,000","25,948,000","1,875,000"
	NetIncome,"753,780,000","158,016,000","295,860,000","159,545,000","140,359,000","144,352,000","220,377,000","42,610,000","56,412,000","31,175,000","105,184,000","43,278,000","81,742,000","67,232,000","163,305,000","49,461,000","68,931,000","95,543,000","-19,412,000","45,911,000","18,184,000","80,771,000","43,428,000","34,695,000","24,087,000","5,318,000","20,602,000","7,197,000","10,764,000","4,300,000","27,732,000","24,309,000","24,265,000","10,568,000","16,905,000","13,962,000","16,426,000","5,969,000","19,022,000","5,301,000","7,934,000","-3,368,000","-656,000","1,759,000","2,261,000","3,588,000","3,287,000","3,530,000","117,000","2,020,000","1,649,000","2,633,000","-6,043,000","191,000","-5,336,000","-468,000","2,056,000","-965,000","3,138,000","2,319,000","-44,174,000","4,220,000","24,653,000","25,948,000","1,875,000"
		NetIncomeIncludingNoncontrollingInterests,"880,116,000","177,094,000","349,971,000","189,122,000","163,929,000","165,551,000","255,452,000","51,120,000","67,228,000","38,880,000","125,700,000","52,504,000","97,257,000","78,200,000","192,156,000","59,299,000","81,660,000","109,736,000","-1,399,000","60,082,000","25,877,000","94,647,000","59,958,000","47,283,000","33,593,000","7,678,000","29,976,000","5,435,000","16,386,000","5,893,000","39,109,000","25,184,000","29,686,000","13,392,000","23,379,000","18,254,000","22,011,000","8,378,000","24,985,000","7,473,000","12,141,000","-5,120,000","-828,000","1,293,000","5,259,000","7,317,000","4,371,000","9,018,000","-1,553,000","5,969,000","6,475,000","7,684,000","-14,310,000","397,000","-13,058,000","395,000","5,408,000","-2,308,000","10,645,000","7,147,000","-104,289,000","19,160,000","24,659,000","25,941,000","1,883,000"
			NetIncomeContinuousOperations,"880,116,000","177,094,000","349,971,000","189,122,000","163,929,000","165,551,000","255,452,000","51,120,000","67,228,000","38,880,000","125,700,000","52,504,000","97,257,000","78,200,000","192,156,000","59,299,000","81,660,000","109,736,000","-1,399,000","60,082,000","25,877,000","94,647,000","59,958,000","47,283,000","33,593,000","7,678,000","29,976,000","5,435,000","16,386,000","5,893,000","39,109,000","25,184,000","29,686,000","13,392,000","23,395,000","20,080,000","22,011,000","8,378,000","24,985,000","7,473,000","12,141,000","-5,120,000","138,000","1,293,000","5,259,000","7,317,000","4,371,000","9,018,000","-1,553,000","5,969,000","6,475,000","7,684,000","-14,310,000","397,000","-13,058,000","395,000","5,408,000","-2,308,000","10,645,000","7,147,000","-104,289,000","19,160,000","24,659,000","25,941,000","1,883,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-16,000","-1,826,000",,,"0","0","0","0","-653,000",,,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,"-126,336,000","-19,078,000","-54,111,000","-29,577,000","-23,570,000","-21,199,000","-35,075,000","-8,510,000","-10,816,000","-7,705,000","-20,516,000","-9,226,000","-15,515,000","-10,968,000","-28,851,000","-9,838,000","-12,729,000","-14,193,000","-18,013,000","-14,171,000","-7,693,000","-13,876,000","-16,530,000","-12,588,000","-9,506,000","-2,360,000","-9,374,000","1,762,000","-5,622,000","-1,593,000","-11,377,000","-875,000","-5,421,000","-2,824,000","-6,474,000","-4,292,000","-5,585,000","-2,409,000","-5,963,000","-2,172,000","-4,207,000","1,752,000","172,000","466,000","-2,998,000","-3,729,000","-1,084,000","-5,488,000","1,670,000","-3,949,000","-4,826,000","-5,051,000","8,267,000","-206,000","7,722,000","-863,000","-3,352,000","1,343,000","-7,507,000","-4,828,000","60,115,000","-14,940,000","-6,000","7,000","-8,000"
