name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
OperatingCashFlow,"82,018,000","-30,580,000","5,152,000","40,006,000","67,440,000","-7,999,000","18,189,000","3,233,000","14,808,000","10,551,000","16,266,000","25,453,000","25,521,000","-6,745,000","-228,456","-163,267","-56,962","-189,425","0","0"
	CashFlowFromContinuingOperatingActivities,"82,018,000","-30,580,000","5,152,000","40,006,000","67,440,000","-7,999,000","18,189,000","3,233,000","14,808,000","10,551,000","16,266,000","25,453,000","25,521,000","-6,745,000","-228,456","-163,267","-56,962","-189,425","0","0"
		NetIncomeFromContinuingOperations,"9,056,000","494,000","2,799,000","6,677,000","-914,000","-13,138,000","-9,211,000","-7,868,000","-14,200,000","3,801,000","66,000","9,569,000","10,580,000","-13,979,000","636,937","1,455,478","1,169,526","749,862","-3,806","-5,000"
		OperatingGainsLosses,"1,912,000","1,102,000","-532,000","-738,000","2,080,000","640,000","-114,000",,,,"6,872,000","0","0","907,000","-1,778,979","-1,604,390","-1,345,994","-900,125",,
			GainLossOnSaleOfPPE,"258,000","-125,000","1,000",,,,"-114,000",,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"1,654,000","1,227,000","-533,000","-1,120,000","2,080,000","640,000",,,,,,,,,"-1,778,979","-1,604,390","-1,345,994","-900,125",,
		DepreciationAmortizationDepletion,"70,879,000","16,795,000","17,777,000","18,302,000","18,005,000","16,435,000","15,901,000","16,346,000","16,355,000","17,012,000","16,219,000","15,243,000","13,776,000","13,664,000",,,,,,
			DepreciationAndAmortization,"70,879,000","16,795,000","17,777,000","18,302,000","18,005,000","16,435,000","15,901,000","16,346,000","16,355,000","17,012,000","16,219,000","15,243,000","13,776,000","13,664,000",,,,,,
				Depreciation,"56,265,000","13,159,000","14,109,000","14,655,000","14,342,000","12,777,000","12,234,000","12,679,000","12,692,000","13,265,000","12,641,000","11,559,000","10,247,000","10,138,000",,,,,,
				AmortizationCashFlow,"14,614,000","3,636,000","3,668,000","3,647,000","3,663,000","3,658,000","3,667,000","3,667,000","3,663,000","3,747,000","3,578,000","3,684,000","3,529,000","3,526,000",,,,,,
