name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,09/30/1994,06/30/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,09/30/1990,06/30/1990,09/30/1989,09/30/1988
			OtherReceivables,"4,503,000","4,406,000","4,080,000","3,610,000","3,577,000","4,465,000","5,187,000","3,410,000","2,704,000","2,315,000","2,350,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"208,408","142,502","151,074","38,729","87,335","90,715","96,652","78,909","49,910","114,454","132,460","43,468","100,000","79,663","83,055","66,343","99,476","120,721","112,716","125,316","6,833","152,330",,"132,137","4,822","13,555","11,290","15,398","11,078","18,516","24,000","35,646","43,182","128,830","227,724","60,214","18,443","27,256","26,634","22,103","40,731","74,449","65,504","117,911","125,614","160,394","121,381","100,000","100,000",,,,"100,000","200,000","200,000","200,000","400,000","600,000","200,000","200,000","300,000","200,000","300,000","100,000","100,000","200,000","200,000","100,000","1,000,000","1,200,000","1,300,000","2,000,000","2,300,000","3,000,000","2,900,000","4,500,000","5,200,000","5,700,000","4,800,000","5,300,000","5,700,000","3,000,000","2,700,000"
			RawMaterials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,628","2,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,821","62,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"2,409,000","2,540,000","1,920,000","1,988,000","2,143,000","1,473,000","1,338,000","2,016,000","1,604,000","1,978,000","1,487,000","1,847,000","2,070,000","2,096,000","2,278,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88,522",,,,"113,199","126,754","165,519","238,783","180,876","181,213","117,000","161,795","84,167","155,701","136,722","141,626","129,097","280,351","157,081","76,284","96,803","85,572","92,927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108,974","160,628","160,186","94,707","93,337","99,353","143,868","60,471","60,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"1,849,000","2,500,000","2,085,000","2,163,000","2,059,000","1,838,000","1,968,000","1,454,000","1,466,000","1,579,000","2,105,000","3,084,000","2,600,000","2,455,000","1,053,000","4,562,000","3,359,000","3,077,000","1,209,000","1,323,000","1,130,000","1,153,000","1,485,000","1,445,000","1,099,000","825,856","798,212","832,341","1,035,717","543,815","704,409","805,086","609,914","563,622","661,706","608,147","720,432","431,239","485,165","523,950","599,695","295,719",,,,,,,,,,,,,,,,,,,,,"103,265",,"185,462",,"44,316",,,,,,,,,,,,,,,,,,,"65,387","76,020","170,270","112,099","200,000",,"200,000","200,000","200,000","200,000","100,000","100,000","200,000","100,000","100,000","200,000","100,000","200,000","100,000",,,"100,000","100,000",,"100,000","100,000","200,000","200,000","100,000","100,000","200,000",,"200,000","100,000","100,000","200,000","100,000","100,000",,"100,000"
	TotalNonCurrentAssets,"290,646,000","214,658,000","215,637,000","217,203,000","148,611,000","89,581,000","85,028,000","88,185,000","92,531,000","95,186,000","81,767,000","88,389,000","86,502,000","89,110,000","89,522,000","89,426,000","36,795,000","41,879,000","20,843,000","10,512,000","9,520,000","5,460,000","8,078,000","14,966,000","10,543,000","9,156,092","7,337,632","8,349,989","3,661,066","1,241,012","3,407,337","3,072,288","1,549,286","5,624,185","1,671,713","1,602,205","1,582,658","1,627,633","2,618,818","855,089","1,197,602","398,201","734,652","268,405","300,065","255,494","301,136","351,982","402,003","454,625","455,585","499,200","519,955","531,360","468,269","232,260","113,595","115,089","107,292","91,792","96,146","123,018","135,552","195,467","224,293","246,659","231,206","162,461","175,767","129,626","119,111","151,116","399,000","503,361","601,014","690,939","771,015","848,679","850,029","881,155","917,431","1,080,310","1,160,113","678,027","807,152","854,202","900,993","988,608","1,000,608","900,000","900,000","900,000","900,000","900,000","1,800,000","1,700,000","1,700,000","1,800,000","2,500,000","2,500,000","700,000","800,000","800,000","500,000","600,000","700,000","800,000","900,000","900,000","1,000,000","1,200,000","1,400,000","1,800,000","2,100,000","2,300,000","2,500,000","700,000","1,000,000","1,200,000","1,300,000","1,300,000","1,900,000","2,000,000","1,100,000","800,000"
		NetPPE,"10,036,000","10,218,000","10,727,000","11,196,000","8,293,000","8,796,000","9,017,000","9,321,000","9,909,000","10,597,000","4,231,000","4,543,000","4,604,000","4,779,000","4,665,000","3,847,000","2,278,000","833,000","613,000","546,000","474,000","310,000","440,000","826,000","867,000","940,449","975,335","1,065,633","1,101,405","1,198,963","1,293,270","1,406,543","1,507,237","1,529,710","1,629,664","1,560,156","1,122,593","757,584","491,079","411,159","324,416","309,503","196,519","113,212","110,582","31,722","34,293","39,559","43,999","51,041","60,367","69,692","79,017","90,422","91,066","78,635","84,130","85,624","77,827","62,328","66,681","72,241","83,530","95,621","105,479","108,877","82,626","96,612","106,182","108,699","119,111","119,370","242,000","280,328","321,029","366,693","398,019","426,933","379,533","341,824","315,642","352,807","294,157","308,960","348,381","305,729","346,087","374,946","312,009","300,000","300,000","300,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","100,000","100,000","100,000","100,000","100,000","200,000","200,000","200,000","300,000","400,000","500,000","400,000","500,000","600,000","600,000","900,000","1,100,000","1,200,000","1,300,000","1,800,000","2,000,000","1,100,000","800,000"
			GrossPPE,"10,036,000","10,218,000","15,473,000","11,196,000","8,293,000","8,796,000","14,572,000","9,321,000","9,909,000","10,597,000","8,230,000",,,,"7,770,000",,,,"3,186,000",,,,"2,743,000",,,,"2,504,935",,,,"2,385,390",,,,"2,257,895",,,,"951,302",,,,"1,048,884",,,,"844,526",,,,"835,159",,,,"828,389","803,472","808,967","810,461","802,664","829,138","833,491","839,051","850,340","882,732","892,590","895,988","869,737","1,075,008","1,084,578","1,087,095","1,097,507","1,332,370","1,455,000","1,493,130","1,533,831","1,699,238","1,730,564","1,759,478","1,712,078","1,595,638","1,569,456","1,606,621","1,547,971","1,386,610","1,426,031","1,383,379","1,423,737","1,374,946","1,335,336","1,300,000","1,300,000","1,400,000","1,200,000","1,200,000","1,100,000","1,200,000","1,200,000","1,200,000","1,100,000","1,100,000","1,200,000","1,100,000","1,000,000","1,100,000","1,100,000","1,200,000","1,100,000","1,200,000","1,200,000","2,600,000","2,700,000","2,700,000","2,700,000","2,800,000","2,900,000","2,900,000","2,800,000","2,800,000","3,100,000","3,200,000","3,000,000","3,000,000","3,000,000","1,800,000","1,200,000"
