name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,12/31/2011
TotalAssets,"161,806,000,000","171,262,000,000","168,417,000,000","168,194,000,000","162,861,000,000","180,518,000,000","171,466,000,000","166,934,000,000","155,732,000,000","169,051,000,000","166,850,000,000","165,162,000,000","161,985,000,000","154,682,000,000","165,036,000,000","162,740,000,000","219,824,000,000","222,532,000,000","226,643,900,000","219,838,800,000","217,025,500,000","214,235,100,000","218,622,200,000","217,065,400,000","214,007,700,000","218,249,600,000","218,711,200,000","226,585,100,000","229,048,200,000","226,951,400,000","224,303,800,000","228,078,000,000","223,510,700,000","221,023,200,000","217,658,200,000","217,123,500,000","220,850,000,000","216,394,200,000","214,210,600,000","211,164,700,000","203,572,800,000"
TotalLiabilitiesNetMinorityInterest,"154,102,000,000","161,441,000,000","158,422,000,000","158,419,000,000","153,862,000,000","169,340,000,000","160,821,000,000","156,645,000,000","147,467,000,000","158,821,000,000","155,639,000,000","154,423,000,000","152,179,000,000","145,741,000,000","155,836,000,000","153,498,000,000","209,415,000,000","211,493,000,000","212,032,600,000","205,546,800,000","203,147,800,000","200,268,000,000","202,466,800,000","200,699,800,000","198,305,300,000","201,973,800,000","201,462,600,000","209,036,200,000","210,381,500,000","208,428,200,000","207,159,600,000","210,814,700,000","207,142,700,000","205,509,200,000","202,793,700,000","202,476,400,000","205,251,100,000","200,333,000,000","198,259,100,000","196,081,800,000","189,646,700,000"
TotalEquityGrossMinorityInterest,"7,704,000,000","9,821,000,000","9,995,000,000","9,775,000,000","8,999,000,000","11,178,000,000","10,645,000,000","10,289,000,000","8,265,000,000","10,230,000,000","11,211,000,000","10,739,000,000","9,806,000,000","8,941,000,000","9,200,000,000","9,242,000,000","10,409,000,000","11,039,000,000","14,611,300,000","14,292,000,000","13,877,700,000","13,967,100,000","16,155,400,000","16,365,600,000","15,702,400,000","16,275,800,000","17,248,600,000","17,548,900,000","18,666,700,000","18,523,200,000","17,144,200,000","17,263,300,000","16,368,000,000","15,514,000,000","14,864,500,000","14,647,100,000","15,598,900,000","16,061,200,000","15,951,500,000","15,082,900,000","13,926,100,000"
	StockholdersEquity,"6,198,000,000","8,253,000,000","8,389,000,000","8,362,000,000","7,931,000,000","10,110,000,000","9,657,000,000","9,548,000,000","7,427,000,000","9,408,000,000","10,551,000,000","10,064,000,000","9,065,000,000","8,213,000,000","8,523,000,000","8,460,000,000","9,378,000,000","10,009,000,000","13,653,000,000","13,352,200,000","12,890,400,000","12,993,900,000","15,206,000,000","15,338,900,000","14,461,300,000","13,435,800,000","14,286,100,000","14,855,800,000","16,102,000,000","16,107,900,000","14,585,100,000","14,818,100,000","14,001,500,000","13,272,200,000","12,770,000,000","12,471,600,000","13,391,100,000","13,874,900,000","13,910,500,000","12,841,800,000","12,353,900,000"
		CapitalStock,"1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,600,000","2,600,000","2,600,000","2,600,000","2,600,000","2,600,000","2,600,000","2,300,000","2,300,000","0","0","0"
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,600,000","2,600,000","2,600,000","2,600,000","2,600,000","2,600,000","2,600,000","2,300,000","2,300,000","0","0","0"
		AdditionalPaidInCapital,"7,504,000,000","7,542,000,000","11,215,000,000","11,143,000,000","11,177,000,000","11,183,000,000","11,213,000,000","11,227,000,000","11,232,000,000","11,184,000,000","24,671,000,000","24,642,000,000","24,310,000,000","24,316,000,000","24,301,000,000","23,951,000,000","23,961,000,000","23,821,000,000","23,899,900,000","23,872,800,000","23,697,200,000","23,608,800,000","23,792,300,000","23,604,500,000","23,735,100,000","23,716,800,000","23,593,400,000","23,674,100,000","23,654,200,000","23,650,100,000","23,621,500,000","23,599,900,000","23,579,500,000","23,563,700,000","23,524,700,000","23,498,700,000","22,909,900,000","22,917,600,000","22,900,000,000","22,888,600,000","22,867,500,000"
		RetainedEarnings,"-1,269,000,000","-1,310,000,000","-3,238,000,000","-3,394,000,000","-3,857,000,000","-4,957,000,000","-5,152,000,000","-4,833,000,000","-4,766,000,000","-4,649,000,000","-11,665,000,000","-11,785,000,000","-12,011,000,000","-11,732,000,000","-11,853,000,000","-11,995,000,000","-12,161,000,000","-12,719,000,000","-9,655,600,000","-9,804,200,000","-9,971,400,000","-9,843,300,000","-9,310,300,000","-9,062,200,000","-9,223,700,000","-9,406,300,000","-9,303,700,000","-9,359,700,000","-9,645,400,000","-9,841,500,000","-11,235,000,000","-11,632,900,000","-11,888,300,000","-12,143,200,000","-12,707,300,000","-13,117,500,000","-12,973,900,000","-12,755,700,000","-12,691,000,000","-13,068,300,000","-13,108,600,000"
		TreasuryStock,"565,000,000","80,000,000","1,906,000,000","1,820,000,000","1,301,000,000","1,016,000,000","889,000,000","887,000,000","882,000,000","460,000,000","5,955,000,000","5,663,000,000","5,203,000,000","4,981,000,000","4,705,000,000","4,442,000,000","3,936,000,000","3,827,000,000","3,426,000,000","3,426,000,000","3,050,400,000","2,796,000,000","2,795,800,000","2,645,800,000","2,529,000,000","2,302,300,000","2,052,000,000","1,570,500,000","1,440,700,000","807,000,000","624,200,000","304,200,000","269,800,000","0",,,,,,,
