name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999
		DividendsReceivedCFI,"80,000,000","19,000,000","18,000,000","22,000,000","21,000,000","34,000,000","59,000,000","31,000,000","32,000,000","61,000,000","56,000,000","33,000,000","40,000,000","7,000,000","6,000,000","6,000,000","7,000,000","5,000,000","6,000,000","8,000,000","8,000,000","10,000,000","8,000,000","11,000,000","9,000,000","6,000,000","10,000,000","10,000,000","37,000,000","9,000,000","13,000,000","97,000,000","25,000,000","8,000,000","32,000,000","13,000,000","13,000,000","25,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2,000,000","-1,000,000",,"29,000,000","16,000,000","3,000,000",,"36,567,000","-55,928,000","1,570,000",,"3,701,000","0","-5,709,000","-232,894,000",,,,,,,,"-25,168,000","-1,976,000","-41,193,000","6,412,000",,,,,,,,,,,,,,,,,
FinancingCashFlow,"-3,047,000,000","-1,351,000,000","408,000,000","-629,000,000","-1,475,000,000","-591,000,000","138,000,000","0","-522,000,000","628,000,000","-1,214,000,000","139,000,000","604,000,000","-2,112,000,000","-472,000,000","-820,000,000","-599,000,000","-874,000,000","-547,000,000","-620,000,000","-1,283,000,000","-180,000,000","-505,000,000","-370,000,000","-263,000,000","-547,000,000","-364,000,000","-509,000,000","-443,000,000","-748,000,000","-1,592,000,000","-336,000,000","9,000,000","64,000,000","-580,000,000","-619,000,000","-1,388,000,000","-805,000,000","-283,000,000","-426,000,000","158,000,000","-393,000,000","-310,000,000","-939,000,000","-771,000,000","-465,000,000","-166,000,000","-632,000,000","-617,000,000","-1,755,000,000","6,920,000,000","-66,000,000","96,000,000","-201,000,000","-322,282,000","-167,755,000","-192,321,000","-204,642,000","-46,325,000","553,518,000","127,341,000","324,327,000","-4,081,000","-43,667,000","-22,548,000","-14,605,000","-22,588,000","-56,184,000","-53,007,000","127,511,000","-15,173,000","-15,429,000","-19,239,000","-49,799,000","-282,641,000","200,196,000","-5,856,000","-14,035,000","-1,483,000","800,000","-566,000","-6,923,000","478,000","916,000","-1,482,000","-6,075,000","991,000","0","-31,000","-28,038,000","-10,151,000"
	CashFlowFromContinuingFinancingActivities,"-3,047,000,000","-1,351,000,000","408,000,000","-629,000,000","-1,475,000,000","-591,000,000","138,000,000","0","-522,000,000","628,000,000","-1,214,000,000","139,000,000","604,000,000","-2,112,000,000","-472,000,000","-820,000,000","-599,000,000","-874,000,000","-547,000,000","-620,000,000","-1,283,000,000","-180,000,000","-505,000,000","-370,000,000","-263,000,000","-547,000,000","-364,000,000","-509,000,000","-443,000,000","-748,000,000","-1,592,000,000","-336,000,000","9,000,000","64,000,000","-580,000,000","-619,000,000","-1,388,000,000","-805,000,000","-283,000,000","-426,000,000","158,000,000","-393,000,000","-310,000,000","-939,000,000","-771,000,000","-465,000,000","-166,000,000","-632,000,000","-617,000,000","-1,755,000,000","6,920,000,000","-66,000,000","96,000,000","-201,000,000","-322,282,000","-167,755,000","-192,321,000","-204,642,000","-46,325,000","553,518,000","127,341,000","324,327,000","-4,081,000","-43,667,000","-22,548,000","-14,605,000","-22,588,000","-56,184,000","-53,007,000","127,511,000","-15,173,000","-15,429,000","-19,239,000","-49,799,000","-282,641,000","200,196,000","-5,856,000","-14,035,000","-1,483,000","800,000","-566,000","-6,923,000","478,000","916,000","-1,482,000","-6,075,000","991,000","0","-31,000","-28,038,000","-10,151,000"
		NetIssuancePaymentsOfDebt,"260,000,000","0","991,000,000","14,000,000","-745,000,000","13,000,000","13,000,000","8,000,000","1,254,000,000","1,021,000,000","-991,000,000","44,000,000","1,000,000,000","50,000,000","40,000,000",,,"0","0","0","-700,000,000","697,000,000",,,,,"0","0","66,000,000","-29,000,000","-1,024,000,000","192,000,000","464,000,000","877,000,000","-67,000,000","-82,000,000","-931,000,000","-180,000,000","34,000,000","-29,000,000","1,321,000,000","0","-125,000,000","-500,000,000","2,033,000,000","-104,000,000","0","-348,000,000","-460,000,000","-1,502,000,000","4,524,000,000","-1,000,000","-3,000,000","72,000,000","206,085,000","-103,941,000","-203,144,000","0","-150,518,000","784,372,000","-190,000,000","550,000,000","0","0","0","0","0","-150,000,000","545,000,000","-261,840,000",,,,,"-318,005,000",,,,,,,,"0","0","0","0","0","0","0","-28,200,000","-125,000,000"
			NetLongTermDebtIssuance,"260,000,000","0","991,000,000","14,000,000","-745,000,000","13,000,000","13,000,000","8,000,000","1,254,000,000","1,021,000,000","-991,000,000","44,000,000","1,000,000,000","50,000,000","40,000,000",,,"0","0","0",,,,,,,"787,000,000","-787,000,000","66,000,000","-29,000,000","-1,024,000,000","192,000,000","464,000,000","877,000,000","-67,000,000","-82,000,000","-931,000,000","-80,000,000","34,000,000","-29,000,000","1,321,000,000","0","-125,000,000","0","1,433,000,000","-4,000,000","0","-4,000,000","-24,000,000","-148,000,000","2,490,000,000","-1,000,000","-3,000,000","72,000,000","206,085,000","-3,941,000",,,"-518,000",,,,,"0","0","0","150,000,000","-150,000,000","545,000,000","-150,000,000",,,,,"-318,005,000",,,,,,,,"0","0","0","0","0","0","0","-28,200,000","-125,000,000"
				LongTermDebtIssuance,"1,010,000,000","0","991,000,000","14,000,000","5,000,000","13,000,000","13,000,000","8,000,000","1,254,000,000","1,021,000,000","9,000,000","44,000,000","1,000,000,000","50,000,000","40,000,000",,,"0","0","0",,,,,,,"787,000,000","-787,000,000","787,000,000","0","-536,000,000","192,000,000","344,000,000","997,000,000","0","0",,,"331,000,000","0",,,"0","0",,,"0","0","0","0","2,495,000,000","0","-2,000,000","72,000,000","0",,,,,,,,,,,"0","261,840,000","-150,000,000","150,000,000","395,000,000",,,,,,,,,,,,,,,,,,,,,
				LongTermDebtPayments,,,"0","0",,,,,,,,,,,"0",,,,"0","0",,,,,,,"0","0","-721,000,000","-29,000,000","-488,000,000","0","120,000,000","-120,000,000","-67,000,000","-82,000,000","-931,000,000","-80,000,000","-297,000,000","-29,000,000","-174,000,000","0","-125,000,000","0","-63,000,000","-4,000,000","0","-4,000,000","-24,000,000","-148,000,000","-5,000,000","-1,000,000",,,"206,085,000","-3,941,000",,,,,,,,"0","0","0","-111,840,000","0","395,000,000","-545,000,000",,,,,"1,846,000",,,,,,,,"0","0","0","0","0","0","0","-28,200,000","-125,000,000"
			NetShortTermDebtIssuance,,,,,,,,,,,,,,,,,,,,,,"697,000,000",,,,,,,,,"0","0","0","0","0","0","0","-100,000,000","0","0","0","0","0","-500,000,000","600,000,000","-100,000,000","0","-344,000,000","-436,000,000","-1,354,000,000","2,034,000,000","0",,,"0","-100,000,000","0","0","-150,000,000","90,000,000","-190,000,000","550,000,000","0","0","0","0","-150,000,000","0","0","-111,840,000",,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtIssuance,,,,,,,,,,,,,,,,,,,,,,"697,000,000",,,,,,,,,,,,,,,,,"0","0",,,"0","0",,,,,,,"2,034,000,000","0",,,"0","200,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
