name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004
OperatingCashFlow,"-67,226,000","-18,248,000","-12,347,000","-15,184,000","-21,447,000","-12,731,000","235,000","-13,460,000","-3,684,000","-11,219,000","-5,107,000","-52,051,000","-19,728,000","-11,597,000","24,988,000","-13,919,000","-27,150,000","-21,650,000","-29,981,000","-23,270,000","-20,034,000","8,507,000","-12,752,000","-23,071,000","-11,509,000","-30,758,000","-22,551,000","-19,892,000","-17,809,000","3,020,000","-35,744,000","100,238,000","-23,418,000","-36,990,000","-34,051,000","-32,910,000","-29,744,000","-32,027,000","-28,098,000","-34,258,000","-25,018,000","-32,486,000","-20,355,000","-36,035,000","-36,743,000","-30,704,000","-38,972,000","-34,848,000","-36,336,000","-38,498,000","-37,377,000","-41,684,000","-44,353,000","-60,669,000","-70,243,000","-61,034,000","-65,754,000","-74,257,000","-57,423,000","-60,273,000","-62,633,000","-64,817,000","-55,055,000","-50,008,000","-47,408,000","-37,323,000","-30,467,000","-27,706,000","-22,760,000","-20,296,000","-17,643,000","-13,402,000","-16,868,000","-11,998,000"
	CashFlowFromContinuingOperatingActivities,"-67,226,000","-18,248,000","-12,347,000","-15,184,000","-21,447,000","-12,731,000","235,000","-13,460,000","-3,684,000","-11,219,000","-5,107,000","-52,051,000","-19,728,000","-11,597,000","24,988,000","-13,919,000","-27,150,000","-21,650,000","-29,981,000","-23,270,000","-20,034,000","8,507,000","-12,752,000","-23,071,000","-11,509,000","-30,758,000","-22,547,000","-19,892,000","-17,809,000","3,020,000","-35,744,000","100,238,000","-23,418,000","-36,990,000","-34,051,000","-32,910,000","-29,744,000","-32,027,000","-28,098,000","-34,258,000","-25,018,000","-32,486,000","-20,355,000","-36,035,000","-36,743,000","-30,704,000","-38,972,000","-34,848,000","-36,336,000","-38,498,000","-37,377,000","-41,684,000","-44,353,000","-60,669,000","-70,243,000","-61,034,000","-65,754,000","-74,257,000","-57,423,000","-60,273,000","-62,633,000","-64,817,000","-55,055,000","-50,008,000","-47,408,000","-37,323,000","-30,467,000","-27,706,000","-22,760,000","-20,296,000","-17,643,000","-13,402,000","-16,868,000","-11,998,000"
		NetIncomeFromContinuingOperations,"-94,008,000","-25,998,000","-28,061,000","-4,426,000","-35,523,000","-12,916,000","-26,411,000","-11,255,000","-10,252,000","-9,322,000","-14,263,000","-10,370,000","-12,387,000","-14,883,000","-9,751,000","-24,164,000","-22,675,000","-30,385,000","-32,784,000","-32,886,000","-35,339,000","-16,324,000","53,974,000","126,521,000","-29,958,000","-24,873,000","-277,019,000","-31,857,000","-28,911,000","-30,658,000","-36,441,000","-36,519,000","-73,366,000","-52,056,000","-53,583,000","-50,818,000","-46,124,000","-40,965,000",,,,,,,,"-41,525,000","-38,306,000","-45,303,000","-42,251,000","-44,700,000","-59,533,000","-45,555,000","-55,604,000","-59,412,000","-83,295,000","-68,497,000","-79,826,000","-71,421,000","-75,013,000","-73,047,000","-71,989,000","-73,141,000","-71,268,000","-60,970,000","-54,751,000","-43,559,000","-33,291,000","-31,730,000","-27,155,000","-22,162,000","-21,150,000","-20,188,000","-18,245,000","-16,409,000"
		OperatingGainsLosses,"12,488,000","-1,983,000","-1,564,000","-6,998,000","23,033,000","-3,838,000","4,272,000","3,927,000","1,867,000","-1,796,000","3,450,000","-7,336,000","1,247,000","-1,935,000","-1,465,000","-26,000","-6,135,000","3,809,000","2,572,000","4,973,000","7,506,000","-5,084,000","-74,723,000","-12,826,000","5,618,000","2,364,000","143,252,000","1,064,000",,,"9,347,000",,,,"131,000","0",,,"1,992,000","0","-41,000","85,000","59,000","0",,,"0","297,000",,,"12,807,000",,,,"92,000","0","127,000","-6,000",,,,,"-169,000","262,000","-3,922,000","3,908,000","-1,163,000","2,205,000","-2,213,000","-687,000","-2,442,000","7,342,000","1,184,000","1,236,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,"0",,,,"-104,000",,,,"227,000","0",,,,,,,"140,555,000","15,000",,,"9,347,000","-9,250,000","0","0","131,000","0","686,000","0","755,000","0","-41,000","-32,000","59,000","0","-63,000","0","0",,,,"12,807,000","62,000","0","0",,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"-4,712,000","-1,983,000","-1,564,000","-2,068,000","903,000","-3,838,000","4,008,000","3,927,000","1,867,000","-1,796,000","2,582,000","-3,807,000","1,247,000","-1,935,000","-1,361,000","-728,000","-5,363,000","2,984,000","1,564,000","3,685,000","6,847,000","1,545,000","-6,468,000","1,012,000","-341,000","2,364,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,"0","1,288,000","-147,000","-6,629,000","2,510,000","-13,838,000",,,,,,,,,,,,,,,"1,237,000","0","0","117,000",,,,,"0","297,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"6,122,000","1,613,000","1,973,000","1,161,000","1,375,000","964,000","808,000","837,000","861,000","820,000","844,000","-47,000","595,000","762,000","368,000","1,030,000","753,000","706,000","821,000","920,000","879,000","908,000","1,061,000","1,039,000","1,035,000","1,023,000","3,182,000","3,470,000","3,636,000","2,988,000","3,001,000","2,960,000","3,220,000","9,394,000","3,948,000","3,441,000","3,320,000","3,348,000","3,473,000","3,586,000","3,647,000","3,696,000","3,815,000","4,074,000","3,904,000","4,119,000","4,408,000","4,309,000","4,293,000","4,314,000","4,705,000","4,787,000","4,718,000","4,515,000","4,966,000","3,517,000","1,929,000","1,875,000","2,720,000","2,088,000","1,995,000","2,170,000","2,191,000","2,211,000","2,115,000","2,000,000","1,928,000","1,824,000","1,828,000","1,811,000","1,809,000","1,806,000","1,795,000","1,769,000"
			DepreciationAndAmortization,"6,122,000","1,613,000","1,973,000","1,161,000","1,375,000","964,000","808,000","837,000","861,000","820,000","844,000","-47,000","595,000","762,000",,,,,,,,,,"1,039,000","1,035,000","1,023,000","3,182,000","3,470,000","3,636,000","2,988,000","3,001,000","2,960,000","3,220,000","9,394,000","3,948,000","3,441,000","3,320,000","3,348,000","3,473,000","3,586,000","3,647,000","3,696,000","3,815,000","4,074,000","3,904,000","4,119,000","4,408,000","4,309,000","4,293,000","4,314,000","4,705,000","4,787,000","4,718,000","4,515,000","4,966,000","3,517,000","1,929,000","1,875,000","2,720,000","2,088,000","1,995,000","2,170,000","2,191,000","2,211,000","2,115,000","2,000,000","1,928,000","1,824,000","1,828,000","1,811,000","1,809,000","1,806,000","1,795,000","1,769,000"
				Depreciation,"6,122,000","1,613,000","1,973,000","1,161,000","1,375,000","964,000","808,000","837,000","861,000","820,000","844,000","-47,000","595,000","762,000",,,,,,,,,,"1,039,000","1,035,000","1,023,000","3,182,000","3,470,000","3,636,000","2,988,000","3,001,000","2,960,000","3,220,000","9,394,000","3,948,000","3,441,000","3,320,000","3,348,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
