name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995
TotalRevenue,"682,400,000","164,900,000","160,800,000","167,300,000","189,400,000","173,100,000","154,600,000","145,200,000","93,200,000","164,000,000","195,100,000","186,300,000","215,400,000","216,600,000","216,800,000","202,300,000","194,900,000","193,500,000","194,000,000","190,200,000","200,500,000","196,900,000","196,500,000","177,500,000","186,400,000","190,500,000","193,300,000","183,500,000","189,884,000","179,985,000","184,393,000","168,837,000","188,766,000","182,924,000","204,060,000","202,467,000","174,115,000","156,472,000","149,140,000","133,437,000","132,965,000","129,777,000","122,811,000","110,452,000","107,412,000","102,374,000","100,440,000","91,858,000","93,928,000","90,830,000","92,768,000","85,122,000","81,014,000","87,487,000","84,376,000","73,650,000","166,856,000","61,765,000","56,742,000","48,266,000","45,478,000","40,970,000","37,135,000","33,543,000","32,025,000","29,809,000","27,330,000","25,114,000","26,096,000","19,961,000","19,639,000","16,710,000","15,072,000","13,756,000","14,148,000","13,672,000","15,704,000","16,088,000","17,019,000","15,511,000","14,112,450","13,058,320","13,475,441","13,190,287","10,821,977","11,567,239","11,953,915","10,819,260","9,157,038","9,715,000","8,300,000","6,900,000","6,900,000","7,100,000","5,700,000","5,600,000","6,500,000","5,700,000","5,100,000","5,900,000","7,500,000","2,700,000","2,800,000","2,200,000","2,000,000","1,900,000","1,700,000","1,000,000"
	OperatingRevenue,"682,400,000","164,900,000","160,800,000","167,300,000","189,400,000","173,100,000","154,600,000","145,200,000","93,200,000","164,000,000","195,100,000","186,300,000","215,400,000","216,600,000","216,800,000","202,300,000","194,900,000","193,500,000","194,000,000","190,200,000","200,500,000","196,900,000","196,500,000","177,500,000","186,400,000","190,500,000","193,300,000","183,500,000","189,884,000","179,985,000","184,393,000","168,837,000","188,766,000","182,924,000","204,060,000","202,467,000","174,115,000","156,472,000","149,140,000","133,437,000","132,965,000","129,777,000","122,811,000","110,452,000","107,412,000","102,374,000","100,440,000","91,858,000","93,928,000","90,830,000","92,768,000","85,122,000","81,014,000","87,487,000","84,376,000","73,650,000","166,856,000","61,765,000","56,742,000","48,266,000","45,478,000","40,970,000","37,135,000","33,543,000","32,025,000","29,809,000","27,330,000","25,114,000","26,096,000","19,961,000","19,639,000","16,710,000","15,072,000","13,756,000","14,148,000","13,672,000","15,704,000","16,088,000","17,019,000","15,511,000","14,112,450","13,058,320","13,475,441","13,190,287","10,821,977","11,567,239","11,953,915","10,819,260","9,157,038","9,715,000","8,300,000","6,900,000","6,900,000","7,100,000","5,700,000","5,600,000","6,500,000","5,700,000","5,100,000","5,900,000","7,500,000","2,700,000","2,800,000","2,200,000","2,000,000","1,900,000","1,700,000","1,000,000"
CostOfRevenue,"195,300,000","48,000,000","45,800,000","47,800,000","53,700,000","50,300,000","47,100,000","44,200,000","36,700,000","50,100,000","49,600,000","49,700,000","50,600,000","48,600,000","52,100,000","49,700,000","45,800,000","44,100,000","44,400,000","43,000,000","42,600,000","44,300,000","44,400,000","40,000,000","40,000,000","40,200,000","40,600,000","36,500,000","38,389,000","36,293,000","37,852,000","34,865,000","30,980,000","26,609,000","26,131,000","25,481,000","22,073,000","20,334,000","19,884,000","17,327,000","16,952,000","17,228,000","16,117,000","14,361,000","12,523,000","11,133,000","12,046,000","11,011,000","11,262,000","10,880,000","11,083,000","11,062,000","11,185,000","11,232,000","11,060,000","9,790,000","9,051,000","8,263,000","7,690,000","7,335,000","7,602,000","7,577,000","7,529,000","8,105,000","8,063,000","7,505,000","6,272,000","5,803,000","5,655,000","5,297,000","5,131,000","4,239,000","3,835,000","3,709,000","3,448,000","2,758,000","3,276,000","3,361,000","2,995,000","2,921,000","3,031,147","2,848,591","2,565,334","2,271,689","2,221,517","2,149,029","1,726,998","1,305,362","221,739","288,000","300,000","-100,000","200,000","200,000","-200,000","-200,000","-400,000","-400,000","-500,000","-500,000","-500,000","-600,000","-500,000","-500,000","-400,000","-400,000",,
GrossProfit,"487,100,000","116,900,000","115,000,000","119,500,000","135,700,000","122,800,000","107,500,000","101,000,000","56,500,000","113,900,000","145,500,000","136,600,000","164,800,000","168,000,000","164,700,000","152,600,000","149,100,000","149,400,000","149,600,000","147,200,000","157,900,000","152,600,000","152,100,000","137,500,000","146,400,000","150,300,000","152,700,000","147,000,000","151,495,000","143,692,000","146,541,000","133,972,000","157,786,000","156,315,000","177,929,000","176,986,000","152,042,000","136,138,000","129,256,000","116,110,000","116,013,000","112,549,000","106,694,000","96,091,000","94,889,000","91,241,000","88,394,000","80,847,000","82,666,000","79,950,000","81,685,000","74,060,000","69,829,000","76,255,000","73,316,000","63,860,000","157,805,000","53,502,000","49,052,000","40,931,000","37,876,000","33,393,000","29,606,000","25,438,000","23,962,000","22,304,000","21,058,000","19,311,000","20,441,000","14,664,000","14,508,000","12,471,000","11,237,000","10,047,000","10,700,000","10,914,000","12,428,000","12,727,000","14,024,000","12,590,000","11,081,303","10,209,729","10,910,107","10,918,598","8,600,460","9,418,210","10,226,917","9,513,898","8,935,299","9,427,000","8,000,000","7,000,000","6,700,000","6,900,000","5,900,000","5,800,000","6,900,000","6,100,000","5,600,000","6,400,000","8,000,000","3,300,000","3,300,000","2,700,000","2,400,000","2,300,000",,
OperatingExpense,"644,900,000","131,800,000","159,800,000","199,000,000","154,300,000","168,600,000","151,100,000","141,700,000","124,800,000","152,600,000","154,400,000","156,800,000","170,700,000","162,100,000","157,600,000","151,000,000","139,300,000","133,600,000","132,200,000","133,000,000","140,900,000","139,700,000","138,900,000","131,300,000","110,800,000","107,700,000","107,500,000","103,700,000","115,297,000","107,952,000","110,199,000","108,052,000","104,532,000","101,028,000","94,930,000","94,082,000","86,126,000","78,220,000","73,670,000","67,528,000","68,727,000","66,453,000","61,229,000","54,619,000","53,112,000","49,417,000","49,808,000","45,256,000","45,051,000","46,725,000","47,163,000","44,348,000","-3,244,000","53,944,000","55,550,000","50,548,000","91,591,000","61,318,000","57,788,000","52,513,000","50,142,000","42,485,000","18,237,000","40,438,000","37,943,000","34,258,000","30,658,000","29,364,000","29,182,000","25,374,000","25,184,000","23,088,000","22,159,000","21,211,000","21,081,000","21,082,000","20,102,000","18,838,000","21,513,000","18,662,000","18,548,945","14,651,877","14,692,861","13,885,822","12,054,566","12,675,956","13,431,280","12,734,187","12,440,426","12,450,000","10,300,000","9,700,000","9,700,000","9,500,000","9,500,000","9,200,000","10,700,000","9,600,000","8,700,000","9,100,000","8,500,000","7,300,000","7,600,000","6,400,000","5,300,000","5,000,000","3,600,000",
	SellingGeneralAndAdministration,"564,900,000","110,600,000","139,300,000","180,200,000","134,800,000","145,500,000","132,900,000","124,100,000","107,400,000","132,900,000","135,600,000","135,500,000","149,800,000","140,600,000","135,200,000","129,900,000","121,600,000","115,100,000","115,400,000","115,200,000","122,100,000","122,100,000","120,300,000","111,900,000","91,300,000","90,500,000","90,800,000","86,500,000","96,585,000","91,279,000","92,695,000","85,440,000","84,345,000","87,631,000","77,840,000","77,279,000","71,545,000","64,602,000","59,563,000","56,128,000","56,584,000","54,700,000","50,986,000","46,114,000","43,881,000","42,750,000","43,716,000","39,494,000","39,798,000","40,840,000","42,104,000","38,672,000","33,792,000","36,094,000","35,598,000","33,399,000","36,366,000","30,157,000","30,482,000","26,488,000","23,967,000","19,067,000","16,211,000","14,086,000","13,649,000","12,291,000","11,628,000","10,898,000","13,157,000","9,834,000","10,638,000","9,956,000","10,155,000","8,821,000","9,523,000","8,108,000","6,730,000","7,785,000","9,295,000","7,716,000","7,867,977","5,911,925","6,080,473","5,624,462","4,806,658","4,247,554","4,080,244","3,943,390","3,761,923","3,337,000","3,400,000","3,000,000","3,100,000","2,700,000","2,800,000","2,600,000","3,500,000","3,300,000","2,900,000","2,100,000","2,600,000","2,400,000","2,000,000","1,800,000","700,000","900,000","500,000",
		GeneralAndAdministrativeExpense,,,"141,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,"141,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"80,000,000","21,200,000","20,500,000","18,800,000","19,500,000","23,100,000","18,200,000","17,600,000","17,400,000","19,700,000","18,800,000","21,300,000","20,900,000","21,500,000","22,400,000","21,100,000","17,700,000","18,500,000","16,800,000","17,800,000","18,800,000","17,600,000","18,600,000","19,400,000","19,500,000","17,200,000","16,700,000","17,200,000","18,712,000","16,673,000","17,504,000","22,612,000","20,187,000","13,397,000","17,090,000","16,803,000","14,581,000","13,618,000","14,107,000","11,400,000","12,143,000","11,753,000","10,243,000","8,505,000","9,231,000","6,667,000","6,092,000","5,762,000","5,253,000","5,885,000","5,059,000","5,676,000","-37,036,000","17,850,000","19,952,000","17,149,000","55,225,000","31,161,000","27,306,000","26,025,000","26,175,000","23,418,000","24,764,000","26,352,000","24,294,000","21,967,000","19,030,000","18,466,000","16,025,000","15,540,000","14,546,000","13,132,000","12,004,000","12,390,000","11,558,000","12,974,000","13,372,000","11,053,000","12,218,000","10,946,000","10,680,968","8,739,952","8,612,388","8,261,360","7,247,908","8,428,402","9,351,036","8,790,797","7,773,769","8,333,000","6,200,000","5,800,000","5,900,000","6,100,000","5,700,000","5,800,000","6,300,000","5,500,000","5,000,000","6,200,000","5,200,000","4,200,000","5,000,000","4,100,000","4,200,000","3,700,000","2,800,000",
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"904,734","780,000","700,000","900,000","700,000","700,000","1,000,000","800,000","900,000","800,000","800,000","800,000","700,000","700,000","600,000","500,000","400,000","400,000","300,000",
