name,ttm,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,12/31/2006
CashFlowsfromusedinOperatingActivitiesDirect,,,,,"-4,778,000","-2,524,273","-1,167,000","559,478","-2,530,701","-2,028,000","-2,511,510","-2,552,058","-1,600,244","-3,146,000","-2,854,039.588","-1,735,860.64","-2,020,355.489","-1,061,509.493","-603,356.814","-393,261.006","-153,474.031","-173,133.099","-63,267.275","-85,004.059","-127,010.132","-125,300.125","-127,500.555","-143,148.032","-354,063.903","-413,914.498","-915,733.512","-532,333.472","-699,491.001","-653,722.405","-439,915.938","-745,072.738","-680,000","-331,000","-671,000","-204,000","-364,000","-203,000","-202,000","-162,000","-147,000","-121,000","-197,000","-630,000","-115,000","-313,000","-60,000","-409,000","-965,000","-411,000","-1,192,000","1,190,000","-3,102,000","-308,000","-737,000"
	ClassesofCashReceiptsfromOperatingActivities,"138,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"276,000",
		ReceiptsfromCustomers,"0",,,,,"0",,"0",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"276,000",
		OtherCashReceiptsfromOperatingActivities,"138,100"
	ClassesofCashPayments,,,,,"-4,715,000","-2,441,472","-1,111,000","460,061","-2,554,518","-2,100,000","-2,541,893","-2,604,308","-1,612,801","-3,178,000","-2,903,009.301","-1,773,463.28","-2,043,664.639","-1,084,261.729","-610,816.46","-398,616.701","-160,345.409","-179,997.407","-73,109.722","-96,491.094","-137,344.073","-137,200.137","-133,970.124","-158,457.982","-369,690.277","-444,413.461","-954,295.303","-574,920.15","-749,854.214","-693,708.271","-491,394.155","-808,549.606","-815,000","-382,000","-811,000","-304,000","-535,000","-338,000","-304,000","-307,000","-276,000","-181,000","-253,000","-704,000","-193,000","-344,000","-155,000","-540,000","-1,071,000","-625,000","-1,375,000","1,032,000","-3,266,000","-621,000","-771,000"
		PaymentstoSuppliersforGoodsandServices,,,,,,,,"460,061","-2,554,518","-1,319,000","-2,541,893","-2,604,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PaymentsonBehalfofEmployees,"-1,956,000",,,,"-1,604,000","-519,000","-540,000","-353,000",,"-524,000","-507,000","-697,000","-501,000","-697,000",,"-447,394.674",,"-234,583.399",,"-52,791.847",,"-19,830.223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCashPaymentsfromOperatingActivities,"-5,756,000",,,,"-3,111,000","432,900","-571,000","-1,006,000",,"-257,000","-291,000","-616,000","-266,000","-2,481,000","-475,000","-1,326,068.606","-253,000","-849,678.33","-78,000","-345,824.853","-34,000","-160,167.184","-17,000","-96,491.094","-48,000","-137,200.137","-10,000","-158,457.982","-61,000","-444,413.461","-45,000","-574,920.15","-36,000","-693,708.271","-87,000","-808,549.606","-74,000","-60,000","-95,000","-70,000","-196,000","-210,000","-125,000","-122,000","-114,000","-57,000","-153,000","-355,000","75,000","25,000","45,000","67,000","-173,000",,,,,"-6,000",
	DividendsReceivedDirect,"0",,,,,"0",,"0",,"0",,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestPaidDirect,,,,,"-67,000","-90,208","-66,000","-71,388","-46,730","-7,000",,"0","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,
