name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,06/30/2014
TotalAssets,"4,133,500,000","3,615,700,000","3,519,000,000","3,551,600,000","3,745,900,000","3,468,200,000","3,387,400,000","3,292,600,000","3,268,700,000","3,221,200,000","2,867,800,000","2,716,600,000","2,771,400,000","2,796,600,000","1,645,000,000","1,581,500,000","1,518,200,000","1,507,400,000","1,248,400,000","1,232,900,000","1,244,500,000","796,700,000","737,500,000","726,300,000","704,900,000","682,000,000","649,700,000","512,600,000","495,700,000","496,700,000","492,100,000"
	CurrentAssets,"3,100,600,000","2,540,100,000","2,423,000,000","2,436,800,000","2,569,800,000","2,266,200,000","2,166,700,000","2,050,000,000","1,963,000,000","1,883,000,000","1,423,200,000","1,332,800,000","1,418,100,000","1,356,900,000","1,181,100,000","1,127,200,000","1,064,700,000","1,053,800,000","922,500,000","930,300,000","941,600,000","527,600,000","489,300,000","489,500,000","483,300,000","478,700,000","453,700,000","310,800,000","305,600,000","302,500,000","286,000,000"
		CashCashEquivalentsAndShortTermInvestments,"2,564,100,000","2,022,400,000","1,884,600,000","1,946,000,000","2,054,600,000","1,700,300,000","1,610,700,000","1,553,800,000","1,451,400,000","1,315,600,000","830,900,000","768,500,000","697,500,000","684,100,000","734,300,000","711,500,000","692,800,000","624,500,000","532,500,000","555,300,000","577,900,000","155,900,000","166,800,000","157,100,000","157,200,000","161,900,000","142,100,000","14,500,000","10,600,000","19,500,000","19,900,000"
			CashAndCashEquivalents,"1,130,300,000","552,000,000","611,000,000","774,300,000","687,700,000","321,300,000","269,500,000","298,000,000","688,300,000","1,085,000,000","539,000,000","432,600,000","357,300,000","371,300,000","459,400,000","397,300,000","176,800,000","202,100,000","150,800,000","272,900,000","577,900,000","155,900,000","166,800,000","157,100,000","157,200,000","161,900,000","142,100,000","14,500,000","10,600,000","19,500,000","19,900,000"
				CashFinancial,"149,400,000","212,300,000","196,100,000","128,300,000","114,800,000","107,700,000","135,600,000","114,200,000","121,300,000","157,700,000","213,800,000","213,800,000",,"294,400,000","149,900,000","103,600,000","82,600,000","133,200,000","81,500,000","201,300,000",,,,,,,,,,,
				CashEquivalents,"980,900,000","339,700,000","414,900,000","646,000,000","572,900,000","213,600,000","133,900,000","183,800,000","567,000,000","927,300,000","325,200,000","218,800,000",,"76,900,000","309,500,000","293,700,000","94,200,000","68,900,000","69,300,000","71,600,000",,,,,,,,,,,
			OtherShortTermInvestments,"1,433,800,000","1,470,400,000","1,273,600,000","1,171,700,000","1,366,900,000","1,379,000,000","1,341,200,000","1,255,800,000","763,100,000","230,600,000","291,900,000","335,900,000","340,200,000","312,800,000","274,900,000","314,200,000","516,000,000","422,400,000","381,700,000","282,400,000",,,,,,,,,,,
		Receivables,"242,200,000","239,200,000","263,200,000","212,800,000","224,800,000","276,700,000","263,600,000","233,500,000","303,100,000","343,600,000","339,600,000","286,200,000","329,700,000","266,500,000","239,600,000","197,100,000","174,000,000","222,100,000","173,800,000","166,800,000","185,400,000","192,500,000","156,500,000","172,500,000","163,500,000","160,100,000","161,400,000","150,500,000","155,200,000","149,100,000","136,500,000"
			AccountsReceivable,"242,200,000","239,200,000","263,200,000","212,800,000","224,800,000","276,700,000","263,600,000","233,500,000","261,800,000","292,000,000","292,800,000","238,000,000","302,900,000","266,500,000","239,600,000","197,100,000","164,700,000","222,100,000","173,800,000","166,300,000","185,400,000","192,500,000","156,500,000","170,500,000","160,200,000","159,100,000","156,600,000","150,500,000","155,200,000","149,100,000","136,500,000"
				GrossAccountsReceivable,"242,400,000","239,400,000","263,500,000","213,200,000","226,600,000","278,400,000","265,400,000","235,300,000",,,,"242,500,000",,,,"199,700,000",,,,,"186,900,000","193,900,000",,,,,,,"155,600,000","149,600,000","136,600,000"
				AllowanceForDoubtfulAccountsReceivable,"-200,000","-200,000","-300,000","-400,000","-1,800,000","-1,700,000","-1,800,000","-1,800,000",,,,"-4,500,000",,,,"-2,600,000",,,,,"-1,500,000","-1,400,000",,,,,,,"-400,000","-500,000","-100,000"
			TaxesReceivable,,,,,,,,,"11,500,000","13,800,000","12,600,000","11,900,000","13,000,000",,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,"9,300,000",,,"500,000","0","0","0","2,000,000","3,300,000","1,000,000","4,800,000",,,,
			OtherReceivables,,,,,,,,,"29,800,000","37,800,000","34,200,000","36,300,000","13,800,000",,,,,,,,,,,,,,,,,,
		Inventory,"224,000,000","208,100,000","207,000,000","196,400,000","210,700,000","207,100,000","212,600,000","188,900,000","172,700,000","179,600,000","202,200,000","228,800,000","272,200,000","303,200,000","136,600,000","153,600,000","144,200,000","147,300,000","147,200,000","145,200,000","116,900,000","121,000,000","103,700,000","100,600,000","107,200,000","107,300,000","102,900,000","99,700,000","97,000,000","95,000,000","96,500,000"
			RawMaterials,"78,000,000","71,600,000","64,500,000","64,400,000","69,400,000","70,400,000","56,700,000","57,900,000","55,400,000","60,400,000","73,000,000","78,300,000","56,000,000","56,100,000","23,000,000","20,900,000","20,500,000","21,300,000","27,400,000","24,100,000","23,100,000","26,400,000","31,300,000","29,000,000","31,100,000","30,200,000","28,400,000","16,200,000","17,100,000","17,000,000","14,700,000"
			WorkInProcess,"99,800,000","86,900,000","85,400,000","79,000,000","82,500,000","84,200,000","70,600,000","67,600,000","67,900,000","72,000,000","62,100,000","72,500,000","121,300,000","129,000,000","32,900,000","34,500,000","30,500,000","26,500,000","41,100,000","49,400,000","35,600,000","34,400,000","26,600,000","25,500,000","24,800,000","26,300,000","23,200,000","23,400,000","24,500,000","27,100,000","31,200,000"
			FinishedGoods,"46,200,000","49,600,000","57,100,000","53,000,000","58,800,000","52,500,000","85,300,000","63,400,000","49,400,000","47,200,000","67,100,000","78,000,000","94,900,000","118,100,000","80,700,000","98,200,000","93,200,000","99,500,000","78,700,000","71,700,000","58,200,000","60,200,000","45,800,000","46,100,000","51,300,000","50,800,000","51,300,000","60,100,000","55,400,000","50,900,000","50,600,000"
		PrepaidAssets,"70,300,000","70,400,000","68,200,000","81,600,000","79,700,000","82,100,000","79,800,000","73,800,000","29,700,000","30,900,000","43,300,000","41,100,000","37,100,000","39,400,000","36,000,000","33,500,000","29,800,000","21,500,000","28,000,000","22,800,000","18,900,000","20,300,000","50,800,000","44,000,000","37,900,000","37,200,000","36,900,000","29,900,000","30,000,000","27,900,000","24,000,000"
		AssetsHeldForSaleCurrent,,,,,,,,,"1,300,000","9,900,000","4,900,000","4,900,000","38,500,000",,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,"4,800,000","3,400,000","2,300,000","3,300,000","43,100,000","63,700,000","34,600,000","31,500,000","23,900,000","38,400,000","41,000,000","40,200,000","42,500,000","37,900,000","11,500,000","15,300,000","17,500,000","12,200,000","10,400,000","16,200,000","12,800,000","11,000,000","9,100,000"
	TotalNonCurrentAssets,"1,032,900,000","1,075,600,000","1,096,000,000","1,114,800,000","1,176,100,000","1,202,000,000","1,220,700,000","1,242,600,000","1,305,700,000","1,338,200,000","1,444,600,000","1,383,800,000","1,353,300,000","1,439,700,000","463,900,000","454,300,000","453,500,000","453,600,000","325,900,000","302,600,000","302,900,000","269,100,000","248,200,000","236,800,000","221,600,000","203,300,000","196,000,000","201,800,000","190,100,000","194,200,000","206,100,000"
		NetPPE,"430,700,000","434,700,000","428,400,000","428,500,000","448,300,000","457,600,000","468,100,000","471,700,000","491,800,000","505,700,000","524,900,000","433,300,000","390,600,000","444,700,000","318,600,000","306,900,000","301,800,000","301,300,000","293,700,000","273,500,000","246,600,000","219,600,000","196,000,000","183,400,000","168,100,000","151,400,000","141,500,000","143,200,000","132,200,000","133,800,000","136,500,000"
			GrossPPE,"905,300,000","888,900,000","873,400,000","859,300,000","918,600,000","908,600,000","889,600,000","881,500,000","894,300,000","886,800,000","890,800,000","772,700,000","713,700,000","809,600,000","662,300,000","636,200,000","738,600,000","720,400,000","697,600,000","659,900,000","617,300,000","576,400,000","542,300,000","518,200,000","490,800,000","464,900,000","443,600,000","416,200,000",,,"377,700,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0"
				LandAndImprovements,"49,400,000","49,400,000","40,900,000","38,200,000","44,100,000","44,100,000","44,100,000","44,100,000","44,200,000","44,200,000","44,200,000","44,200,000","10,600,000","10,600,000","10,600,000","10,600,000","10,600,000","10,600,000","10,600,000","10,600,000","10,500,000","5,900,000","5,900,000","5,900,000","5,900,000","5,900,000","5,900,000","5,900,000",,,"5,900,000"
				BuildingsAndImprovements,"98,900,000","96,000,000","93,600,000","92,700,000","125,700,000","118,100,000","117,700,000","114,800,000","112,900,000","113,900,000","106,500,000","103,700,000","72,900,000","65,900,000","59,400,000","55,100,000","49,300,000","44,700,000","40,800,000","37,300,000","35,700,000","29,300,000","29,000,000","28,900,000","28,800,000","28,700,000","28,700,000","28,600,000",,,"28,100,000"
				MachineryFurnitureEquipment,"575,600,000","571,700,000","539,500,000","535,700,000","564,600,000","554,500,000","531,000,000","521,700,000","546,300,000","544,300,000","540,600,000","546,800,000","539,300,000","640,600,000","505,400,000","492,100,000","585,400,000","569,200,000","524,500,000","496,900,000","476,200,000","450,000,000","424,600,000","410,700,000","372,100,000","366,600,000","363,200,000","334,400,000",,,"307,600,000"
				OtherProperties,"101,000,000","99,700,000","125,900,000","115,400,000","115,400,000","116,800,000","116,800,000","118,400,000","109,800,000","113,000,000","116,600,000",,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"45,000,000","37,500,000","39,500,000","43,400,000","36,800,000","45,600,000","51,400,000","54,700,000","53,000,000","47,500,000","52,000,000","46,800,000","59,500,000","63,600,000","59,900,000","52,600,000","63,200,000","66,000,000","90,900,000","84,600,000","65,100,000","63,500,000","54,000,000","44,100,000","56,100,000","35,000,000","16,600,000","26,800,000",,,"16,100,000"
				Leases,"35,400,000","34,600,000","34,000,000","33,900,000","32,000,000","29,500,000","28,600,000","27,800,000","28,100,000","23,900,000","30,900,000","31,200,000","31,400,000","28,900,000","27,000,000","25,800,000","30,100,000","29,900,000","30,800,000","30,500,000","29,800,000","27,700,000","28,800,000","28,600,000","27,900,000","28,700,000","29,200,000","20,500,000",,,"20,000,000"
