name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
OperatingCashFlow,"217,516,000","58,558,000","42,006,000","49,522,000","67,430,000","68,295,000","39,719,000","118,593,000","-12,823,000","64,083,000","57,923,000","81,819,000","83,598,000","107,013,000","55,051,000","50,999,000","82,947,000","105,750,000","35,061,000","33,614,000","60,924,000","106,673,000","48,344,000","18,071,000","61,085,000","85,797,000","27,793,000","27,244,000","67,757,000","47,262,000","52,986,000","16,942,000","52,728,000","51,641,000","38,214,000","23,039,000","46,156,000","52,270,000","14,333,000","2,206,000","52,328,000","38,115,000","26,834,000","13,311,000","15,018,000","17,435,000","31,870,000","4,335,000","6,642,000","13,749,000","29,938,000","1,272,000","648,000","27,283,000","20,916,000","5,572,000","1,329,000","15,770,000","14,604,000","8,536,000","6,512,000","17,331,000","-1,631,000","26,697,000","-3,670,000","17,167,000","5,880,000","13,803,000","1,826,000","8,841,000","6,616,000","10,171,000","-5,232,000","8,817,000","3,197,000"
	CashFlowFromContinuingOperatingActivities,"217,516,000","58,558,000","42,006,000","49,522,000","67,430,000","68,295,000","39,719,000","118,593,000","-12,823,000","64,083,000","57,923,000","81,819,000","83,598,000","107,013,000","55,051,000","50,999,000","82,947,000","105,750,000","35,061,000","33,614,000","60,924,000","106,673,000","48,344,000","18,071,000","61,085,000","85,797,000","27,793,000","27,244,000","67,757,000","47,262,000","52,986,000","16,942,000","52,728,000","51,641,000","38,214,000","23,039,000","46,156,000","52,270,000","14,333,000","2,206,000","52,328,000","38,115,000","26,834,000","13,311,000","15,018,000","17,435,000","31,870,000","4,335,000","6,642,000","13,749,000","29,938,000","1,272,000","648,000","27,283,000","20,916,000","5,572,000","1,329,000","15,770,000","14,604,000","8,536,000","6,512,000","17,331,000","-1,631,000","26,697,000","-3,670,000","17,167,000","5,880,000","13,803,000","1,826,000","8,841,000","6,616,000","10,171,000","-5,232,000","8,817,000","3,197,000"
		NetIncomeFromContinuingOperations,"82,733,000","19,406,000","17,693,000","26,819,000","18,815,000","7,132,000","2,555,000","-6,654,000","359,000","30,732,000","47,763,000","41,254,000","49,327,000","42,042,000","46,657,000","33,600,000","40,426,000","37,298,000","51,444,000","31,105,000","33,040,000","41,374,000","17,120,000","22,510,000","30,403,000","24,727,000","23,918,000","20,558,000","26,919,000","22,532,000","18,894,000","15,379,000","21,714,000","16,048,000","23,676,000","14,942,000","24,507,000","-50,781,000","4,227,000","2,606,000","-1,914,000","3,590,000","6,567,000","5,190,000","10,185,000","12,543,000","11,216,000","10,959,000","9,899,000","10,875,000","9,990,000","9,843,000","9,022,000","9,477,000","8,359,000","7,568,000","6,739,000","6,918,000","6,103,000","5,314,000","5,045,000","5,127,000","4,528,000","3,893,000","3,749,000","3,959,000","3,718,000","2,987,000","2,787,000","2,964,000","2,789,000","2,141,000","2,260,000","2,499,000","2,312,000"
		OperatingGainsLosses,,,,,,,,"0",,,,,,,"-209,000","221,000","341,000","251,000","651,000","3,214,000","26,000","650,000","11,109,000","130,000","23,000","-288,000","-202,000","302,000","-48,000","299,000","221,000","105,000","-20,000","361,000","-144,000","38,000","238,000","64,116,000","62,000","-215,000","492,000","165,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,"-279,000","239,000","306,000","222,000","478,000","1,546,000","67,000","669,000","-64,000","64,000","23,000","-166,000","71,000","153,000","13,000","114,000","291,000","11,000","73,000","292,000","-155,000","88,000","162,000","471,000","62,000","-116,000","336,000","155,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,"70,000","-18,000","35,000","29,000","173,000","1,668,000","-41,000","-19,000",,"66,000","0","-122,000",,"149,000","-61,000","185,000",,"94,000","-93,000","69,000","11,000","-50,000","76,000","-37,000","0","-102,000","136,000","-34,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3,000","20,000","44,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"107,124,000","25,576,000","25,972,000","27,466,000","28,110,000","27,282,000","28,489,000","27,293,000","27,659,000","28,221,000","27,842,000","27,080,000","26,885,000","26,462,000","25,797,000","25,213,000","25,250,000","24,683,000","24,487,000","23,685,000","23,190,000","23,414,000","23,194,000","20,999,000","20,566,000","20,525,000","20,127,000","19,873,000","19,280,000","19,386,000","19,115,000","19,382,000","19,335,000","19,615,000","19,495,000","17,457,000","18,908,000","16,948,000","16,138,000","12,593,000","16,548,000","16,069,000","6,231,000","6,369,000","5,926,000","5,882,000","5,562,000","5,361,000","4,835,000","4,495,000","4,165,000","4,133,000","3,590,000","3,454,000","3,333,000","3,251,000","3,172,000","3,050,000","2,884,000","3,024,000","2,767,000","2,619,000","2,618,000","2,756,000","2,475,000","2,308,000","2,221,000","2,687,000","2,383,000","2,429,000","2,282,000","2,291,000","1,886,000","1,760,000","1,588,000"
			DepreciationAndAmortization,"107,124,000","25,576,000","25,972,000","27,466,000","28,110,000","27,282,000","28,489,000","27,293,000","27,659,000","28,221,000","27,842,000","27,080,000","26,885,000","26,462,000","25,797,000","25,213,000","25,250,000","24,683,000","24,487,000","23,685,000","23,190,000","23,414,000","23,194,000","20,999,000","20,566,000","20,525,000","20,127,000","19,873,000","19,280,000","19,386,000","19,115,000","19,382,000","19,335,000","19,615,000","19,495,000","17,457,000","18,908,000","16,948,000","16,138,000","12,593,000","16,548,000","16,069,000","6,231,000","6,369,000","5,926,000","5,882,000","5,562,000","5,361,000","4,835,000","4,495,000","4,165,000","4,133,000","3,590,000","3,454,000","3,333,000","3,251,000","3,172,000","3,050,000","2,884,000","3,024,000","2,767,000","2,619,000","2,618,000","2,756,000","2,475,000","2,308,000","2,221,000","2,687,000","2,383,000","2,429,000","2,282,000","2,291,000","1,886,000","1,760,000","1,588,000"
