name,ttm,03/31/2022,12/31/2021,09/30/2021
MarketCap,"747,270,440","2,002,302,638","1,691,451,470","2,456,422,828"
EnterpriseValue,"506,587,440","1,668,772,638","1,257,971,470","2,456,422,828"
PsRatio,"4.249","8.195","12.687",
PbRatio,"1.137","2.916","2.36",
EnterprisesValueRevenueRatio,"2.916","45.51","18.84","66.581"
EnterprisesValueEBITDARatio,"-2.431","-44.469","-31.164","-21.337"
