name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,09/30/2018
TotalAssets,"657,700,000","600,600,000","696,500,000","685,400,000","639,300,000","680,800,000","653,500,000","659,900,000","725,600,000","670,900,000","594,500,000","597,600,000","560,400,000"
	CurrentAssets,"359,500,000","297,600,000","388,100,000","371,900,000","307,900,000","324,600,000","290,200,000","290,600,000","349,500,000","288,100,000","219,500,000","218,200,000","163,700,000"
		CashCashEquivalentsAndShortTermInvestments,"69,500,000","30,400,000","152,600,000","89,400,000","33,200,000","50,800,000","48,700,000","22,500,000","76,700,000","29,900,000","5,500,000","3,400,000","10,900,000"
			CashAndCashEquivalents,"69,500,000","30,400,000","152,600,000","89,400,000","33,200,000","50,800,000","48,700,000","22,500,000","76,700,000","29,900,000","5,500,000","3,400,000","10,900,000"
		Receivables,"132,500,000","118,200,000","103,900,000","131,200,000","117,400,000","123,300,000","83,100,000","74,900,000","111,200,000","94,000,000","68,400,000","94,500,000","87,200,000"
			AccountsReceivable,"132,500,000","118,200,000","97,000,000","131,200,000","117,400,000","123,300,000","78,300,000","74,900,000","111,200,000","94,000,000","62,800,000","94,500,000","84,900,000"
			OtherReceivables,,,"7,100,000",,,,"6,300,000",,,,"5,600,000",,"2,400,000"
			ReceivablesAdjustmentsAllowances,,,"-200,000",,,,"-1,500,000",,,,"0",,"-100,000"
		Inventory,"144,700,000","130,200,000","117,900,000","141,700,000","148,200,000","136,400,000","150,500,000","184,600,000","151,200,000","150,200,000","138,200,000","113,800,000","61,600,000"
			RawMaterials,"38,500,000","37,700,000","34,000,000","24,800,000","22,800,000","26,200,000","33,700,000","24,800,000","19,700,000","27,000,000","26,400,000","19,300,000","24,900,000"
			WorkInProcess,"100,000","100,000","100,000","200,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","200,000",
			FinishedGoods,"106,100,000","92,400,000","83,800,000","116,700,000","125,300,000","110,100,000","116,700,000","159,700,000","131,400,000","123,100,000","111,700,000","94,300,000","36,700,000"
		PrepaidAssets,"12,800,000","18,800,000","13,700,000","9,600,000","9,100,000","14,100,000","7,900,000","8,600,000","10,400,000","14,000,000","7,400,000","6,500,000","4,000,000"
	TotalNonCurrentAssets,"298,200,000","303,000,000","308,400,000","313,500,000","331,400,000","356,200,000","363,300,000","369,300,000","376,100,000","382,800,000","375,000,000","379,400,000","396,700,000"
		NetPPE,"8,900,000","9,100,000","8,900,000","8,700,000","8,900,000","9,700,000","10,200,000","9,900,000","10,300,000","10,600,000","11,700,000","11,200,000","11,900,000"
			GrossPPE,"22,200,000","22,000,000","21,600,000","21,600,000","21,300,000","21,700,000","22,600,000","21,400,000","21,100,000","20,800,000","21,100,000","20,000,000","18,300,000"
				Properties,"22,200,000","22,000,000","0","21,600,000",,,"0",,,,"0",,"0"
				LandAndImprovements,,,"800,000",,,,"800,000",,,,"700,000",,"500,000"
				BuildingsAndImprovements,,,"5,500,000",,,,"5,400,000",,,,"5,700,000",,"5,200,000"
				MachineryFurnitureEquipment,,,"14,700,000",,,,"16,100,000",,,,"14,000,000",,"11,900,000"
				ConstructionInProgress,,,"600,000",,,,"300,000",,,,"700,000",,"700,000"
			AccumulatedDepreciation,"-13,300,000","-12,900,000","-12,700,000","-12,900,000","-12,400,000","-12,000,000","-12,400,000","-11,500,000","-10,800,000","-10,200,000","-9,400,000","-8,800,000","-6,400,000"
		GoodwillAndOtherIntangibleAssets,"279,200,000","284,100,000","289,000,000","293,900,000","311,100,000","334,300,000","340,200,000","345,800,000","351,300,000","356,900,000","362,400,000","368,000,000","384,600,000"
			Goodwill,"65,900,000","65,900,000","65,900,000","65,900,000","65,900,000","65,900,000","65,900,000","65,900,000","65,900,000","65,900,000","65,900,000","65,900,000","65,900,000"
			OtherIntangibleAssets,"213,300,000","218,200,000","223,100,000","228,000,000","245,200,000","268,400,000","274,300,000","279,900,000","285,400,000","291,000,000","296,500,000","302,100,000","318,700,000"
		OtherNonCurrentAssets,"10,100,000","9,800,000","10,500,000","10,900,000","11,400,000","12,200,000","12,900,000","13,600,000","14,500,000","15,300,000","900,000","200,000","200,000"
TotalLiabilitiesNetMinorityInterest,"1,086,500,000","647,500,000","762,000,000","785,500,000","773,100,000","810,900,000","814,500,000","853,000,000","926,900,000","873,900,000","108,100,000","106,600,000","108,700,000"
	CurrentLiabilities,"130,600,000","145,700,000","251,300,000","264,400,000","199,200,000","138,300,000","153,100,000","127,100,000","128,000,000","107,400,000","92,700,000","88,900,000","94,300,000"
		PayablesAndAccruedExpenses,"85,500,000","72,500,000","105,100,000","109,000,000","91,000,000","68,600,000","72,000,000","63,700,000","56,500,000","46,500,000","73,500,000","60,500,000","79,100,000"
			Payables,"85,500,000","72,500,000","91,900,000","109,000,000","91,000,000","68,600,000","58,900,000","63,700,000","56,500,000","46,500,000","61,700,000","60,500,000","59,000,000"
				AccountsPayable,"85,500,000","72,500,000","89,000,000","109,000,000","91,000,000","68,600,000","54,700,000","63,700,000","56,500,000","46,500,000","60,500,000","60,500,000","56,900,000"
				TotalTaxPayable,,,,,,,"2,200,000",,,,,,"300,000"
				OtherPayable,,,"2,900,000",,,,"2,000,000",,,,"1,200,000",,"1,800,000"
			CurrentAccruedExpenses,,,"13,200,000",,,,"13,100,000",,,,"11,800,000",,"20,100,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,,,"14,500,000",,,,"8,500,000",,,,"11,500,000",,"8,800,000"
		CurrentDebtAndCapitalLeaseObligation,,"35,000,000","116,300,000","114,500,000","73,200,000","35,000,000","63,800,000","35,000,000","35,000,000","35,000,000","400,000",,"1,000,000"
			CurrentDebt,,"35,000,000","116,300,000","114,500,000","73,200,000","35,000,000","63,800,000","35,000,000","35,000,000","35,000,000","400,000",,"1,000,000"
				LineOfCredit,,,,,,,"0",,,,"400,000",,"1,000,000"
				OtherCurrentBorrowings,,"35,000,000","116,300,000","114,500,000","73,200,000","35,000,000","63,800,000","35,000,000","35,000,000","35,000,000",,,
		OtherCurrentLiabilities,"45,100,000","38,200,000","15,400,000","40,900,000","35,000,000","34,700,000","8,800,000","28,400,000","36,500,000","25,900,000","7,700,000","28,400,000","6,400,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"955,900,000","501,800,000","510,700,000","521,100,000","573,900,000","672,600,000","661,400,000","725,900,000","798,900,000","766,500,000","15,400,000","17,700,000","14,400,000"
		LongTermDebtAndCapitalLeaseObligation,"938,800,000","473,400,000","481,200,000","490,700,000","539,600,000","635,100,000","622,600,000","683,900,000","756,400,000","723,800,000",,,
			LongTermDebt,"938,800,000","473,400,000","481,200,000","490,700,000","539,600,000","635,100,000","622,600,000","683,900,000","756,400,000","723,800,000",,,
		NonCurrentDeferredLiabilities,"7,900,000","8,500,000","7,600,000","6,700,000","8,300,000","9,600,000","9,000,000","12,700,000","12,800,000","17,200,000","14,100,000","15,900,000","13,600,000"
			NonCurrentDeferredTaxesLiabilities,"7,900,000","8,500,000","7,600,000","6,700,000","8,300,000","9,600,000","9,000,000","12,700,000","12,800,000","17,200,000","14,100,000","15,900,000","13,600,000"
