name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
OperatingCashFlow,"-948,526","-444,401","-191,986","-187,698","-124,441","-708,199","0"
	CashFlowFromContinuingOperatingActivities,"-948,526","-444,401","-191,986","-187,698","-124,441","-708,199","0"
		NetIncomeFromContinuingOperations,"5,636,717","5,418,600","1,405,378","2,907,067","-4,094,328","6,989,174","-1,465"
		OperatingGainsLosses,"-6,707,500","-5,610,166","-1,781,501","-3,149,833","3,834,000","-7,188,919",
			GainLossOnInvestmentSecurities,"-6,707,500","-5,610,166","-1,781,501","-3,149,833","3,834,000","-7,188,919",
		OtherNonCashItems,"-143,142","-67,494","-31,532","-26,161","-17,955","-37,938",
		ChangeInWorkingCapital,"265,399","-185,341","215,669","81,229","153,842","-470,516","1,465"
			ChangeInPrepaidAssets,"253,850","20,234","102,585","32,550","98,481","-559,220",
			ChangeInPayablesAndAccruedExpense,"11,549","-205,575","113,084","48,679","55,361","88,704","1,465"
				ChangeInAccruedExpense,,,,,"55,361","88,704","1,465"
InvestingCashFlow,"167,000","167,000","0","0","0","-402,500,000",
	CashFlowFromContinuingInvestingActivities,"167,000","167,000","0","0","0","-402,500,000",
		NetOtherInvestingChanges,"167,000","167,000","0","0","0","-402,500,000",
FinancingCashFlow,"104,225","104,225","0","0","0","404,055,391","10,027"
	CashFlowFromContinuingFinancingActivities,"104,225","104,225","0","0","0","404,055,391","10,027"
		NetIssuancePaymentsOfDebt,"0","0","0","0","0","-140,000","140,000"
			NetLongTermDebtIssuance,"0","0","0","0","0","-140,000","140,000"
				LongTermDebtIssuance,,,,,,,"140,000"
				LongTermDebtPayments,"0","0","0","0","0","-140,000",
		NetCommonStockIssuance,"0","0","0","0","0","404,500,000","25,000"
			CommonStockIssuance,"0","0","0","0","0","404,500,000","25,000"
		NetOtherFinancingCharges,"104,225","104,225","0","0","0","-304,609","-154,973"
EndCashPosition,"179,918","179,918","353,094","545,080","732,778","857,219","10,027"
	ChangesInCash,"-677,301","-173,176","-191,986","-187,698","-124,441","847,192","10,027"
	BeginningCashPosition,"857,219","353,094","545,080","732,778","857,219","10,027","0"
IssuanceOfCapitalStock,"0","0","0","0","0","404,500,000","25,000"
IssuanceOfDebt,,,,,,,"140,000"
RepaymentOfDebt,"0","0","0","0","0","-140,000",
FreeCashFlow,"-948,526","-444,401","-191,986","-187,698","-124,441","-708,199","0"
