name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,12/31/1988,12/31/1987
			CurrentAccruedExpenses,,"824,000,000",,,,"837,000,000",,,,"630,000,000",,,,"647,000,000",,,,"471,000,000",,,,"400,000,000",,,,"397,000,000",,,,"539,000,000",,,,"562,000,000",,,,"322,000,000","259,000,000","227,000,000","253,000,000","324,000,000","201,000,000","191,000,000",,"492,000,000",,,,"113,000,000",,,,"210,000,000","261,000,000","288,000,000","640,000,000","1,570,000,000","815,000,000","629,000,000","785,100,000","238,069,000","180,463,000","124,391,000","69,211,000","359,075,000","176,276,000","157,146,000","106,138,000","139,513,000","25,675,000","51,626,000","24,446,000","92,410,000","130,223,000","140,973,000","85,451,000","110,400,000","72,861,000","39,492,000",,"48,413,000","31,071,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InterestPayable,,"203,000,000",,,,"243,000,000",,,,"178,000,000",,,,"183,000,000",,,,"168,000,000",,,,"129,000,000",,,,"165,000,000",,,,"166,000,000",,,,"210,000,000",,,,"35,000,000",,,,"69,000,000",,,,"92,000,000",,,,"113,000,000",,,,"136,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentProvisions,"316,000,000","264,000,000","329,000,000","334,000,000","331,000,000","351,000,000","397,000,000","298,000,000","305,000,000","436,000,000","488,000,000","425,000,000","422,000,000","449,000,000","460,000,000","380,000,000","396,000,000","388,000,000","419,000,000","379,000,000","388,000,000","369,000,000","357,000,000","322,000,000","270,000,000","272,000,000","336,000,000","330,000,000","317,000,000","296,000,000","310,000,000","250,000,000","254,000,000","236,000,000","257,000,000","284,000,000","254,000,000","241,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,"190,000,000",,,,"91,000,000",,,,"69,000,000",,,,"78,000,000",,,,"111,000,000",,,,"76,000,000",,,,"132,000,000",,,,"106,000,000",,,,"161,000,000",,,,"140,000,000",,,,"437,000,000",,,,,,,,"315,000,000",,,,"285,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"1,365,000,000","410,000,000","897,000,000","1,057,000,000","656,000,000","72,000,000","47,000,000","90,000,000","245,000,000","49,000,000","4,000,000","4,000,000","3,000,000","17,000,000","4,000,000","4,000,000","483,000,000","1,414,000,000","2,215,000,000","2,216,000,000","2,228,000,000","1,232,000,000","802,000,000","770,000,000","1,139,000,000","649,000,000","906,000,000","791,000,000","558,000,000","478,000,000","1,762,000,000","2,784,000,000","1,091,000,000","312,000,000","70,000,000","73,000,000","4,000,000","2,000,000","2,000,000","4,000,000","4,000,000","4,000,000","4,000,000","5,000,000","1,170,000,000","95,000,000","98,000,000","299,000,000","1,186,000,000","16,000,000","44,000,000","580,000,000","265,000,000","67,000,000","23,000,000","31,000,000","36,000,000","31,000,000","67,000,000","152,000,000","199,200,000","19,116,000","72,577,000","89,683,000","90,077,000","253,350,000","195,581,000","193,706,000","192,377,000","78,214,000","75,125,000","76,939,000","87,666,000","152,396,000","175,547,000","144,196,000","122,719,000","77,112,000","151,837,000","139,697,000","138,772,000","205,420,000","112,990,000","113,359,000","243,925,000","202,294,000","205,102,000","205,148,000","105,527,000","114,800,000","162,000,000","145,000,000","125,100,000","127,800,000","146,400,000","95,200,000","105,200,000","80,900,000","116,100,000","117,900,000","122,800,000","136,600,000","107,900,000","111,300,000","109,100,000","86,900,000","84,400,000","44,700,000","34,600,000","24,100,000","102,000,000","66,900,000","59,200,000","48,800,000",,"1,600,000","78,600,000","78,600,000","28,300,000","28,300,000",,,"4,700,000","29,200,000","28,000,000","10,000,000","6,100,000","15,000,000","19,000,000","10,000,000",,,,
			CurrentDebt,"1,365,000,000","372,000,000","897,000,000","1,057,000,000","656,000,000","34,000,000","47,000,000","90,000,000","245,000,000","5,000,000","4,000,000","4,000,000","3,000,000","17,000,000","4,000,000","4,000,000","483,000,000","1,414,000,000","2,215,000,000","2,216,000,000","2,228,000,000","1,232,000,000","802,000,000","770,000,000","1,139,000,000","649,000,000","906,000,000","791,000,000","558,000,000","478,000,000","1,762,000,000","2,784,000,000","1,091,000,000","312,000,000","70,000,000","73,000,000","4,000,000","2,000,000","2,000,000","4,000,000","4,000,000","4,000,000","4,000,000","5,000,000","1,170,000,000","95,000,000","98,000,000","299,000,000","1,186,000,000","16,000,000","44,000,000","580,000,000","265,000,000","67,000,000","23,000,000","31,000,000","36,000,000","31,000,000","67,000,000","152,000,000","199,200,000","19,116,000","72,577,000","89,683,000","90,077,000","253,350,000","195,581,000","193,706,000","192,377,000","78,214,000","75,125,000","76,939,000","87,666,000","152,396,000","175,547,000","144,196,000","122,719,000","77,112,000","151,837,000","139,697,000","138,772,000","205,420,000","112,990,000","113,359,000","243,925,000","202,294,000","205,102,000","205,148,000","105,527,000","114,800,000","162,000,000","145,000,000","125,100,000","127,800,000","146,400,000","95,200,000","105,200,000","80,900,000","116,100,000","117,900,000","122,800,000","136,600,000","107,900,000","111,300,000","109,100,000","86,900,000","84,400,000","44,700,000","34,600,000","24,100,000","102,000,000","66,900,000","59,200,000","48,800,000",,"1,600,000","78,600,000","78,600,000","28,300,000","28,300,000",,,"4,700,000","29,200,000","28,000,000","10,000,000","6,100,000","15,000,000","19,000,000","10,000,000",,,,
				OtherCurrentBorrowings,,"372,000,000",,,,"34,000,000",,,,"5,000,000",,,,,,,,,,,,,,,,,,,,"478,000,000",,,,"312,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,,"38,000,000",,,,"38,000,000",,,,"44,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,"191,000,000",,,,"65,000,000",,,,,,,,"35,000,000",,,,"91,000,000",,,,"82,000,000",,,,"48,000,000",,,,"105,000,000",,,,"123,000,000",,,,"478,000,000",,,,"172,000,000",,,,"241,000,000",,,,"201,000,000",,,,"78,000,000",,,,,,,,"125,763,000","41,756,000","56,900,000","32,746,000","57,184,000","57,570,000","52,981,000","39,308,000","33,021,000","31,927,000","35,260,000","19,289,000","35,335,000","47,488,000","35,574,000","25,131,000","36,754,000","36,495,000",,,"33,422,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,000,000",,,,"384,000,000",,,,"103,000,000",,,,"61,000,000",,,,"201,000,000",,,,"78,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
