name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986
TotalRevenue,"11,698,000,000","3,127,000,000","2,973,000,000","2,822,000,000","2,776,000,000","2,370,000,000","2,013,000,000","1,927,000,000","1,461,000,000","2,021,000,000","2,511,000,000","2,654,000,000","2,760,000,000","2,462,000,000","2,371,000,000","3,081,000,000","3,129,000,000","4,913,000,000","4,848,000,000","4,719,000,000","4,769,000,000","4,794,000,000","4,417,000,000","4,441,000,000","4,617,000,000","3,994,000,000","3,684,000,000","4,086,000,000","4,326,000,000","3,894,000,000","4,298,000,000","4,907,000,000","5,190,000,000","4,927,000,000","4,916,000,000","4,394,000,000","4,700,000,000","4,763,000,000","4,320,000,000","4,563,000,000","3,910,000,000","2,601,000,000","2,339,000,000","2,497,000,000","2,543,000,000","2,452,000,000","2,175,000,000","1,999,000,000","2,089,000,000","1,848,000,000","1,694,000,000","2,182,000,000","1,497,000,000","1,766,000,000","236,369,000","1,795,293,000","-149,690,000","476,880,000","959,153,000","214,540,000","191,372,000","351,379,000","375,068,000","373,260,000","507,599,000","500,026,000","553,736,000","331,762,000","220,655,000","130,623,000","112,073,000","119,485,000","117,901,000","74,822,000","87,703,000","67,979,000","63,836,000","64,255,000","87,998,000","76,128,000","84,358,000","78,419,000","76,954,000","84,280,000","69,182,000","67,853,000","78,694,000","78,604,000","82,315,000","75,367,000","-14,760,000","33,100,000","54,100,000","25,900,000","13,706,000","29,800,000","23,700,000","26,000,000","-19,782,000","18,200,000","23,100,000","49,400,000","-1,426,597","30,300,000","22,300,000","20,700,000","12,820,466","19,400,000","17,200,000","20,500,000","11,850,726","14,900,000","17,200,000","17,300,000","17,600,000","15,200,000","13,600,000","14,900,000","20,400,000","15,300,000","13,700,000","13,700,000","15,400,000","14,000,000","14,300,000","14,300,000","12,200,000","14,700,000","14,900,000","15,000,000","18,700,000","15,000,000","14,600,000","14,500,000","18,100,000","14,900,000","14,800,000","14,500,000","14,000,000","15,000,000","15,000,000","14,500,000","4,700,000","4,600,000","4,600,000","4,600,000"
	OperatingRevenue,"11,054,000,000","2,968,000,000","2,817,000,000","2,657,000,000","2,612,000,000","2,218,000,000","1,865,000,000","1,764,000,000","1,325,000,000","1,860,000,000","2,349,000,000","2,484,000,000","2,588,000,000","2,300,000,000","2,356,000,000","2,864,000,000","2,919,000,000","4,493,000,000","4,410,000,000","4,292,000,000","4,282,000,000","4,319,000,000","3,965,000,000","3,904,000,000","4,094,000,000","3,548,000,000","3,340,000,000","3,720,000,000","3,979,000,000","3,565,000,000","3,982,000,000","4,557,000,000","4,867,000,000","4,666,000,000","4,533,000,000","4,181,000,000","4,497,000,000","4,574,000,000","3,545,000,000","4,563,000,000","3,910,000,000","2,601,000,000","2,404,000,000","2,497,000,000","2,543,000,000","2,452,000,000","2,175,000,000","1,999,000,000","2,089,000,000","1,848,000,000","1,546,000,000","1,649,000,000","1,497,000,000","1,766,000,000","236,369,000","1,795,293,000","-149,690,000","476,880,000","959,153,000","214,540,000","191,372,000","351,379,000","375,068,000","373,260,000","507,599,000","500,026,000","603,385,000","342,633,000","220,655,000","130,623,000","118,275,000","119,475,000","117,901,000","74,822,000","95,157,000","70,548,000","63,564,000","64,232,000","98,110,000","79,019,000","84,358,000","80,058,000","82,744,000","84,280,000","70,544,000","69,187,000","86,455,000","78,961,000","83,424,000","76,364,000","-14,760,000","33,100,000","54,100,000","25,900,000","13,706,000","29,800,000","23,700,000","26,000,000","-19,782,000","18,200,000","23,100,000","49,400,000","-1,426,597","30,300,000","22,300,000","20,700,000","12,820,466","19,400,000","17,200,000","20,500,000","11,850,726","14,900,000","17,200,000","17,300,000","17,600,000","15,200,000","13,600,000","14,900,000","20,400,000","15,300,000","13,700,000","13,700,000","15,400,000","14,000,000","14,300,000","14,300,000","12,200,000","14,700,000","14,900,000","15,000,000","18,700,000","15,000,000","14,600,000","14,500,000","18,100,000","14,900,000","14,800,000","14,500,000","14,000,000","15,000,000","15,000,000","14,500,000","4,700,000","4,600,000","4,600,000","4,600,000"
CostOfRevenue,"9,880,000,000","2,538,000,000","2,674,000,000","2,270,000,000","2,398,000,000","2,139,000,000","1,777,000,000","1,599,000,000","1,135,000,000","1,810,000,000","2,114,000,000","2,069,000,000","2,129,000,000","1,900,000,000","1,940,000,000","2,406,000,000","2,510,000,000","3,856,000,000","3,911,000,000","3,679,000,000","3,723,000,000","3,737,000,000","3,463,000,000","3,378,000,000","3,448,000,000","3,123,000,000","3,068,000,000","3,224,000,000","3,324,000,000","3,125,000,000","3,798,000,000","4,218,000,000","4,327,000,000","4,142,000,000","4,204,000,000","3,825,000,000","3,887,000,000","3,893,000,000","3,640,000,000","3,702,000,000","3,229,000,000","2,072,000,000","1,961,000,000","1,977,000,000","2,010,000,000","1,925,000,000","1,731,000,000","1,705,000,000","1,737,000,000","1,575,000,000","1,397,000,000","1,384,000,000","1,255,000,000","1,649,000,000","2,243,040,000","2,297,080,000","526,720,000","491,561,000","929,740,000","279,015,000","243,372,000","362,886,000","401,930,000","386,647,000","363,454,000","353,556,000","652,083,000","246,761,000","167,126,000","7,047,000","5,205,000","2,218,000","7,705,000","3,358,000","1,268,000","2,860,000","898,000","4,103,000","20,962,000","9,009,000","10,840,000","13,829,000","13,269,000","13,917,000","7,984,000","7,429,000","13,406,000","14,387,000","16,539,000","14,161,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"1,818,000,000","589,000,000","299,000,000","552,000,000","378,000,000","231,000,000","236,000,000","328,000,000","326,000,000","211,000,000","397,000,000","585,000,000","631,000,000","562,000,000","431,000,000","675,000,000","619,000,000","1,057,000,000","937,000,000","1,040,000,000","1,046,000,000","1,057,000,000","954,000,000","1,063,000,000","1,169,000,000","871,000,000","616,000,000","862,000,000","1,002,000,000","769,000,000","500,000,000","689,000,000","863,000,000","785,000,000","712,000,000","569,000,000","813,000,000","870,000,000","680,000,000","861,000,000","681,000,000","529,000,000","378,000,000","520,000,000","533,000,000","527,000,000","444,000,000","294,000,000","352,000,000","273,000,000","297,000,000","798,000,000","242,000,000","117,000,000","-2,006,671,000","-501,787,000","-676,410,000","-14,681,000","29,413,000","-64,475,000","-52,000,000","-11,507,000","-26,862,000","-13,387,000","144,145,000","146,470,000","-98,347,000","85,001,000","53,529,000","123,576,000","106,868,000","117,267,000","110,196,000","71,464,000","86,435,000","65,119,000","62,938,000","60,152,000","67,036,000","67,119,000","73,518,000","64,590,000","63,685,000","70,363,000","61,198,000","60,424,000","65,288,000","64,217,000","65,776,000","61,206,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"1,749,000,000","429,000,000","443,000,000","447,000,000","430,000,000","434,000,000","421,000,000","416,000,000","398,000,000","443,000,000","458,000,000","493,000,000","476,000,000","467,000,000","383,000,000","513,000,000","514,000,000","911,000,000","937,000,000","826,000,000","901,000,000","836,000,000","863,000,000","945,000,000","929,000,000","764,000,000","644,000,000","586,000,000","689,000,000","632,000,000","533,000,000","597,000,000","619,000,000","457,000,000","553,000,000","481,000,000","441,000,000","469,000,000","428,000,000","395,000,000","445,000,000","415,000,000","365,000,000","422,000,000","426,000,000","453,000,000","261,000,000","246,000,000","250,000,000","294,000,000","267,000,000","257,000,000","271,000,000","0","0","0","0","1,853,000","413,769,000","0","3,860,000","7,679,000","0","0","119,657,000","107,363,000","-162,881,000","61,317,000","1,872,000","78,745,000","80,324,000","78,601,000","72,750,000","46,756,000","44,099,000","49,429,000","28,719,000","46,383,000","38,626,000","49,027,000","46,338,000","42,858,000","44,629,000","47,867,000","41,413,000","45,246,000","45,403,000","40,685,000","40,956,000","42,599,000","46,440,000","-7,300,000","-5,800,000","-4,900,000","28,925,000","-4,100,000","-2,600,000","-3,200,000","27,809,000","-3,200,000","-3,200,000","-4,700,000","34,090,799","-4,500,000","-4,400,000","-4,500,000","32,473,730","-4,700,000","-4,800,000","-4,200,000","31,338,119","-4,100,000","-3,700,000","-4,000,000","-6,300,000","-2,800,000","-2,500,000",,"-11,600,000","-3,500,000",,"-1,200,000",,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,226,000,000","301,000,000","304,000,000","317,000,000","304,000,000","316,000,000","303,000,000","289,000,000","291,000,000","308,000,000","349,000,000","352,000,000","339,000,000","336,000,000","344,000,000","340,000,000","352,000,000","656,000,000","682,000,000","633,000,000","623,000,000","582,000,000","606,000,000","603,000,000","615,000,000","518,000,000","485,000,000","418,000,000","528,000,000","477,000,000","378,000,000","431,000,000","456,000,000","360,000,000","367,000,000","368,000,000","313,000,000","369,000,000","335,000,000","284,000,000","337,000,000","309,000,000","248,000,000","316,000,000","333,000,000","355,000,000","261,000,000","246,000,000","250,000,000","294,000,000","267,000,000","257,000,000","271,000,000",,,,,,,,"3,860,000","7,679,000","-91,970,000","69,877,000","91,123,000",,"180,326,000","2,431,000","1,872,000","7,610,000","6,773,000","5,149,000","4,666,000","4,364,000","9,060,000","1,784,000","1,577,000","1,660,000","1,790,000","1,734,000","1,857,000","1,648,000","1,948,000","1,525,000","1,691,000","1,916,000","1,746,000","1,582,000","2,123,000","2,024,000","933,000","1,000,000","1,200,000","1,000,000","1,508,000","700,000","800,000","900,000","988,000","700,000","800,000","700,000","738,684","700,000","800,000","700,000","605,331","700,000",,"700,000","791,123","700,000","700,000","600,000","600,000","600,000","700,000",,"600,000","500,000",,"600,000",,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,"340,000,000","352,000,000","656,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,860,000","7,679,000","-91,970,000","69,877,000","91,123,000",,"180,326,000","2,431,000","1,872,000","7,610,000","6,773,000","5,149,000","4,666,000","4,364,000","9,060,000","1,784,000","1,577,000","1,660,000","1,790,000","1,734,000","1,857,000","1,648,000","1,948,000","1,525,000","1,691,000","1,916,000","1,746,000","1,582,000","2,123,000","2,024,000","933,000","1,000,000","1,200,000","1,000,000","1,508,000","700,000","800,000","900,000","988,000","700,000","800,000","700,000","738,684","700,000","800,000","700,000","605,331","700,000",,"700,000","791,123","700,000","700,000","600,000","600,000","600,000","700,000",,"600,000","500,000",,"600,000",,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,860,000","7,679,000","-91,970,000","69,877,000","91,123,000",,"180,326,000","2,431,000","1,872,000","7,610,000","6,773,000","5,149,000","4,666,000","4,364,000","9,060,000","1,784,000","1,577,000","1,660,000","1,790,000","1,734,000","1,857,000","1,648,000","1,948,000","1,525,000","1,691,000","1,916,000","1,746,000","1,582,000","2,123,000","2,024,000","900,000","1,000,000","1,200,000","1,000,000","1,500,000","700,000","800,000","900,000","1,000,000","700,000","800,000","700,000","700,000","700,000","800,000","700,000","600,000","700,000",,"700,000","800,000","700,000","700,000","600,000","600,000","600,000","700,000",,"600,000","500,000",,"600,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,"340,000,000","352,000,000","656,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,000,000","12,000,000",,,,"12,000,000",,,,,"12,000,000",,,,,,,,"8,994,000",,,"-1,024,000","16,294,000","17,832,000",,,"46,607,000","-57,439,000",,,"7,154,000","7,079,000","7,284,000","7,977,000","5,092,000","2,356,000","5,370,000","5,239,000","5,633,000","5,684,000","5,432,000","5,178,000","4,935,000","5,884,000","4,248,000","3,826,000","4,076,000","4,011,000","3,489,000","3,961,000","3,637,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
