name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
			PurchaseOfPPE,"-27,426,000","-4,554,000","-9,109,000","-8,689,000","-4,603,000","-6,176,000","-5,175,000","-4,853,000","-6,259,000","-4,135,000","-3,506,000","-3,371,000","-5,528,000","-3,874,000","-6,195,000","-6,861,000","-7,304,000","-4,102,000","-1,758,000","-2,104,000","-3,847,000","-4,543,000","-2,382,000","-3,399,000","-2,843,000","-2,303,000","-3,987,000","-2,567,000","-2,723,000","-1,991,000","-5,725,000","-2,161,000","-1,666,000","-1,673,000","-1,488,000","-2,486,000","-2,600,000","-3,898,000","-2,323,000","-94,625,000","-1,817,000","-3,278,000","-1,218,000","-2,414,000","-2,361,000","-2,697,000","-7,058,000","-3,481,000","-1,564,000","-1,747,000","-1,952,000","-3,017,000","-2,443,000","-1,531,000","164,000","-7,629,000","-3,782,000","-1,278,000","-1,978,000","-1,674,000","-213,000","-1,522,000","-5,272,000","-16,098,000","-5,693,000","-2,709,000","-8,385,000","85,369,000","-95,351,000","-2,010,000","-2,423,000","-7,893,000","-6,329,000","-3,863,000","-3,946,000","-3,510,000","-2,371,000","-1,611,000","-3,970,000","-5,872,000","-8,433,000","-3,223,000","-1,278,000","-2,009,000","-1,003,000","-1,110,000","-2,448,000","-4,959,000","-2,872,000","-5,564,000"
			SaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","14,265,000","0","0","0","270,750,000","462,000","731,000","790,000","49,000","37,000","14,000","0","215,000","1,186,000",,,,,,,,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,,,"0","0",,,"0","0",,,"-2,510,000","0",,,"0","0","-239,729,000","0","-1,510,000","0","0","-13,658,000",,,"0","0","-19,213,000","0","0","-76,899,000","0",,,,"0",,,,"0","-71,852,000","0","0","0","0","284,000","-27,546,000","-9,670,000","0",,,"-1,500,000","0",,,"-3,917,000",,,,,,,,"303,000","-5,515,000",,,"0","0",,,,"0","0","-109,000",,,,,,,,,,,,,"-1,148,000",,,
			PurchaseOfBusiness,,,"0","0",,,"0","0",,,"-2,510,000","0",,,"0","0","-239,729,000","0","-1,510,000","0","0","-13,658,000",,,"0","0","-19,213,000","0","0","-76,899,000","0",,,,"0",,,,"0","-71,852,000","0","0","0","0","284,000","-27,546,000","-9,670,000","0",,,"-1,500,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"-812,905,000","-212,834,000","397,226,000","-1,050,379,000","53,082,000","153,141,000","-31,218,000","-46,757,000","-245,000","56,010,000","-41,082,000","-5,763,000","-68,233,000","35,491,000","-39,687,000","-29,056,000","70,814,000","76,154,000","-13,738,000","-31,246,000","-54,745,000","-242,182,000","-21,080,000","11,042,000","-15,379,000","2,107,000","-16,364,000","34,978,000","1,149,000","44,702,000","27,790,000","18,577,000","-40,817,000","-15,124,000","-25,678,000","-2,257,000","78,053,000","-53,177,000","-28,083,000","-10,195,000","103,672,000","-22,327,000","-37,680,000","23,503,000","5,375,000","23,600,000","10,963,000","41,480,000","-3,781,000","-53,660,000","14,434,000","-115,624,000","10,860,000","5,637,000","33,104,000","-8,030,000","-41,197,000","169,581,000","177,457,000","-4,093,000","-29,244,000","-134,582,000","-10,909,000","-79,431,000","73,730,000","-38,288,000","-8,252,000","-84,952,000","46,429,000","166,904,000","-14,261,000","-10,086,000","-2,856,000","-8,428,000","-6,178,000","19,734,000","-3,760,000","-7,813,000","-5,746,000","-986,000","-4,490,000","-10,847,000","5,704,000","3,601,000","1,217,000","14,406,000","-792,000","-21,129,000","4,671,000","-20,169,000"
			PurchaseOfInvestment,"-1,969,410,000","-435,690,000","-329,399,000","-1,132,146,000","-72,175,000","-8,251,000","-101,340,000","-218,880,000","-128,437,000","-70,910,000","-117,879,000","-122,475,000","-120,593,000","-63,577,000","-141,931,000","-105,536,000","-95,616,000","-52,821,000","-164,425,000","-82,704,000","-121,457,000","-267,777,000","-53,490,000","-39,519,000","-47,675,000","-44,547,000","-51,933,000","-8,525,000","-33,871,000","-13,037,000","-28,721,000","-19,629,000","-74,378,000","-43,366,000","-49,566,000","-42,323,000","-43,143,000","-78,851,000","-53,628,000","-33,653,000","-22,324,000","-82,845,000","-64,892,000","-37,928,000","-44,364,000","-31,492,000","-64,275,000","-77,117,000","-95,028,000","-121,357,000","-55,929,000","-136,502,000","-29,079,000","-16,458,000","0","-11,031,000","-61,202,000","-79,237,000","-111,160,000","-142,998,000","-120,205,000","-181,435,000","-107,762,000","-176,397,000","-40,053,000","-80,452,000","-27,875,000","-146,317,000","12,929,000","-19,269,000","-17,049,000","-25,718,000","-25,187,000","-27,723,000","-19,853,000","-14,688,000","-5,334,000","-40,996,000","-33,076,000","-4,021,000","-22,135,000","-17,830,000","-15,896,000","-21,408,000","-8,136,000","-13,770,000","-2,734,000","-27,253,000","-7,965,000","-25,060,000"
			SaleOfInvestment,"1,156,505,000","222,856,000","726,625,000","81,767,000","125,257,000","161,392,000","70,122,000","172,123,000","128,192,000","126,920,000","76,797,000","116,712,000","52,360,000","99,068,000","102,244,000","76,480,000","166,430,000","128,975,000","150,687,000","51,458,000","66,712,000","25,595,000","32,410,000","50,561,000","32,296,000","46,654,000","35,569,000","43,503,000","35,020,000","57,739,000","56,511,000","38,206,000","33,561,000","28,242,000","23,888,000","40,066,000","121,196,000","25,674,000","25,545,000","23,458,000","125,996,000","60,518,000","27,212,000","61,431,000","49,739,000","55,092,000","75,238,000","118,597,000","91,247,000","67,697,000","70,363,000","20,878,000","39,939,000","22,095,000","33,104,000","3,001,000","20,005,000","248,818,000","288,617,000","138,905,000","90,961,000","46,853,000","96,853,000","96,966,000","113,783,000","42,164,000","19,623,000","61,365,000","33,500,000","186,173,000","2,788,000","15,632,000","22,331,000","19,295,000","13,675,000","34,422,000","1,574,000","33,183,000","27,330,000","3,035,000","17,645,000","6,983,000","21,600,000","25,009,000","9,353,000","28,176,000","1,942,000","6,124,000","12,636,000","4,891,000"
		NetOtherInvestingChanges,,,"-580,000","0","0","-578,000","-290,000","-460,000","-450,000","-370,000","-1,264,000","-4,544,000","-2,174,000","-414,000","-1,975,000","-3,195,000","-1,195,000","-4,698,000","-2,338,000","-838,000","-338,000","-1,446,000","-3,807,000","-2,779,000","-1,108,000","-1,107,000","-1,108,000","-3,420,000","-936,000","-935,000","-2,175,000","-613,000","-613,000","-2,113,000","-2,440,000","-1,061,000","-1,210,000","-1,228,000","-2,362,000","1,773,000",,"-850,000","-3,127,000","-226,000","-81,000","-584,000","-1,225,000","-230,000","-3,481,000","-3,436,000","-3,645,000","-459,000","-1,805,000","-499,000",,,"-3,498,000","-183,000","-2,811,000","-6,346,000",,,"-898,000","-262,000","-3,626,000","-1,691,000","-3,468,000","-13,524,000","-401,000","-65,000","-2,109,000","-938,000","-1,000","-3,394,000","4,614,000","-1,294,000","-3,614,000","-1,463,000","-1,393,000","-26,000",,,"0","-250,000","-71,000","-500,000","-500,000",,,
	CashFromDiscontinuedInvestingActivities,"2,748,152,000","0","0","2,749,702,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","-1,021,000","-633,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinancingCashFlow,"-1,306,816,000","-166,533,000","-456,953,000","-670,821,000","-12,509,000","-158,389,000","290,000","-21,691,000","-55,151,000","277,419,000","6,781,000","-2,312,000","-4,999,000","-29,117,000","-8,842,000","-24,774,000","1,440,000","-16,660,000","4,096,000","-769,000","5,594,000","304,109,000","4,435,000","-4,191,000","-24,048,000","-28,501,000","1,085,000","-68,614,000","1,736,000","-17,961,000","-19,745,000","-41,557,000","-8,403,000","4,481,000","-16,089,000","-13,781,000","3,373,000","2,632,000","-42,000","83,591,000","-33,333,000","2,532,000","5,633,000","-86,843,000","-15,745,000","-10,218,000","3,453,000","-42,036,000","-65,472,000","-15,809,000","-3,458,000","17,029,000","-895,000","-5,808,000","-39,436,000","-72,021,000","-29,960,000","-139,571,000","-101,795,000","-8,268,000","6,422,000","-10,125,000","-10,973,000","-32,151,000","11,743,000","26,120,000","10,714,000","3,655,000","3,204,000","2,616,000","2,747,000","1,080,000","3,955,000","5,232,000","4,592,000","7,725,000","3,849,000","573,000","-1,669,000","-234,000","468,000","286,000","549,000","-383,000","205,000","-346,000","513,000","-4,729,000","-984,000","95,240,000"
