name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001
			OtherReceivables,"5,336,000","5,041,000","4,655,000","4,725,000","4,752,000","4,698,000","4,883,000","4,954,000","5,130,000","5,011,000","4,631,000","4,462,000","7,003,000","4,186,000","3,287,000","3,074,000","3,278,000","3,497,000","2,813,000","3,197,000","3,386,000","3,037,000","2,704,000","2,811,000","2,961,000","2,866,000","3,156,000","4,196,000","5,893,000","5,624,000","4,611,000","10,257,000","7,152,000","7,636,285","4,092,000","3,798,000","3,974,000","5,483,889","0","0","0",,"0","0","0","2,616,701","0","0","0","870,328","0","0","0","1,428,112","0","0","0","428,932","2,333,000","2,747,000","5,146,000","3,534,028","5,030,000","4,483,000","2,436,000","2,751,743","4,959,000","6,583,000","2,637,000","3,099,678",,"2,153,000","0","2,310,236","211,000","2,660,000",,"1,815,458","303,000","0","0","1,512,155","0"
		PrepaidAssets,"7,689,000","7,648,000","3,418,000","5,183,000","5,430,000","5,455,000","3,348,000","5,275,000","6,374,000","6,097,000","3,764,000","5,706,000","4,844,000","6,208,000","5,870,000","6,433,000","6,143,000","5,287,000","5,142,000","6,230,000","5,727,000","6,126,000","5,271,000","5,070,000","4,882,000","4,521,000","4,817,000","6,697,000","5,862,000","6,073,000","8,385,000","7,752,000","6,389,000","6,162,730","6,139,000","6,410,000","6,683,000","5,580,473","6,876,000","6,992,000","7,041,000","7,440,632","7,340,000","6,712,000","6,829,000","6,530,301",,,,"6,253,154",,,,"13,924,630","6,472,000",,,"14,983,104",,,,"14,513,444",,,,"3,417,413",,,,"3,407,932",,,,"3,523,241",,,,"4,038,736",,,,"3,992,775",
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","5,000,000","5,000,000","5,000,000","5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","13,371,000","13,135,000","13,022,000","12,560,907","13,556,000","11,264,000","11,323,000","10,644,689","12,188,000","12,193,000","12,192,000","11,800,778","12,601,000","12,622,000","12,399,000","11,793,734","11,911,000","11,810,000","11,583,000","11,287,126",,"6,531,000","6,274,000","6,172,133","5,360,000","6,708,000","8,790,000","10,993,999","7,444,000","6,703,000","7,597,000","7,642,205","6,795,000","5,889,000","5,439,000","4,949,450",,,,"1,933,301",,,,"645,177",,,,"4,398,198",
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","13,371,000","13,135,000","13,022,000","12,560,907","11,952,000","11,264,000","11,323,000","10,644,689","12,188,000","12,193,000","12,192,000","11,800,778","12,601,000","12,622,000","12,399,000","11,793,734","11,911,000","11,810,000","11,583,000","11,287,126",,"6,531,000","6,274,000","6,172,133","5,360,000","6,708,000","8,790,000","10,993,999","7,444,000","6,703,000","7,597,000","7,642,205","6,795,000","5,889,000","5,439,000","4,949,450",,,,"1,933,301",,,,"645,177",,,,"4,398,198",
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","46,970,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"641,000","638,000","3,318,000","868,000","575,000","1,355,000","1,995,000","1,985,000","1,726,000","1,689,000","1,496,000","1,729,000","1,593,000","2,364,000","1,821,000","1,210,000","1,093,000","963,000","1,654,000","1,249,000","1,857,000","2,198,000","1,555,000","1,714,000","1,462,000","2,032,000","1,539,000","1,020,000","693,000","1,055,000","1,072,000","749,000","1,393,000","793,197","672,000","663,000","674,000","1,049,275","731,000","637,000","638,000","701,244","553,000","556,000","640,000","649,249","20,130,000","17,984,000","21,364,000","9,713,358","8,629,000","12,676,000","15,690,000","1,773,508","18,962,000","17,209,000","18,187,000","2,356,056","18,151,000","17,615,000","18,904,000","2,448,680","17,310,000","14,229,000","22,148,000","19,153,423","22,562,000","23,438,000","13,172,000","9,791,803","11,832,000","12,305,000","12,826,000","7,115,831","12,219,000","11,909,000","11,170,000","6,727,118","14,513,000","17,358,000","18,365,000","5,101,812","12,525,000"
	TotalNonCurrentAssets,"224,128,000","224,536,000","207,147,000","208,248,000","172,619,000","173,862,000","175,397,000","177,649,000","196,349,000","199,017,000","204,303,000","209,726,000","254,951,000","232,098,000","250,695,000","253,501,000","256,325,000","258,800,000","254,674,000","181,975,000","182,259,000","182,767,000","181,326,000","179,931,000","205,284,000","207,352,000","180,002,000","190,234,000","192,202,000","193,950,000","205,370,000","205,779,000","165,322,000","164,309,648","158,155,000","158,802,000","165,760,000","160,555,470","194,623,000","213,386,000","229,202,000","231,103,261","235,465,000","237,601,000","238,832,000","243,793,264","257,599,000","258,034,000","246,773,000","250,381,384","264,903,000","268,151,000","262,147,000","264,469,415","497,891,000","397,171,000","393,391,000","386,168,036","386,954,000","366,599,000","358,262,000","357,807,317","355,106,000","341,159,000","340,543,000","340,909,055","341,909,000","341,296,000","339,360,000","339,307,307","347,557,000","347,869,000","348,381,000","347,434,667","349,720,000","350,503,000","264,522,000","262,521,952","262,896,000","262,131,000","260,872,000","256,916,312","265,401,000"
		NetPPE,"22,153,000","23,378,000","22,941,000","22,203,000","22,861,000","22,900,000","22,889,000","23,513,000","28,228,000","28,796,000","29,749,000","33,182,000","34,606,000","13,628,000","13,431,000","14,072,000","13,967,000","14,086,000","14,075,000","13,862,000","12,779,000","12,818,000","12,434,000","11,018,000","10,452,000","10,470,000","10,833,000","11,197,000","11,756,000","12,133,000","12,350,000","12,394,000","7,801,000","6,170,499","5,878,000","6,528,000","7,386,000","8,234,812","9,399,000","10,180,000","10,746,000","12,018,389","12,635,000","13,388,000","13,534,000","14,536,191","15,289,000","16,488,000","17,819,000","19,706,467","21,481,000","22,987,000","24,582,000","25,984,710","25,639,000","22,147,000","22,475,000","23,460,029","24,284,000","21,807,000","20,908,000","20,562,473","19,108,000","17,495,000","16,494,000","16,477,240","16,413,000","15,209,000","12,780,000","11,839,592","12,632,000","12,582,000","12,568,000","12,602,570","12,104,000","12,502,000","11,900,000","12,394,162","12,144,000","10,534,000","9,182,000","11,398,512","9,622,000"
			GrossPPE,"40,245,000","41,107,000","41,166,000","40,502,000","40,635,000","39,913,000","45,019,000","44,929,000","52,306,000","52,072,000","64,366,000","68,821,000","69,188,000","47,104,000","47,239,000","47,030,000","45,761,000","44,764,000","60,461,000","59,226,000","56,957,000","55,959,000","54,625,000","52,212,000","50,825,000","49,838,000","49,387,000","49,839,000","60,310,000","59,723,000","58,888,000","59,036,000","52,632,000","50,949,101","50,697,000","50,484,000","50,328,000","50,152,583","54,726,000","54,263,000","53,956,000","53,675,623","60,973,000","60,210,000","58,720,000","57,948,252","62,972,000","62,423,000","61,655,000","61,466,086","61,130,000",,,"59,236,794","51,761,000","48,269,000","48,597,000","49,581,605","44,288,000","41,811,000","40,912,000","40,566,212","34,499,000","32,886,000","31,885,000","31,868,624","26,923,000","25,719,000","23,290,343","22,349,935","29,880,000","29,830,000","29,816,000","29,850,654","25,033,000","25,431,000","24,829,000","25,322,773","20,930,000","19,320,000","17,968,000","20,184,313","14,647,000"
