name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
TotalAssets,"2,530,570,000","2,224,821,000","1,968,178,000","1,938,690,000","1,848,749,000","1,750,251,000","1,584,697,000","1,459,532,000","1,413,583,000","1,374,013,000","1,170,357,000","1,109,894,000","1,198,676,000","1,161,634,000","1,114,455,000","1,044,095,000","1,011,775,000","983,951,000","903,645,000","875,882,000","815,250,000","797,281,000","734,094,000","724,423,000","670,178,000","728,743,000","694,781,000","637,097,000","612,637,000","629,659,000","634,365,000","586,983,000","581,097,000","604,659,563","597,156,445","619,949,075","630,892,995","675,472,003","681,699,498","660,675,789","625,978,593","645,597,467","788,433,613","660,579,017","610,204,427","582,450,973","548,510,208","434,113,096","382,197,879","375,544,608"
	CurrentAssets,"845,201,000","638,585,000","502,191,000","483,836,000","485,779,000","490,715,000","456,579,000","422,426,000","438,092,000","425,192,000","341,082,000","348,681,000","280,331,000","310,969,000","300,961,000","294,425,000","279,413,000","287,078,000","245,215,000","216,935,000","199,283,000","226,061,000","236,578,000","243,438,000","226,009,000","263,698,000","256,271,000","227,109,000","210,194,000","226,735,000","244,739,000","224,029,000","220,350,000","249,832,120","254,416,001","242,223,533","244,350,400","297,842,841","268,164,012","263,347,437","246,604,068","283,062,460","310,817,685","261,652,198","217,240,921","211,709,821","220,896,792","164,310,402","152,314,584","171,772,421"
		CashCashEquivalentsAndShortTermInvestments,"68,288,000","50,450,000","57,115,000","58,807,000","80,971,000","66,422,000","45,351,000","41,881,000","40,351,000","33,223,000","34,104,000","38,343,000","25,487,000","61,397,000","64,539,000","27,952,000","34,125,000","24,262,000","29,559,000","27,131,000","24,453,000","20,607,000","18,357,000","15,277,000","17,102,000","21,645,000","21,256,000","19,319,000","17,662,000","23,762,000","23,486,000","16,408,000","20,740,000","17,170,736","18,790,233","17,629,963","20,963,260","63,347,645","26,176,800","28,909,987","38,435,362","26,277,366","31,734,749","59,782,193","29,349,636","44,691,021","29,266,001","21,134,396","24,361,479","47,927,540"
			CashAndCashEquivalents,"68,288,000","50,450,000","57,115,000","58,807,000","80,971,000","66,422,000","45,351,000","41,881,000","40,351,000","33,223,000","34,104,000","38,343,000","25,487,000","61,397,000","64,539,000","27,952,000","34,125,000","24,262,000","29,559,000","27,131,000","24,453,000","20,607,000","18,357,000","15,277,000","17,102,000","21,645,000","21,256,000","19,319,000","17,662,000","23,762,000","23,486,000","16,408,000","20,740,000","17,170,736","18,790,233","17,629,963","20,963,260","63,347,645","26,176,800","28,909,987","38,435,362","26,277,366","31,734,749","59,782,193","29,349,636","44,691,021","29,266,001","21,134,396","24,361,479","47,927,540"
		Receivables,"709,214,000","516,470,000","370,710,000","352,662,000","330,086,000","350,962,000","336,203,000","312,467,000","328,708,000","320,115,000","234,688,000","247,023,000","190,649,000","191,639,000","184,934,000","212,158,000","181,801,000","213,510,000","164,845,000","139,808,000","124,476,000","160,139,000","162,619,000","172,201,000","152,454,000","185,311,000","172,706,000","152,265,000","144,868,000","157,479,000","167,940,000","156,011,000","149,745,000","182,202,271","173,911,494","159,843,870","160,564,811","174,803,937","132,003,647","128,899,154","115,779,478","145,048,760","171,922,909","109,483,356","101,210,750","89,548,623","109,243,179","73,263,808","63,551,223","70,521,803"
			AccountsReceivable,"244,637,000","205,037,000","152,297,000","151,947,000","145,166,000","155,199,000","146,031,000","105,136,000","132,007,000","112,839,000","108,407,000","124,715,000","96,658,000","85,985,000","90,378,000","115,596,000","93,622,000","85,121,000","64,230,000","67,679,000","55,098,000","85,354,000","80,737,000","80,445,000","69,113,000","73,372,000","75,649,000","68,605,000","65,644,000","71,661,000","92,728,000","74,940,000","76,420,000","86,008,308","79,043,751","76,760,410","88,298,744","84,124,627","124,152,072","120,672,015","105,491,513","135,385,989","162,418,757","100,298,953","94,039,002","87,037,081","109,243,179","73,263,808","63,551,223","70,521,803"
				GrossAccountsReceivable,"246,902,000","207,300,000","154,603,000","154,258,000","147,476,000","157,465,000","147,011,000","107,124,000","134,127,000","115,099,000","110,994,000","127,558,000","99,471,000","88,750,000","93,815,000","119,055,000","96,915,000","88,436,000","68,046,000","71,585,000","62,471,000","93,190,000","88,718,000","86,402,000","73,478,000",,"78,444,000","71,283,000","68,437,000","74,512,000","94,826,000","76,526,000","78,047,000","87,527,396","80,663,268","78,281,042","89,522,850","85,299,085",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,265,000","-2,263,000","-2,306,000","-2,311,000","-2,310,000","-2,266,000","-980,000","-1,988,000","-2,120,000","-2,260,000","-2,587,000","-2,843,000","-2,813,000","-2,765,000","-3,437,000","-3,459,000","-3,293,000","-3,315,000","-3,816,000","-3,906,000","-7,373,000","-7,836,000","-7,981,000","-5,957,000","-4,365,000",,"-2,795,000","-2,678,000","-2,793,000","-2,851,000","-2,098,000","-1,586,000","-1,627,000","-1,519,088","-1,619,517","-1,520,632","-1,224,106","-1,174,458",,,,,,,,,,,,
			TaxesReceivable,"4,337,000","5,261,000","4,945,000","5,688,000","5,446,000","9,803,000","10,263,000","11,940,000","7,135,000","5,033,000","1,629,000","1,622,000","1,727,000","5,296,000","13,684,000","17,237,000","4,246,000","6,053,000","521,000","521,000","521,000","406,000",,"0","1,576,000","2,151,000","0","2,855,000","5,076,000","3,525,000","7,516,000","10,646,000","8,321,000","3,970,726","5,951,233","5,760,545","6,586,390","5,385,242","7,851,575","8,227,139","10,287,965","9,662,771","9,504,152","9,184,403","7,171,748","2,511,542",,,,
			OtherReceivables,"460,240,000","306,172,000","213,468,000","195,027,000","179,474,000","185,960,000","179,909,000","195,391,000","189,566,000","202,243,000","124,652,000","120,686,000","92,264,000","100,358,000","80,872,000","79,325,000","83,933,000","122,336,000","100,094,000","71,608,000","68,857,000","74,379,000","81,882,000","91,756,000","81,765,000","109,788,000","97,057,000","80,805,000","74,148,000","82,293,000","67,696,000","70,425,000","65,004,000","92,223,237","88,916,510","77,322,915","65,679,677","85,294,068","0","0","0",,"0","0","0","0","0","0","0","0"
