name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007
			CommonStockPayments,,,"0","0","0","0","0","0","0","-10,845,000","-2,015,000","-1,782,000","0","-1,246,000","-1,721,000","-1,432,000",,,"1,571,000","0","-150,000","-1,571,000","0","-17,000","0","-40,171,000","-1,000","-9,000","0","-1,307,000","-3,323,500","-13,236","0","-574,159","-2,315,347","0","0","-280,974",,,,,,,,,,,,,,,,,,,,,,
		CashDividendsPaid,"-66,414,000","-23,890,000","-14,295,000","-14,210,000","-14,019,000","-105,000","0","0","0","-25,585,000","-25,148,000","-24,866,000","-24,691,000","-24,969,000","-24,469,000","-24,489,000","-24,255,000","-24,343,000","-23,249,000","-22,764,000","-22,825,000","-22,808,000","-21,775,000","-21,774,000","-20,416,000","-20,070,000","-17,733,000","-17,561,000","-16,620,000","-16,687,000","-15,394,007","-15,192,407","-12,692,295","-12,303,947","-11,674,229","-10,838,627","-10,850,105","-9,896,866","-7,318,285","-7,223,064","-6,562,135","-5,954,011","-5,048,549","-4,167,510","-3,776,776","-3,357,135","-2,472,055","-2,508,277","-2,508,283","2,389",,,,,,,,,,
			CommonStockDividendPaid,"-66,414,000","-23,890,000","-14,295,000","-14,210,000","-14,019,000","-105,000","0","0","0","-25,585,000","-25,148,000","-24,866,000","-24,691,000","-24,969,000","-24,469,000","-24,489,000","-24,255,000","-24,343,000","-23,249,000","-22,764,000","-22,825,000","-22,808,000","-21,775,000","-21,774,000","-20,416,000","-20,070,000","-17,733,000","-17,561,000","-16,620,000","-16,687,000","-15,394,007","-15,192,407","-12,692,295","-12,303,947","-11,674,229","-10,838,627","-10,850,105","-9,896,866","-7,318,285","-7,223,064","-6,562,135","-5,954,011","-5,048,549","-4,167,510","-3,776,776","-3,357,135","-2,472,055","-2,508,277",,,,,,,,,,,,
		ProceedsFromStockOptionExercised,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","14,721,420","15,090,695","33,113,868","7,797,408","-5,720,680","1,083,031","54,193,312","143,913,364",,,,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-3,481,000","-2,756,000","-240,000","-114,000","-371,000","-1,920,000","-243,000","-1,142,000","-6,000","-2,610,000","-3,010,000","-207,000","-33,000","-2,018,000","-194,000","-258,000","-70,000","-1,448,000","-3,810,000","-2,480,000","-92,000","-259,000","-309,000","-6,442,000","-563,000","6,661,000","-7,246,000","-5,523,000","-317,000","-212,000","-3,174,426","-298,013","-9,172,115","-57,008","-2,279,810","-1,732,013","-1,888,215","-133,343","-520,408","-2,803,407","-402,121","-228,901","-3,481,831",,,,"-2,347,175",,,,,,,,"-1,500","0","-1,396","-45,999","-15,099,145",
EndCashPosition,"20,353,000","20,353,000","15,363,000","93,469,000","47,011,000","6,992,000","6,636,000","60,448,000","153,058,000","64,928,000","5,458,000","8,641,000","9,042,000","11,194,000","7,449,000","4,657,000","12,378,000","15,010,000","11,553,000","10,073,000","11,408,000","19,430,000","13,125,000","10,447,000","17,535,000","14,987,000","8,844,000","6,953,000","7,541,000","11,683,000","10,773,406","10,996,030","9,537,945","12,764,579","7,919,697","9,834,336","6,393,868","6,893,609","4,692,230","23,488,823","10,154,000","10,738,987","34,317,588","8,260,434","15,328,508","11,764,093","84,736,410","180,723,373","272,268,822","330,017,232","383,217,881","183,252","57,385","4,017","4,222","8,965","77,167","1,853,999","198,570","130,589"
	ChangesInCash,"13,361,000","4,990,000","-78,106,000","46,458,000","40,019,000","356,000","-53,812,000","-92,610,000","88,130,000","59,470,000","-3,183,000","-401,000","-2,152,000","3,745,000","2,792,000","-7,721,000","-2,632,000","-1,955,000","1,480,000","-1,335,000","-8,022,000","6,305,000","2,678,000","-7,088,000","2,548,000","6,143,000","1,891,000","-588,000","-4,142,000","910,000","-222,624","1,458,085","-3,226,634","4,844,882","-1,914,639","3,440,468","-499,741","2,201,379","-18,796,593","13,334,823","-584,987","-23,578,601","26,057,154","-7,068,074","3,564,415","-72,972,317","-95,986,963","-91,545,449","-57,748,410","-53,223,595","383,034,629","125,867","53,368","-205","-4,743","-68,202","-1,776,832","1,655,429","67,981","-94,411"
	BeginningCashPosition,"6,992,000","15,363,000","93,469,000","47,011,000","6,992,000","6,636,000","60,448,000","153,058,000","64,928,000","5,458,000","8,641,000","9,042,000","11,194,000","7,449,000","4,657,000","12,378,000","15,010,000","16,965,000","10,073,000","11,408,000","19,430,000","13,125,000","10,447,000","17,535,000","14,987,000","8,844,000","6,953,000","7,541,000","11,683,000","10,773,000","10,996,030","9,537,945","12,764,579","7,919,697","9,834,336","6,393,868","6,893,609","4,692,230","23,488,823","10,154,000","10,738,987","34,317,588","8,260,434","15,328,508","11,764,093","84,736,410","180,723,373","272,268,822","330,017,232","383,240,827","183,252","57,385","4,017","4,222","8,965","77,167","1,853,999","198,570","130,589","225,000"
CapitalExpenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-42,250,987","-50,895,910","-38,075,265","-19,759,783","-110,025,225","-26,947,799","-58,281,019","-28,445,946","-80,439,180","-54,382,056","-48,918,559",,,,,,,,,,
IssuanceOfCapitalStock,"84,115,000","14,513,000","23,541,000","11,217,000","34,844,000","428,000","0",,,,"19,241,000","16,863,000","0","0","124,000","24,340,000","0","1,508,000","4,481,000","1,000","0","43,000","0","144,917,000","39,964,000","0","0","91,357,000","0","9,936,000","0","0",,,"0","0","0","0","951,625","23,481,568","10,822,065","2,556,422","81,672,515",,,,,,,,,,"0","0",,,,,"422,000,000","0"
IssuanceOfDebt,"54,000,000","24,000,000","10,000,000","0","20,000,000","0","0","0","80,000,000","80,000,000","50,000,000","8,000,000","21,000,000","22,000,000","36,000,000","31,000,000","65,000,000","45,000,000","331,500,000","53,000,000","94,000,000","99,000,000","90,000,000","213,000,000","180,500,000","49,000,000","124,000,000","476,000,000","59,000,000","106,500,000","477,500,000","20,000,000","222,300,000","76,000,000","337,025,000","69,600,000","150,150,000","32,000,000","119,000,000","26,000,000","49,000,000","15,000,000","0","115,110,258","12,000,000","13,000,000",,,,,,,,,,,,,,
RepaymentOfDebt,"-82,203,000","-37,639,000","-10,263,000","-152,000","-34,149,000","-34,152,000","-55,648,000","-130,145,000","-142,000","-10,642,000","-58,141,000","-67,137,000","-12,135,000","-36,138,000","-17,134,000","-94,985,000","-32,676,000","-39,317,000","-255,206,000","-17,144,000","-8,309,000","-10,189,000","-186,000","-338,682,000","-23,818,000","-15,130,000","-23,877,000","-458,543,000","-27,970,000","-24,918,000","-410,254,362","-26,984,697","-223,492,319","-11,000,544","-216,238,626","-6,951,293","-63,347,269","-133,365,198","-266,134","-280,338","-7,065,057","-263,089","-30,436,790","-11,593,512","-180,405","-176,499",,,,,,,,,,,,,,
RepurchaseOfCapitalStock,,,"0","0","0","0","0","0","0","-10,845,000","-2,015,000","-1,782,000","0","-1,246,000","-1,721,000","-1,432,000",,,"1,571,000","0","-150,000","-1,571,000","0","-17,000","0","-40,171,000","-1,000","-9,000","0","-1,307,000","-3,323,500","-13,236","0","-574,159","-2,315,347","0","0","-280,974",,,,,,,,,,,,,,,,,,,,,,
FreeCashFlow,"140,553,000","47,771,000","21,168,000","48,424,000","23,190,000","43,550,000","13,734,000","43,960,000","8,259,000","40,707,000","20,804,000","48,854,000","22,191,000","40,190,000","20,264,000","43,742,000","22,489,000","44,423,000","24,961,000","39,526,000","24,195,000","39,613,000","16,173,000","41,671,000","21,325,000","35,513,000","12,322,000","31,570,000","14,312,000","28,713,000","12,764,242","23,001,173","13,174,459","16,267,053","4,408,836","15,600,761","13,329,247","4,413,621","136,746,184","-32,934,880","-45,129,580","-33,961,158","-16,296,814","-102,755,131","-24,430,696","-54,244,988","-26,144,053","-76,777,945","-54,820,613","-52,137,860","-21,930,873","-1,004,525","-905,999","-317,755","-494,858","-68,202","-4,525,936","-98,572","-175,993","0"
