name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009
OperatingCashFlow,"-733,771,000","-207,290,000","-181,734,000","-386,701,000","41,954,000","203,571,000","-164,872,000","102,135,000","105,256,000","92,480,000","-112,187,000","-38,181,000","52,715,000","-17,092,000","-116,099,000","30,374,000","-9,641,000","-17,649,000","-11,634,000","132,911,000","-38,804,000","-18,028,000","-13,884,000","-17,365,000","12,836,000","-74,566,000","23,017,000","67,405,000","-120,315,000","-9,493,000","-40,847,000","-1,020,000","-51,688,000","-63,966,000","-138,899,000","-40,581,000","-165,124,000","-19,372,000","-72,530,000","-26,673,000","289,000","-35,320,000","-96,562,000","-10,264,000","-66,754,000","-3,124,000","-37,987,000","-54,085,000","20,952,000","62,087,000","36,964,000","31,145,000","16,310,000"
	CashFlowFromContinuingOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"289,000","-35,320,000","-96,562,000","-10,264,000","-66,754,000","-3,124,000","-37,987,000","-54,085,000","20,952,000","62,087,000","36,964,000","31,145,000","16,310,000"
		NetIncomeFromContinuingOperations,"284,477,000","66,873,000","63,078,000","71,633,000","82,893,000","91,315,000","94,439,000","94,645,000","142,143,000","-228,964,000","47,048,000","-74,006,000","19,200,000","17,788,000","18,439,000","15,903,000","21,720,000","23,032,000","21,315,000","22,453,000","20,111,000","20,740,000","18,984,000","16,099,000","18,289,000","14,177,000","20,639,000","19,470,000","18,288,000","17,861,000","15,172,000","20,182,000","16,280,000","14,089,000","14,837,000","12,293,000","12,657,000","12,251,000","9,319,000","8,746,000","5,393,000",,,,"6,520,000",,,,,,,,
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,212,000","45,401,000","44,991,000","28,941,000","79,555,000","44,689,000","62,702,000","68,139,000","35,030,000","30,609,000","52,320,000","54,957,000","12,340,000"
			NetForeignCurrencyExchangeGainLoss,"-4,026,000","-3,388,000","-243,000","-1,686,000","1,291,000","-255,000","2,152,000","1,977,000","1,221,000","-3,670,000","3,180,000","-903,000","334,000","19,000","-151,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-1,024,682,000","-274,351,000","-247,712,000","-457,599,000","-45,020,000","108,243,000","-268,926,000","2,153,000","-51,281,000","353,600,000","-160,131,000","4,147,000","34,059,000","-32,729,000","-130,611,000","15,906,000","-38,571,000","-32,264,000","-38,869,000","121,090,000","-66,451,000","-36,556,000","-30,818,000","-30,862,000","-16,281,000","-76,131,000","2,896,000","42,521,000","-146,269,000","-15,972,000","-51,144,000","-16,827,000","-69,157,000","-73,886,000","-154,296,000","-55,577,000","-173,514,000","-16,801,000","-89,457,000","-331,440,000","34,198,000","46,679,000","44,727,000","26,944,000","79,627,000","45,169,000","64,147,000","63,931,000","35,030,000","32,387,000","50,542,000","15,943,000","12,340,000"
		DepreciationAmortizationDepletion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147,000",,,,"840,000",,
			DepreciationAndAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147,000",,,,"840,000",,
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147,000",,,,"840,000",,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-692,000","-933,000","-750,000","-644,000","-766,000","-168,000","-2,648,000","-940,000","-1,733,000","-1,755,000","-3,092,000","-1,976,000","-1,679,000"
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,443,000","-6,459,000","-1,700,000","3,510,000","-497,000",,,"-1,936,000","100,000",,,"-2,970,000","-2,015,000"
		OtherNonCashItems,"77,000","-4,710,000","-2,315,000","3,567,000","3,535,000","5,217,000","5,485,000","12,934,000","13,779,000","-20,126,000","6,568,000","25,455,000","-1,583,000","-3,338,000","-4,358,000","689,000","670,000","-3,530,000","1,306,000","-3,496,000","-509,000","-351,000","-4,023,000","-284,000","451,000","-6,108,000","-325,000","-364,000","-238,000","-5,277,000","-923,000","-4,891,000","-1,009,000","692,000","-420,000","-765,000","-5,476,000","-2,583,000","-5,607,000","287,605,000","-57,775,000","-98,020,000","-139,586,000","-29,431,000","-127,625,000","-57,286,000","-91,616,000","-152,388,000","2,219,000","-2,271,000","8,342,000","-39,223,000","10,664,000"
		ChangeInWorkingCapital,"10,383,000","8,286,000","5,458,000","-2,616,000","-745,000","-949,000","1,978,000","-9,574,000","-606,000","-8,360,000","-8,852,000","7,126,000","705,000","1,168,000","582,000","-2,210,000","6,626,000","-4,887,000","4,614,000","-7,136,000","8,045,000","-1,861,000","1,973,000","-2,318,000","10,377,000","-6,504,000","-193,000","5,778,000","7,904,000","-6,105,000","-3,952,000","516,000","2,198,000","-4,861,000","980,000","3,468,000","1,209,000","-12,239,000","13,215,000","325,000","15,708,000","7,070,000","483,000","5,718,000","-23,941,000","-2,551,000","-6,572,000","6,792,000","622,000","22,143,000","-21,446,000","340,000","83,000"
			ChangeInReceivables,"-2,865,000","3,040,000","-5,933,000","-1,159,000","1,187,000","242,000","-1,106,000","1,067,000","-3,703,000","91,000","2,283,000","13,754,000","770,000","-1,069,000","315,000","-201,000","1,177,000","-1,104,000","-265,000","917,000","-1,175,000","-352,000","274,000","-228,000","5,136,000","117,000","-5,260,000","4,394,000","4,085,000","-5,762,000","-2,626,000","-569,000","-264,000","-780,000","138,000","1,204,000","-1,242,000","-1,033,000","661,000","-13,000","-177,000","923,000","-1,576,000","27,986,000","-24,479,000","-1,481,000","-3,133,000","-210,000","-38,000","21,225,000","-20,735,000","16,000","138,000"
			ChangeInPayablesAndAccruedExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,343,000","5,512,000","1,916,000","-1,010,000","894,000","-1,297,000","-3,383,000","6,907,000","928,000","943,000","-724,000","308,000","-63,000"
