name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013
		NetIssuancePaymentsOfDebt,"24,386,000","127,807,000","-123,026,000","25,632,000","-6,027,000","-45,125,000","382,757,000","-223,206,000","-173,605,000","295,326,000","-91,556,000","-29,752,000","-54,103,000","-7,715,000","-53,209,000","-77,097,000","-70,634,000","-35,729,000","-56,734,000","1,829,067,000","-15,000,000","-10,000,000","0","25,000,000","0","-30,000,000","29,946,000","-57,000","50,920,000","-1,262,000","-206,887,000","-842,000","-800,000","-6,266,000","-980,000","-890,000"
			NetLongTermDebtIssuance,"-105,614,000","-2,193,000","-93,026,000","-4,368,000","-6,027,000","-45,125,000","382,757,000","-73,206,000","-23,605,000","-4,674,000","-91,556,000","-29,752,000","-54,103,000","-7,715,000","-53,209,000","-77,097,000","-70,634,000","-35,729,000","-56,734,000","1,829,067,000","-15,000,000","-25,000,000","0","0","0","0","-54,000","-57,000","50,920,000","-1,262,000","-206,887,000","-842,000","-800,000","-6,266,000","-980,000","-890,000"
				LongTermDebtIssuance,"529,505,000","0","35,000,000","0","494,505,000","65,000,000","600,000,000","25,000,000","0","6,600,000","398,620,000","89,800,000","11,700,000","209,695,000","4,100,000",,,"0","0","2,598,000,000","0","15,000,000","0","0",,,"0","0",,,"288,365,000","0",,,"0","0"
				LongTermDebtPayments,"-635,119,000","-2,193,000","-128,026,000","-4,368,000","-500,532,000","-110,125,000","-217,243,000","-98,206,000","-23,605,000","-11,274,000","-490,176,000","-119,552,000","-65,803,000","-217,410,000","-57,309,000","-260,697,000","-70,634,000","-35,729,000","-56,734,000","-768,933,000","-15,000,000","-25,000,000","0","0","0","0","-54,000","-57,000","-474,080,000","-1,262,000","-495,252,000","-842,000","-800,000","-6,266,000","-980,000","-890,000"
			NetShortTermDebtIssuance,"130,000,000","130,000,000","-30,000,000","30,000,000","0","0","0","-150,000,000","-150,000,000","300,000,000",,,,,"0",,,"0","0","0","-15,000,000","-10,000,000","0","25,000,000","0","-30,000,000",,,,,,,,,,
				ShortTermDebtIssuance,"210,000,000","130,000,000","50,000,000","30,000,000","0","0","0","0","0","300,000,000",,,,,"0",,,"0","0","0","0","15,000,000","0","85,000,000",,,,,,,,,,,,
				ShortTermDebtPayments,,,"-80,000,000","0",,,"0","-150,000,000",,,,,,,"0",,,"0","0","0","-15,000,000","-25,000,000","0","-60,000,000","-15,000,000","-30,000,000",,,,,,,,,,
		NetCommonStockIssuance,"-222,977,000","-149,961,000","0","0","-73,016,000","-44,505,000","-8,122,000","-30,000,000","0","-32,029,000","0","-7,045,000","-23,055,000","-26,616,000","0","0","-37,492,000","-37,493,000","0",,,,"0","-64,500,000",,,"-135,501,000","-403,000",,,"152,729,000","-19,000",,,"-965,000","-413,000"
			CommonStockPayments,"-222,977,000","-149,961,000","0","0","-73,016,000","-44,505,000","-8,122,000","-30,000,000","0","-32,029,000","0","-7,045,000","-23,055,000","-26,616,000","0","0","-37,492,000","-37,493,000","0",,,,"0","-64,500,000",,,"-135,501,000","-403,000",,,"-3,384,000","-19,000",,,"-965,000","-413,000"
		CashDividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-125,000","-125,000","-125,000","-125,000","-125,000"
			CommonStockDividendPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-125,000","-125,000","-125,000","-125,000","-125,000"
		ProceedsFromStockOptionExercised,"28,827,000","11,483,000","1,925,000","11,741,000","3,678,000","10,804,000","1,595,000","10,189,000","426,000","12,358,000","647,000","15,298,000","4,653,000","19,724,000","3,779,000","10,584,000","1,790,000","5,668,000","2,287,000","10,797,000","1,098,000","5,153,000","3,476,000","5,290,000","5,566,000","3,559,000","2,598,000","1,058,000",,,"37,000","96,000",,,"12,000","-12,000"
		NetOtherFinancingCharges,"-33,019,000","-25,901,000","-993,000","-2,033,000","-4,092,000","-32,540,000","-9,789,000","-1,397,000","-501,000","-45,737,000","-675,000","-2,471,000","-1,072,000","-11,731,000","-23,249,000","-470,000","-3,481,000","-2,323,000","-1,433,000","-29,688,000","-6,000","-1,173,000","-14,000","-1,656,000","-26,000","-11,000","942,000","-2,589,000",,,,,,,"0",
EndCashPosition,"109,921,000","119,151,000","106,475,000","122,535,000","261,135,000","264,689,000","272,173,000","248,896,000","343,030,000","335,960,000","163,689,000","129,204,000","107,256,000","107,921,000","155,932,000","134,604,000","173,719,000","188,955,000","321,262,000","304,327,000","169,654,000","164,405,000","102,471,000","102,948,000","91,916,000","53,181,000","85,011,000","136,091,000","98,511,000","156,349,000","126,453,000","185,803,000","155,549,000","114,159,000","96,972,000","77,910,000"
	ChangesInCash,"-154,768,000","8,818,000","-16,279,000","-145,058,000","-2,249,000","-4,059,000","22,035,000","-96,484,000","1,432,000","172,691,000","47,175,000","21,643,000","3,622,000","-51,089,000","28,137,000","-42,424,000","-8,958,000","-138,148,000","16,704,000","130,493,000","3,415,000","59,107,000","3,143,000","9,546,000","43,846,000","-31,872,000","-47,943,000","39,960,000","-57,286,000","37,499,000","-53,178,000","31,242,000","39,939,000","17,893,000","17,650,000","7,859,000"
	EffectOfExchangeRateChanges,"9,230,000","3,858,000","219,000","6,458,000","-1,305,000","-3,425,000","1,242,000","2,350,000","5,638,000","-420,000","-12,690,000","305,000","-4,287,000","3,078,000","-6,809,000","3,309,000","-6,278,000","5,127,000","231,000","4,180,000","1,834,000","2,827,000","-3,620,000","1,486,000","-5,111,000","42,000","-3,137,000","-2,380,000","-552,000","-7,603,000","-6,172,000","-988,000","1,451,000","-706,000","1,412,000","1,240,000"
	BeginningCashPosition,"264,689,000","106,475,000","122,535,000","261,135,000","264,689,000","272,173,000","248,896,000","343,030,000","335,960,000","163,689,000","129,204,000","107,256,000","107,921,000","155,932,000","134,604,000","173,719,000","188,955,000","321,976,000","304,327,000","169,654,000","164,405,000","102,471,000","102,948,000","91,916,000","53,181,000","85,011,000","136,091,000","98,511,000","156,349,000","126,453,000","185,803,000","155,549,000","114,159,000","96,972,000","77,910,000","68,811,000"
CapitalExpenditure,"-69,142,000","-23,474,000","-26,924,000","-7,580,000","-11,164,000","-11,173,000","-11,517,000","-8,415,000","-18,208,000","-11,870,000","-13,328,000","-22,579,000","-16,621,000","-11,445,000","-11,632,000","-10,377,000","-11,300,000","-21,286,000","-15,743,000","-12,179,000","-5,403,000","-10,571,000","-14,527,000","-5,336,000","-6,716,000","-4,774,000","-9,546,000","-3,896,000","-2,799,000","-4,870,000","-7,812,000","-4,800,000","-8,315,000","-4,624,000","-5,155,000","-5,318,000"
IssuanceOfDebt,"739,505,000","130,000,000","85,000,000","30,000,000","494,505,000","65,000,000","600,000,000","25,000,000","0","306,600,000","398,620,000","89,800,000","11,700,000","209,695,000","4,100,000",,,"0","0","2,598,000,000","0","15,000,000","0","85,000,000",,,"45,000,000","0",,,"288,365,000","0",,,"0","0"
RepaymentOfDebt,"-715,119,000","-2,193,000","-208,026,000","-4,368,000","-500,532,000","-110,125,000","-217,243,000","-248,206,000","-173,605,000","-11,274,000","-490,176,000","-119,552,000","-65,803,000","-217,410,000","-57,309,000","-260,697,000","-70,634,000","-35,729,000","-56,734,000","-768,933,000","-15,000,000","-25,000,000","0","-60,000,000","-15,000,000","-30,000,000","-15,054,000","-57,000","-474,080,000","-1,262,000","-495,252,000","-842,000","-800,000","-6,266,000","-980,000","-890,000"
RepurchaseOfCapitalStock,"-222,977,000","-149,961,000","0","0","-73,016,000","-44,505,000","-8,122,000","-30,000,000","0","-32,029,000","0","-7,045,000","-23,055,000","-26,616,000","0","0","-37,492,000","-37,493,000","0",,,,"0","-64,500,000",,,"-135,501,000","-403,000",,,"-3,384,000","-19,000",,,"-965,000","-413,000"
FreeCashFlow,"324,935,000","47,413,000","159,055,000","40,924,000","77,543,000","115,915,000","102,809,000","147,587,000","175,564,000","-50,477,000","147,220,000","51,840,000","80,199,000","-24,751,000","100,816,000","115,449,000","100,859,000","-68,271,000","72,769,000","-857,000","17,323,000","65,127,000","-319,000","45,412,000","38,306,000","-5,420,000","54,072,000","41,951,000","48,845,000","38,761,000","6,307,000","32,132,000","40,871,000","26,586,000","19,708,000","10,565,000"
