name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,12/31/2018
TotalAssets,"2,529,015,000","2,380,794,000","2,194,173,000","2,076,733,000","1,952,074,000","1,890,285,000","1,814,284,000","1,783,706,000","1,066,656,000","1,038,041,000","1,006,753,000","261,759,000","179,750,000"
	CurrentAssets,"2,003,671,000","1,870,948,000","1,736,336,000","1,642,386,000","1,746,857,000","1,718,080,000","1,652,975,000","1,626,072,000","933,065,000","903,942,000","872,476,000","145,934,000","121,951,000"
		CashCashEquivalentsAndShortTermInvestments,"1,671,009,000","1,554,446,000","1,467,126,000","1,410,159,000","1,547,896,000","1,517,459,000","1,494,784,000","1,465,799,000","794,734,000","773,971,000","760,945,000","52,286,000","53,639,000"
			CashAndCashEquivalents,"271,686,000","270,973,000","286,966,000","247,442,000","369,706,000","224,927,000","198,523,000","206,202,000","194,350,000","597,297,000","760,945,000","52,286,000","53,639,000"
			OtherShortTermInvestments,"1,399,323,000","1,283,473,000","1,180,160,000","1,162,717,000","1,178,190,000","1,292,532,000","1,296,261,000","1,259,597,000","600,384,000","176,674,000",,,
		Receivables,"275,342,000","275,592,000","224,602,000","188,326,000","154,111,000","171,195,000","120,992,000","124,078,000","108,437,000","104,972,000","90,953,000","69,703,000","56,348,000"
			AccountsReceivable,"275,342,000","268,824,000","224,602,000","188,326,000","154,111,000","163,359,000","120,992,000","124,078,000","108,437,000","102,394,000","87,208,000","67,447,000","55,822,000"
				GrossAccountsReceivable,"278,767,000","271,821,000","227,119,000","190,593,000","156,428,000","165,827,000","123,581,000","126,352,000","110,086,000","103,211,000","87,724,000","67,954,000","56,299,000"
				AllowanceForDoubtfulAccountsReceivable,"-3,425,000","-2,997,000","-2,517,000","-2,267,000","-2,317,000","-2,468,000","-2,589,000","-2,274,000","-1,649,000","-817,000","-516,000","-507,000","-477,000"
			OtherReceivables,,"6,768,000",,,,"7,836,000",,,,"2,578,000","3,745,000","2,256,000","526,000"
		PrepaidAssets,"32,632,000","17,675,000","24,675,000","26,289,000","29,404,000","15,788,000","25,655,000","25,268,000","20,580,000","16,217,000","13,952,000","15,678,000","8,247,000"
		RestrictedCash,,,,,,"0",,,,"436,000","475,000","3,201,000","0"
		CurrentDeferredAssets,"24,688,000","23,235,000","19,933,000","17,612,000","15,446,000","13,638,000","11,544,000","10,927,000","9,314,000","8,346,000","6,151,000","5,066,000","3,717,000"
