name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999
MarketCap,"6,496,504,039","7,471,618,322","15,548,454,964","11,757,546,606","11,789,382,298","10,560,182,189","9,694,734,391","8,290,254,186","7,528,191,850","4,636,352,242","5,234,676,003","5,306,126,764","4,194,584,867","3,621,452,868","3,475,626,122","4,520,776,978","3,684,453,609","3,200,531,471","3,189,363,718","2,648,606,706","1,989,603,532","2,040,168,766","1,893,001,227","1,726,040,870","1,318,332,643","1,405,812,925","1,175,608,321","1,028,735,849","1,584,311,378","1,749,314,438","1,363,416,837","1,106,347,754","921,569,300","1,227,462,457","1,331,157,790","826,077,437","816,119,876","845,178,365","633,300,654","573,139,195","472,375,026","502,037,371","357,277,440","249,982,271","381,505,206","507,398,978","370,373,727","294,757,972","309,327,598","329,036,609","301,783,022","280,061,909","205,329,494","117,475,928","252,141,604","277,417,038","180,136,249","119,569,102","128,303,040","167,653,326","296,334,676","324,908,196","341,378,919","361,954,779","385,493,659","474,581,619","417,655,355","357,287,832","382,458,841","660,130,046","778,409,920","655,715,774","555,710,049","501,714,882","558,390,733","456,030,760","576,045,638","473,045,742","504,709,198","386,999,969","448,543,442","337,815,397","268,424,789","246,937,131","272,297,583","438,406,541","356,026,823","428,410,381","706,566,200","540,204,750","377,736,750","375,009,375","358,168,125"
EnterpriseValue,"6,419,492,039","7,365,894,322","15,531,349,964","11,840,340,606","11,951,711,298","10,473,768,189","9,712,796,391","8,316,099,186","7,590,903,850","4,528,840,242","5,144,017,003","5,243,955,764","4,267,300,867","3,515,753,868","3,368,313,122","4,526,375,978","3,766,254,609","3,170,017,471","3,163,822,718","2,640,030,706","2,064,836,532","2,021,504,766","1,870,064,227","1,766,487,870","1,456,028,643","1,406,817,925","1,221,576,321","1,062,086,849","1,665,755,378","1,739,770,438","1,362,575,837","1,135,775,754","997,840,300","1,223,690,457","1,311,574,790","810,494,437","886,217,876","848,019,365","636,141,654","639,443,195","593,394,026","583,936,371","391,326,440","284,031,271","448,976,206","579,948,978","427,886,727","334,405,972","367,876,598","430,415,609","359,448,022","320,850,909","263,101,494","200,746,928","360,686,604","366,697,038","294,798,249","273,903,102","261,165,040","282,706,326","434,065,676","428,873,196","403,112,919","415,431,779","438,970,659","552,274,619","472,735,355","412,367,832","443,666,841","740,739,046","832,981,920","647,578,774","570,763,049","533,357,882","606,817,733","482,612,760","609,206,638","497,130,742","547,785,198","415,419,969","511,680,442","423,909,397","354,518,789","327,048,131","353,655,583","499,805,541","390,320,823","449,991,381","728,147,200","550,716,750","394,636,750","386,009,375","369,068,125"
PeRatio,"28.695","36.294","68.893","60.314","65.102","60.623","58.139","49.895","48.898","32.445","39.249","43.928","32.74","26.982","27.481","38.49","35.563","33.78","35.772","34.51","27.616","30.301","30.962","29.959","25.669","31.533","26.789","21.095","34.09","42.937","27.471","41.651","38.427","36.218","86.446","55.652","73.062","307.375","232.688","682.4",,,"60.289","42.184",,,,,,,,,"232.441","84.778","18.289",,,,,,"140.214","134.563","58.692","56.186","60.209",,"34.63","29.63","27.053","25.233","28.656","24.464","22.47","24.898","26.559","22.5","27.069","23.057","30.431","24.855","57.091","36.969","29.672","17.45","13.75","22.801","17.738","24.25","40","38.25","27.296","50.118","47.877"
ForwardPeRatio,"22.989","26.738","53.192","41.152","52.91","50","45.045","46.296","52.356","25.84","29.94","30.769","28.986","22.371","22.321","29.07","29.07","25.317","30.488","25.381","24.155","24.753","23.753","22.222","21.93","21.882","20.04","16.026","22.173","54.645","42.553","34.602","28.818","36.63","35.971","24.51","35.587","65.36","434.783","20.877","108.696","13.495","17.921","10.965","11.737","15.823","25.063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.554","1.994","1.619","1.35","1.713","1.682","1.147","0.777","1.432","9.677","0.456","2.38","0.295","0.543","0.653","0.299","0.704","1.113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"5.135","6.318","13.953","11.627","12.815","12.082","11.93","10.711","9.937","6.307","7.33","7.733","6.105","5.311","5.267","7.112","6.261","5.692","5.952","5.277","4.054","4.284","4.07","3.875","3.095","3.445","2.856","2.503","3.886","4.56","3.698","3.25","2.925","3.66","4.222","2.642","2.56","2.731","2.067","1.705","1.58","1.85","1.273","0.891","1.391","1.589","1.145","0.985","1.044","1.214","1.084","1.097","0.74","0.416","0.756","0.825","0.567","0.353","0.385","0.481","0.842","0.952","0.978","1.032","1.106","1.522","1.494","1.278","1.436","2.472","3.067","2.662","2.504","2.535","2.928","2.413","2.917","2.555","3.06","2.393","3.528","2.871","2.305","2.207","2.236","3.74","3.2","4.048","6.678","6.005","4.626","9.103","8.696"
PbRatio,"9.01","10.305","21.571","18.123","19.977","17.943","17.819","16.592","16.666","10.322","12.359","13.552","11.538","10.5","10.575","15.178","14.036","13.836","15.076","13.899","12.363","15.207","15.71","15.374","15.058","12.071","10.885","6.791","12.044","15.428","12.729","11.437","7.359","11.513","14.19","6.315","6.989","8.987","6.738","5.134","4.532","5.439","3.242","2.267","3.465","4.702","3.599","2.463","2.431","2.716","2.403","2.29","1.43","0.856","2.303","2.325","1.611","1.16","1.365","0.961","1.734","1.918","1.871","2.039","2.171","2.799","2.402","2.055","2.277","3.914","4.88","4.138","3.736","3.671","4.39","3.595","4.753","4.137","5.11","3.876","5.06","4.12","3.274","3.224","3.583","6.35","5.241","6.833","11.27","9.561","7.646","7.748","7.959"
EnterprisesValueRevenueRatio,"4.974","21.714","51.097","35.253","38.356","42.659","42.547","35.922","34.403","22.6","31.219","26.954","20.67","19.579","24.064","27.205","18.222","18.516","25.888","18.831","13.073","13.96","19.618","16.639","9.942","10.684","13.694","11.296","12.178","14.402","18.363","11.893","8.225","12.158","20.548","11.218","8.992","7.861","13.783","9.029","6.294","6.076","7.604","4.182","5.726","8.404","5.685","5.52","3.185","6.488","7.016","5.179","2.877","2.967","12.315","4.295","3.103","2.292","8.622","4.419","3.654","3.7","12.555","5.319","3.614","5.245","10.746","5.33","5.354","8.239","28.128","10.063","6.843","6.994","27.698","11.707","10.291","7.239","27.896","8.389","11.142","8.153","20.77","10.95","12.755","11.845","20.685","17.944","20.479","14.468","32.347","19.3","18.64"
EnterprisesValueEBITDARatio,"16.373","69.869","180.007","109.635","130.426","147.701","152.583","135.283","112.525","76.778","103.308","89.423","83.393","82.483","94.438","105.562","60.551","60.359","105.055","75.609","42.537","44.269","80.04","125.8","36.217","34.444","73.065","105.754","49.373","55.601","109.111","62.214","34.957","51.541","161.167","-72.88","50.049","32.389","683.289","-67.359","34.838","27.527","-34.704","30.783","40.368","51.473","70.469","2,259.5","24.475","93.793","64.894","-26.336","15.24","31.839","-203.204","24.874","18.268","14.54","-9.954","-5.071","36.964","33.711","-25.93","33.309","26.264","43.541","-45.307","36.268","215.059","41.873","225.313","41.525","26.023","27.503","183.828","39.094","42.745","24.288","427.957","30.294","29.961","25.905","7.927","41.341","115.235","30.103","106.21","44.29","61.828","41.902","123.324","48.862","64.749"
