name,ttm,03/31/2022,12/31/2021,09/30/2021
MarketCap,"1,248,556,573","1,760,578,865","1,190,433,816","1,000,925,873"
EnterpriseValue,"1,562,987,573","2,025,492,865","1,374,589,816","1,000,925,873"
PsRatio,"9.882","16.805","46.918",
EnterprisesValueRevenueRatio,"12.388","37.418","24.936","84.961"
EnterprisesValueEBITDARatio,"-55.296","-105.869","94.701","-60.242"
