name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018
TotalRevenue,"228,296,000","63,354,000","58,020,000","55,915,000","51,007,000","48,291,000","41,808,000","38,464,000","35,009,000","33,396,000","32,816,000","32,843,000","30,816,168","28,309,734","26,482,805","24,756,000","24,778,828","23,871,235"
	OperatingRevenue,"228,296,000","63,354,000","58,020,000","55,915,000","51,007,000","48,291,000","41,808,000","38,464,000","35,009,000","33,396,000","32,816,000","32,843,000","30,816,168","28,309,734","26,482,805","24,756,000","24,778,828","23,871,235"
CostOfRevenue,"89,673,000","26,544,000","22,356,000","21,093,000","19,680,000","18,259,000","14,784,000","14,002,000","12,018,000","11,582,000","11,174,000","11,290,000","11,310,878","10,945,043","10,056,166","9,198,000","8,930,303","8,813,027"
GrossProfit,"138,623,000","36,810,000","35,664,000","34,822,000","31,327,000","30,032,000","27,024,000","24,462,000","22,991,000","21,814,000","21,642,000","21,553,000","19,505,290","17,364,691","16,426,639","15,558,000","15,848,525","15,058,208"
OperatingExpense,"295,380,000","87,403,000","82,280,000","70,562,000","55,135,000","40,685,000","35,305,000","30,576,000","29,301,000","26,780,000","26,314,000","23,784,000","23,645,657","21,619,223","19,725,315","18,594,000","17,097,406","16,968,174"
	SellingGeneralAndAdministration,"208,298,000","60,886,000","58,944,000","50,057,000","38,411,000","27,683,000","24,698,000","20,851,000","19,729,000","18,154,000","17,796,000","15,532,000","15,540,316","13,946,440","12,353,226","11,735,000","11,178,440","11,175,023"
		GeneralAndAdministrativeExpense,"76,858,000","20,855,000","21,738,000","18,021,000","16,244,000","12,671,000","11,739,000","10,370,000","9,631,000","8,720,000","9,609,000","7,184,000","7,420,179","6,244,827","5,957,583","4,540,000","4,649,510","4,928,019"
			OtherGandA,"76,858,000","20,855,000","21,738,000","18,021,000","16,244,000","12,671,000","11,739,000","10,370,000","9,631,000","8,720,000","9,609,000","7,184,000","7,420,179","6,244,827","5,957,583","4,540,000","4,649,510","4,928,019"
		SellingAndMarketingExpense,"131,440,000","40,031,000","37,206,000","32,036,000","22,167,000","15,012,000","12,959,000","10,481,000","10,098,000","9,434,000","8,187,000","8,348,000","8,120,137","7,701,613","6,395,643","7,195,000","6,528,930","6,247,004"
	ResearchAndDevelopment,"64,846,000","20,635,000","17,495,000","15,273,000","11,443,000","8,054,000","6,355,000","5,732,000","5,530,000","5,005,000","4,861,000","4,774,000","4,689,990","4,298,682","4,205,275","3,856,000","3,178,921","3,108,538"
