name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997
TotalAssets,"1,306,971,000","1,283,580,000","1,280,397,000","1,227,833,000","1,194,246,000","1,193,898,000","994,255,000","966,971,000","957,640,000","932,182,000","935,780,000","865,960,000","828,313,000","732,410,000","702,848,000","652,574,000","631,375,000","614,949,000","592,420,000","588,877,000","621,249,000","631,512,000","635,255,000","631,621,000","620,406,000","649,883,000","660,665,000","657,528,000","654,404,000","661,794,000","656,602,000","649,897,000","669,442,000","678,513,000","674,744,000","659,627,000","673,153,000","669,475,000","643,274,000","633,743,000","674,369,000","697,940,000","694,872,000","690,581,000","745,159,000","752,225,000","751,288,000","754,814,000","753,077,000","758,418,000","761,871,000","750,962,000","845,152,000","856,456,000","855,389,000","836,087,000","830,141,000","832,046,000","831,639,000","832,566,000","849,611,000","843,218,000","826,884,000","811,111,000","802,415,000","769,806,000","729,856,000","712,454,000","703,888,000","706,291,000","691,612,000","676,277,000","651,170,000","607,182,000","607,199,000","602,641,000","587,929,000","572,723,000","563,760,000","621,041,000","635,368,000","642,447,000","664,680,000","686,293,000","904,238,000","920,137,000","913,224,000","872,177,000","757,300,000","325,400,000","300,600,000","270,200,000","247,600,000","233,300,000","207,300,000","189,000,000","175,300,000","150,400,000","143,800,000"
	CurrentAssets,"133,985,000","146,479,000","167,159,000","269,255,000","239,506,000","247,254,000","115,747,000","98,079,000","119,554,000","102,813,000","113,791,000","105,386,000","109,153,000","97,093,000","101,875,000","96,875,000","84,917,000","84,380,000","84,531,000","82,653,000","72,735,000","78,588,000","83,084,000","78,589,000","70,732,000","76,668,000","85,756,000","84,836,000","73,029,000","81,644,000","78,905,000","70,805,000","71,617,000","76,441,000","73,831,000","61,053,000","69,813,000","94,029,000","72,552,000","67,356,000","64,795,000","76,470,000","78,025,000","72,405,000","83,208,000","87,653,000","85,294,000","82,064,000","80,015,000","78,904,000","78,050,000","76,735,000","90,213,000","101,634,000","109,962,000","95,485,000","94,088,000","98,627,000","95,672,000","93,273,000","93,236,000","93,624,000","84,763,000","78,974,000","78,036,000","76,746,000","71,933,000","69,383,000","83,136,000","86,865,000","83,253,000","82,810,000","83,329,000","80,062,000","81,689,000","86,277,000","95,352,000","88,227,000","83,617,000","77,100,000","83,382,000","87,668,000","108,480,000","125,585,000","186,767,000","176,570,000","180,204,000","168,817,000","147,200,000","42,100,000","39,700,000","31,800,000","28,200,000","28,200,000","26,000,000","22,600,000","23,300,000","23,400,000","20,600,000"
		CashCashEquivalentsAndShortTermInvestments,"12,594,000","33,809,000","46,481,000","167,177,000","152,555,000","154,342,000","21,127,000","3,073,000","26,221,000","3,471,000","5,028,000","3,157,000","19,936,000","4,007,000","3,083,000","2,092,000","2,392,000","1,995,000","2,303,000","2,685,000","2,226,000","2,544,000","3,561,000","2,382,000","1,648,000","2,312,000","2,019,000","3,158,000","3,057,000","2,734,000","2,595,000","2,464,000","2,712,000","4,953,000","2,919,000","1,755,000","1,112,000","1,901,000","3,505,000","4,534,000","1,131,000","4,421,000","2,904,000","1,817,000","5,531,000","4,044,000","2,295,000","2,035,000","2,171,000","2,004,000","1,637,000","1,838,000","2,982,000","3,110,000","2,785,000","2,814,000","2,898,000","2,168,000","4,378,000","12,363,000","11,929,000","8,744,000","6,667,000","7,429,000","10,025,000","7,579,000","6,773,000","8,578,000","7,361,000","4,772,000","3,418,000","8,007,000","9,295,000","3,594,000","5,737,000","15,652,000","18,922,000","10,276,000","995,000","4,298,000","9,405,000","6,372,000","4,400,000","22,001,000","27,564,000","16,230,000","15,600,000","8,864,000","10,200,000","4,800,000","4,900,000","3,900,000","200,000","2,000,000","2,500,000","1,900,000","2,300,000","3,400,000","2,000,000"
			CashAndCashEquivalents,"12,594,000","33,809,000","46,481,000","167,177,000","152,555,000","154,342,000","21,127,000","3,073,000","26,221,000","3,471,000","5,028,000","3,157,000","19,936,000","4,007,000","3,083,000","2,092,000","2,392,000","1,995,000","2,303,000","2,685,000","2,226,000","2,544,000","3,561,000","2,382,000","1,648,000","2,312,000","2,019,000","3,158,000","3,057,000","2,734,000","2,595,000","2,464,000","2,712,000","4,953,000","2,919,000","1,755,000","1,112,000","1,901,000","3,505,000","4,534,000","1,131,000","4,421,000","2,904,000","1,817,000","5,531,000","4,044,000","2,295,000","2,035,000","2,171,000","2,004,000","1,637,000","1,838,000","2,982,000","3,110,000","2,785,000","2,814,000","2,898,000","2,168,000","4,378,000","12,363,000","11,929,000","8,744,000","6,667,000","7,429,000","10,025,000","7,579,000","6,773,000","8,578,000","7,361,000","4,772,000","3,418,000","8,007,000","9,295,000","3,594,000","5,737,000","15,652,000","18,922,000","10,276,000","995,000","4,298,000","9,405,000","6,372,000","4,400,000","22,001,000","27,564,000","16,230,000","15,600,000","8,864,000","10,200,000","4,800,000","4,900,000","3,900,000","200,000","2,000,000","2,500,000","1,900,000","2,300,000","3,400,000","2,000,000"
		Receivables,"93,244,000","86,979,000","90,500,000","78,928,000","66,662,000","74,427,000","73,878,000","75,928,000","75,702,000","81,456,000","92,671,000","88,043,000","74,707,000","77,191,000","82,852,000","80,344,000","67,246,000","66,475,000","65,802,000","66,484,000","56,245,000","61,850,000","64,071,000","61,819,000","53,694,000","60,818,000","64,488,000","64,173,000","53,039,000","59,714,000","59,674,000","53,068,000","50,938,000","54,912,000","55,068,000","48,817,000","51,634,000","52,168,000","54,599,000","48,753,000","49,316,000","58,288,000","62,461,000","54,914,000","49,048,000","66,728,000","65,834,000","63,177,000","58,140,000","57,939,000","57,348,000","52,627,000","56,714,000","67,241,000","72,328,000","64,385,000","64,842,000","70,176,000","67,001,000","61,944,000","58,107,000","62,694,000","62,366,000","56,356,000","53,194,000","57,922,000","57,302,000","52,688,000","50,038,000","55,387,000","53,914,000","50,567,000","45,895,000","50,555,000","51,994,000","46,754,000","47,326,000","49,050,000","52,990,000","44,235,000","44,528,000","49,499,000","53,602,000","53,729,000","78,533,000","93,986,000","97,883,000","97,244,000","88,600,000","31,800,000","29,500,000","21,800,000","23,200,000","23,000,000","19,900,000","17,100,000","18,100,000","16,300,000","15,100,000"
			AccountsReceivable,"93,244,000","86,979,000","90,500,000","78,928,000","66,326,000","74,198,000","73,604,000","73,700,000","73,509,000","80,205,000","89,882,000","85,441,000","72,243,000","74,937,000","81,003,000","78,920,000","66,287,000","65,953,000","65,083,000","65,766,000","55,627,000","61,196,000","63,355,000","61,083,000","53,034,000","60,167,000","63,835,000","63,509,000","52,513,000","59,303,000","59,212,000","52,603,000","50,330,000","54,275,000","54,277,000","48,689,000","50,425,000","50,978,000","53,432,000","47,472,000","48,032,000","56,984,000","62,461,000","54,914,000","47,603,000","65,032,000","64,425,000","61,722,000","56,676,000","56,179,000","56,136,000","51,296,000","54,791,000","66,222,000","70,848,000","62,233,000","61,652,000","65,879,000","65,047,000","60,517,000","57,839,000","62,227,000","61,368,000","56,269,000","53,105,000","57,832,000","56,642,000","51,726,000","48,356,000","54,382,000","52,809,000","49,462,000","44,790,000","49,450,000","50,889,000","45,649,000","46,185,000","47,946,000","51,882,000","43,130,000","43,423,000","48,394,000","51,649,000","51,776,000","78,533,000",,,,,,,"21,800,000",,,,"17,100,000",,"16,300,000",
				GrossAccountsReceivable,"96,056,000","90,255,000","93,557,000","81,166,000","68,421,000","76,531,000","76,285,000","76,315,000","75,601,000","81,673,000","91,360,000","86,716,000","73,164,000","75,868,000","81,952,000","79,785,000","67,030,000","66,762,000","65,777,000","66,367,000","56,272,000","62,265,000","64,436,000","62,153,000","54,023,000","61,155,000","64,872,000","65,412,000","54,461,000","61,659,000","61,293,000","54,275,000","52,767,000","56,329,000","55,627,000","50,262,000","51,938,000","52,191,000","54,368,000","48,212,000","49,387,000","58,396,000","63,586,000",,,,,,,"58,193,000","58,150,000","53,048,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,812,000","-3,276,000","-3,057,000","-2,238,000","-2,095,000","-2,333,000","-2,681,000","-2,615,000","-2,092,000","-1,468,000","-1,478,000","-1,275,000","-921,000","-931,000","-949,000","-865,000","-743,000","-809,000","-694,000","-601,000","-645,000","-1,069,000","-1,081,000","-1,070,000","-989,000","-988,000","-1,037,000","-1,903,000","-1,948,000","-2,356,000","-2,081,000","-1,672,000","-2,437,000","-2,054,000","-1,350,000","-1,573,000","-1,513,000","-1,213,000","-936,000","-740,000","-1,355,000","-1,412,000","-1,125,000",,,,,,,"-2,014,000","-2,014,000","-1,752,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136,000","134,000","134,000","132,000","118,000","102,000","87,000","87,000","87,000","87,000",,,"89,000","90,000","87,000","88,000","1,005,000","1,005,000","1,105,000","1,105,000","1,105,000","1,105,000","1,105,000","1,105,000","1,141,000","1,104,000","1,108,000","1,105,000",,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"141,000","140,000","139,000","139,000","138,000","137,000","137,000","136,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
