name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014
MarketCap,"2,121,538,958","3,729,689,010","2,778,873,590","3,822,449,280","4,023,115,200","4,730,802,730","3,813,909,940","2,065,186,830","2,223,528,320","1,632,612,020","6,142,568,520","6,132,893,145","6,098,592,769","5,893,551,534","5,958,617,280","7,175,880,651","6,769,619,151","6,233,848,249","5,633,846,449","5,044,077,827","6,065,752,197","5,900,269,129","6,991,656,065","7,870,570,184","7,442,210,080","8,007,177,744","7,690,514,565","7,534,408,253","6,492,115,400","6,592,104,899","5,428,309,263","4,743,669,352","5,308,223,064"
EnterpriseValue,"5,684,598,958","7,583,713,010","6,513,096,590","7,428,573,280","7,479,270,200","7,994,423,730","6,818,167,940","5,445,252,830","5,238,138,320","4,589,841,020","9,031,511,520","9,117,628,145","9,032,856,769","8,790,188,534","8,934,117,280","10,237,871,651","9,864,107,151","9,328,336,249","8,835,129,449","8,223,380,827","9,277,117,197","8,981,682,129","10,148,538,065","11,058,225,184","10,620,824,080","11,045,704,744","10,679,148,565","10,151,578,253","9,112,956,400","9,520,260,899","8,358,420,263","7,583,192,352","9,375,599,064"
PeRatio,,,,,,,,,,"10.224","26.4","25.741","20.182","17.678","18.033","20.375","26.783","24.375","29.71","36.2","27.91","25.226","30.06","24.938","27.337","34.843","31.784","44.557","48.444","62.308","60.511","108.999",
ForwardPeRatio,,,,,,,,,,"15.198","18.692","18.657","21.978","19.455","13.158","16","17.007","14.903","14.327","12.034","16.181","15.576","15.552","16.863","18.349","17.182","19.57","19.048","17.361","18.215","18.051","15.898","18.051"
PegRatio,,,,,,,,,,"1.587","2.013","1.906","2.14","1.01","1.476","1.827","1.989","1.566","1.61","1.437","1.658","1.66","0.981","1.071","1.003","0.917","1.116","0.907","1.448","1.657","3.008","2.65",
PsRatio,"1.148","2.172","1.826","2.756","3.744","3.218","1.712","0.672","0.619","0.412","1.572","1.576","1.57","1.535","1.563","1.921","1.863","1.659","1.62","1.462","1.791","1.776","2.139","2.45","2.424","2.736","2.724","2.74","2.413","2.279","1.804","1.584","1.702"
PbRatio,,,,,"166.286","13.305","6.035","6.521","3.302","1.739","6.478","6.721","6.344","6.096","6.396","8.19","8.076","8.531","8.767","7.712","9.097","9.47","9.19","11.1","11.449","16.588","16.791","24.359","22.762","78.7","78.681","92.762",
EnterprisesValueRevenueRatio,"2.921","12.966","13.01","16.842","17.822","24.412","21.734","19.562","63.077","6.965","9.593","9.264","9.033","8.377","9.67","10.551","10.021","9.438","10.019","9.131","10.3","9.812","12.233","13.181","12.565","12.851","14.08","12.932","12.888","13.402","20.785","10.027","13.066"
EnterprisesValueEBITDARatio,"-40.128","47.964","-90.391","-66.202","-64.751","-67.401","-47.999","-31.488","-17.654","-44.251","57.485","42.146","48.907","41.363","38.988","43.03","41.976","34.976","29.761","30.527","83.206","35.269","53.518","56.22","43.866","40.635","52.303","35.012","53.158","44.669","50.056","39.529","80.767"
