name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008
MarketCap,"1,818,451,338","2,173,640,009","3,279,476,548","4,042,351,402","2,779,141,256","1,155,073,958","771,891,732","659,758,156","599,106,964","465,672,472","661,067,329","613,580,079","597,684,549","655,838,650","686,374,094","739,837,756","862,018,765","515,262,772","58,826,576","60,335,180","54,301,662","44,676,577","27,150,831","29,992,590","34,849,732","25,951,097","29,666,672","33,557,384","24,316,945","21,885,543","26,036,392","29,480,724","25,354,328","20,887,680","19,395,957","15,679,548","21,951,367","21,904,117","12,420,708","4,252,244","4,341,693","4,987,080","5,762,371","6,632,584","4,421,723","2,923,864","2,331,096","3,071,561","2,232,581","2,613,688","261,368","43,960,470","13,188,141","109,642,584"
EnterpriseValue,"1,739,118,338","2,088,109,009","3,146,015,548","3,878,471,402","2,763,918,256","1,154,463,958","743,396,732","650,841,156","659,938,964","502,497,148","687,313,016","619,125,218","525,566,683","561,479,304","579,256,575","651,521,309","763,236,642","505,982,855","48,490,271","72,524,992","61,904,151","52,046,862","31,780,029","31,873,867","38,465,500","31,858,099","34,998,181","35,718,363","26,477,924","25,663,016","26,522,975","32,308,532","27,578,342","22,393,206","20,451,030","16,733,613","23,005,432","22,958,182","13,523,638","5,256,601","4,923,698","6,136,618","6,729,291","7,484,071","5,273,210","3,637,517","3,074,340","3,814,805","2,642,545","2,810,210","457,890","44,199,773","13,308,042","109,762,485"
PeRatio,"24.573","29.736","46.214","70.581","52.342","26.822","19.436","30.407","33.244","33.128","167.364","72.482","73.45","63.172","12.244","13.613","15.951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.644","71.864"
PsRatio,"2.169","2.868","4.264","5.338","3.534","1.487","0.976","0.982","0.957","0.847","1.449","1.24","1.187","1.35","1.393","1.549","1.815","0.858","0.679","1.051","0.997","0.915","0.584","0.667","0.775","0.595","0.759","3.09","2.239","2.015","2.373","2.687","2.016","2.072","2.19","2.06","2.884","2.884","1.921","0.716","0.842","1.061","1.339","1.693","1.129","0.898","0.831","1.095","1.051","1.223","0.122","27.711",,
PbRatio,"3.837","4.782","7.524","10.072","7.961","3.492","3.38","3.187","3.04","2.431","3.466","3.31","3.198","3.501","3.814","4.297","5.126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnterprisesValueRevenueRatio,"2.035","7.979","16.253","17.169","15.928","6.62","4.223","3.648","4.026","3.066","3.877","4","4.085","5.93","5.689","3.903","6.244","4.09","1.198","1.744","4.194","3.32","2.173","2.576","3.256","2.989","3.078","3.5","2.762","3.358","2.274","7.891","9.713","8.595","7.887","6.84","9.094","11.683","8.199","3.221","3.186","4.285","6.153","7.198","5.095","3.569","2.957","4.751","3.56","4.555","0.788","88.191","23.86","228.763"
EnterprisesValueEBITDARatio,"17.852","88.05","-185.42","29,161.439","30.527","42.831","24.255","15.026","5.492","40.329","78.571","30.696","26.761","729.014","331.019","11.188","52.936","18.013","-12.419","-20.635","-13.699","-42.451","-21.441","-41.201","-9.49","-25.483","-104.954","-20.843","65.412","-29.621","12.362","-26.764","-28.407","-28.08","-15.094","-23.717","-41.313","-5.107","-4.55","69.651","-11.215","47.135","-75.908","-40.877","-506.796","1,123.037","-188.645","110.619","-60.119","-1,016.719","6.436","-486.064","-89.17","-381.582"
