name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019
TotalAssets,"459,092,000","494,476,000","529,127,000","551,226,000","561,203,000","326,666,000","338,050,000","160,287,000","161,300,000","158,758,000","155,909,000","162,987,508","68,107,485","59,261,500"
	CurrentAssets,"349,222,000","386,349,000","464,333,000","493,691,000","507,233,000","272,268,000","302,512,000","127,950,000","130,370,000","131,538,000","128,699,000","135,787,787","39,297,875","32,880,782"
		CashCashEquivalentsAndShortTermInvestments,"269,190,000","313,812,000","400,395,000","439,854,000","450,680,000","218,781,000","254,118,000","84,199,000","90,252,000","90,315,000","91,389,000","100,051,186","5,912,982","1,542,514"
			CashAndCashEquivalents,"269,190,000","313,812,000","400,395,000","439,854,000","450,680,000","218,781,000","254,118,000","84,199,000","90,252,000","90,315,000","91,389,000","100,051,186","5,912,982","1,542,514"
		Receivables,"46,354,000","40,262,000","35,460,000","30,356,000","29,964,000","29,052,000","27,594,000","22,972,000","24,223,000","21,978,000","20,008,000","16,787,723","15,972,090","16,109,035"
			AccountsReceivable,"45,773,000","40,733,000","35,106,000","30,436,000","29,921,000","28,464,000","26,000,000","20,501,000","23,823,000","22,245,000","19,759,000","16,778,878","16,558,514","15,990,218"
				GrossAccountsReceivable,"47,268,000","41,125,000","36,165,000",,,,,,"25,576,000",,"20,737,000",,,
				AllowanceForDoubtfulAccountsReceivable,"-914,000","-863,000","-705,000",,,,,,"-1,353,000",,"-729,000",,,
			OtherReceivables,"1,495,000","392,000","1,059,000","552,000","709,000","1,287,000","2,344,000","3,147,000","1,753,000","676,000","978,000","731,603","221,151","635,924"
			ReceivablesAdjustmentsAllowances,"-914,000","-863,000","-705,000","-632,000","-666,000","-699,000","-750,000","-676,000","-1,353,000","-943,000","-729,000","-722,758","-807,575","-517,107"
		PrepaidAssets,"10,853,000","11,043,000","10,450,000","6,161,000","7,906,000","7,254,000","6,825,000","8,378,000","5,435,000","5,157,000","5,287,000","6,019,043","2,916,743","3,339,788"
		CurrentDeferredAssets,"1,520,000","1,642,000","1,705,000","1,817,000","1,895,000","1,693,000","1,708,000","1,684,000","1,788,000","1,720,000","1,631,000","1,631,384","1,651,463","1,672,706"
		OtherCurrentAssets,"21,305,000","19,590,000","16,323,000","15,503,000","16,788,000","15,488,000","12,267,000","10,717,000","8,672,000","12,368,000","10,384,000","11,298,451","12,844,597","10,216,739"
	TotalNonCurrentAssets,"109,870,000","108,127,000","64,794,000","57,535,000","53,970,000","54,398,000","35,538,000","32,337,000","30,930,000","27,220,000","27,210,000","27,199,721","28,809,611","26,380,718"
		NetPPE,"33,855,000","36,982,000","34,760,000","29,120,000","27,565,000","29,314,000","22,352,000","19,476,000","17,781,000","14,487,000","14,364,000","14,564,348","13,757,012","14,211,018"
			GrossPPE,"91,449,000","90,303,000","85,598,000","76,244,000","71,007,000","69,462,000","65,017,000","59,695,000","55,594,000","50,038,000","48,668,000","46,715,507","43,771,926","42,073,025"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"60,998,000","59,807,000","55,681,000","46,153,000","40,874,000","39,202,000","29,743,000","26,294,000","22,743,000","21,434,000","19,999,000","19,544,066","17,403,168","17,151,212"
				OtherProperties,"26,596,000","26,387,000","26,140,000","26,072,000","25,868,000","25,837,000","29,857,000","28,771,000","27,833,000","26,389,000","26,470,000","24,976,313","24,182,731","22,746,783"
				ConstructionInProgress,"1,058,000","1,024,000","1,024,000","1,024,000","1,024,000","1,024,000","1,024,000","1,024,000","1,024,000","1,024,000","1,024,000","1,024,357","1,024,357","1,024,357"
				Leases,"2,797,000","3,085,000","2,753,000","2,995,000","3,241,000","3,399,000","4,393,000","3,606,000","3,994,000","1,191,000","1,175,000","1,170,771","1,161,670","1,150,673"
			AccumulatedDepreciation,"-57,594,000","-53,321,000","-50,838,000","-47,124,000","-43,442,000","-40,148,000","-42,665,000","-40,219,000","-37,813,000","-35,551,000","-34,304,000","-32,151,159","-30,014,914","-27,862,007"
		GoodwillAndOtherIntangibleAssets,"68,857,000","64,036,000","24,633,000","22,980,000","22,033,000","21,508,000","11,256,000","10,831,000","10,587,000","10,184,000","10,010,000","9,882,250","9,694,594","9,502,981"
			Goodwill,"33,621,000","33,621,000","8,211,000","8,211,000","8,211,000","8,307,000","250,000","250,000","250,000","250,000","251,000","250,190","250,190","250,190"
			OtherIntangibleAssets,"35,236,000","30,415,000","16,422,000","14,769,000","13,822,000","13,201,000","11,006,000","10,581,000","10,337,000","9,934,000","9,759,000","9,632,060","9,444,404","9,252,791"
		NonCurrentDeferredAssets,"2,489,000","2,952,000","2,606,000","2,892,000","2,971,000","1,906,000","1,723,000","1,922,000","2,434,000","2,369,000","1,512,000","1,447,079","1,512,874","1,521,400"
			NonCurrentDeferredTaxesAssets,"291,000","515,000","150,000","379,000","533,000","658,000","496,000","666,000","719,000","775,000",,,,
