name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
TotalRevenue,"25,159,000","6,740,000","23,736,000","0","5,450,000","5,317,000"
	OperatingRevenue,"25,159,000","6,740,000","23,736,000","0","5,450,000","5,317,000"
CostOfRevenue,"13,868,000","3,777,000","4,088,000","3,032,000","2,971,000","2,959,000"
GrossProfit,"11,291,000","2,963,000","3,250,000","2,599,000","2,479,000","2,358,000"
OperatingExpense,"107,528,000","37,957,000","77,319,235","264,590","21,061,000","9,623,000"
	SellingGeneralAndAdministration,"70,549,000","24,544,000","49,499,235","264,590","14,794,000","5,369,000"
		GeneralAndAdministrativeExpense,"70,549,000","24,544,000","49,499,235","264,590","14,794,000","5,369,000"
			OtherGandA,"70,549,000","24,544,000","49,499,235","264,590","14,794,000","5,369,000"
	ResearchAndDevelopment,"36,979,000","13,413,000","11,495,000","6,304,000","6,267,000","4,254,000"
OperatingIncome,"-96,237,000","-34,994,000","-66,633,235","-264,590","-18,582,000","-7,265,000"
NetNonOperatingInterestIncomeExpense,"-220,000","-24,000","-324,692","3,309","-63,000","-61,000"
	InterestIncomeNonOperating,,,,"3,309",,
	TotalOtherFinanceCost,"220,000","24,000","58,000","75,000","63,000","61,000"
OtherIncomeExpense,,"114,813,000","-79,419,001","4,585,001",,
	GainOnSaleOfSecurity,,"51,763,000","-41,171,001","4,585,001",,
	OtherNonOperatingIncomeExpenses,,"63,050,000","-38,248,000",,,
PretaxIncome,"-65,517,000","79,795,000","-146,376,928","4,323,720","-18,645,000","-7,326,000"
TaxProvision,"31,000","3,000","10,000","13,000","5,000","19,000"
NetIncomeCommonStockholders,"-65,548,000","79,792,000","-146,423,928","4,323,720","-18,650,000","-7,345,000"
	NetIncome,"-65,548,000","79,792,000","-146,423,928","4,323,720","-18,650,000","-7,345,000"
		NetIncomeIncludingNoncontrollingInterests,"-65,548,000","79,792,000","-146,423,928","4,323,720","-18,650,000","-7,345,000"
			NetIncomeContinuousOperations,"-65,548,000","79,792,000","-146,423,928","4,323,720","-18,650,000","-7,345,000"
DilutedNIAvailtoComStockholders,"-65,548,000","79,792,000","-146,423,928","4,323,720","-18,650,000","-7,345,000"
BasicEPS,,"0.67","-1.23","-0.57","-0.59","-0.37"
DilutedEPS,,"0.61","-1.23","-0.57","-0.59","-0.37"
BasicAverageShares,,"119,542,000","97,400,000","16,726,000","31,625,000","19,741,000"
DilutedAverageShares,,"131,149,000","97,400,000","16,726,000","31,625,000","19,741,000"
TotalOperatingIncomeAsReported,"-96,237,000","-34,994,000","-66,633,235","-264,590","-18,582,000","-7,265,000"
TotalExpenses,"121,396,000","41,734,000","90,369,235","264,590","24,032,000","12,582,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-65,548,000","79,792,000","-146,423,928","4,323,720","-18,650,000","-7,345,000"
NormalizedIncome,"-69,230,800","28,030,946.099","-105,252,927","884,969.25","-18,650,000","-7,345,000"
InterestIncome,,,,"3,309",,
NetInterestIncome,"-220,000","-24,000","-324,692","3,309","-63,000","-61,000"
EBIT,"-96,237,000","-34,994,000","-66,633,235","-264,590","-18,582,000","-7,265,000"
EBITDA,"-95,437,000"
ReconciledCostOfRevenue,"13,868,000","3,777,000","4,088,000","3,032,000","2,971,000","2,959,000"
ReconciledDepreciation,"800,000","213,000",,,,"168,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-65,548,000","79,792,000","-146,423,928","4,323,720","-18,650,000","-7,345,000"
TotalUnusualItemsExcludingGoodwill,"6,138,000","51,763,000","-41,171,001","4,585,001",,
TotalUnusualItems,"6,138,000","51,763,000","-41,171,001","4,585,001",,
NormalizedEBITDA,"-101,575,000","-86,544,000","-25,462,234","-4,849,591","-18,582,000","-7,097,000"
TaxRateForCalcs,"0.4","0","0","0.25","0.25","0.25"
TaxEffectOfUnusualItems,"2,455,200","1,946.099","0","1,146,250.25","0","0"
