name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
TotalAssets,"2,251,955,000","1,938,063,000","1,984,384,000","1,920,458,000","1,933,981,000","1,916,971,000","1,841,272,000","1,798,866,000","1,846,090,000","1,804,897,000","1,761,059,000","1,730,027,000","1,359,254,000","1,265,382,000","1,217,858,000","1,132,371,000","1,101,789,000","1,043,123,000","1,030,998,000","1,014,338,000","992,904,000","982,468,000","931,845,000","894,472,000","809,983,000","689,547,000","694,093,000","633,056,000","604,001,000","590,906,000","567,335,000","516,115,000","478,912,000","435,282,000","406,851,000","399,307,000","333,313,000","331,813,000"
	CurrentAssets,"303,739,000","313,652,000","265,078,000","209,823,000","226,763,000","265,701,000","317,944,000","328,937,000","289,780,000","276,682,000","239,429,000","205,574,000","208,458,000","208,406,000","162,044,000","146,495,000","146,055,000","155,180,000","150,297,000","156,008,000","139,732,000","149,465,000","132,796,000","115,681,000","80,927,000","142,479,000","89,826,000","91,514,000","112,430,000","84,288,000","57,158,000","53,029,000","49,002,000","58,420,000","44,658,000","53,775,000","46,354,000","51,270,000"
		CashCashEquivalentsAndShortTermInvestments,"32,910,000","35,247,000","28,038,000","43,493,000","24,762,000","40,998,000","73,579,000","70,979,000","48,096,000","39,232,000","44,195,000","23,109,000","15,577,000","21,254,000","17,732,000","12,279,000","15,804,000","19,959,000","19,721,000","18,587,000","10,039,000","21,942,000","23,890,000","19,984,000","18,810,000","26,989,000","15,191,000","27,356,000","31,479,000","25,883,000","17,101,000","16,271,000","13,444,000","18,882,000","9,775,000","14,737,000","4,101,000","9,400,000"
			CashAndCashEquivalents,"32,910,000","35,247,000","28,038,000","43,493,000","24,762,000","40,998,000","73,579,000","70,979,000","48,096,000","39,232,000","44,195,000","23,109,000","15,577,000","21,254,000","17,732,000","12,279,000","15,804,000","19,959,000","19,721,000","18,587,000","10,039,000","21,942,000","23,890,000","19,984,000","18,810,000","26,989,000","15,191,000","27,356,000","31,479,000","25,883,000","17,101,000","16,271,000","13,444,000","18,882,000","9,775,000","14,737,000","4,101,000","9,400,000"
		Receivables,"183,499,000","174,113,000","162,863,000","156,581,000","192,175,000","202,564,000","238,720,000","253,826,000","236,992,000","219,451,000","191,823,000","179,613,000","188,570,000","175,211,000","141,396,000","131,077,000","126,749,000","122,927,000","127,381,000","134,282,000","126,044,000","114,141,000","105,435,000","86,710,000","55,691,000","66,430,000","70,392,000","61,068,000","49,043,000","40,252,000","35,632,000","33,534,000","32,804,000","32,083,000","31,917,000","35,921,000","37,851,000","34,838,000"
			AccountsReceivable,"49,942,000","47,441,000","44,329,000","44,050,000","58,915,000","66,994,000","69,789,000","71,248,000","57,882,000","59,831,000","42,455,000","34,409,000","36,081,000","35,170,000","40,183,000","36,312,000","37,461,000","39,624,000","51,749,000","60,847,000","64,273,000","54,485,000","55,081,000","45,643,000","44,927,000","58,517,000","70,103,000","61,015,000","48,873,000","39,980,000","35,592,000","32,247,000","31,620,000","30,905,000","30,465,000","35,020,000","31,061,000","27,913,000"
				GrossAccountsReceivable,,"47,841,000",,,,"68,694,000",,,,"60,131,000",,,,"35,770,000",,,,"40,124,000",,,,,,,,,,,,,,,,"30,905,000",,,,"28,066,000"
				AllowanceForDoubtfulAccountsReceivable,,"-400,000",,,,"-1,700,000",,,,"-300,000",,,,"-600,000",,,,"-500,000",,,,,,,,,,,,,,,,,,,,"-153,000"
			NotesReceivable,"133,557,000","126,429,000","118,164,000","112,446,000","133,206,000","135,432,000","168,716,000","182,245,000","178,652,000","159,371,000","148,744,000","144,743,000","152,172,000","138,683,000","100,486,000","93,478,000","88,973,000","83,058,000","75,522,000","73,382,000","60,959,000","59,546,000","49,935,000","39,311,000","10,464,000","7,825,000",,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"5,831,000","5,719,000"
			OtherReceivables,"121,000","243,000","370,000","85,000","54,000","138,000","215,000","333,000","458,000","249,000","624,000","461,000","317,000","1,358,000","727,000","1,287,000","315,000","245,000","110,000","53,000","812,000","110,000","419,000","1,756,000","300,000","88,000","289,000","53,000","170,000","272,000","40,000","1,287,000","1,184,000","1,178,000","1,452,000","901,000","959,000","1,206,000"
		Inventory,,,,,,"1,165,000","0","0","0","1,460,000","0",,"929,000","929,000",,,,,,,,"0",,"5,829,000","2,731,000","40,232,000",,"0","27,882,000","8,538,000",,,,,,,,
			FinishedGoods,,,,,,"1,165,000","0","0","0","1,460,000","0",,"929,000","929,000",,,,,,,,"0",,"5,829,000","2,731,000","40,232,000",,"0","27,882,000","8,538,000",,,,,,,,
		PrepaidAssets,,"18,345,000",,,,"11,542,000",,,,"12,192,000",,,,"8,215,000",,,,"9,337,000",,,,"10,131,000",,,,"6,004,000",,,,"2,507,000",,,,"2,223,000",,,,"1,356,000"
		RestrictedCash,"6,576,000","5,196,000","5,415,000","9,749,000","9,826,000","9,432,000","5,645,000","4,132,000","4,692,000","4,347,000","3,411,000","2,852,000","3,382,000","2,797,000","2,916,000","3,139,000","3,502,000","2,957,000","3,195,000","3,139,000","3,649,000","3,251,000","3,471,000","3,158,000","3,695,000","2,824,000","4,243,000","3,090,000","4,026,000","4,224,000","4,425,000","3,224,000","2,754,000","2,160,000","2,966,000","3,117,000","4,402,000","3,725,000"
		CurrentDeferredAssets,,,,,"54,000","138,000","215,000","333,000","458,000","249,000","624,000","461,000","317,000","1,358,000","727,000","1,287,000","315,000","245,000","110,000","53,000","812,000","110,000","419,000","1,756,000","300,000","88,000","289,000","53,000","170,000","2,884,000","40,000","1,287,000","1,184,000","3,072,000","1,452,000","901,000","959,000","1,951,000"
		AssetsHeldForSaleCurrent,"80,754,000","80,751,000","68,762,000","0","0","1,165,000","0","0","0","1,460,000","0",,"929,000","929,000",,,,,,,,"0",,"5,829,000","2,731,000","40,232,000",,"0","27,882,000","8,538,000",,,,,,,,
	TotalNonCurrentAssets,"1,948,216,000","1,624,411,000","1,719,306,000","1,710,635,000","1,707,218,000","1,651,270,000","1,523,328,000","1,469,929,000","1,556,310,000","1,528,215,000","1,521,630,000","1,524,453,000","1,150,796,000","1,056,976,000","1,055,814,000","985,876,000","955,734,000","887,943,000","880,701,000","858,330,000","853,172,000","833,003,000","799,049,000","778,791,000","729,056,000","547,068,000","604,267,000","541,542,000","491,571,000","506,618,000","510,177,000","463,086,000","429,910,000","376,862,000","362,193,000","345,532,000","286,959,000","280,543,000"
		NetPPE,"70,151,000","70,482,000","70,813,000","80,184,000","80,525,000","56,304,000","56,509,000","56,744,000","56,980,000","57,218,000","57,456,000","57,683,000","32,242,000",,,,,,,,,,,,,,,,,,,,,,,,,
			GrossPPE,"70,151,000","70,482,000","70,813,000","80,184,000","80,525,000","56,304,000","56,509,000","56,744,000","56,980,000","57,218,000","57,456,000","57,683,000","32,242,000",,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"70,151,000","70,482,000","70,813,000","80,184,000","80,525,000","56,304,000","56,509,000","56,744,000","56,980,000","57,218,000","57,456,000","57,683,000","32,242,000",,,,,,,,,,,,,,,,,,,,,,,,,
		GoodwillAndOtherIntangibleAssets,"111,530,000","62,038,000","65,197,000","55,807,000","60,006,000","58,154,000","57,958,000","55,832,000","65,014,000","68,702,000",,,,"29,182,000",,,,"29,881,000",,,,"38,853,000",,,,"18,418,000",,,,"5,247,000",,,,"4,369,000",,,,
			OtherIntangibleAssets,,,,,,"58,154,000","57,958,000","55,832,000","65,014,000","68,702,000",,,,"29,182,000",,,,"29,881,000",,,,"38,853,000",,,,"18,418,000",,,,"5,247,000",,,,"4,369,000",,,,
		InvestmentProperties,"1,674,389,000","1,451,624,000","1,532,071,000","1,527,287,000","1,523,666,000","1,503,952,000","1,364,468,000","1,321,470,000","1,399,912,000","1,381,586,000","1,359,739,000","1,361,021,000","1,054,645,000","987,811,000","980,256,000","916,232,000","887,697,000","829,916,000","811,921,000","788,385,000","779,785,000","768,734,000","726,667,000","706,736,000","664,563,000","508,211,000","555,620,000","499,713,000","459,379,000","478,901,000","477,768,000","438,271,000","404,111,000","357,748,000","338,994,000","321,675,000","262,682,000","262,286,000"
		InvestmentsAndAdvances,"20,777,000","12,685,000","9,174,000","6,999,000","4,967,000","1,078,000",,,,,"0",,"0","22,203,000","16,811,000","14,538,000","12,821,000","11,411,000","11,169,000","10,950,000","10,794,000","10,235,000","10,360,000",,,,,,,,,,,,,,,
			LongTermEquityInvestment,"20,777,000","12,685,000","9,174,000","6,999,000","4,967,000","1,078,000",,,,,"0",,"0","22,203,000","16,811,000","14,538,000","12,821,000","11,411,000","11,169,000","10,950,000","10,794,000","10,235,000","10,360,000",,,,,,,,,,,,,,,
		FinancialAssets,,"2,926,000",,,,"90,000",,,,"25,000",,,,"2,093,000",,,,"1,515,000",,,,,,,,"4,192,000",,,,,,,,,,,,
		NonCurrentDeferredAssets,"121,000","16,373,000",,,,"16,310,000",,,,"14,212,000",,,,"14,473,000",,,,"13,868,000",,,,"14,102,000",,,,"16,247,000",,,,"17,920,000",,,,"12,709,000",,,,"13,767,000"
