name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991
OperatingCashFlow,"726,295,000","228,011,000","183,907,000","162,988,000","151,389,000","198,033,000","223,456,000","88,728,000","235,801,000","184,324,000","151,369,000","176,552,000","116,730,000","164,881,000","160,970,000","120,954,000","128,627,000","133,966,000","150,301,000","130,800,000","48,087,000","77,469,000","188,034,000","38,572,000","49,587,000","-56,530,000","17,005,000","194,922,000","-30,215,000","-29,676,000","-68,320,000","-59,307,000","-123,430,000","-158,927,000","-278,915,000","-183,997,000","-256,910,000","-251,709,000","-396,078,000","-318,414,000","-430,493,000","-423,615,000","-467,850,000","-438,539,000","-556,529,000","-420,933,000","-422,022,000","-269,617,000","13,258,000","-197,049,000","-87,511,000","-12,596,000","397,000","429,664,000","471,939,000","36,138,000","595,955,000","260,876,000","377,847,000","21,263,000","53,873,000","178,988,000","88,309,000","118,877,000","89,359,000","201,133,000","95,465,000","185,739,000","-9,214,000","236,364,000","93,379,000","144,471,000","76,016,000","245,294,000","150,920,000","203,290,000","70,226,000","262,200,000","136,040,000","156,673,000","87,070,000","233,547,000","104,067,000","245,622,000","64,294,000","212,136,000","147,810,000","147,889,000","83,049,000","172,289,000","89,415,000","156,100,000","82,800,000","126,700,000","125,846,000","93,400,000","69,200,000","132,500,000","95,461,000","114,100,000","49,000,000","105,400,000","77,762,000","137,800,000","72,300,000","79,900,000","83,700,000","83,800,000","50,200,000","68,800,000","50,500,000","70,100,000","36,700,000","82,200,000","45,200,000","73,200,000","53,900,000","40,400,000","26,000,000","27,900,000","43,300,000","22,500,000","26,500,000"
	CashFlowFromContinuingOperatingActivities,"726,295,000","228,011,000","183,907,000","162,988,000","151,389,000","198,033,000","223,456,000","88,728,000","235,801,000","184,324,000","151,369,000","176,552,000","116,730,000","164,881,000","160,970,000","120,954,000","128,627,000","133,966,000","150,301,000","130,800,000","48,087,000","77,469,000","188,034,000","38,572,000","49,587,000","-56,530,000","17,005,000","194,922,000","-30,215,000","-29,676,000","-68,320,000","-59,307,000","-123,430,000","-158,927,000","-278,915,000","-183,997,000","-256,910,000","-251,709,000","-396,078,000","-318,414,000","-430,493,000","-423,615,000","-467,850,000","-438,539,000","-556,529,000","-420,933,000","-422,022,000","-269,617,000","13,258,000","-197,049,000","-87,511,000","-12,596,000","397,000","429,664,000","471,939,000","36,138,000","595,955,000","260,876,000","377,847,000","21,263,000","53,873,000","178,988,000","88,309,000","118,877,000","89,359,000","201,133,000","95,465,000","185,739,000","-9,214,000","236,364,000","93,379,000","144,471,000","76,016,000","245,294,000","150,920,000","203,290,000","70,226,000","262,200,000","136,040,000","156,673,000","87,070,000","233,547,000","104,067,000","245,622,000","64,294,000","212,136,000","147,810,000","147,889,000","83,049,000","172,289,000","89,415,000","156,100,000","82,800,000","126,700,000","125,846,000","93,400,000","69,200,000","132,500,000","95,461,000","114,100,000","49,000,000","105,400,000","77,762,000","137,800,000","72,300,000","79,900,000","83,700,000","83,800,000","50,200,000","68,800,000","50,500,000","70,100,000","36,700,000","82,200,000","45,200,000","73,200,000","53,900,000","40,400,000","26,000,000","27,900,000","43,300,000","22,500,000","26,500,000"
		NetIncomeFromContinuingOperations,"659,975,000","175,013,000","173,934,000","157,977,000","153,051,000","150,021,000","151,430,000","130,811,000","14,047,000","149,805,000","177,110,000","176,934,000","167,778,000","151,941,000","157,746,000","181,900,000","186,814,000","143,637,000","27,314,000","120,027,000","118,622,000","89,798,000","107,487,000","56,618,000","109,221,000","69,191,000","102,418,000","822,852,000","113,654,000","133,076,000","74,428,000","72,017,000","45,522,000","59,982,000","-1,407,000","12,114,000","12,375,000","-72,930,000","-386,691,000","-246,942,000","-273,891,000","-19,555,000","-135,294,000","-165,205,000","-151,732,000","-33,661,000","-186,667,000","-51,528,000","24,551,000","-150,091,000","-280,114,000","-517,768,000","-339,835,000","-184,560,000","-273,347,000","-113,274,000","-97,899,000","-34,394,000","-1,466,627,000","-372,469,000","76,715,000","92,363,000","121,469,000","129,978,000","149,839,000","163,453,000","128,121,000","142,382,000","174,357,000","182,013,000","134,520,000","134,069,000","154,524,000","130,073,000","103,863,000","105,129,000","143,777,000","141,110,000","137,498,000","151,570,000","170,936,000","169,187,000","161,003,000","158,992,000","161,218,000","157,924,000","132,321,000","146,355,000","136,103,000","127,220,000","133,901,000","122,900,000","113,000,000","100,400,000","99,665,000","96,500,000","95,300,000","94,000,000","86,550,000","84,100,000","80,700,000","72,400,000","71,091,000","65,800,000","62,600,000","58,500,000","58,800,000","53,600,000","50,000,000","45,200,000","45,800,000","42,100,000","38,400,000","33,200,000","36,200,000","33,700,000","32,000,000","25,400,000","29,500,000","28,900,000","25,300,000","18,600,000","22,500,000"
		OperatingGainsLosses,"-2,862,000","1,505,000","-1,185,000","-1,009,000","-2,173,000","-2,215,000","-2,901,000","-2,259,000","-6,701,000","-1,891,000","-1,320,000","-4,205,000","-307,000","526,000","241,000","-1,114,000","1,897,000","329,000","-460,000","47,000","42,000","122,000","52,000","-5,092,000","-836,000","-3,056,000","-1,228,000","-640,000","-166,000","-26,327,000","-434,000","-632,000","-522,000","231,000","-2,126,000","139,000","-2,485,000","-1,259,000",,,,,,,,,,,,"-32,954,000",,,"-49,622,000","17,261,000","28,942,000","-32,159,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-2,862,000","1,505,000","-1,185,000","-1,009,000","-2,173,000","-2,215,000","-2,901,000","-2,259,000","-6,701,000","-1,891,000","-1,320,000","-4,205,000","-307,000","526,000","241,000","-1,114,000","1,897,000","329,000","-460,000","47,000","42,000","122,000","52,000","-5,092,000","-836,000","-3,056,000","-1,228,000","-640,000","-166,000","-26,327,000","-434,000","-632,000","-522,000","231,000","-2,126,000","139,000","-2,485,000","-1,259,000",,,,,,,,,,,,"-32,954,000",,,"-49,622,000","17,261,000","28,942,000","-27,913,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-4,246,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"8,498,000","5,945,000","597,000","-2,272,000","4,228,000","2,635,000","-952,000","13,593,000","-1,043,000","15,877,000","3,468,000","585,000","-712,000","7,755,000","41,175,000","52,969,000","53,040,000","39,388,000","189,794,000","59,087,000","57,231,000","48,932,000","51,165,000","23,034,000","54,887,000","33,270,000","5,367,000","-698,164,000","-2,000","-11,000","-24,000","93,000","329,000","-86,000","601,000","10,000","-13,000","-8,000",,,,,"35,503,000","-24,271,000","-11,945,000","-25,000","38,077,000","-25,564,000","-9,442,000","-3,146,000","30,062,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"8,498,000","5,945,000","597,000","-2,272,000","4,228,000","2,635,000","-952,000","13,593,000","-1,043,000","15,877,000","3,468,000","585,000","-712,000","7,755,000","41,175,000","52,969,000","53,040,000","39,388,000","189,794,000","59,087,000","57,231,000","48,932,000","51,165,000","23,034,000","54,887,000","33,270,000","5,367,000","-698,164,000","-2,000","-11,000","-24,000","93,000","329,000","-86,000","601,000","10,000","-13,000","-8,000",,,,,"35,503,000","-24,271,000","-11,945,000","-25,000","38,077,000","-25,564,000","-9,442,000","-3,146,000","30,062,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,013,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"462,000","253,000","0","0","3,592,000","0","0","6,052,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
