name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004
TotalRevenue,"1,763,500,000","457,000,000","462,200,000","428,900,000","415,400,000","392,800,000","380,400,000","357,200,000","327,900,000","324,000,000","332,400,000","313,800,000","273,900,000","258,900,000","262,700,000","261,300,000","252,400,000","243,500,000","243,100,000","229,900,000","229,200,000","209,500,000","212,200,000","196,100,000","198,200,000","192,100,000","201,600,000","195,300,000","202,100,000","189,800,000","196,415,000","193,106,000","189,385,000","181,165,000","180,500,000","173,482,000","175,428,000","168,856,000","170,609,000","160,952,000","165,968,000","160,759,000","158,571,000","160,051,000","161,011,000","151,767,000","151,153,000","139,817,000","136,091,000","128,290,000","122,643,000","120,088,000","119,533,000","116,732,000","119,271,000","125,505,000","132,237,000","125,444,000","118,116,000","111,859,000","109,685,000","95,447,000","87,037,000","81,821,000","76,257,000","70,060,000","60,740,000","56,927,000","56,243,000","53,204,000","48,714,000","46,573,000","43,244,000","41,127,000"
	OperatingRevenue,"1,763,500,000","457,000,000","462,200,000","428,900,000","415,400,000","392,800,000","380,400,000","357,200,000","327,900,000","324,000,000","332,400,000","313,800,000","273,900,000","258,900,000","262,700,000","261,300,000","252,400,000","243,500,000","243,100,000","229,900,000","229,200,000","209,500,000","212,200,000","196,100,000","198,200,000","192,100,000","201,600,000","195,300,000","202,100,000","189,800,000","196,415,000","193,106,000","189,385,000","181,165,000","180,500,000","173,482,000","175,428,000","168,856,000","170,609,000","160,952,000","165,968,000","160,759,000","158,571,000","160,051,000","161,011,000","151,767,000","151,153,000","139,817,000","136,091,000","128,290,000","122,643,000","120,088,000","119,533,000","116,732,000","119,271,000","125,505,000","132,237,000","125,444,000","118,116,000","111,859,000","109,685,000","95,447,000","87,037,000","81,821,000","76,257,000","70,060,000","60,740,000","56,927,000","56,243,000","53,204,000","48,714,000","46,573,000","43,244,000","41,127,000"
CostOfRevenue,"732,400,000","191,300,000","189,600,000","183,100,000","168,400,000","157,300,000","149,600,000","138,700,000","131,100,000","137,000,000","142,100,000","128,400,000","107,500,000","105,100,000","108,900,000","100,000,000","99,800,000","102,400,000","103,400,000","90,900,000","95,300,000","97,000,000","88,000,000","84,900,000","86,100,000","85,300,000","84,900,000","83,400,000","83,200,000","78,700,000","81,395,000","80,142,000","81,387,000","75,714,000","72,938,000","72,422,000","50,273,000","48,010,000","47,868,000","47,711,000","49,452,000","50,316,000","48,203,000","48,074,000","45,186,000","40,669,000","42,301,000","40,713,000","39,738,000","34,316,000","35,716,000","31,954,000","30,694,000","30,252,000","31,155,000","32,828,000","33,164,000","32,938,000","30,228,000","28,674,000","29,020,000","25,855,000","23,861,000","22,389,000","22,052,000","18,673,000","16,561,000","16,261,000","15,674,000","15,912,000","13,677,000","13,858,000","14,908,000","12,266,000"
GrossProfit,"1,031,100,000","265,700,000","272,600,000","245,800,000","247,000,000","235,500,000","230,800,000","218,500,000","196,800,000","187,000,000","190,300,000","185,400,000","166,400,000","153,800,000","153,800,000","161,300,000","152,600,000","141,100,000","139,700,000","139,000,000","133,900,000","112,500,000","124,200,000","111,200,000","112,100,000","106,800,000","116,700,000","111,900,000","118,900,000","111,100,000","115,020,000","112,964,000","107,998,000","105,451,000","107,562,000","101,060,000","125,155,000","120,846,000","122,741,000","113,241,000","116,516,000","110,443,000","110,368,000","111,977,000","115,825,000","111,098,000","108,852,000","99,104,000","96,353,000","93,974,000","86,927,000","88,134,000","88,839,000","86,480,000","88,116,000","92,677,000","99,073,000","92,506,000","87,888,000","83,185,000","80,665,000","69,592,000","63,176,000","59,432,000","54,205,000","51,387,000","44,179,000","40,666,000","40,569,000","37,292,000","35,037,000","32,715,000","28,336,000","28,861,000"
OperatingExpense,"784,900,000","209,300,000","197,800,000","178,000,000","199,800,000","168,300,000","165,700,000","174,200,000","135,500,000","142,500,000","150,600,000","135,800,000","115,600,000","104,300,000","104,500,000","95,900,000","99,000,000","93,600,000","97,100,000","86,200,000","87,900,000","84,100,000","74,300,000","67,000,000","67,700,000","64,500,000","66,600,000","65,700,000","69,200,000","66,600,000","68,439,000","67,703,000","71,778,000","66,919,000","65,665,000","56,447,000","81,571,000","80,286,000","83,472,000","73,377,000","75,380,000","80,044,000","76,233,000","78,113,000","77,218,000","79,289,000","76,563,000","68,943,000","68,686,000","63,032,000","62,603,000","54,451,000","56,151,000","51,855,000","59,428,000","58,501,000","57,503,000","57,821,000","54,552,000","51,740,000","52,219,000","45,565,000","42,843,000","38,895,000","36,746,000","32,189,000","30,068,000","28,319,000","27,425,000","30,414,000",,,,
	SellingGeneralAndAdministration,"633,200,000","171,700,000","159,400,000","139,900,000","162,200,000","131,700,000","129,900,000","138,400,000","101,800,000","108,300,000","116,900,000","101,200,000","89,700,000","80,800,000","79,000,000","71,200,000","75,400,000","70,700,000","70,700,000","64,400,000","66,400,000","62,600,000","55,600,000","48,900,000","50,400,000","47,900,000","50,000,000","49,300,000","52,900,000","51,500,000","53,889,000","53,145,000","58,387,000","54,532,000","53,830,000","45,190,000","56,155,000","55,307,000","59,220,000","49,698,000","52,319,000","56,504,000","51,026,000","53,684,000","52,974,000","57,099,000","51,228,000","46,343,000","47,541,000","43,204,000","43,796,000","38,373,000","37,863,000","34,689,000","41,978,000","41,964,000","41,426,000","41,549,000","40,221,000","37,068,000","37,599,000","32,815,000","30,087,000","26,752,000","25,673,000","23,692,000","23,109,000","21,348,000","20,980,000","22,869,000",,,,
		GeneralAndAdministrativeExpense,"338,900,000","90,300,000","85,900,000","67,000,000","95,700,000","69,800,000","74,200,000","85,800,000","54,600,000","57,400,000","68,700,000","57,200,000","44,000,000","40,800,000","44,200,000","35,400,000","36,000,000","32,200,000","36,600,000","33,300,000","29,700,000","30,200,000","29,100,000","25,800,000","24,700,000","25,600,000","27,200,000","26,000,000","27,800,000","26,100,000","25,939,000","26,384,000","30,438,000","26,104,000","29,005,000","22,416,000","28,120,000","27,327,000","31,767,000","23,966,000","24,946,000","28,178,000","24,829,000","26,431,000","26,207,000","30,617,000","25,632,000","23,462,000","23,106,000","20,643,000","25,300,000","20,643,000","19,853,000","17,153,000",,,,,,,,,,,,,,,,,,,,
			OtherGandA,"338,900,000","90,300,000","85,900,000","67,000,000","95,700,000","69,800,000","74,200,000","85,800,000","54,600,000","57,400,000","68,700,000","57,200,000","44,000,000","40,800,000","44,200,000","35,400,000","36,000,000","32,200,000","36,600,000","33,300,000","29,700,000","30,200,000","29,100,000","25,800,000","24,700,000","25,600,000","27,200,000","26,000,000","27,800,000","26,100,000","25,939,000","26,384,000","30,438,000","26,104,000","29,005,000","22,416,000","28,120,000","27,327,000","31,767,000","23,966,000","24,946,000","28,178,000","24,829,000","26,431,000","26,207,000","30,617,000","25,632,000","23,462,000","23,106,000","20,643,000","25,300,000","20,643,000","19,853,000","17,153,000",,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"294,300,000","81,400,000","73,500,000","72,900,000","66,500,000","61,900,000","55,700,000","52,600,000","47,200,000","50,900,000","48,200,000","44,000,000","45,700,000","40,000,000","34,800,000","35,800,000","39,400,000","38,500,000","34,100,000","31,100,000","36,700,000","32,400,000","26,500,000","23,100,000","25,700,000","22,300,000","22,800,000","23,300,000","25,100,000","25,400,000","27,950,000","26,761,000","27,949,000","28,428,000","24,825,000","22,774,000","28,035,000","27,980,000","27,453,000","25,732,000","27,373,000","28,326,000","26,197,000","27,253,000","26,767,000","26,482,000","25,596,000","22,881,000","24,435,000","22,561,000","18,496,000","17,730,000","18,010,000","17,536,000",,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,154,000","13,640,000","12,772,000","12,857,000","12,442,000","13,365,000","14,006,000","13,482,000","13,681,000","11,988,000","13,753,000","12,703,000","11,899,000","10,889,000","10,193,000","9,447,000","9,438,000","9,300,000","10,153,000","10,271,000","9,801,000","10,115,000","8,917,000","9,010,000","9,134,000","8,055,000","8,221,000","7,876,000","7,306,000","6,091,000","5,163,000","4,749,000","4,593,000","5,149,000",,,,
