name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
TotalAssets,"22,016,000,000","22,878,000,000","23,161,000,000","22,926,000,000","22,907,000,000","22,754,000,000","22,497,000,000","21,750,000,000","20,237,000,000","20,450,000,000","20,534,000,000","19,509,000,000","17,657,000,000","13,466,000,000","14,078,000,000","13,121,000,000"
	CurrentAssets,"7,916,000,000","8,514,000,000","8,875,000,000","8,749,000,000","8,694,000,000","8,440,000,000","8,463,000,000","7,486,000,000","6,744,000,000","6,398,000,000","7,049,000,000","6,478,000,000","5,964,000,000","5,877,000,000","6,155,000,000","5,580,000,000"
		CashCashEquivalentsAndShortTermInvestments,"4,634,000,000","4,255,000,000","5,411,000,000","5,886,000,000","5,765,000,000","4,502,000,000","5,061,000,000","4,645,000,000","3,196,000,000","1,991,000,000","3,340,000,000","3,234,000,000","2,818,000,000","1,951,000,000","2,756,000,000","2,500,000,000"
			CashAndCashEquivalents,"4,634,000,000","4,255,000,000","5,411,000,000","5,886,000,000","5,765,000,000","4,502,000,000","5,061,000,000","4,645,000,000","3,196,000,000","1,991,000,000","3,340,000,000","3,234,000,000","2,818,000,000","1,951,000,000","2,756,000,000","2,500,000,000"
		Receivables,"2,338,000,000","2,952,000,000","2,192,000,000","2,029,000,000","2,153,000,000","2,776,000,000","1,997,000,000","1,888,000,000","2,453,000,000","2,733,000,000","2,108,000,000","1,967,000,000","1,949,000,000","2,438,000,000","1,912,000,000","1,833,000,000"
			AccountsReceivable,"2,338,000,000","2,952,000,000","2,192,000,000","2,029,000,000","2,153,000,000","2,776,000,000","1,997,000,000","1,888,000,000","2,453,000,000","2,733,000,000","2,108,000,000","1,967,000,000","1,949,000,000","2,438,000,000","1,912,000,000","1,833,000,000"
				GrossAccountsReceivable,,,,"2,106,000,000",,,,"1,981,000,000",,,,,,"2,472,000,000",,
				AllowanceForDoubtfulAccountsReceivable,,,,"-77,000,000",,,,"-93,000,000",,,,,,"-34,000,000",,
		Inventory,"786,000,000","1,148,000,000","1,135,000,000","729,000,000","685,000,000","1,020,000,000","1,271,000,000","856,000,000","971,000,000","1,544,000,000","1,463,000,000","1,129,000,000","1,074,000,000","1,422,000,000","1,420,000,000","1,180,000,000"
			FinishedGoods,"786,000,000","1,148,000,000","1,135,000,000","729,000,000","685,000,000","1,020,000,000","1,271,000,000","856,000,000","971,000,000","1,544,000,000","1,463,000,000","1,129,000,000","1,074,000,000","1,422,000,000","1,420,000,000","1,180,000,000"
		OtherCurrentAssets,"158,000,000","159,000,000","137,000,000","105,000,000","91,000,000","142,000,000","134,000,000","97,000,000","124,000,000","130,000,000","138,000,000","148,000,000","123,000,000","66,000,000","67,000,000","67,000,000"
	TotalNonCurrentAssets,"14,100,000,000","14,364,000,000","14,286,000,000","14,177,000,000","14,213,000,000","14,314,000,000","14,034,000,000","14,264,000,000","13,493,000,000","14,052,000,000","13,485,000,000","13,031,000,000","11,693,000,000","7,589,000,000","7,923,000,000","7,541,000,000"
		NetPPE,"2,100,000,000","2,126,000,000","2,140,000,000","2,177,000,000","2,100,000,000","2,080,000,000","2,044,000,000","2,037,000,000","1,917,000,000","1,863,000,000","1,874,000,000","1,313,000,000","1,286,000,000","1,150,000,000","1,164,000,000","1,169,000,000"
			GrossPPE,"2,100,000,000","2,126,000,000","2,140,000,000","3,909,000,000","2,100,000,000","2,080,000,000","2,044,000,000","3,850,000,000","1,917,000,000","1,863,000,000","1,874,000,000","3,080,000,000",,,,"2,827,000,000"
				Properties,,,,"0",,,,"0",,,,"0",,,,"0"
				LandAndImprovements,,,,"204,000,000",,,,"126,000,000",,,,"123,000,000",,,,"126,000,000"
				BuildingsAndImprovements,,,,"1,319,000,000",,,,"1,300,000,000",,,,"1,319,000,000",,,,"1,143,000,000"
				MachineryFurnitureEquipment,,,,"1,652,000,000",,,,"1,575,000,000",,,,"1,516,000,000",,,,"1,558,000,000"
				OtherProperties,"2,100,000,000","2,126,000,000","2,140,000,000","469,000,000","2,100,000,000","2,080,000,000","2,044,000,000","539,000,000","1,917,000,000","1,863,000,000","1,874,000,000",,,,,
				ConstructionInProgress,,,,"265,000,000",,,,"310,000,000",,,,"122,000,000",,,,
