name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
OperatingCashFlow,"-148,953,000","-48,274,000","-34,780,000","-44,921,000","-20,978,000","-13,677,000","-7,954,000","-5,118,000"
	CashFlowFromContinuingOperatingActivities,"-148,953,000","-48,274,000","-34,780,000","-44,921,000","-20,978,000","-13,677,000","-7,954,000","-5,118,000"
		NetIncomeFromContinuingOperations,"-184,523,000","-85,713,000","-51,265,000","-16,248,000","-31,297,000","-158,972,000","-42,285,000","-5,202,000"
		OperatingGainsLosses,,,"-5,234,000","-25,297,000","0","133,783,000","-2,757,000","-2,570,000"
			GainLossOnInvestmentSecurities,,,"-5,234,000",,,,"-2,757,000","-2,570,000"
		DepreciationAmortizationDepletion,"7,214,000","2,775,000","1,431,000","1,978,000","1,030,000","888,000","830,000","815,000"
			DepreciationAndAmortization,"7,214,000","2,775,000","1,431,000","1,978,000","1,030,000","888,000","830,000","815,000"
				Depreciation,"4,770,000","1,960,000","740,000","1,040,000","1,030,000","888,000","830,000","815,000"
				AmortizationCashFlow,"2,444,000","815,000","691,000",,,"0","0",
					AmortizationOfIntangibles,"2,444,000","815,000","691,000",,,"0","0",
		DeferredTax,,,"-2,000",,,,,
			DeferredIncomeTax,,,"-2,000",,,,,
		AmortizationOfSecurities,,"67,000",,,,"0",,
		AssetImpairmentCharge,"12,248,000","5,500,000",,,,"0",,
		StockBasedCompensation,"46,451,000","17,041,000","19,278,000","2,688,000","7,444,000","10,333,000","31,594,000","95,000"
		OtherNonCashItems,"12,095,000","15,852,000","-4,354,000","341,000","256,000","540,000","1,758,000","1,008,000"
		ChangeInWorkingCapital,"-11,589,000","-3,796,000","-1,382,000","-8,000,000","1,589,000","-249,000","2,906,000","736,000"
			ChangeInReceivables,"-433,000","1,383,000",,,,"0",,
				ChangesInAccountReceivables,"-433,000","1,383,000",,,,"0",,
			ChangeInInventory,"-19,081,000","-6,526,000","-8,679,000","-3,064,000","-812,000","-370,000","-649,000","0"
