name,ttm,03/31/2022,12/31/2021
MarketCap,"2,341,261,545","2,013,922,699","3,325,654,434"
EnterpriseValue,"720,622,545","338,754,699","2,873,272,434"
PbRatio,"1.512","1.285",
EnterprisesValueEBITDARatio,"-2.839","-3.972","-30.408"
