name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
TotalAssets,"1,162,587,000","1,126,658,424","1,162,657,261","1,093,168,365","1,020,639,858","967,127,056","995,028,754","1,032,097,080","1,026,468,027","1,002,087,136","970,422,478","863,758,180","883,005,392","846,209,160","826,493,553","816,562,660","814,944,152","808,349,935","818,248,734","806,787,529","771,585,032","686,381,617","816,460,922","745,264,954","764,014,071","787,038,940","851,408,976","868,801,490","886,340,231","1,670,101,149","1,681,863,430","1,705,522,336","1,723,414,301","1,754,189,555","1,784,652,558","1,776,581,586","1,789,144,150","1,813,966,597","1,835,151,827","1,848,160,459","1,867,256,728","1,872,995,551","1,896,527,632","1,900,766,880","1,896,572,958","1,873,040,580","1,812,765,224","1,720,291,605","1,608,202,814","1,547,092,283","1,517,366,380","1,401,836,536","1,362,175,544","1,314,176,463","1,208,390,915","1,148,287,285","1,136,008,373","1,075,042,842","726,654,462","695,366,486","568,790,967","551,884,923","529,107,204","457,805,958","462,343,981","398,873,576","317,460,796","40,905,235"
	CurrentAssets,"185,189,000","156,032,816","204,603,121","167,776,917","127,274,922","118,264,780","124,678,681","140,399,966","124,436,541","100,533,363","112,175,955","75,743,967","100,011,870","118,474,183","115,118,042","117,558,136","110,407,626","105,222,551","107,496,870","112,008,548","169,582,520","104,265,116","114,808,252","30,995,959","32,207,541","41,025,427","46,002,040","53,046,687","55,837,366","76,612,360","70,376,556","64,313,430","61,931,191","72,483,815","82,470,086","53,268,273","43,799,335","47,118,318","45,814,050","57,748,404","55,890,837","62,266,165","80,458,952","126,530,948","150,732,559","146,984,981","116,836,079","96,786,564","84,205,028","93,718,855","140,044,495","31,066,406","16,864,500","40,433,720","69,414,680","153,092,619","157,454,266","159,099,695","26,863,458","123,526,057","27,652,517","30,054,916","62,669,518","30,660,220","33,828,767","22,886,509","12,463,370","4,206,208"
		CashCashEquivalentsAndShortTermInvestments,"83,602,000","86,146,552","100,011,694","79,278,151","76,191,832","69,927,594","83,408,816","98,532,141","69,229,926","53,583,898","71,537,108","38,598,904","60,715,204","67,209,753","80,737,065","76,881,117","57,897,634","60,751,044","64,323,168","68,683,505","145,767,714","76,516,110","98,568,795","11,874,047","16,768,574","24,896,161","26,330,327","29,322,885","32,345,957","45,873,009","33,208,618","31,543,399","33,500,163","42,036,018","53,560,841","25,538,649","18,317,477","18,695,023","17,375,864","28,808,878","26,063,399","27,273,994","51,131,064","97,715,331","129,121,680","129,137,297","102,134,080","84,153,391","71,344,773","82,544,467","129,259,673","18,896,758","9,208,862","32,984,370","62,996,613","148,513,423","152,903,692","154,947,136","22,879,415","118,995,212","22,275,491","23,213,588","54,547,756","21,379,146","24,526,528","21,175,132","10,970,963","4,187,084"
			CashAndCashEquivalents,"83,602,000","86,146,552","100,011,694","79,278,151","76,191,832","69,927,594","83,408,816","98,532,141","69,229,926","53,583,898","71,537,108","38,598,904","60,715,204","67,209,753","80,737,065","76,881,117","57,897,634","56,251,044","64,323,168","68,683,505","145,767,714","76,516,110","98,568,795","11,874,047","16,768,574","24,896,161","25,283,350","27,184,438","24,404,769","32,497,858","20,090,248","19,827,606","19,682,724","19,925,769","19,621,006","19,270,813","18,119,968","18,559,137","17,148,510","28,067,016","25,075,203","27,273,994","51,131,064","97,715,331","129,121,680","129,137,297","102,134,080","84,153,391","71,344,773","82,544,467","129,259,673","18,896,758","9,208,862","32,984,370","62,996,613","148,513,423","152,903,692","154,947,136","22,879,415","118,995,212","22,275,491","23,213,588","54,547,756","21,379,146","24,526,528","21,175,132","10,970,963","4,187,084"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,996,613","148,513,423","152,903,692","154,947,136","22,879,415","118,995,212","22,275,491","23,213,588","54,547,756","21,379,146","24,526,528",,,
			OtherShortTermInvestments,,,,,,,,,,,,,,"0","0",,,"4,500,000",,,,,,,,,"1,046,977","2,138,447","7,941,188","13,375,151","13,118,370","11,715,793","13,817,439","22,110,249","33,939,835","6,267,836","197,509","135,886","227,354","741,862","988,196",,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"40,918,000","28,456,036","24,243,815","23,995,321","20,465,339","13,843,480","12,998,480","18,967,935","18,155,336","19,982,871","19,947,955","17,736,491","18,975,479","19,785,582","16,142,605","13,072,691","13,976,108","17,246,540","10,158,386","11,261,855","8,766,511","5,089,708","6,453,806","5,563,156","7,096,206","7,076,528","11,094,138","11,537,826","10,898,215","12,219,469","15,723,575","13,721,595","11,197,101","11,144,155","12,973,504","10,755,027","9,303,958","13,794,508","10,250,226","12,967,279","13,960,777","22,482,466","17,691,006","17,564,874","14,366,495","11,471,483","10,552,202","8,842,296","7,443,450","5,825,416","5,373,408","5,242,161","4,357,837","3,881,674","4,298,844","3,279,383","3,392,461","2,033,860","1,407,800","852,690","616,205","398,152","458,916","332,239","281,094","103,431","22,034",
			AccountsReceivable,"40,918,000","28,456,036","24,243,815","23,995,321","20,465,339","13,843,480","12,998,480","18,967,935","18,155,336","19,982,871","19,947,955","17,736,491","18,975,479","19,785,582","16,142,605","13,072,691","13,976,108","17,246,540","10,158,386","11,261,855","8,766,511","5,089,708","6,453,806","5,563,156","7,096,206","7,076,528","11,094,138","11,537,826","10,898,215","12,219,469","15,723,575","13,721,595","11,197,101","11,144,155","12,973,504","10,755,027","9,303,958","13,794,508","10,250,226","12,967,279","13,960,777","22,482,466","17,691,006","17,564,874","14,366,495","11,471,483","10,552,202","8,842,296","7,443,450","5,825,416","5,373,408","5,242,161","4,357,837","3,881,674","4,298,844","3,279,383","3,392,461","2,033,860","1,407,800","852,690","616,205","398,152","458,916","332,239","281,094","54,153","22,034",
				GrossAccountsReceivable,"42,755,000","30,274,518","26,413,773","26,129,321","22,586,460","16,200,671","15,324,069","21,667,535","20,916,015","22,455,216","21,601,692","19,491,095","20,733,942","21,859,198",,,,,,,,,,,,,,,,"14,043,988",,,,"11,144,155","18,325,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,837,000","-1,818,482","-2,169,958","-2,134,000","-2,121,121","-2,357,191","-2,325,589","-2,699,600","-2,760,679","-2,472,345","-1,653,737","-1,754,604","-1,758,463","-2,073,616",,,,,,,,,,,,,,,,"-1,824,519",,,,"0","-5,351,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
