name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996
OperatingCashFlow,"-137,016,000","32,965,000","15,545,000","-36,012,000","-149,514,000","22,752,000","43,852,000","-42,190,000","-197,533,000","57,378,000","49,881,000","-15,611,000","5,018,000","18,696,000","4,063,000","-131,465,000","-65,714,000","-90,615,000","100,786,000","-200,017,000","-99,048,000","454,173,000","-41,415,000","-47,201,000","-84,035,000","258,582,000","3,736,000","-30,065,000","-148,390,000","157,368,000","51,549,000","310,467,000","-52,052,000","101,793,000","-10,278,000","31,740,000","11,882,000","90,293,000","97,710,000","30,368,000","102,547,000","84,262,000","82,409,000","-30,141,000","91,251,000","27,558,000","-2,962,000","95,043,000","22,665,000","43,198,000","53,192,000","40,774,000","32,484,000","58,206,000","25,795,000","36,082,000","14,914,000","24,954,000","21,859,000","15,154,000","-10,845,000","25,549,000","15,530,000","4,581,000","584,000","14,111,000","19,167,000","6,035,000","1,058,000","11,529,000","26,850,000","9,421,000","17,195,000","26,845,000","6,911,000","16,398,000","-4,507,000","26,610,000","26,612,000","14,638,000","-2,856,000","28,383,000","33,420,000","15,612,000","411,000","9,935,000","9,976,000","9,859,000","-3,547,000","9,860,000","14,900,000","3,700,000","8,200,000","13,200,000","9,400,000","-600,000","12,200,000","9,300,000","8,000,000","1,700,000","-5,400,000","11,700,000","5,200,000"
	CashFlowFromContinuingOperatingActivities,"-137,016,000","32,965,000","15,545,000","-36,012,000","-149,514,000","22,752,000","43,852,000","-42,190,000","-197,533,000","57,378,000","49,881,000","-15,611,000","5,018,000","18,696,000","4,063,000","-131,465,000","-65,714,000","-90,615,000","100,786,000","-200,017,000","-99,048,000","454,173,000","-41,415,000","-47,201,000","-84,035,000","258,582,000","3,736,000","-30,065,000","-148,390,000","157,368,000","51,549,000","310,467,000","-52,052,000","101,793,000","-10,278,000","31,740,000","11,882,000","90,293,000","97,710,000","30,368,000","102,547,000","84,262,000","82,409,000","-30,141,000","91,251,000","27,558,000","-2,962,000","95,043,000","22,665,000","43,198,000","53,192,000","40,774,000","32,484,000","52,083,000","30,230,000","36,975,000","15,709,000","25,011,000","24,236,000","18,242,000","-12,454,000","25,549,000","15,530,000","4,581,000","584,000","14,111,000","19,167,000","6,035,000","1,058,000","11,529,000","26,850,000","9,421,000","17,195,000","24,810,000","8,114,000","15,195,000","-4,507,000","26,610,000","26,612,000","14,638,000","-2,856,000","28,383,000","33,420,000","15,612,000","411,000","9,935,000","9,976,000","9,859,000","-3,547,000","9,860,000","14,900,000","3,700,000","8,200,000","13,200,000","9,400,000","-600,000","12,200,000","9,300,000","8,000,000","1,700,000","-5,400,000","11,700,000","5,200,000"
		NetIncomeFromContinuingOperations,"-42,758,000","-10,575,000","7,238,000","-9,070,000","-30,351,000","-73,519,000","-68,116,000","-31,961,000","-277,314,000","-75,069,000","-13,846,000","42,701,000","18,088,000","-199,612,000","-30,945,000","-14,676,000","-76,534,000","-304,830,000","-113,252,000","-5,378,000","-1,931,000","-126,824,000","29,331,000","34,807,000","19,734,000","-1,083,655,000","-88,648,000","61,611,000","62,732,000","82,839,000","-39,832,000","67,447,000","128,243,000","42,304,000","35,393,000","49,516,000","79,043,000","65,602,000","75,222,000","80,191,000","76,332,000",,"65,903,000","58,488,000","50,215,000","52,343,000","44,644,000","41,540,000","11,372,000","24,672,000","5,600,000","19,451,000","18,039,000","22,132,000","21,128,000","24,976,000","24,831,000","19,410,000","16,717,000","17,230,000","13,917,000","14,226,000","10,801,000","12,611,000","9,433,000","10,955,000","9,347,000","7,044,000","7,169,000","5,038,000","-2,141,000","5,672,000","2,859,000","1,197,000","2,656,000","7,289,000","7,080,000","8,710,000","7,906,000","10,055,000","10,046,000","14,536,000","11,836,000","10,104,000","12,961,000","11,768,000","10,002,000","9,173,000","8,271,000","9,402,000","8,800,000","8,200,000","8,200,000","9,100,000","8,400,000","8,000,000","7,600,000","7,900,000","5,900,000","5,700,000","4,500,000","4,400,000","3,800,000"
		OperatingGainsLosses,"9,294,000","-4,335,000","0","7,660,000","5,969,000","58,682,000","45,273,000",,,"1,726,000","60,019,000","-7,965,000","3,136,000","217,464,000","0","13,118,000","4,719,000","10,370,000","0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,"-780,000","-1,296,000",,,"-1,768,000","245,000","387,000","312,000","146,000","1,301,000","11,598,000","339,000","1,068,000","2,579,000","779,000","153,000","164,000","1,378,000","299,000","598,000","520,000","6,306,000","-4,206,000","5,992,000","264,000","1,351,000","254,000","247,000","246,000","304,000","500,000","300,000","300,000","500,000","300,000","300,000","300,000","-600,000","100,000",,,"700,000","-500,000"
			GainLossOnSaleOfBusiness,,,,,,,,,"0","1,726,000","60,019,000","-7,965,000","3,136,000","217,464,000","0",,,"10,370,000","0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"49,635,000","9,600,000","11,659,000","12,945,000","15,431,000","20,515,000","22,119,000","22,098,000","28,602,000","34,056,000","29,843,000","30,219,000","44,050,000","35,555,000","37,404,000","38,133,000","38,812,000","39,050,000","39,319,000","40,868,000","39,131,000","41,866,000","44,332,000","45,286,000","45,462,000","50,618,000","41,028,000","42,575,000","43,534,000","41,950,000","39,808,000","39,014,000","37,551,000","43,996,000","44,103,000","38,244,000","37,934,000","33,362,000","32,331,000","31,998,000","31,815,000","40,261,000","30,131,000","29,466,000","29,467,000","32,128,000","25,652,000","27,080,000","14,797,000","13,560,000","12,485,000","14,297,000","14,076,000","12,326,000","11,727,000","11,967,000","12,591,000","11,895,000","11,154,000","10,861,000","10,926,000","10,624,000","10,333,000","8,976,000","8,931,000","8,173,000","8,277,000","8,196,000","8,140,000","8,127,000","7,730,000","7,694,000","7,754,000","8,148,000","7,219,000","6,748,000","6,595,000","5,083,000","6,926,000","6,331,000","6,462,000","5,895,000","5,684,000","5,258,000","5,260,000","7,096,000","6,821,000","6,194,000","6,415,000","5,297,000","5,100,000","4,800,000","4,800,000","4,000,000","4,200,000","3,400,000","2,900,000","2,800,000","2,600,000","2,000,000","1,900,000","1,700,000","1,700,000"
			DepreciationAndAmortization,"49,635,000","9,600,000","11,659,000","12,945,000","15,431,000","20,515,000","22,119,000","22,098,000","28,602,000","34,056,000","29,843,000","30,219,000","44,050,000","35,555,000","37,404,000","38,133,000","38,812,000","39,050,000","39,319,000","40,868,000","39,131,000","41,866,000","44,332,000","45,286,000","45,462,000","50,618,000","41,028,000","42,575,000","43,534,000","41,950,000","39,808,000","39,014,000","37,551,000","43,996,000","44,103,000","38,244,000","37,934,000","33,362,000","32,331,000","31,998,000","31,815,000","40,261,000","30,131,000","29,466,000","29,467,000","32,128,000","25,652,000","27,080,000","14,797,000","13,560,000","12,485,000","14,297,000","14,076,000","12,326,000","11,727,000","11,967,000","12,591,000","11,895,000","11,154,000","10,861,000","10,926,000","10,624,000","10,333,000","8,976,000","8,931,000","8,173,000","8,277,000","8,196,000","8,140,000","8,127,000","7,730,000","7,694,000","7,754,000","8,148,000","7,219,000","6,748,000","6,595,000","5,083,000","6,926,000","6,331,000","6,462,000","5,895,000","5,684,000","5,258,000","5,260,000","7,096,000","6,821,000","6,194,000","6,415,000","5,297,000","5,100,000","4,800,000","4,800,000","4,000,000","4,200,000","3,400,000","2,900,000","2,800,000","2,600,000","2,000,000","1,900,000","1,700,000","1,700,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,173,000","11,482,000","10,753,000","10,457,000","10,523,000","10,218,000","9,234,000","8,827,000","8,750,000","7,995,000","8,130,000","7,982,000","7,931,000","7,918,000","7,530,000","7,509,000","7,571,000","8,023,000","7,103,000","6,632,000","6,479,000","5,080,000","6,707,000","6,233,000","6,367,000",,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"418,000","413,000","401,000","404,000","403,000","406,000","1,099,000","149,000","181,000","178,000","147,000","214,000","209,000","209,000","200,000","185,000","183,000","125,000","116,000","116,000","116,000","3,000","219,000","98,000","95,000",,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"418,000","413,000","401,000","404,000","403,000","406,000","1,099,000","149,000","181,000","178,000","147,000","214,000","209,000","209,000","200,000","185,000","183,000","125,000","116,000","116,000","116,000","3,000","219,000","98,000","95,000",,,,,,,,,,,,,,,,,,,,,,
