name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,12/31/2014
TotalAssets,"6,289,500,000","6,117,600,000","5,631,600,000","5,620,600,000","5,639,000,000","5,413,200,000","5,312,900,000","5,244,700,000","5,090,900,000","5,018,900,000","4,917,500,000","4,890,900,000","4,880,900,000","4,676,267,000","4,558,664,000","4,583,730,000","4,594,884,000","4,622,773,000","4,601,854,000","2,671,487,000","2,289,733,000","2,304,958,000","2,248,725,000","2,213,523,000","2,202,340,000","2,106,684,000","1,891,522,000","1,848,148,000","1,858,794,000"
	CurrentAssets,"937,000,000","946,100,000","841,700,000","952,900,000","1,017,800,000","801,500,000","893,400,000","746,500,000","614,600,000","525,500,000","517,900,000","529,000,000","535,300,000","588,322,000","463,318,000","472,799,000","490,579,000","563,225,000","573,659,000","352,311,000","350,077,000","361,955,000","328,728,000","316,950,000","394,886,000","310,957,000","288,003,000","271,779,000","268,649,000"
		CashCashEquivalentsAndShortTermInvestments,"378,900,000","389,900,000","330,400,000","464,800,000","541,900,000","317,900,000","450,000,000","326,300,000","194,600,000","92,700,000","111,300,000","117,400,000","142,500,000","184,308,000","79,123,000","96,069,000","112,816,000","174,914,000","199,701,000","57,034,000","55,966,000","69,699,000","55,209,000","51,599,000","135,047,000","57,933,000","56,848,000","47,907,000","74,920,000"
			CashAndCashEquivalents,"378,900,000","389,900,000","330,400,000","464,800,000","541,900,000","317,900,000","450,000,000","326,300,000","194,600,000","92,700,000","111,300,000","117,400,000","142,500,000","184,308,000","79,123,000","96,069,000","112,816,000","174,914,000","199,701,000","57,034,000","55,966,000","69,699,000","55,209,000","51,599,000","135,047,000","57,933,000","56,848,000","47,907,000","74,920,000"
		Receivables,"412,400,000","430,200,000","393,400,000","374,900,000","367,000,000","382,200,000","337,000,000","310,900,000","311,700,000","326,900,000","303,100,000","301,900,000","294,900,000","307,642,000","286,260,000","276,849,000","285,597,000","295,586,000","288,127,000","224,258,000","226,951,000","227,636,000","215,458,000","212,102,000","195,593,000","195,263,000","174,570,000","168,599,000","146,032,000"
			AccountsReceivable,"412,400,000","430,200,000","393,400,000","374,900,000","367,000,000","382,200,000","337,000,000","310,900,000","311,700,000","326,900,000","303,100,000","301,900,000","294,900,000","307,642,000","286,260,000","276,849,000","275,338,000","288,023,000","271,140,000","215,294,000","218,015,000","220,594,000","205,979,000","202,743,000","185,885,000","177,757,000","164,604,000","158,632,000","144,960,000"
				GrossAccountsReceivable,,,,,,,,,,,,,,"307,642,000","289,676,000","281,131,000","277,460,000","290,049,000","273,185,000","246,759,000","248,055,000","250,466,000","234,196,000","227,905,000","203,470,000","196,079,000","177,297,000","168,866,000","150,289,000"
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,"-3,416,000","-4,282,000","-2,122,000","-2,026,000","-2,045,000","-31,465,000","-30,040,000","-29,872,000","-28,217,000","-25,162,000","-17,585,000","-18,322,000","-12,693,000","-10,234,000","-5,329,000"
			TaxesReceivable,,,,,,,,,,,,,,,,,,,"8,618,000",,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,"10,259,000","7,563,000","8,369,000","8,964,000","8,936,000","7,042,000","9,479,000","9,359,000","9,708,000","17,506,000","9,966,000","9,967,000","1,072,000"
		Inventory,"62,900,000","61,100,000","59,300,000","57,300,000","56,100,000","56,400,000","50,900,000","49,000,000","49,000,000","46,300,000","44,400,000","44,000,000","43,800,000","43,363,000","44,360,000","45,700,000","48,101,000","44,951,000","44,523,000","29,680,000","29,343,000","28,777,000","26,867,000","25,931,000","26,552,000","25,591,000","24,747,000","24,239,000","23,692,000"
		PrepaidAssets,"32,200,000","25,600,000","29,800,000","28,300,000","21,100,000","17,600,000","19,200,000","23,300,000","59,300,000","17,800,000","59,100,000","65,700,000","54,100,000","16,225,000","53,575,000","54,181,000","15,810,000","16,835,000","18,418,000","19,178,000","14,024,000","11,158,000","11,518,000","7,656,000","10,920,000","7,409,000","8,122,000","6,725,000","7,050,000"
		RestrictedCash,,,,,,,,,,,,,,,,,,"3,809,000","4,571,000","7,971,000","10,874,000","10,871,000","9,288,000","8,901,000","13,984,000","13,984,000","14,054,000","14,086,000",
		OtherCurrentAssets,"50,600,000","39,300,000","28,800,000","27,600,000","31,700,000","27,400,000","36,300,000","37,000,000",,"41,800,000",,,,"36,784,000",,,"28,255,000","27,130,000","18,319,000","14,190,000","12,919,000","13,814,000","10,388,000","10,761,000","12,790,000","10,777,000","9,662,000","10,223,000","16,955,000"
	TotalNonCurrentAssets,"5,352,500,000","5,171,500,000","4,789,900,000","4,667,700,000","4,621,200,000","4,611,700,000","4,419,500,000","4,498,200,000","4,476,300,000","4,493,400,000","4,399,600,000","4,361,900,000","4,345,600,000","4,087,945,000","4,095,346,000","4,110,931,000","4,104,305,000","4,059,548,000","4,028,195,000","2,319,176,000","1,939,656,000","1,943,003,000","1,919,997,000","1,896,573,000","1,807,454,000","1,795,727,000","1,603,519,000","1,576,369,000","1,590,145,000"
		NetPPE,"1,056,300,000","953,800,000","862,600,000","862,700,000","849,700,000","854,700,000","812,600,000","816,000,000","807,000,000","821,000,000","719,900,000","685,100,000","688,400,000","426,286,000","420,013,000","411,880,000","400,385,000","398,536,000","388,697,000","205,744,000","204,669,000","204,253,000","199,602,000","196,772,000","191,653,000","184,550,000","173,813,000","173,566,000","175,006,000"
			GrossPPE,"1,350,900,000","1,226,100,000","1,116,600,000","1,093,700,000","1,065,300,000","1,044,000,000","983,300,000","968,000,000","937,100,000","931,700,000","817,800,000","760,200,000","748,300,000","482,405,000","469,547,000",,"431,889,000","418,216,000","391,426,000","321,142,000","296,155,000","290,640,000","286,339,000","278,193,000","266,753,000","254,788,000","239,623,000","234,656,000","230,703,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,,"11,200,000",,,,"11,100,000",,,,"11,000,000",,,,"19,550,000",,,"19,546,000","19,561,000","20,880,000","8,082,000","8,082,000","8,082,000","8,082,000","8,082,000","8,082,000","6,790,000","6,790,000","6,790,000","6,790,000"
				BuildingsAndImprovements,,"131,300,000",,,,"109,700,000",,,,"106,600,000",,,,"200,390,000",,,"193,942,000","188,571,000","181,237,000","123,106,000","120,443,000","118,172,000","111,371,000","108,808,000","106,045,000","104,971,000","102,557,000","100,254,000","100,574,000"
				MachineryFurnitureEquipment,,"110,800,000",,,,"101,500,000",,,,"82,900,000",,,,"57,946,000",,,"54,585,000","49,391,000","35,950,000","49,472,000","45,559,000","44,572,000","44,165,000","45,140,000","42,426,000","39,117,000","36,059,000","34,285,000","34,284,000"
