name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007
TotalAssets,"8,067,800,000","7,876,500,000","7,774,600,000","7,187,900,000","7,648,500,000","7,329,000,000","7,176,600,000","7,069,500,000","6,948,000,000","7,304,500,000","6,935,800,000","6,996,200,000","7,239,600,000","7,357,100,000","7,381,400,000","7,505,400,000","7,962,800,000","7,724,800,000","8,536,600,000","8,284,300,000","7,626,000,000","7,659,100,000","7,966,800,000","7,696,300,000","7,658,400,000","7,640,100,000","7,292,700,000","7,347,000,000","6,680,600,000","6,332,100,000","5,713,300,000","5,354,700,000","4,407,200,000","1,798,800,000","1,641,194,000","1,513,247,000","1,386,101,000","1,283,789,000","882,297,000","806,818,000","786,493,000","792,776,000","740,009,000","741,002,000","501,432,000","487,848,000","513,334,000","500,866,000","333,354,000","336,257,000","249,182,541","249,116,069","249,351,281","249,449,560","249,307,216","249,001,227","249,262,613","248,161,221","410,430"
	CurrentAssets,"706,800,000","756,800,000","1,075,400,000","926,500,000","1,648,900,000","1,086,600,000","862,300,000","869,500,000","786,600,000","702,000,000","524,500,000","540,800,000","555,200,000","634,500,000","591,100,000","601,900,000","568,000,000","584,000,000","1,488,500,000","1,503,900,000","1,007,100,000","1,078,100,000","1,162,700,000","1,098,600,000","1,143,100,000","1,096,100,000","1,034,100,000","1,525,200,000","1,073,300,000","1,317,900,000","1,149,200,000","1,092,000,000","1,812,500,000","259,200,000","257,733,000","201,499,000","264,357,000","298,832,000","243,443,000","167,932,000","202,040,000","198,864,000","204,857,000","220,420,000","66,371,000","80,228,000","89,880,000","134,939,000","63,646,000","76,982,000","248,494,495","248,800,420","249,083,503","249,276,402","249,176,270","248,901,027","249,262,613","248,161,221","142,227"
		CashCashEquivalentsAndShortTermInvestments,"462,100,000","524,800,000","840,800,000","686,500,000","1,438,600,000","965,100,000","727,200,000","734,700,000","665,600,000","573,900,000","385,800,000","404,000,000","442,900,000","488,000,000","419,400,000","447,100,000","433,000,000","351,300,000","512,900,000","569,200,000","168,000,000","260,200,000","282,700,000","183,500,000","180,900,000","182,600,000","153,800,000","188,600,000","195,000,000","174,600,000","236,300,000","349,500,000","274,400,000","178,200,000","181,371,000","139,651,000","208,448,000","130,855,000","137,069,000","96,820,000","135,888,000","138,931,000","153,072,000","191,218,000","35,493,000","46,968,000","50,713,000","92,201,000","43,729,000","57,784,000","548,696","9,425","68,861","248,952,879","248,726,716","5,000","248,638,892","247,398,962","142,227"
			CashAndCashEquivalents,"462,100,000","524,800,000","840,800,000","686,500,000","1,438,600,000","965,100,000","727,200,000","734,700,000","665,600,000","573,900,000","385,800,000","404,000,000","442,900,000","488,000,000","419,400,000","447,100,000","433,000,000","351,300,000","512,900,000","569,200,000","168,000,000","260,200,000","282,700,000","183,500,000","180,900,000","182,600,000","153,800,000","188,600,000","195,000,000","174,600,000","236,300,000","349,500,000","274,400,000","178,200,000","181,371,000","139,651,000","198,448,000","120,855,000","126,804,000","86,494,000","122,317,000","115,926,000","147,414,000","191,218,000","35,493,000","46,968,000","50,713,000","92,201,000","43,729,000","57,784,000","548,696","9,425","68,861","28,678","248,726,716","5,000","248,638,892","247,398,962","142,227"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"548,696","9,425","68,861",,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,"719,800,000","695,600,000","640,300,000","625,500,000","692,500,000","672,500,000","717,200,000","549,000,000","387,800,000","804,000,000","474,900,000","763,100,000",,"292,800,000","1,298,700,000","0","0","0","10,000,000","10,000,000","10,265,000","10,326,000","13,571,000","23,005,000","5,658,000",,,,,,,,,,,"248,924,201",,,,,
		Receivables,"232,100,000","218,700,000","219,700,000","230,300,000","197,300,000","109,700,000","120,000,000","122,300,000","107,700,000","113,800,000","120,600,000","121,200,000","98,900,000","132,800,000","153,900,000","138,000,000","120,500,000","219,400,000","240,600,000","226,200,000","187,000,000","182,200,000","173,300,000","230,400,000","233,400,000","354,400,000","477,500,000","517,400,000","393,600,000","369,000,000","308,900,000","439,100,000","230,400,000","73,400,000","65,713,000","50,946,000","47,896,000","162,647,000","106,374,000","71,112,000","66,152,000","59,933,000","51,785,000","29,202,000","30,878,000","33,260,000","39,167,000","42,738,000","19,917,000","19,198,000","6,219","2,616","7,058",,,"305,973",,,
			AccountsReceivable,"80,700,000","80,400,000","85,800,000","88,600,000","91,500,000","99,500,000","107,600,000","110,200,000","95,800,000","99,400,000","106,200,000","107,000,000","80,000,000","91,200,000","108,300,000","95,300,000","77,300,000","86,700,000","108,200,000","112,000,000","80,200,000","71,300,000","64,100,000","79,100,000","68,300,000","54,700,000","56,200,000","64,300,000","57,600,000","55,600,000","42,200,000","36,800,000","28,200,000","16,600,000","37,484,000","29,554,000","25,774,000","26,040,000","3,378,000","19,591,000","23,072,000","3,114,000","1,951,000","9,332,000","9,906,000","2,097,000","9,608,000","8,167,000","4,937,000","5,165,000",,,,,,"305,973",,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,"67,900,000","131,200,000",,,"101,700,000","93,800,000",,,"77,600,000","74,000,000","89,600,000",,"73,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,"-5,200,000","-44,600,000",,,"-30,400,000","-29,700,000",,,"-22,900,000","-17,800,000","-25,300,000",,"-18,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,"143,500,000","130,300,000","126,400,000","134,800,000","98,500,000",,,,,,,,,"27,800,000","29,400,000","28,900,000","29,700,000","84,700,000","85,400,000","87,200,000","82,600,000","87,700,000","109,200,000","151,300,000","165,100,000","299,700,000","421,300,000","453,100,000","336,000,000","313,400,000","266,700,000","402,300,000","202,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56,800,000","28,229,000","21,392,000","22,122,000","136,607,000","43,391,000","51,521,000","43,080,000","7,938,000","16,946,000","19,870,000","20,972,000","20,264,000","29,559,000","32,184,000","6,442,000","7,185,000",,,,,,,,,
			AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,219","2,616","7,058",,,,,,
			TaxesReceivable,,,,,,,,,,"2,500,000","2,900,000","4,200,000","6,000,000","2,300,000","4,400,000","2,800,000","2,700,000","5,000,000","30,500,000","27,000,000","24,200,000","23,200,000",,,,,,,,,,,,,,,,,,,,,,,,"0","0","2,387,000","8,538,000","6,848,000",,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,605,000",,,"48,881,000","32,888,000",,,"10,899,000",,,,,,,,,,,,,
			OtherReceivables,"7,900,000","8,000,000","7,500,000","6,900,000","7,300,000","10,200,000","12,400,000","12,100,000","11,900,000","11,900,000","11,500,000","10,000,000","12,900,000","11,500,000","11,800,000","11,000,000","10,800,000","43,000,000","16,500,000","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0",,,"0",,,
		PrepaidAssets,"12,600,000","13,300,000","14,900,000","9,700,000","13,000,000","11,800,000","15,100,000","12,500,000","13,300,000","14,300,000","18,100,000","15,600,000","13,400,000","13,700,000","17,800,000","16,800,000","14,500,000","13,300,000","15,200,000","12,900,000","11,800,000","10,200,000","14,200,000","12,200,000","11,600,000","10,100,000","15,000,000","15,200,000","9,800,000","11,200,000","12,700,000","10,600,000","9,000,000","7,600,000","10,649,000","10,902,000","8,013,000","5,330,000",,,,,,,,,,,,,"237,704","252,392","252,487","264,304","166,701","251,165","141,113","22,605",
		RestrictedCash,,,,,,,,,,,,,,,,,,,"719,800,000","695,600,000","640,300,000","625,500,000","692,500,000","672,500,000","717,200,000","549,000,000","387,800,000","804,000,000","474,900,000","763,100,000","591,300,000","292,800,000","1,298,700,000",,,,,,,,,,,,,,,,,,"247,701,876","248,535,987","248,755,097",,,"248,338,889",,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56,542",,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56,542",,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","59,219","282,853","0","426,066","739,654","0"
	TotalNonCurrentAssets,"7,361,000,000","7,119,700,000","6,699,200,000","6,261,400,000","5,999,600,000","6,242,400,000","6,314,300,000","6,200,000,000","6,161,400,000","6,602,500,000","6,411,300,000","6,455,400,000","6,684,400,000","6,722,600,000","6,790,300,000","6,903,500,000","7,394,800,000","7,140,800,000","7,048,100,000","6,780,400,000","6,618,900,000","6,581,000,000","6,804,100,000","6,597,700,000","6,515,300,000","6,544,000,000","6,258,600,000","5,821,800,000","5,607,300,000","5,014,200,000","4,564,100,000","4,262,700,000","2,594,700,000","1,539,600,000","1,383,461,000","1,311,748,000","1,121,744,000","984,957,000","638,854,000","638,886,000","584,453,000","593,912,000","535,152,000","520,582,000","435,061,000","407,620,000","423,454,000","365,927,000","269,708,000","259,275,000","688,046","315,649","267,778","173,158","130,946","100,200","0","0","268,203"
