name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017
TotalRevenue,"1,802,474,000","399,781,000","664,481,000","359,540,000","378,672,000","332,949,000","645,584,000","339,837,000","249,310,000","175,098,000","562,083,000","294,160,000","260,119,000","210,173,000","496,371,000","272,939,000","208,398,000","186,720,000","468,950,000","214,095,000","223,078,000"
	OperatingRevenue,"1,802,474,000","399,781,000","664,481,000","359,540,000","378,672,000","332,949,000","645,584,000","339,837,000","249,310,000","175,098,000","562,083,000","294,160,000","260,119,000","210,173,000","496,371,000","272,939,000","208,398,000","186,720,000","468,950,000","214,095,000","223,078,000"
CostOfRevenue,"961,262,000","220,747,000","347,096,000","192,608,000","200,811,000","167,173,000","346,159,000","178,301,000","139,519,000","102,089,000","334,463,000","169,889,000","142,749,000","119,760,000","301,082,000","156,663,000","112,909,000","105,379,000","272,749,000","111,204,000","115,790,000"
GrossProfit,"841,212,000","179,034,000","317,385,000","166,932,000","177,861,000","165,776,000","299,425,000","161,536,000","109,791,000","73,009,000","227,620,000","124,271,000","117,370,000","90,413,000","195,289,000","116,276,000","95,489,000","81,341,000","196,201,000","102,891,000","107,288,000"
OperatingExpense,"693,392,000","168,992,000","184,791,000","178,476,000","161,132,000","153,381,000","162,041,000","146,109,000","166,705,000","126,216,000","160,158,000","149,101,000","132,420,000","113,351,000","126,770,000","116,075,000","117,123,000","115,055,000","149,928,000","118,498,000","123,421,000"
	SellingGeneralAndAdministration,"445,754,000","104,045,000","123,461,000","112,692,000","105,554,000","97,011,000","109,695,000","91,327,000","108,935,000","76,623,000","107,632,000","99,457,000","88,065,000","73,271,000","89,675,000","78,175,000","81,679,000","79,818,000","116,399,000","85,024,000","90,074,000"
		GeneralAndAdministrativeExpense,"161,597,000","44,090,000","39,725,000","39,456,000","38,323,000","39,806,000","35,242,000","32,989,000","31,662,000","26,119,000","30,209,000","28,563,000","26,583,000","23,900,000","23,823,000","21,383,000","20,860,000","20,585,000","22,374,000","22,087,000","20,000,000"
			OtherGandA,"161,597,000","44,090,000","39,725,000","39,456,000","38,323,000","39,806,000","35,242,000","32,989,000","31,662,000","26,119,000","30,209,000","28,563,000","26,583,000","23,900,000","23,823,000","21,383,000","20,860,000","20,585,000","22,374,000","22,087,000","20,000,000"
		SellingAndMarketingExpense,"284,157,000","59,955,000","83,736,000","73,236,000","67,231,000","57,205,000","74,453,000","58,338,000","77,273,000","50,504,000","77,423,000","70,894,000","61,482,000","49,371,000","65,852,000","56,792,000","60,819,000","59,233,000","94,025,000","62,937,000","70,074,000"
	ResearchAndDevelopment,"247,638,000","64,947,000","61,330,000","65,784,000","55,578,000","56,370,000","52,346,000","54,782,000","57,770,000","49,593,000","52,526,000","49,644,000","44,355,000","40,080,000","37,095,000","37,900,000","35,444,000","35,237,000","33,529,000","33,474,000","33,347,000"
OperatingIncome,"147,820,000","10,042,000","132,594,000","-11,544,000","16,729,000","12,395,000","137,384,000","15,427,000","-56,914,000","-53,207,000","67,462,000","-24,830,000","-15,050,000","-22,938,000","68,519,000","201,000","-21,634,000","-33,714,000","46,273,000","-15,607,000","-16,133,000"
NetNonOperatingInterestIncomeExpense,"-109,000","33,000","-65,000","-35,000","-43,000","-138,000","-229,000","-256,000","-279,000","500,000","545,000","831,000","806,000","611,000","-398,000","-1,144,000","-1,116,000","-1,085,000","-1,166,000","-1,073,000","-1,185,000"
	InterestIncomeNonOperating,"222,000","123,000","33,000","32,000","34,000","44,000","36,000","44,000","81,000","874,000","998,000",,,,,,,,,,
	InterestExpenseNonOperating,"331,000","90,000","98,000","67,000","77,000","182,000","265,000","300,000","360,000","374,000","453,000","3,518,000","-806,000","-611,000","398,000","1,144,000","1,116,000","1,085,000","1,166,000","1,073,000","1,185,000"
	TotalOtherFinanceCost,,,,,,,,,,,,,"-806,000","-611,000","398,000","1,144,000","1,116,000","1,085,000","1,166,000","1,073,000","1,185,000"
OtherIncomeExpense,"-3,956,000","-2,281,000","-1,402,000","-2,271,000","1,998,000","-1,578,000","4,257,000","3,273,000","365,000","-1,423,000","4,424,000","-4,985,000","1,068,000","-710,000","-3,999,000","-847,000","-3,744,000","2,808,000","622,000","1,314,000","2,975,000"
	OtherNonOperatingIncomeExpenses,"-3,956,000","-2,281,000","-1,402,000","-2,271,000","1,998,000","-1,578,000","4,257,000","3,273,000","365,000","-1,423,000","4,424,000","-4,985,000","1,068,000","-710,000","-3,999,000","-847,000","-3,744,000","2,808,000","622,000","1,314,000","2,975,000"
PretaxIncome,"143,755,000","7,794,000","131,127,000","-13,850,000","18,684,000","10,679,000","141,412,000","18,444,000","-56,828,000","-54,130,000","72,431,000","-28,984,000","-13,176,000","-23,037,000","64,122,000","-1,790,000","-26,494,000","-31,991,000","45,729,000","-15,366,000","-14,343,000"
TaxProvision,"2,626,000","-772,000","7,646,000","-5,106,000","858,000","-6,542,000","9,120,000","33,000","152,000","-1,810,000","1,656,000","616,000","833,000","-213,000","2,455,000","-70,000","494,000","601,000","32,000","-461,000","196,000"
NetIncomeCommonStockholders,"141,129,000","8,566,000","123,481,000","-8,744,000","17,826,000","17,221,000","132,292,000","18,411,000","-56,980,000","-52,320,000","70,775,000","-29,600,000","-14,009,000","-22,824,000","61,667,000","-1,720,000","-26,988,000","-32,592,000","24,734,000","-14,217,000","-14,539,000"
	NetIncome,"141,129,000","8,566,000","123,481,000","-8,744,000","17,826,000","17,221,000","132,292,000","18,411,000","-56,980,000","-52,320,000","70,775,000","-29,600,000","-14,009,000","-22,824,000","61,667,000","-1,720,000","-26,988,000","-32,592,000","45,697,000","-14,905,000","-14,539,000"
		NetIncomeIncludingNoncontrollingInterests,"141,129,000","8,566,000","123,481,000","-8,744,000","17,826,000","17,221,000","132,292,000","18,411,000","-56,980,000","-52,320,000","70,775,000","-29,600,000","-14,009,000","-22,824,000","61,667,000","-1,720,000","-26,988,000","-32,592,000","45,697,000","-14,905,000","-14,539,000"
			NetIncomeContinuousOperations,"141,129,000","8,566,000","123,481,000","-8,744,000","17,826,000","17,221,000","132,292,000","18,411,000","-56,980,000","-52,320,000","70,775,000","-29,600,000","-14,009,000","-22,824,000","61,667,000","-1,720,000","-26,988,000","-32,592,000","45,697,000","-14,905,000","-14,539,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,"7,293,000",,
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,,"13,670,000",,
DilutedNIAvailtoComStockholders,"141,129,000","8,566,000","123,481,000","-8,744,000","17,826,000","17,221,000","132,292,000","18,411,000","-56,980,000","-52,320,000","70,775,000","-29,600,000","-14,009,000","-22,824,000","61,667,000","-1,720,000","-26,988,000","-32,592,000","24,734,000","-14,217,000","-14,539,000"
BasicEPS,,"0.07","0.97",,"0.14","0.14","1.14",,"-0.52","-0.48","0.65",,"-0.13","-0.22","0.62",,"-0.274","-0.356","0.27",,"-0.159"
DilutedEPS,,"0.06","0.87",,"0.12","0.12","1.01",,"-0.52","-0.48","0.6",,"-0.13","-0.22","0.55",,"-0.274","-0.356","0.234",,"-0.159"
BasicAverageShares,,"128,112,234","127,662,826",,"125,138,279","121,880,615","115,610,523",,"109,477,622","109,515,049","108,984,683",,"105,522,313","102,331,529","100,148,106",,"98,384,619","91,672,350","91,672,350",,"91,672,350"
