name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,12/31/2018
TotalAssets,"1,153,128,000","1,178,033,000","984,423,000","955,113,000","872,130,000","990,451,000","965,571,000","971,757,000","967,811,000","872,811,000","848,098,000","849,437,000","857,023,000"
	CurrentAssets,"382,987,000","401,144,000","210,754,000","256,028,000","206,176,000","316,723,000","317,175,000","318,992,000","307,349,000","227,666,000","201,242,000","200,959,000","201,432,000"
		CashCashEquivalentsAndShortTermInvestments,"213,286,000","220,607,000","51,025,000","104,342,000","55,003,000","145,733,000","173,206,000","177,102,000","169,022,000","67,637,000","81,934,000","83,000,000","83,499,000"
			CashAndCashEquivalents,"213,286,000","220,607,000","51,025,000","104,342,000","55,003,000","145,733,000","173,206,000","177,102,000","169,022,000","67,637,000","81,934,000","83,000,000","83,499,000"
		Receivables,"135,733,000","150,509,000","130,674,000","127,675,000","127,264,000","144,838,000","119,425,000","128,029,000","122,422,000","137,673,000","100,368,000","103,969,000","103,543,000"
			AccountsReceivable,"74,265,000","82,969,000","62,194,000","64,720,000","65,702,000","82,335,000","49,659,000","58,728,000","54,456,000","67,642,000","33,760,000","43,984,000","50,108,000"
				GrossAccountsReceivable,"74,791,000","83,579,000","62,931,000","65,365,000","66,354,000","83,163,000","50,387,000","59,706,000","55,409,000","68,515,000","34,495,000","44,497,000","50,563,000"
				AllowanceForDoubtfulAccountsReceivable,"-526,000","-610,000","-737,000","-645,000","-652,000","-828,000","-728,000","-978,000","-953,000","-873,000","-735,000","-513,000","-455,000"
			OtherReceivables,"61,468,000","67,540,000","68,480,000","62,955,000","61,562,000","62,503,000","69,766,000","69,301,000","67,966,000","70,031,000","66,608,000","59,985,000","53,435,000"
		PrepaidAssets,"21,084,000","16,654,000","18,203,000","14,061,000","15,250,000","17,608,000","17,703,000","7,478,000","9,032,000","12,768,000","14,094,000","9,485,000","10,644,000"
		CurrentDeferredAssets,"10,829,000","10,460,000","8,037,000","7,711,000","6,819,000","6,604,000","5,773,000","5,355,000","5,303,000","5,814,000","4,846,000","4,505,000","3,746,000"
		OtherCurrentAssets,"2,055,000","2,914,000","2,815,000","2,239,000","1,840,000","1,940,000","1,068,000","1,028,000","1,570,000","3,774,000",,,
	TotalNonCurrentAssets,"770,141,000","776,889,000","773,669,000","699,085,000","665,954,000","673,728,000","648,396,000","652,765,000","660,462,000","645,145,000","646,856,000","648,478,000","655,591,000"
		NetPPE,"21,892,000","23,105,000","21,545,000","22,838,000","23,942,000","25,065,000","24,616,000","24,131,000","25,490,000","11,183,000","8,226,000","6,493,000","5,630,000"
			GrossPPE,"35,623,000","36,060,000","33,646,000","34,749,000","34,955,000","35,138,000","33,657,000","32,496,000","32,888,000","17,805,000","14,042,000","11,540,000","9,819,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"13,368,000","13,233,000","12,064,000","12,317,000","11,833,000","11,253,000","10,665,000","10,732,000","10,531,000","10,271,000","8,781,000","7,880,000","6,588,000"
				OtherProperties,"13,385,000","14,157,000","13,656,000","14,533,000","15,256,000","16,067,000","15,500,000","14,237,000","14,909,000","448,000","444,000","424,000","363,000"
				Leases,"8,870,000","8,670,000","7,926,000","7,899,000","7,866,000","7,818,000","7,492,000","7,527,000","7,448,000","7,086,000","4,817,000","3,236,000","2,868,000"
			AccumulatedDepreciation,"-13,731,000","-12,955,000","-12,101,000","-11,911,000","-11,013,000","-10,073,000","-9,041,000","-8,365,000","-7,398,000","-6,622,000","-5,816,000","-5,047,000","-4,189,000"
		GoodwillAndOtherIntangibleAssets,"711,222,000","718,625,000","725,606,000","653,021,000","616,854,000","621,572,000","596,107,000","601,283,000","605,647,000","605,564,000","609,979,000","614,613,000","624,739,000"
			Goodwill,"527,933,000","528,548,000","529,636,000","473,697,000","441,352,000","441,150,000","418,660,000","418,660,000","418,711,000","417,696,000","417,696,000","417,696,000","417,696,000"
			OtherIntangibleAssets,"183,289,000","190,077,000","195,970,000","179,324,000","175,502,000","180,422,000","177,447,000","182,623,000","186,936,000","187,868,000","192,283,000","196,917,000","207,043,000"
		NonCurrentAccountsReceivable,"5,565,000","3,457,000","4,218,000","5,159,000","8,119,000","11,288,000","14,239,000","15,400,000","17,247,000","15,979,000","16,791,000","15,652,000","14,033,000"
		NonCurrentDeferredAssets,"22,500,000","25,581,000","17,600,000","15,123,000","13,712,000","13,287,000","10,916,000","10,368,000","10,333,000","10,611,000","9,994,000","9,862,000","9,116,000"
			NonCurrentDeferredTaxesAssets,"3,089,000","6,201,000","3,942,000","3,370,000","3,997,000","3,962,000","2,685,000","2,628,000","2,532,000","2,755,000","2,622,000","2,465,000","1,829,000"
		OtherNonCurrentAssets,"8,962,000","6,121,000","4,700,000","2,944,000","3,327,000","2,516,000","2,518,000","1,583,000","1,745,000","1,808,000","1,866,000","1,858,000","2,073,000"
TotalLiabilitiesNetMinorityInterest,"421,815,000","436,628,000","227,580,000","228,177,000","146,110,000","269,341,000","248,016,000","257,876,000","259,786,000","162,340,000","168,302,000","340,063,000","347,918,000"
	CurrentLiabilities,"112,983,000","121,510,000","81,670,000","78,367,000","71,603,000","80,486,000","57,422,000","64,828,000","63,291,000","73,992,000","55,199,000","58,154,000","62,059,000"
		PayablesAndAccruedExpenses,"19,487,000","14,833,000","12,724,000","10,674,000","8,597,000","10,134,000","7,585,000","14,289,000","13,235,000","10,420,000","13,004,000","8,456,000","9,672,000"
			Payables,"9,665,000","4,528,000","1,715,000","2,944,000","571,000","2,795,000","748,000","5,038,000","3,858,000","1,118,000","2,839,000","1,370,000","1,766,000"
				AccountsPayable,"9,665,000","4,528,000","1,715,000","2,944,000","571,000","2,795,000","748,000","5,038,000","3,858,000","1,118,000","2,839,000","1,370,000","1,766,000"
			CurrentAccruedExpenses,"9,822,000","10,305,000","11,009,000","7,730,000","8,026,000","7,339,000","6,837,000","9,251,000","9,377,000","9,302,000","10,165,000","7,086,000","7,906,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"16,796,000","29,258,000","19,325,000","20,165,000","12,948,000","17,170,000","10,427,000","9,854,000","11,931,000","18,126,000","10,808,000","13,854,000","18,394,000"
		CurrentDebtAndCapitalLeaseObligation,"6,254,000","5,462,000","4,075,000","4,097,000","4,065,000","3,979,000","3,770,000","3,311,000","2,957,000",,"774,000","2,500,000","2,500,000"
			CurrentDebt,"1,882,000","1,132,000",,,,,,,,,"774,000","2,500,000","2,500,000"
				OtherCurrentBorrowings,"1,882,000","1,132,000",,,,,,,,,,,
			CurrentCapitalLeaseObligation,"4,372,000","4,330,000","4,075,000","4,097,000","4,065,000","3,979,000","3,770,000","3,311,000","2,957,000",,,,
		CurrentDeferredLiabilities,"70,446,000","71,957,000","45,546,000","43,431,000","45,993,000","49,203,000","35,640,000","37,374,000","35,168,000","45,446,000","30,613,000","33,344,000","31,493,000"
			CurrentDeferredRevenue,"70,446,000","71,957,000","45,546,000","43,431,000","45,993,000","49,203,000","35,640,000","37,374,000","35,168,000","45,446,000","30,613,000","33,344,000","31,493,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"308,832,000","315,118,000","145,910,000","149,810,000","74,507,000","188,855,000","190,594,000","193,048,000","196,495,000","88,348,000","113,103,000","281,909,000","285,859,000"
		LongTermDebtAndCapitalLeaseObligation,"303,757,000","305,294,000","133,330,000","134,354,000","55,249,000","166,227,000","165,956,000","164,972,000","165,717,000","50,941,000","74,810,000","240,225,000","241,051,000"
			LongTermDebt,"290,680,000","291,154,000","119,201,000","119,138,000","39,076,000","149,014,000","148,951,000","148,889,000","148,826,000","50,941,000","74,810,000","240,225,000","241,051,000"
			LongTermCapitalLeaseObligation,"13,077,000","14,140,000","14,129,000","15,216,000","16,173,000","17,213,000","17,005,000","16,083,000","16,891,000",,,,
		NonCurrentDeferredLiabilities,"5,075,000","9,824,000","11,011,000","13,891,000","17,693,000","21,062,000","22,031,000","26,937,000","30,778,000","32,632,000","35,433,000","40,355,000","42,986,000"
			NonCurrentDeferredTaxesLiabilities,"777,000","4,240,000","6,823,000","9,603,000","14,334,000","17,867,000","19,679,000","24,347,000","27,603,000","30,571,000","33,839,000","38,209,000","39,112,000"
			NonCurrentDeferredRevenue,"4,298,000","5,584,000","4,188,000","4,288,000","3,359,000","3,195,000","2,352,000","2,590,000","3,175,000","2,061,000","1,594,000","2,146,000","3,874,000"
		OtherNonCurrentLiabilities,,,"1,569,000","1,565,000","1,565,000","1,566,000","2,607,000","1,139,000",,"4,775,000","2,860,000","1,329,000","1,822,000"
TotalEquityGrossMinorityInterest,"731,313,000","741,405,000","756,843,000","726,936,000","726,020,000","721,110,000","717,555,000","713,881,000","708,025,000","710,471,000","679,796,000","509,374,000","509,105,000"
	StockholdersEquity,"731,313,000","741,405,000","756,843,000","726,936,000","726,020,000","721,110,000","717,555,000","713,881,000","708,025,000","710,471,000","679,796,000","509,374,000","509,105,000"
		CapitalStock,"84,000","84,000","84,000","82,000","81,000","81,000","81,000","80,000","80,000","80,000","78,000","65,000","65,000"
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0"
			CommonStock,"84,000","84,000","84,000","82,000","81,000","81,000","81,000","80,000","80,000","80,000","78,000","65,000","65,000"
		AdditionalPaidInCapital,"835,454,000","824,455,000","813,856,000","771,332,000","759,645,000","739,051,000","733,769,000","729,602,000","721,181,000","718,446,000","690,170,000","519,056,000","515,979,000"
