name,ttm,03/31/2022,09/30/2021
MarketCap,"301,875,000","302,812,500","309,965,625"
EnterpriseValue,"302,166,499","303,103,999","310,257,124"
PbRatio,"1.279"
EnterprisesValueEBITDARatio,,"-824.353","-1,077.918"
