name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
MarketCap,"3,426,446,109","4,359,104,142","4,911,205,491","6,581,566,378","4,811,178,180","3,092,665,801","2,418,830,493","2,036,297,301","1,374,018,039","803,585,424","826,876,787"
EnterpriseValue,"3,270,116,109","4,205,808,142","4,760,470,491","6,434,976,378","4,668,885,180","2,954,579,801","2,277,206,493","1,931,664,301","1,262,053,039","688,802,424","835,453,787"
PsRatio,"16.616","22.932","28.239","41.308","32.583","22.317","19.409","16.817","12.374","2.865","6.207"
PbRatio,"24.002","30.019","33.195","43.83","31.987","20.333","15.444","17.107","10.737","6.272","105.254"
EnterprisesValueRevenueRatio,"15.993","73.235","89.373","131.083","104.484","72.384","60.976","57.377","40.19","22.558","29.685"
EnterprisesValueEBITDARatio,"-121.819","-497.258","-556.13","-1,133.917","-1,124.762","-579.557","-499.826","-345.866","-187.109","-76.61","-34.189"
