name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,12/31/1994
TotalAssets,"8,447,000,000","8,481,091,000","8,420,752,000","8,124,066,000","7,779,920,000","7,772,532,000","7,809,895,000","7,318,125,000","7,519,200,000","7,151,101,000","7,097,082,000","7,112,337,000","7,144,864,000","8,500,527,000","8,390,310,000","7,809,786,000","7,914,876,000","7,811,235,000","7,486,661,000","7,097,456,000","6,844,620,000","6,730,396,000","6,633,593,000","6,633,596,000","6,600,570,000","6,504,740,000","6,371,558,000","6,105,626,000","5,939,264,000","6,138,807,000","6,130,631,000","5,991,754,000","5,880,110,000","5,624,636,000","5,278,089,000","5,164,506,000","5,205,686,000","5,333,997,000","5,111,532,000","4,835,256,000","4,759,633,000","4,740,144,000","4,798,296,000","4,883,759,000","4,794,994,000","4,547,471,000","4,604,459,000","4,417,665,000","4,262,631,000","3,835,985,000","3,703,339,000","3,645,490,000","3,432,544,000","3,599,634,000","3,506,574,000","3,469,515,000","3,388,469,000","3,313,984,000","3,283,493,000","2,896,652,000","2,815,392,000","2,881,146,000","2,717,620,000","2,650,053,000","2,566,944,000","2,583,120,000","2,481,622,000","2,439,888,000","2,340,142,000","2,433,670,000","2,212,271,000","2,200,273,000","1,832,588,000","1,819,370,000","1,696,987,000","1,613,796,000","1,551,282,000","1,558,052,000","1,517,132,000","1,410,157,000","1,309,519,000","1,385,428,000","1,281,436,000","1,201,787,000","1,181,175,000","1,231,068,000","1,184,306,000","1,170,907,000","1,172,339,000","1,204,100,000","1,168,900,000","1,145,700,000","1,140,000,000","962,000,000","950,400,000","836,300,000","759,100,000","741,200,000","604,300,000","484,800,000","438,600,000","463,900,000","434,000,000","414,000,000","303,700,000","296,900,000","190,000,000"
	CurrentAssets,"3,830,000,000","3,844,035,000","3,912,361,000","3,742,248,000","3,570,625,000","3,791,415,000","3,869,250,000","3,409,206,000","3,619,105,000","3,226,502,000","3,115,742,000","3,108,714,000","3,109,111,000","4,175,220,000","4,193,952,000","4,061,940,000","4,120,805,000","4,033,260,000","3,782,529,000","3,463,777,000","3,392,257,000","3,312,780,000","3,285,955,000","3,277,591,000","3,271,003,000","3,231,100,000","3,120,173,000","2,905,337,000","2,802,254,000","2,913,166,000","2,928,237,000","2,912,003,000","2,876,906,000","2,834,665,000","2,635,420,000","2,573,266,000","2,585,415,000","2,704,377,000","2,512,179,000","2,331,144,000","2,307,010,000","2,272,508,000","2,317,132,000","2,349,010,000","2,261,511,000","2,169,302,000","2,247,774,000","2,212,545,000","2,219,372,000","2,203,533,000","2,079,753,000","2,089,290,000","1,940,316,000","2,066,272,000","2,014,262,000","1,931,123,000","1,873,302,000","1,848,799,000","1,853,469,000","1,648,858,000","1,551,779,000","1,644,848,000","1,516,650,000","1,522,740,000","1,493,506,000","1,584,409,000","1,482,553,000","1,419,864,000","1,328,647,000","1,430,743,000","1,260,253,000","1,246,674,000","1,086,030,000","1,156,484,000","1,087,763,000","1,000,679,000","1,014,046,000","1,027,529,000","1,006,959,000","910,149,000","827,409,000","926,971,000","841,778,000","768,836,000","743,873,000","788,404,000","766,233,000","758,327,000","752,713,000","778,800,000","768,500,000","743,600,000","735,800,000","704,500,000","694,000,000","601,000,000","544,800,000","535,100,000","431,100,000","341,300,000","314,700,000","344,400,000","321,400,000","329,100,000","225,600,000","221,800,000","158,200,000"
		CashCashEquivalentsAndShortTermInvestments,"126,000,000","117,965,000","119,133,000","167,228,000","144,538,000","421,185,000","533,495,000","296,110,000","617,368,000","106,097,000","75,256,000","84,924,000","88,115,000","80,209,000","119,740,000","111,321,000","99,235,000","174,658,000","79,879,000","74,654,000","62,888,000","62,381,000","76,192,000","63,560,000","71,614,000","72,086,000","60,481,000","47,068,000","59,202,000","89,474,000","76,542,000","89,698,000","129,115,000","188,616,000","69,915,000","78,839,000","90,562,000","122,080,000","89,336,000","87,896,000","101,813,000","147,284,000","106,872,000","161,789,000","116,712,000","150,348,000","203,730,000","336,105,000","382,368,000","471,154,000","317,607,000","393,873,000","308,156,000","369,570,000","288,364,000","283,357,000","238,961,000","248,587,000","235,208,000","278,971,000","201,955,000","296,646,000","176,070,000","239,441,000","240,065,000","334,693,000","228,502,000","187,108,000","114,741,000","186,621,000","72,971,000","106,337,000","73,086,000","160,363,000","105,759,000","137,312,000","201,437,000","231,860,000","184,584,000","147,148,000","93,421,000","193,367,000","107,854,000","75,847,000","38,112,000","58,362,000","37,242,000","45,900,000","17,405,000","26,000,000","39,100,000","25,100,000","13,300,000","28,200,000","16,100,000","15,500,000","12,200,000","7,800,000","16,600,000","20,300,000","16,900,000","41,700,000","48,900,000","92,900,000","7,500,000","7,600,000","4,500,000"
			CashAndCashEquivalents,"126,000,000","117,965,000","119,133,000","167,228,000","144,538,000","421,185,000","533,495,000","296,110,000","617,368,000","106,097,000","75,256,000","84,924,000","88,115,000","80,209,000","119,740,000","111,321,000","99,235,000","174,658,000","79,879,000","74,654,000","62,888,000","62,381,000","76,192,000","63,560,000","71,614,000","72,086,000","60,481,000","47,068,000","59,202,000","89,474,000","76,542,000","89,698,000","129,115,000","188,616,000","69,915,000","78,839,000","90,562,000","122,080,000","89,336,000","87,896,000","101,813,000","147,284,000","106,872,000","161,789,000","116,712,000","150,348,000","203,730,000","321,116,000","355,388,000","471,154,000","317,607,000","393,873,000","308,156,000","369,570,000","288,364,000","271,432,000","203,036,000","247,590,000","207,458,000","190,971,000","154,456,000","248,647,000","176,070,000","138,334,000","159,890,000","254,498,000","220,077,000","187,108,000","114,741,000","186,621,000","72,971,000","106,337,000","73,086,000","157,351,000","92,857,000","121,161,000","186,995,000","200,651,000","149,299,000","132,508,000","93,421,000","193,367,000","107,854,000","75,847,000","38,112,000","58,362,000","37,242,000","45,900,000","17,405,000","26,000,000","39,100,000","25,100,000","13,300,000","28,200,000","16,100,000","15,500,000","12,200,000","7,800,000","16,600,000","20,300,000","16,900,000","41,700,000","48,900,000","92,900,000","7,500,000","7,600,000","4,500,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,989,000","26,980,000",,,,,"0",,"11,925,000","35,925,000","997,000","27,750,000","88,000,000","47,499,000","47,999,000",,"101,107,000","80,175,000","80,195,000","8,425,000",,,,,,,"3,012,000","12,902,000","16,151,000","14,442,000","31,209,000","35,285,000","14,640,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,444,000,000","1,451,829,000","1,551,946,000","1,356,881,000","1,317,546,000","1,424,787,000","1,407,676,000","1,101,201,000","1,198,743,000","1,246,246,000","1,278,939,000","1,203,925,000","1,193,054,000","1,603,711,000","1,627,640,000","1,561,097,000","1,576,390,000","1,470,047,000","1,544,582,000","1,409,060,000","1,362,832,000","1,254,139,000","1,367,604,000","1,296,225,000","1,274,950,000","1,229,816,000","1,223,636,000","1,164,380,000","1,099,273,000","1,127,517,000","1,179,171,000","1,188,143,000","1,116,502,000","1,055,216,000","1,103,272,000","1,039,914,000","1,028,163,000","1,015,194,000","1,035,529,000","972,292,000","957,470,000","888,248,000","983,060,000","963,073,000","934,952,000","885,784,000","923,026,000","829,917,000","803,044,000","725,397,000","764,285,000","730,996,000","677,193,000","734,027,000","767,304,000","731,499,000","702,519,000","708,307,000","764,590,000","637,229,000","617,427,000","610,020,000","605,058,000","579,766,000","546,414,000","582,617,000","612,040,000","580,699,000","550,262,000","554,666,000","542,523,000","518,808,000","472,927,000","467,085,000","498,016,000","418,470,000","381,128,000","368,263,000","415,585,000","362,744,000","356,453,000","363,700,000","416,106,000","366,316,000","358,951,000","371,668,000","386,672,000","357,215,000","358,371,000","388,100,000","387,000,000","361,300,000","357,300,000","338,100,000","353,800,000","291,200,000","258,100,000","261,700,000","222,800,000","163,300,000","143,400,000","140,200,000","135,100,000","112,600,000","105,000,000","91,200,000","57,500,000"
			AccountsReceivable,"1,444,000,000","1,451,829,000","1,551,946,000","1,356,881,000","1,317,546,000","1,424,787,000","1,407,676,000","1,101,201,000","1,198,743,000","1,246,246,000","1,278,939,000","1,203,925,000","1,193,054,000","1,603,711,000","1,627,640,000","1,561,097,000","1,576,390,000","1,470,047,000","1,544,582,000","1,409,060,000","1,362,832,000","1,254,139,000","1,367,604,000","1,296,225,000","1,274,950,000","1,229,816,000","1,223,636,000","1,164,380,000","1,099,273,000","1,127,517,000","1,179,171,000","1,188,143,000","1,116,502,000","1,055,216,000","1,103,272,000","1,039,914,000","1,028,163,000","1,015,194,000","1,035,529,000","972,292,000","957,470,000","888,248,000","983,060,000","963,073,000","934,952,000","885,784,000","923,026,000","829,917,000","803,044,000","725,397,000","764,285,000","730,996,000","677,193,000","734,027,000","767,304,000","731,499,000","702,519,000","708,307,000","764,590,000","637,229,000","617,427,000","610,020,000","605,058,000","579,766,000","546,414,000","582,617,000","612,040,000","580,699,000","550,262,000","554,666,000","542,523,000","518,808,000","472,927,000","467,085,000","498,016,000","418,470,000","381,128,000","368,263,000","415,585,000","362,744,000","356,453,000","363,700,000","416,106,000","366,316,000","358,951,000",,,,,,,,,,,,,"261,700,000",,,,,,,,,
				GrossAccountsReceivable,"1,514,000,000","1,518,997,000","1,625,041,000","1,437,994,000","1,397,482,000","1,512,817,000","1,494,047,000","1,182,026,000","1,265,771,000","1,306,248,000","1,334,055,000","1,258,055,000","1,245,259,000","1,664,244,000","1,682,929,000","1,614,706,000","1,633,741,000","1,576,639,000","1,641,535,000","1,499,389,000","1,453,523,000","1,344,468,000","1,446,064,000","1,371,396,000",,"1,306,824,000","1,299,736,000","1,239,522,000","1,173,324,000","1,208,188,000","1,257,950,000","1,270,075,000","1,196,788,000","1,133,514,000",,"1,111,954,000","1,099,419,000","1,090,434,000","1,101,208,000","1,036,280,000","1,019,615,000","954,101,000","1,045,167,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-70,000,000","-67,168,000","-73,095,000","-81,113,000","-79,936,000","-88,030,000","-86,371,000","-80,825,000","-67,028,000","-60,002,000","-55,116,000","-54,130,000","-52,205,000","-60,533,000","-55,289,000","-53,609,000","-57,351,000","-106,592,000","-96,953,000","-90,329,000","-90,691,000","-90,329,000","-78,460,000","-75,171,000",,"-77,008,000","-76,100,000","-75,142,000","-74,051,000","-80,671,000","-78,779,000","-81,932,000","-80,286,000","-78,298,000",,"-72,040,000","-71,256,000","-75,240,000","-65,679,000","-63,988,000","-62,145,000","-65,853,000","-62,107,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,871,000,000","1,861,138,000","1,784,050,000","1,688,210,000","1,626,185,000","1,512,499,000","1,463,434,000","1,406,719,000","1,328,405,000","1,428,799,000","1,356,897,000","1,367,516,000","1,370,376,000","1,970,742,000","1,932,855,000","1,930,202,000","2,015,069,000","1,933,803,000","1,692,256,000","1,567,159,000","1,623,983,000","1,635,750,000","1,468,312,000","1,482,507,000","1,500,369,000","1,509,957,000","1,424,923,000","1,314,220,000","1,297,825,000","1,327,796,000","1,283,698,000","1,257,235,000","1,246,873,000","1,250,403,000","1,123,107,000","1,099,012,000","1,136,043,000","1,203,507,000","1,070,854,000","976,996,000","975,797,000","947,849,000","923,687,000","926,722,000","930,341,000","870,206,000","849,541,000","797,603,000","806,115,000","775,199,000","770,370,000","737,956,000","740,947,000","731,654,000","731,514,000","693,556,000","701,767,000","666,786,000","676,557,000","579,474,000","583,236,000","584,103,000","572,569,000","551,552,000","511,949,000","505,542,000","483,281,000","494,323,000","495,574,000","486,494,000","449,844,000","444,979,000","408,073,000","385,846,000","372,082,000","343,745,000","334,910,000","323,080,000","314,499,000","314,512,000","293,764,000","291,231,000","248,956,000","258,662,000","273,697,000","276,473,000","260,194,000","274,668,000","292,697,000","285,600,000","267,800,000","278,800,000","294,400,000","270,000,000","264,800,000","234,800,000","220,100,000","212,800,000","151,800,000","118,200,000","118,800,000","126,600,000","105,800,000","97,600,000","87,900,000","96,500,000","76,900,000"
