name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000
TotalAssets,"568,083,000","564,288,000","561,251,000","556,218,000","581,368,000","600,394,000","596,890,000","620,806,000","647,470,000","622,527,000","629,113,000","628,000,000","638,563,000","638,140,000","654,045,000","663,638,000","682,918,000","709,919,000","704,285,000","662,586,000","688,855,000","649,012,000","510,715,000","486,092,000","472,730,000","479,496,000","469,882,000","453,858,000","443,740,000","434,821,000","414,969,000","419,713,000","429,291,000","426,438,000","415,768,000","404,810,000","407,784,000","391,853,000","389,154,000","348,233,000","315,945,000","314,315,000","331,308,000","333,636,000","330,738,000","331,047,000","300,350,000","292,484,000","291,774,000","291,491,000","286,738,000","264,597,000","256,914,000","258,622,000","264,452,000","261,259,000","188,846,000","189,571,000","136,815,000","129,781,000","126,134,000","124,163,000","125,432,000","91,341,000","97,393,000","77,396,000","64,047,000","60,490,000","59,036,000","59,257,000","56,894,000","54,556,000","56,430,000","57,020,000","57,494,000","57,231,000","57,671,000","59,340,000","60,946,000","61,948,000","64,124,000","64,935,000","65,832,000","12,261,000","10,842,000","10,718,000"
	CurrentAssets,"286,768,000","277,291,000","261,671,000","245,699,000","265,819,000","271,702,000","266,518,000","278,756,000","302,714,000","269,749,000","274,868,000","265,240,000","273,982,000","285,775,000","286,982,000","286,733,000","290,933,000","305,628,000","340,998,000","286,984,000","316,471,000","405,799,000","265,965,000","245,931,000","228,349,000","241,356,000","247,523,000","228,361,000","218,239,000","217,805,000","193,331,000","189,860,000","198,250,000","196,761,000","182,607,000","169,979,000","169,858,000","168,871,000","157,119,000","168,366,000","133,788,000","131,233,000","128,226,000","139,580,000","136,276,000","128,943,000","120,212,000","112,288,000","109,538,000","108,170,000","109,284,000","133,850,000","125,263,000","125,648,000","133,483,000","132,869,000","68,009,000","65,574,000","64,638,000","58,125,000","54,406,000","51,596,000","64,138,000","30,715,000","31,768,000","65,192,000","52,046,000","49,097,000","47,294,000","47,355,000","45,199,000","47,512,000","48,331,000","49,108,000","49,840,000","53,820,000","54,152,000","55,536,000","57,146,000","58,674,000","60,852,000","62,548,000","63,644,000","8,437,000","7,410,000","7,840,000"
		CashCashEquivalentsAndShortTermInvestments,"84,285,000","75,595,000","68,779,000","62,494,000","80,549,000","82,082,000","74,536,000","84,878,000","107,016,000","63,297,000","63,062,000","52,009,000","53,423,000","56,373,000","54,440,000","54,908,000","64,471,000","88,950,000","132,405,000","80,303,000","112,862,000","247,570,000","106,502,000","96,284,000","81,285,000","82,469,000","82,201,000","73,238,000","66,999,000","66,558,000","57,806,000","56,018,000","59,589,000","56,106,000","44,192,000","28,910,000","24,354,000","23,057,000","19,500,000","16,957,000","37,416,000","32,816,000","30,776,000","37,746,000","33,899,000","29,388,000","43,549,000","39,902,000","39,444,000","33,551,000","29,623,000","68,549,000","62,225,000","56,915,000","68,976,000","76,709,000","12,600,000","11,916,000","22,447,000","18,352,000","16,784,000","15,392,000","37,155,000","9,493,000","10,000,000","52,209,000","41,814,000","39,870,000","37,813,000","35,743,000","33,740,000","38,641,000","38,941,000","37,635,000","38,638,000","43,302,000","43,548,000","44,918,000","25,662,000","49,591,000","51,571,000","53,086,000","55,942,000","1,523,000","940,000","983,000"
			CashAndCashEquivalents,"84,285,000","75,595,000","68,779,000","62,494,000","80,549,000","82,082,000","74,536,000","84,878,000","107,016,000","63,297,000","63,062,000","52,009,000","53,423,000","56,373,000","54,440,000","54,908,000","64,471,000","88,950,000","132,405,000","80,303,000","103,778,000","213,551,000","81,073,000","96,284,000","81,285,000","82,469,000","82,201,000","73,238,000","66,999,000","66,558,000","57,806,000","56,018,000","59,589,000","56,106,000","44,192,000","28,910,000","24,354,000","23,057,000","19,500,000","16,957,000","37,416,000","32,816,000","30,776,000","37,746,000","33,899,000","28,383,000","42,567,000","38,956,000","38,493,000","32,586,000","28,679,000","67,683,000","61,430,000","56,915,000","68,006,000","65,696,000","12,600,000","11,916,000","22,447,000","17,834,000","16,784,000","15,392,000","37,155,000","9,493,000","10,000,000","40,046,000","28,167,000","27,183,000","26,154,000","16,239,000","10,662,000","5,897,000","8,602,000","9,435,000","8,533,000","13,280,000","9,631,000","17,768,000","25,662,000","23,751,000","15,774,000","30,351,000","55,942,000","1,213,000","630,000","681,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,"0","0","0","9,084,000","34,019,000","25,429,000",,,,,,,,,,,,,,,,,,,"0","0","0","0","1,005,000","982,000","946,000","951,000","965,000","944,000","866,000","795,000",,"970,000","11,013,000",,,,"518,000",,,,,,"12,163,000","13,647,000","12,687,000","11,659,000","19,504,000","23,078,000","32,744,000","30,339,000","28,200,000","30,105,000","30,022,000","33,917,000","27,150,000",,"25,840,000","35,797,000","22,735,000",,"310,000","310,000","302,000"
		Receivables,"103,714,000","111,760,000","97,370,000","92,793,000","91,326,000","93,133,000","84,107,000","89,230,000","101,219,000","115,889,000","108,964,000","106,934,000","110,900,000","127,041,000","121,113,000","122,971,000","128,056,000","126,809,000","116,666,000","114,063,000","114,386,000","86,638,000","84,870,000","93,102,000","90,013,000","99,080,000","88,905,000","83,341,000","81,990,000","82,277,000","79,485,000","76,910,000","79,933,000","82,110,000","84,803,000","87,557,000","93,005,000","89,960,000","82,030,000","58,137,000","56,822,000","55,260,000","48,693,000","53,772,000","52,141,000","54,782,000","41,018,000","38,576,000","36,403,000","43,750,000","41,660,000","34,019,000","30,747,000","36,242,000","33,888,000","28,255,000","27,909,000","27,018,000","21,783,000","22,321,000","19,690,000","20,347,000","16,107,000","12,303,000","12,880,000","8,460,000","5,879,000","4,990,000","5,426,000","6,640,000","6,567,000","4,466,000","4,426,000","5,682,000","4,892,000","4,277,000","4,403,000","5,395,000","4,233,000","4,416,000","4,220,000","5,209,000","4,054,000","3,985,000","3,313,000","4,400,000"
			AccountsReceivable,"103,714,000","111,760,000","97,370,000","92,793,000","91,326,000","93,133,000","84,107,000","89,230,000","101,219,000","115,889,000","108,964,000","106,934,000","110,900,000","127,041,000","121,113,000","122,971,000","128,056,000","126,809,000","116,666,000","114,063,000","114,386,000","86,638,000","84,870,000","93,102,000","90,013,000","99,080,000","88,905,000","83,341,000","81,990,000","82,277,000","79,485,000","76,910,000","79,933,000","82,110,000","84,803,000","87,557,000","93,005,000","89,960,000","82,030,000","58,137,000","56,822,000","55,260,000","48,693,000","53,772,000","52,141,000","54,782,000","41,018,000","38,576,000","36,403,000","43,750,000","41,660,000","34,019,000","30,747,000","36,242,000","33,888,000","28,255,000","27,909,000","27,018,000","21,783,000","22,321,000","19,690,000","20,347,000","16,107,000","12,303,000","12,880,000","8,460,000","5,879,000","4,990,000","5,426,000","6,640,000","6,567,000","4,466,000","4,426,000","5,682,000","4,892,000","4,277,000","4,403,000","5,395,000","4,233,000","4,416,000","4,220,000","5,209,000","4,054,000","3,985,000","3,313,000","4,400,000"
				GrossAccountsReceivable,"108,691,000","117,031,000","103,350,000","98,923,000","97,411,000","99,346,000","90,776,000","96,769,000","108,510,000","123,273,000","118,011,000","115,513,000","118,351,000","134,001,000","127,416,000","129,546,000","136,256,000","135,787,000","126,837,000","123,246,000","119,407,000","90,820,000","89,576,000","98,278,000","94,946,000","103,766,000","93,503,000","87,799,000","86,300,000","86,601,000","83,387,000","80,431,000","83,551,000","85,072,000","88,666,000","90,903,000","96,323,000","92,577,000","83,728,000","59,828,000","58,100,000","56,201,000","49,649,000","55,174,000","53,731,000","56,425,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-4,977,000","-5,271,000","-5,980,000","-6,130,000","-6,085,000","-6,213,000","-6,669,000","-7,539,000","-7,291,000","-7,384,000","-9,047,000","-8,579,000","-7,451,000","-6,960,000","-6,303,000","-6,575,000","-8,200,000","-8,978,000","-10,171,000","-9,183,000","-5,021,000","-4,182,000","-4,706,000","-5,176,000","-4,933,000","-4,686,000","-4,598,000","-4,458,000","-4,310,000","-4,324,000","-3,902,000","-3,521,000","-3,618,000","-2,962,000","-3,863,000","-3,346,000","-3,318,000","-2,617,000","-1,698,000","-1,691,000","-1,278,000","-941,000","-956,000","-1,402,000","-1,590,000","-1,643,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"72,238,000","67,745,000","71,545,000","68,350,000","69,467,000","75,650,000","80,135,000","83,589,000","74,808,000","71,368,000","75,107,000","78,275,000","82,866,000","79,736,000","80,586,000","76,630,000","74,543,000","71,529,000","69,322,000","69,278,000","67,684,000","49,587,000","51,654,000","43,620,000","45,691,000","48,572,000","46,108,000","44,873,000","41,371,000","40,051,000","37,115,000","35,503,000","35,455,000","37,685,000","39,376,000","38,906,000","38,028,000","40,756,000","40,755,000","25,685,000","29,385,000","33,389,000","40,269,000","39,399,000","39,642,000","37,627,000","26,298,000","25,540,000","25,144,000","22,408,000","29,544,000","24,021,000","25,525,000","25,009,000","23,233,000","20,627,000","20,557,000","19,264,000","15,662,000","13,795,000","13,421,000","11,743,000","8,912,000","8,321,000","7,439,000","3,482,000","3,888,000","3,717,000","3,474,000","4,347,000","4,379,000","3,956,000","4,302,000","5,263,000","5,561,000","5,421,000","5,287,000","4,560,000","4,337,000","3,972,000","4,201,000","3,598,000","3,054,000","2,500,000","2,782,000","2,194,000"
