name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993
TotalAssets,"6,250,420,000","6,224,169,000","6,500,117,000","6,291,913,000","6,703,452,000","6,558,948,000","6,567,643,000","7,436,015,000","7,016,862,000","6,650,145,000","6,678,084,000","6,710,452,000","6,715,611,000","5,756,339,000","5,275,153,000","5,175,666,000","4,629,631,000","4,685,930,000","4,655,369,000","4,668,523,000","4,681,896,000","4,670,751,000","4,456,654,000","4,829,320,000","4,797,083,000","4,350,900,000","4,409,152,000","4,419,473,000","4,426,784,000","4,478,924,000","4,509,581,000","5,656,411,000","5,680,091,000","5,741,731,000","5,773,081,000","5,849,077,000","6,154,985,000","6,332,193,000","6,385,652,000","6,038,948,000","5,833,416,000","5,883,054,000","5,638,822,000","5,636,535,000","5,668,438,000","5,702,546,000","5,410,197,000","5,437,107,000","5,479,489,000","4,459,957,000","4,540,448,000","4,563,250,000","4,578,502,000","4,605,427,000","4,888,880,000","4,769,330,000","4,558,712,000","4,487,596,000","4,370,945,000","4,320,649,000","4,277,946,000","3,901,299,000","4,433,551,000","4,484,865,000","4,504,646,000","4,424,971,000","4,209,038,000","4,086,138,000","3,962,077,000","3,919,032,000","3,717,008,000","2,080,832,000","1,863,517,000","1,872,997,000","1,798,918,000","1,773,183,000","1,782,263,000","1,912,990,000","1,768,019,000","1,782,341,000","1,782,607,000","1,754,913,000","1,691,309,000","1,684,527,000","1,561,987,000","1,577,614,000","1,459,905,000","1,434,846,000","1,418,471,000","1,444,000,000","1,143,000,000","1,127,100,000","1,116,400,000","1,146,300,000","1,134,600,000","1,131,000,000","1,137,400,000","1,031,400,000","1,030,200,000","1,059,500,000","1,204,400,000","969,200,000","953,400,000","942,000,000","949,600,000","931,600,000","949,500,000","847,300,000","843,600,000","830,300,000","836,300,000","759,500,000","747,800,000","625,100,000"
	CurrentAssets,"576,568,000","507,803,000","717,272,000","472,824,000","867,298,000","650,277,000","640,622,000","1,455,867,000","963,763,000","399,494,000","393,668,000","396,793,000","402,660,000","399,751,000","582,104,000","751,580,000","301,627,000","328,663,000","282,787,000","279,743,000","283,843,000","307,947,000","270,300,000","735,877,000","712,684,000","257,232,000","228,168,000","230,881,000","232,034,000","241,950,000","230,451,000","336,652,000","324,401,000","334,680,000","324,870,000","343,071,000","561,362,000","355,593,000","893,288,000","526,879,000","313,237,000","342,894,000","333,540,000","305,135,000","294,418,000","279,876,000","229,623,000","224,171,000","225,936,000","192,737,000","204,288,000","211,052,000","208,519,000","214,448,000","262,292,000","310,431,000","310,508,000","339,128,000","307,944,000","316,355,000","300,491,000","374,678,000","961,517,000","293,409,000","272,660,000","288,161,000","238,697,000","238,386,000","222,570,000","262,055,000","219,274,000","152,624,000","135,242,000","159,631,000","156,989,000","143,386,000","144,198,000","263,940,000","125,837,000","134,007,000","137,830,000","130,888,000","120,295,000","122,631,000","120,245,000","128,571,000","111,931,000","112,477,000","114,958,000","142,600,000","125,300,000","124,000,000","117,200,000","141,700,000","135,000,000","121,400,000","120,200,000","100,300,000","95,500,000","113,000,000","131,400,000","88,300,000","86,800,000","92,800,000","96,200,000","88,400,000","119,400,000","73,300,000","74,100,000","73,000,000","105,100,000","166,600,000","216,500,000","190,300,000"
		CashCashEquivalentsAndShortTermInvestments,"402,975,000","344,557,000","570,926,000","334,537,000","730,908,000","519,182,000","506,046,000","1,308,347,000","831,246,000","249,977,000","235,084,000","239,411,000","247,681,000","249,417,000","440,963,000","632,808,000","179,706,000","203,104,000","158,832,000","162,963,000","167,007,000","193,862,000","159,688,000","628,278,000","616,201,000","158,821,000","125,045,000","124,523,000","130,797,000","145,341,000","120,910,000","162,512,000","162,878,000","177,838,000","165,803,000","182,612,000","358,354,000","192,828,000","343,771,000","360,455,000","156,714,000","178,756,000","187,118,000","175,780,000","173,848,000","145,623,000","92,675,000","100,173,000","108,202,000","93,202,000","89,061,000","93,646,000","98,168,000","98,152,000","123,573,000","148,737,000","152,528,000","165,701,000","152,845,000","159,382,000","157,072,000","169,397,000","170,235,000","169,342,000","177,451,000","188,406,000","139,849,000","148,821,000","136,818,000","160,723,000","125,179,000","84,550,000","73,838,000","88,213,000","73,216,000","76,784,000","75,691,000","191,380,000","69,841,000","77,046,000","77,072,000","77,115,000","82,122,000","83,938,000","81,062,000","88,059,000","77,969,000","72,069,000","71,876,000","86,200,000","63,900,000","71,800,000","65,700,000","75,900,000","68,100,000","76,700,000","77,900,000","60,700,000","55,200,000","61,300,000","70,400,000","45,500,000","49,000,000","51,900,000","56,000,000","46,300,000","83,200,000","36,400,000","36,900,000","34,900,000","67,000,000","141,100,000","188,600,000","167,000,000"
			CashAndCashEquivalents,"402,975,000","344,557,000","570,926,000","334,537,000","730,908,000","519,182,000","506,046,000","1,308,347,000","831,246,000","249,977,000","235,084,000","239,411,000","247,681,000","249,417,000","440,963,000","632,808,000","179,706,000","203,104,000","158,832,000","162,963,000","167,007,000","193,862,000","159,688,000","628,278,000","616,201,000","158,821,000","125,045,000","124,523,000","130,797,000","145,341,000","120,910,000","162,512,000","162,878,000","177,838,000","165,803,000","182,612,000","358,354,000","192,828,000","343,771,000","360,455,000","156,714,000","178,756,000","187,118,000","175,780,000","173,848,000","145,623,000","92,675,000","100,173,000","108,202,000","93,202,000","89,061,000","93,646,000","98,168,000","98,152,000","123,573,000","148,737,000","152,528,000","165,701,000","152,845,000","159,382,000","157,072,000","169,397,000","170,235,000","169,342,000","177,451,000","188,406,000","139,849,000","148,821,000","136,818,000","160,723,000","125,179,000","84,550,000","73,838,000","88,213,000","73,216,000","76,784,000","75,691,000","191,380,000","69,841,000","77,046,000","77,072,000","77,115,000","82,122,000","83,938,000","81,062,000","88,059,000","77,969,000","72,069,000","71,876,000","86,200,000","63,900,000","71,800,000","65,700,000","75,900,000","68,100,000","76,700,000","77,900,000","60,700,000","55,200,000","61,300,000","70,400,000","45,500,000","49,000,000","51,900,000","56,000,000","46,300,000","83,200,000","36,400,000","36,900,000","34,900,000","67,000,000","141,100,000","188,600,000","167,000,000"
		Receivables,"97,096,000","89,483,000","55,673,000","57,514,000","62,863,000","53,464,000","44,118,000","40,711,000","43,045,000","60,464,000","56,675,000","67,818,000","64,339,000","60,144,000","44,886,000","41,058,000","41,684,000","45,507,000","33,761,000","30,544,000","28,977,000","32,815,000","28,104,000","28,380,000","24,612,000","26,669,000","25,176,000","28,728,000","31,902,000","28,478,000","27,611,000","65,808,000","62,240,000","66,712,000","59,031,000","61,069,000","61,462,000","64,915,000","62,806,000","62,918,000","59,447,000","61,857,000","47,145,000","46,036,000","49,343,000","53,191,000","49,662,000","47,149,000","46,651,000","39,391,000","30,367,000","30,502,000","32,940,000","36,490,000","33,538,000","30,354,000","32,576,000","41,571,000","25,661,000","32,263,000","23,206,000","34,561,000","46,724,000","48,519,000","28,380,000","37,021,000","31,842,000","27,249,000","25,059,000","45,267,000","23,236,000","16,076,000","14,435,000","22,323,000","29,792,000","20,832,000","20,785,000","22,953,000","17,779,000","17,509,000","22,858,000","20,439,000","14,741,000","12,015,000","12,224,000","14,326,000","14,783,000","13,075,000","13,165,000","17,600,000","18,300,000","26,500,000","27,700,000","33,100,000","32,400,000","19,000,000","19,100,000","14,700,000","16,900,000","20,800,000","25,900,000","16,300,000","16,000,000","17,400,000","17,400,000","17,300,000","16,100,000","16,500,000","14,700,000","12,500,000","11,300,000","7,900,000","7,700,000","6,500,000"
			AccountsReceivable,"97,096,000","89,483,000","55,673,000","57,514,000","62,863,000","53,456,000","43,778,000","35,234,000","37,568,000","54,864,000","50,839,000","61,224,000","58,862,000","54,667,000","39,701,000","35,854,000","36,499,000","40,322,000","33,536,000","29,962,000","28,050,000","30,371,000","26,936,000","26,765,000","24,056,000","25,289,000","25,176,000","28,728,000","30,655,000","27,235,000","26,873,000","64,619,000","61,063,000","65,569,000","57,395,000","59,426,000","59,964,000","62,040,000","56,354,000","59,599,000","57,086,000","58,589,000","47,145,000","46,036,000","44,300,000","47,942,000","44,416,000","44,044,000","46,651,000","18,584,000","18,686,000","21,203,000","21,815,000","21,375,000","21,145,000","19,384,000","22,590,000","23,602,000","24,979,000","21,566,000","23,206,000","26,275,000","24,831,000","25,504,000","24,067,000","25,706,000","24,175,000","22,179,000","25,059,000","29,263,000","22,377,000","16,076,000","14,435,000","14,800,000","14,161,000","11,721,000","15,338,000","14,456,000","15,859,000","14,918,000","22,858,000","15,660,000","12,086,000","12,015,000","12,224,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,"92,821,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-3,338,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,"0","0","0","0","8,000","340,000","5,477,000","5,477,000","5,600,000","5,836,000","6,594,000","5,477,000","5,477,000","5,185,000","5,204,000","5,185,000","5,185,000","225,000","582,000","927,000","2,444,000","1,168,000","1,615,000","556,000","1,380,000","0","0","1,247,000","1,243,000","738,000","1,189,000","1,177,000","1,143,000","1,636,000","1,643,000","1,498,000","2,875,000","6,452,000","3,319,000","2,361,000","3,268,000","0","0","5,043,000","5,249,000","5,246,000","3,105,000","0","20,807,000","11,681,000","9,299,000","11,125,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,115,000","12,393,000","10,970,000","9,986,000","17,969,000","682,000","10,697,000",,"8,286,000","21,893,000","23,015,000","4,313,000","11,315,000","7,667,000","5,070,000",,"16,004,000","859,000",,,"7,523,000","15,631,000","9,111,000","5,447,000","8,497,000","1,920,000","2,591,000",,"4,779,000","2,655,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
