name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
OperatingCashFlow,"372,601,000","92,999,000","59,857,000","136,212,000","83,533,000","83,662,000","104,101,000","155,417,000","94,817,000","33,796,000","79,610,000","120,942,000","109,074,000","56,999,000","125,683,000","169,519,000","104,686,000","91,738,000","89,196,000","157,180,000","77,948,000","113,696,000","72,289,000","137,528,000","71,713,000","66,176,000","62,374,000","119,845,000","65,530,000","105,445,000","48,516,000","152,520,000","66,369,000","96,938,000","57,903,000","133,437,000","60,230,000","53,979,000","67,787,000","98,445,000","45,387,000","37,650,000","75,333,000","78,016,000","63,675,000","93,219,000","82,871,000","35,314,000","86,765,000","100,450,000","61,899,000","111,894,000","66,279,000","44,353,000","21,108,000","61,906,000","32,582,000","20,917,000","33,401,000","5,737,000","20,442,000","21,021,000","-70,000","23,334,000","80,250,000","66,264,000","35,314,000","60,185,000","22,400,000","43,597,000","39,284,000","65,157,000","31,948,000","58,307,000","54,061,000","119,703,000","41,994,000","95,486,000","104,588,000","118,000,000","16,000,000","109,000,000","21,123,000","-20,241,000","118,051,000","-126,933,000","29,944,000","6,043,000","50,718,000","46,930,000","61,835,000","83,308,000","38,325,000","47,120,000","35,044,000","43,789,000","42,552,000","48,502,000","42,859,000","50,005,000","10,287,000","70,246,000","38,725,000","42,309,000","36,356,000","57,025,000","43,612,000","48,563,000","31,087,000","45,168,000","28,905,000","35,088,000","21,380,000","40,284,000"
	CashFlowFromContinuingOperatingActivities,"372,601,000","92,999,000","59,857,000","136,212,000","83,533,000","83,662,000","104,101,000","155,417,000","94,817,000","33,796,000","79,610,000","120,942,000","109,074,000","56,999,000","125,683,000","169,519,000","104,686,000","91,738,000","89,196,000","157,180,000","77,948,000","113,696,000","72,289,000","137,528,000","71,713,000","66,176,000","62,374,000","119,845,000","65,530,000","105,445,000","48,516,000","152,520,000","66,369,000","96,938,000","57,903,000","133,437,000","60,230,000","53,979,000","67,787,000","98,445,000","45,387,000","37,650,000","75,333,000","78,016,000","63,675,000","93,219,000","82,871,000","35,314,000","86,765,000","100,450,000","61,899,000","111,894,000","66,279,000","44,353,000","21,108,000","61,906,000","32,582,000","20,917,000","33,401,000","5,737,000","20,442,000","21,021,000","-70,000","23,334,000","80,250,000","66,264,000","35,314,000","60,185,000","22,400,000","43,597,000","39,284,000","65,157,000","31,948,000","58,307,000","54,061,000","119,703,000","41,994,000","95,486,000","104,588,000","118,000,000","16,000,000","109,000,000","21,123,000","-20,241,000","118,051,000","-126,933,000","29,944,000","6,043,000","50,718,000","46,930,000","61,835,000","83,308,000","38,325,000","47,120,000","35,044,000","43,789,000","42,552,000","48,502,000","42,859,000","50,005,000","10,287,000","70,246,000","38,725,000","42,309,000","36,356,000","57,025,000","43,612,000","48,563,000","31,087,000","45,168,000","28,905,000","35,088,000","21,380,000","40,284,000"
		NetIncomeFromContinuingOperations,"247,256,000","46,184,000","32,844,000","97,954,000","70,274,000","44,800,000","37,549,000","102,302,000","60,659,000","37,458,000","47,073,000","90,218,000","53,400,000","42,637,000","26,229,000","102,590,000","62,593,000","36,111,000","39,011,000","91,076,000","50,095,000","33,006,000","33,154,000","83,018,000","56,386,000","25,530,000","31,673,000","73,268,000","66,190,000","23,344,000","34,639,000","87,233,000","44,697,000","27,185,000","31,529,000","71,735,000","45,650,000","33,380,000","16,415,000","92,264,000","35,437,000","24,818,000","8,984,000","107,413,000",,,"20,241,000","67,125,000","39,237,000","15,857,000","23,412,000","54,706,000","27,571,000","18,686,000","7,445,000","51,738,000","17,515,000","21,716,000","10,295,000","28,931,000","18,466,000","24,647,000","18,082,000","43,989,000","19,856,000","25,476,000","8,307,000","22,837,000","9,451,000","23,066,000","14,266,000","26,066,000","12,992,000","19,659,000","3,754,000","46,776,000","-880,000","-3,072,000","-3,328,000","37,000,000","3,000,000","25,000,000","20,218,000","33,924,000","36,088,000","34,770,000","23,720,000","41,561,000","32,523,000","42,079,000","18,588,000","22,019,000","21,241,000","29,501,000","14,236,000","23,716,000","21,769,000","29,455,000","20,713,000","21,141,000","20,040,000","30,380,000","18,224,000","19,151,000","23,032,000","30,211,000","24,833,000","23,772,000","17,589,000","20,727,000","23,351,000","16,289,000","17,030,000","18,260,000"
		OperatingGainsLosses,"22,290,000","4,958,000","9,264,000","3,214,000","4,854,000","5,050,000","4,689,000","3,293,000","4,531,000","4,944,000","3,837,000","2,797,000","3,931,000","4,584,000","10,837,000","329,000","5,467,000","3,019,000","2,988,000","1,942,000","6,581,000","5,895,000","8,082,000","-4,934,000","5,992,000","7,467,000","4,950,000","2,011,000","4,243,000","7,778,000","20,043,000","575,000","5,429,000","6,015,000","835,000","4,596,000","9,293,000","7,566,000","52,755,000","9,706,000","2,996,000","-19,899,000","21,720,000","-11,011,000","8,874,000","5,254,000","6,608,000","-58,909,000","1,377,000","3,573,000","63,519,000","-299,000","11,398,000","327,000","-77,000","23,727,000","-7,561,000","-19,535,000","-134,683,000","66,429,000","-48,694,000","-22,172,000","-6,527,000","-67,886,000","52,126,000","-3,371,000","-4,049,000","-13,193,000","4,906,000","279,000","-13,042,000","19,459,000","-4,213,000","12,127,000","12,284,000","20,967,000","37,417,000","60,263,000","74,992,000","35,000,000","80,000,000","50,000,000","24,445,000","-57,727,000","-65,921,000","-160,797,000","-16,728,000","-56,071,000","-20,164,000","-14,859,000","-4,718,000","-14,879,000","2,937,000","12,185,000","8,915,000","-1,338,000",,,,,"-793,000","-194,000","412,000","1,890,000","517,000","-1,102,000","-517,000","-3,132,000","-88,000","-1,631,000","104,000","-5,463,000","-1,593,000","-2,755,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-11,426,000","-2,308,000","-2,739,000","-4,066,000","-2,313,000","-2,317,000","-2,550,000","-3,960,000","-2,687,000","-2,316,000","-2,825,000","-4,166,000","-2,998,000","-2,381,000","-231,000","-6,666,000","-1,537,000","-4,015,000","-4,105,000","-5,232,000","-592,000","-1,445,000","779,000","-12,325,000","-1,367,000","42,000","-2,492,000","-5,526,000","-3,270,000","160,000","-3,464,000","-6,415,000","-1,510,000","-983,000","-11,368,000","-2,758,000","2,294,000","-107,000","-11,252,000","6,871,000","-2,922,000","7,631,000","-4,330,000","291,000","4,447,000","1,294,000","3,686,000","-2,162,000","-380,000","2,378,000","4,743,000","-1,161,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"33,716,000","7,266,000","12,003,000","7,280,000","7,167,000","7,367,000","7,239,000","7,253,000","7,218,000","7,260,000","6,947,000","6,963,000","6,929,000","6,965,000","11,223,000","6,995,000","7,004,000","7,034,000","7,224,000","7,174,000","7,173,000","7,340,000","7,406,000","7,391,000","7,359,000","7,425,000","7,539,000","7,537,000","7,513,000","7,618,000","23,700,000","6,990,000","6,939,000","6,998,000","23,881,000","7,354,000","6,999,000","7,673,000","64,007,000","2,835,000","5,918,000","-27,530,000","26,050,000","-11,302,000","4,427,000","3,960,000","2,922,000","-56,747,000","1,717,000","1,235,000","949,000","867,000","1,512,000","697,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"180,652,000","45,494,000","45,460,000","45,095,000","44,603,000","44,286,000","43,915,000","44,262,000","44,098,000","43,666,000","44,407,000","43,738,000","42,293,000","43,362,000","43,154,000","42,660,000","42,278,000","41,028,000","40,882,000","41,139,000","46,184,000","37,728,000","37,133,000","36,978,000","37,038,000","36,145,000","36,277,000","35,793,000","35,454,000","35,057,000","34,722,000","34,509,000","33,969,000","33,888,000","34,242,000","33,509,000","32,830,000","33,195,000","32,707,000","32,975,000","31,054,000","31,875,000","32,013,000","31,256,000","29,798,000","31,592,000","30,592,000","30,234,000","30,588,000","30,435,000","32,115,000","31,051,000","24,265,000","31,169,000","29,248,000","29,937,000","32,478,000","30,777,000","29,082,000","30,889,000","30,110,000","30,287,000","31,713,000","30,589,000","29,744,000","30,595,000","43,207,000","19,282,000","31,024,000","30,611,000","30,857,000","31,474,000","31,194,000","30,667,000","31,268,000","32,058,000","33,363,000","32,381,000","31,831,000","35,000,000","29,000,000","27,000,000","28,676,000","28,583,000","27,781,000","25,960,000","29,975,000","25,506,000","24,346,000","24,144,000","26,523,000","21,196,000","24,334,000","23,383,000","24,248,000","19,333,000","21,908,000","21,654,000","18,309,000","18,100,000","18,042,000","17,522,000","17,481,000","17,652,000","17,177,000","17,395,000","17,272,000","17,033,000","16,436,000","16,674,000","12,541,000","16,101,000","15,527,000","16,033,000"
			DepreciationAndAmortization,"180,652,000","45,494,000","45,460,000","45,095,000","44,603,000","44,286,000","43,915,000","44,262,000","44,098,000","43,666,000","44,407,000","43,738,000","42,293,000","43,362,000","43,154,000","42,660,000","42,278,000","41,028,000","40,882,000","41,139,000","46,184,000","37,728,000","37,133,000","36,978,000","37,038,000","36,145,000","36,277,000","35,793,000","35,454,000","35,057,000","34,722,000","34,509,000","33,969,000","33,888,000","34,242,000","33,509,000","32,830,000","33,195,000",,,,,,,,,"30,592,000","30,234,000","30,588,000","30,435,000","32,115,000","31,051,000","24,265,000","31,169,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"24,774,000","-2,517,000","27,307,000","2,763,000","-2,779,000","-3,390,000","28,138,000","-842,000","-742,000","-1,379,000","29,788,000","-1,222,000","-1,886,000","-4,291,000","30,789,000","-9,789,000","-4,801,000","-4,907,000","33,440,000","-7,023,000","2,434,000","4,394,000","5,655,000","17,704,000","5,948,000","6,425,000","13,380,000","25,577,000","-1,572,000","1,260,000","-6,192,000","20,422,000","14,861,000","-9,928,000","23,489,000","27,010,000","4,591,000","10,478,000","6,469,000","7,960,000","6,856,000","5,008,000","1,427,000","-32,346,000","-23,260,000","1,266,000","4,647,000","56,821,000","3,392,000","-23,118,000","4,238,000","7,249,000","-7,127,000","14,675,000","-11,414,000","-702,000","4,160,000","12,617,000","-18,198,000","10,464,000","11,180,000","7,580,000","-865,000","18,589,000","-8,144,000","-26,912,000","-23,363,000","-4,026,000","-7,024,000","2,644,000","-7,994,000","-4,807,000","-19,613,000","-1,498,000","9,481,000","-17,001,000","-23,893,000","-30,572,000","-18,666,000","-48,000,000","-30,000,000","-14,000,000","34,955,000","28,036,000","24,702,000","62,307,000","16,977,000","23,072,000","6,487,000","182,000","143,000","319,000","-1,793,000","-489,000","-9,526,000","1,797,000","-4,450,000","1,997,000","283,000","5,887,000","149,000","746,000","4,579,000","5,108,000","-927,000","-1,559,000","4,875,000","4,087,000","-1,343,000","3,920,000","1,298,000","5,667,000","2,869,000","4,032,000"
