name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005
OperatingCashFlow,"8,377,000,000","2,370,000,000","1,739,000,000","2,263,000,000","2,005,000,000","5,155,000,000","1,906,000,000","2,320,000,000","1,319,000,000","1,816,000,000","2,037,000,000","2,072,000,000","2,079,000,000","1,815,000,000","2,211,000,000","2,133,000,000","1,023,000,000","2,139,000,000","1,125,000,000","1,874,000,000","537,000,000","893,000,000","1,027,000,000","872,000,000","533,000,000","985,000,000","922,000,000","1,033,000,000","538,000,000","575,000,000","668,000,000","612,000,000","1,066,000,000","829,000,000","572,000,000","720,000,000","797,000,000","330,000,000","180,784,000","472,769,000","345,091,000","79,356,000","273,731,000","404,623,000","340,188,000","358,149,000","159,196,000","125,747,000","326,896,000","475,040,000","2,040,000","67,933,000","335,660,000","317,828,000","127,203,000","131,907,000","299,855,000","264,792,000","97,262,000","154,969,000","155,503,000","358,089,000","85,936,000","-58,272,000","36,694,000","367,491,000","-35,131,000","-160,407,000","104,637,000"
	CashFlowFromContinuingOperatingActivities,"8,377,000,000","2,370,000,000","1,739,000,000","2,263,000,000","2,005,000,000","5,155,000,000","1,906,000,000","2,320,000,000","1,319,000,000","1,816,000,000","2,037,000,000","2,072,000,000","2,079,000,000","1,815,000,000","2,211,000,000","2,133,000,000","1,023,000,000","2,139,000,000","1,125,000,000","1,874,000,000","537,000,000","893,000,000","1,027,000,000","872,000,000","533,000,000","985,000,000","922,000,000","1,033,000,000","538,000,000","575,000,000","668,000,000","612,000,000","1,066,000,000","829,000,000","572,000,000","720,000,000","797,000,000","330,000,000","180,784,000","472,769,000","345,091,000","79,356,000","273,731,000","404,623,000","340,188,000","358,149,000","159,196,000","125,747,000","326,896,000","475,040,000","2,040,000","67,933,000","335,660,000","317,828,000","127,203,000","131,907,000","299,855,000","264,792,000","97,262,000","154,969,000","155,503,000","358,089,000","85,936,000","-58,272,000","36,694,000","367,491,000","-35,131,000","-160,407,000","104,637,000"
		NetIncomeFromContinuingOperations,"4,533,000,000","1,487,000,000","1,231,000,000","907,000,000","908,000,000","3,641,000,000","833,000,000","-401,000,000","672,000,000","-964,000,000","1,350,000,000","1,161,000,000","1,208,000,000","1,180,000,000","852,000,000","1,391,000,000","633,000,000","489,000,000","1,155,000,000","804,000,000","117,000,000","290,000,000","-760,000,000","41,000,000","424,000,000","336,000,000","-138,000,000","238,000,000","772,000,000","221,000,000","-294,000,000","470,000,000","500,000,000","448,000,000","-701,000,000","356,000,000","338,000,000","322,000,000","272,010,000","-33,834,000","74,522,000","961,302,000","161,804,000","60,699,000",,,"157,804,000","-4,827,000","-20,479,000","204,082,000","242,096,000","34,267,000","141,758,000","279,750,000","22,566,000","105,379,000","120,394,000","126,705,000","51,464,000","51,871,000","89,093,000","147,355,000","31,041,000","-167,000","-225,053,000","292,759,000","39,601,000",,
		OperatingGainsLosses,"-272,000,000","-71,000,000","-53,000,000","-77,000,000","-71,000,000","-54,000,000","-68,000,000","20,000,000","-95,000,000","58,000,000","-89,000,000","-91,000,000","-87,000,000","-55,000,000","-82,000,000","-98,000,000","-101,000,000","11,000,000","173,000,000","-92,000,000","-71,000,000","-65,000,000","-145,000,000","-50,000,000","-92,000,000","-58,000,000","9,000,000","-105,000,000","-88,000,000","-57,000,000","-54,000,000","-85,000,000","-172,000,000","-174,000,000","103,000,000","-130,000,000","-42,000,000","-90,000,000","-243,303,000","-32,181,000","11,436,000","-892,952,000","-1,558,000","-26,861,000","8,974,000","23,336,000","-57,233,000","-27,733,000","16,168,000","11,973,000","5,927,000","-4,178,000","86,260,000","-86,445,000",,,"-25,529,000","53,196,000","-17,519,000","-20,258,000","-9,171,000","79,550,000","-68,947,000","137,868,000",,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,"237,000,000",,,,,,,,,,,,,,,,,"0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"426,000",,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-56,000,000","-15,000,000","-28,000,000","-6,000,000","-7,000,000","-6,000,000","-8,000,000","-12,000,000","-10,000,000","-11,000,000","-11,000,000","-9,000,000","-10,000,000","-8,000,000","-2,000,000","-11,000,000","-9,000,000","-16,000,000",,,,"-9,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-247,000,000","-56,000,000","-55,000,000","-71,000,000","-65,000,000","-55,000,000","-73,000,000","32,000,000","-85,000,000","7,000,000","-78,000,000","-82,000,000","-77,000,000","-65,000,000","-86,000,000","-87,000,000","-92,000,000","-79,000,000","84,000,000","-92,000,000","-49,000,000","-87,000,000","-65,000,000","-49,000,000","-95,000,000","-61,000,000","8,000,000","-110,000,000","-117,000,000","-57,000,000","-67,000,000","-98,000,000","-170,000,000","-174,000,000","-54,000,000","-125,000,000","-54,000,000","-90,000,000","-247,500,000","32,522,000",,,"898,000","-27,698,000","8,293,000","21,582,000",,,"2,148,000","10,109,000",,"-5,266,000","86,441,000","-86,871,000",,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"3,891,000,000","1,028,000,000","980,000,000","943,000,000","940,000,000","954,000,000","963,000,000","912,000,000","936,000,000","867,000,000","804,000,000","784,000,000","785,000,000","774,000,000","750,000,000","750,000,000","694,000,000","665,000,000","714,000,000","632,000,000","547,000,000","661,000,000","614,000,000","595,000,000","588,000,000","562,000,000","548,000,000","524,000,000","514,000,000","493,000,000","476,000,000","425,000,000","450,000,000","373,000,000","351,000,000","332,000,000","318,000,000","312,000,000","281,920,000","206,112,000","221,767,000","161,201,000","166,071,000","157,952,000","148,530,000","139,256,000","126,518,000","119,865,000","98,485,000","86,331,000","85,398,000","84,738,000","79,229,000","75,659,000",,,"67,730,000","63,708,000","57,615,000","57,672,000","51,838,000","50,483,000","38,081,000","37,269,000",,,,,
