name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
OperatingCashFlow,"279,480,000","111,507,000","48,479,000","30,988,000","88,506,000","78,919,000","30,453,000","43,170,000","28,547,000","17,489,000","15,410,306","14,999,646","18,119,125","6,657,355","5,455,674","6,325,852","7,740,771","4,788,422","1,730,163","2,094,221","145,194","157,286","386,396","178,263","548,911","-89,293","127,113","216,585","142,660","-140,172","96,039","69,251","104,447","-25,295","-74,437","16,158","-23,749","-14,976","-370","-2,890","4,871","-18,118","-5,380","-7,776","-6,794","-14,082","-4,564","-11,840","-14,655"
	CashFlowFromContinuingOperatingActivities,"279,480,000","111,507,000","48,479,000","30,988,000","88,506,000","78,919,000","30,453,000","43,170,000","28,547,000","17,489,000","15,410,306","14,999,646","18,119,125","6,657,355","5,455,674","6,325,852","7,740,771","4,788,422","1,730,163","2,094,221","145,194","157,286","386,396","178,263","548,911","-89,293","127,113","216,585","142,660","-140,172","96,039","69,252","104,446","-25,295","-74,437","16,158","-23,749","-14,976","-370","-2,890","4,871","-18,118","-5,380","-7,776","-6,794","-14,082","-4,564","-11,840","-14,655"
		NetIncomeFromContinuingOperations,"85,177,000","8,864,000","15,456,000","23,814,000","37,043,000","4,846,000","7,695,000","14,918,000","8,236,000","141,000","782,307","-1,847,363","-2,195,741","-6,295,823","-5,219,182","-4,628,171","-1,886,658","-10,696,345","-17,514,305","-7,780,570","3,233,639","-69,729","-4,749,489","-14,655,711","-6,012,627","-625,447","-1,097,724","1,509,720","-4,998,154","-16,817","134,168","47,163","38,431","-115,919","-167,196","-33,164","-14,100",,,,,,,,"-5,899",,,,"-17,810"
		OperatingGainsLosses,"860,000","678,000","183,000","-2,000","1,000","6,000","17,000","0","13,000","21,000",,,,"1,277,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,"361,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,"1,215,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"499,000","317,000","183,000","-2,000","1,000","6,000","17,000","0","13,000","21,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"6,896,000","1,958,000","1,737,000","1,694,000","1,507,000","1,310,000","1,204,000","1,004,000","921,000","860,000","767,523","642,089","533,852","440,279","323,078","240,031","147,558","183,321","146,040","112,487","81,437","13,265","20,264","12,555","12,929","12,626","7,294","5,863","7,824","5,323","7,421","4,847","1,198","1,027","2,101",,,,,,,,,,,,,,
			DepreciationAndAmortization,"6,896,000","1,958,000","1,737,000","1,694,000","1,507,000","1,310,000","1,204,000","1,004,000","921,000","860,000","767,523","642,089","533,852","440,279","323,078","240,031","147,558","183,321","146,040","112,487","81,437","13,265","20,264","12,555","12,929","12,626","7,294","5,863","7,824","5,323","7,421","4,847","1,198","1,027","2,101",,,,,,,,,,,,,,
				Depreciation,"5,583,000","1,616,000","1,402,000","1,376,000","1,189,000","1,007,000","957,000","852,000","794,000","757,000","675,827","558,650","455,478","367,287",,"240,031","147,558","183,321","146,040","112,487","81,437","13,265","20,264","12,555","12,929","12,626","7,294","5,863","7,824","5,323","7,421","4,847","1,198","1,027","2,101",,,,,,,,,,,,,,
				AmortizationCashFlow,"1,313,000","342,000","335,000","318,000","318,000","303,000","247,000","152,000","127,000","103,000","91,696","83,439","78,374","72,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"1,313,000","342,000","335,000","318,000","318,000","303,000","247,000","152,000","127,000","103,000","91,696","83,439","78,374","72,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"-58,728,000","-5,901,000","-16,807,000","-20,691,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"-58,728,000","-5,901,000","-16,807,000","-20,691,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"153,000","219,000","297,000","230,000","-593,000","385,000","533,000","86,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"201,858,000","49,809,000","52,604,000","52,024,000","47,421,000","29,983,000","29,127,000","25,519,000","14,976,000","13,386,000","14,391,569","15,673,782","21,862,179","4,884,769","3,806,280","5,341,720","5,171,573","9,580,811","11,264,340","8,522,287","-2,071,125","102,158","4,813,762","15,427,859","6,600,494","682,255","1,054,354","-1,248,642","5,056,865","-72,009","63,425","58,726","58,515","52,432","166,517",,,,,,,,,,,,,,
		OtherNonCashItems,,,,,,,"5,000","45,000","43,000","64,000","-14,363","54,358","-6,173,081","6,272,809","6,528,171","7,099,352","5,277,346","2,370,004","6,380,597","4,979,213","-4,300,892","-1,201,364","780,974","14,632,458","6,117,510","433,530","746,353","-1,461,593","4,384,538","-171,807","-52,751",,"23,442","28,273","-724,678",,,,"-12,412",,"-4,235","-12,014","-10,540",,,,"-14,210",,
		ChangeInWorkingCapital,"43,170,000","55,880,000","-5,085,000","-26,081,000","18,456,000","42,389,000","-8,353,000","1,598,000","3,235,000","3,017,000","-550,974","476,780","4,091,916","1,355,321","17,327","-1,727,080","-969,048","3,350,631","1,976,534","1,240,017","-1,098,757","111,592","301,859","-606,440","-51,885","-158,727","87,993","-50,356","76,125","-56,669","-33,779","-41,484","6,302","37,165","-75,859","49,322","-9,649","-3,843","12,042","4,039","9,106","-6,104","5,160","18","-895","8,206","9,646","-5,970","3,155"
