name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,12/31/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991
TotalAssets,"1,588,232,000","1,623,764,000","1,550,187,000","1,604,961,000","1,632,943,000","1,606,033,000","1,496,384,000","1,486,988,000","1,517,259,000","1,554,264,000","1,455,339,000","1,470,054,000","1,429,524,000","1,490,701,000","1,489,182,000","1,534,935,000","1,560,834,000","1,544,704,000","1,441,672,000","1,441,058,000","1,512,171,000","1,540,508,000","1,475,139,000","1,518,906,000","1,566,847,000","1,589,965,000","1,525,846,000","1,612,739,000","1,605,293,000","1,627,892,000","1,536,424,000","1,535,142,000","1,522,631,000","1,533,654,000","1,425,344,000","1,617,314,000","1,616,876,000","1,566,493,000","1,605,472,000","1,657,890,000","1,672,496,000","1,626,531,000","1,766,242,000","1,781,733,000","1,796,619,000","1,787,568,000","1,743,382,000","1,754,978,000","1,790,407,000","1,912,301,000","1,680,116,000","1,655,500,000","1,601,729,000","1,601,442,000","1,611,134,000","1,646,183,000","1,629,961,000","1,575,234,000","1,616,625,000","1,601,922,000","1,563,257,000","1,568,034,000","1,497,318,000","1,479,716,000","1,465,714,000","1,377,054,000","1,369,174,000","1,359,228,000","1,340,568,000","1,303,446,000","1,280,052,000","1,279,806,000","1,257,473,000","1,166,097,000","1,210,367,000","1,245,370,000","1,227,513,000","1,237,546,000","1,231,844,000","1,241,053,000","1,234,351,000","1,230,344,000","1,246,468,000","1,253,782,000","1,258,643,000","1,268,837,000","706,969,000","787,365,000","256,718,000","272,060,000","1,554,994,000","1,456,717,000","1,442,703,000","1,132,592,000","1,126,903,000","1,070,918,000","928,248,000","784,460,000","782,284,000","675,262,000","777,970,000","725,897,000","764,092,000","717,020,000","705,363,000","575,058,000","587,132,000","552,185,000","539,985,000","518,369,000","572,101,000","559,181,000","594,064,000","561,300,000","626,300,000","468,000,000","354,400,000","354,500,000","371,600,000","430,700,000","379,600,000","335,000,000"
TotalLiabilitiesNetMinorityInterest,"994,000","2,140,000","528,000","765,000","7,654,000","1,876,000","392,000","266,000","825,000","1,726,000","737,000","637,000","55,000","644,000","525,000","629,000","126,000","1,154,000","224,000","547,000","313,000","619,000","355,000","159,000","5,951,000","274,000","277,000","595,000","6,416,000","382,000","556,000","246,000","5,991,000","776,000","5,080,000","184,000","8,619,000","6,411,000","5,008,000","3,691,000","5,297,000","358,000","261,000","152,000","7,840,000","458,000","73,000","214,000","7,663,000","2,183,000","1,318,000","2,166,000","4,966,000","5,287,000","7,037,000","7,110,000","9,161,000","7,774,000","7,946,000","7,848,000","11,050,000","8,846,000","6,574,000","7,550,000","8,628,000","8,208,000","7,716,000","7,715,000","6,417,000","7,776,000","6,744,000","7,569,000","13,329,000","7,491,000","7,126,000","7,120,000","6,598,000","7,003,000","7,523,000","7,923,000","8,191,000","8,307,000","10,917,000","8,972,000","8,294,000","8,287,000","8,172,000","7,749,000","7,715,000","6,452,000","1,075,107,000","987,459,000","982,263,000","699,408,000","708,955,000","651,622,000","522,840,000","382,178,000","391,445,000","297,602,000","279,958,000","235,186,000","281,913,000","242,070,000","236,352,000","168,349,000","187,371,000","160,331,000","156,194,000","137,040,000","195,062,000","287,566,000","377,218,000","347,300,000","417,600,000","358,800,000","221,900,000","230,000,000","250,800,000","314,700,000","268,400,000","226,700,000"
TotalEquityGrossMinorityInterest,"1,587,238,000","1,621,624,000","1,549,659,000","1,604,196,000","1,625,289,000","1,604,157,000","1,495,992,000","1,486,722,000","1,516,434,000","1,552,538,000","1,454,602,000","1,469,417,000","1,429,469,000","1,490,057,000","1,488,657,000","1,534,306,000","1,560,708,000","1,543,550,000","1,441,448,000","1,440,511,000","1,511,858,000","1,539,889,000","1,474,784,000","1,518,747,000","1,560,896,000","1,589,691,000","1,525,569,000","1,612,144,000","1,598,877,000","1,627,510,000","1,535,868,000","1,534,896,000","1,516,640,000","1,532,878,000","1,420,264,000","1,617,130,000","1,608,257,000","1,560,082,000","1,600,464,000","1,654,199,000","1,667,199,000","1,626,173,000","1,765,981,000","1,781,581,000","1,788,779,000","1,787,110,000","1,743,309,000","1,754,764,000","1,782,744,000","1,910,118,000","1,678,798,000","1,653,334,000","1,596,763,000","1,596,155,000","1,604,097,000","1,639,073,000","1,620,800,000","1,567,460,000","1,608,679,000","1,594,074,000","1,552,207,000","1,559,188,000","1,490,744,000","1,472,166,000","1,457,086,000","1,368,846,000","1,361,458,000","1,351,513,000","1,334,151,000","1,295,670,000","1,273,308,000","1,272,237,000","1,244,144,000","1,158,606,000","1,203,241,000","1,238,250,000","1,220,915,000","1,230,543,000","1,224,321,000","1,233,130,000","1,226,160,000","1,222,037,000","1,235,551,000","1,244,810,000","1,250,349,000","1,260,550,000","698,797,000","779,616,000","249,003,000","265,608,000","479,887,000","469,258,000","460,440,000","433,184,000","417,948,000","419,296,000","405,408,000","402,282,000","390,839,000","377,660,000","498,012,000","490,711,000","482,179,000","474,950,000","469,011,000","406,709,000","399,761,000","391,854,000","383,791,000","381,329,000","377,039,000","271,615,000","216,846,000","214,000,000","208,700,000","109,200,000","132,500,000","124,500,000","120,800,000","116,000,000","111,200,000","108,300,000"
	StockholdersEquity,"1,587,238,000","1,621,624,000","1,549,659,000","1,604,196,000","1,625,289,000","1,604,157,000","1,495,992,000","1,486,722,000","1,516,434,000","1,552,538,000","1,454,602,000","1,469,417,000","1,429,469,000","1,490,057,000","1,488,657,000","1,534,306,000","1,560,708,000","1,543,550,000","1,441,448,000","1,440,511,000","1,511,858,000","1,539,889,000","1,474,784,000","1,518,747,000","1,560,896,000","1,589,691,000","1,525,569,000","1,612,144,000","1,598,877,000","1,627,510,000","1,535,868,000","1,534,896,000","1,516,640,000","1,532,878,000","1,420,264,000","1,617,130,000","1,608,257,000","1,560,082,000","1,600,464,000","1,654,199,000","1,667,199,000","1,626,173,000","1,765,981,000","1,781,581,000","1,788,779,000","1,787,110,000","1,743,309,000","1,754,764,000","1,782,744,000","1,910,118,000","1,678,798,000","1,653,334,000","1,596,763,000","1,596,155,000","1,604,097,000","1,639,073,000","1,620,800,000","1,567,460,000","1,608,679,000","1,594,074,000","1,552,207,000","1,559,188,000","1,490,744,000","1,472,166,000","1,457,086,000","1,368,846,000","1,361,458,000","1,351,513,000","1,334,151,000","1,295,670,000","1,273,308,000","1,272,237,000","1,244,144,000","1,158,606,000","1,203,241,000","1,238,250,000","1,220,915,000","1,230,543,000","1,224,321,000","1,233,130,000","1,226,160,000","1,222,037,000","1,235,551,000","1,244,810,000","1,250,349,000","1,260,550,000","698,797,000","779,616,000","249,003,000","265,608,000","476,854,000","467,062,000","458,949,000","430,300,000","415,286,000","416,908,000","403,202,000","398,051,000","386,662,000","371,996,000","483,301,000","476,020,000","467,502,000","460,600,000","454,616,000","406,709,000","399,761,000","391,854,000","383,791,000","381,329,000","377,039,000","271,615,000","216,846,000","214,000,000","208,700,000","109,200,000","132,500,000","124,500,000","120,800,000","116,000,000","111,200,000","108,300,000"
		CapitalStock,"1,671,549,000","1,697,638,000","1,636,021,000","1,691,074,000","1,714,196,000","1,658,226,000","1,557,885,000","1,558,187,000","1,593,541,000","1,620,602,000","1,531,774,000","1,544,293,000","1,491,951,000","1,557,277,000","1,557,838,000","1,603,344,000","1,611,374,000","1,592,187,000","1,491,312,000","1,494,587,000","1,566,948,000","1,593,645,000","1,519,399,000","1,562,485,000","1,604,813,000","1,635,043,000","1,569,788,000","1,655,211,000","1,644,262,000","1,669,959,000","1,566,417,000","1,557,369,000","1,541,214,000","1,559,457,000","1,452,948,000","1,745,738,000","1,733,158,000","1,724,541,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,260,550,000","698,797,000","796,793,000","265,608,000","265,608,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"1,671,549,000","1,697,638,000","1,636,021,000","1,691,074,000","1,714,196,000","1,658,226,000","1,557,885,000","1,558,187,000","1,593,541,000","1,620,602,000","1,531,774,000","1,544,293,000","1,491,951,000","1,557,277,000","1,557,838,000","1,603,344,000","1,611,374,000","1,592,187,000","1,491,312,000","1,494,587,000","1,566,948,000","1,593,645,000","1,519,399,000","1,562,485,000","1,604,813,000","1,635,043,000","1,569,788,000","1,655,211,000","1,644,262,000","1,669,959,000","1,566,417,000","1,557,369,000","1,541,214,000","1,559,457,000","1,452,948,000","1,745,738,000","1,733,158,000","1,724,541,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,260,550,000","698,797,000","796,793,000","265,608,000","265,608,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-17,177,000","-16,605,000",,"476,854,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherEquityInterest,"-47,402,000","-43,309,000","-47,459,000","-50,989,000","-51,973,000","-20,171,000","-22,691,000","-26,202,000","-29,002,000","-27,436,000","-33,916,000","-35,746,000","-24,464,000","-27,759,000","-30,893,000","-31,718,000","-20,551,000","-15,174,000","-17,011,000","-18,463,000","-16,300,000","-11,731,000","-11,365,000","-9,854,000","-11,306,000","-10,669,000","-10,736,000","-11,782,000","-12,023,000","-13,280,000","-14,093,000","-11,649,000","-12,577,000","-14,045,000","-12,810,000","-103,501,000","-102,981,000","-146,258,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	MinorityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,033,000","2,196,000","1,491,000","2,884,000","2,662,000","2,388,000","2,206,000","4,231,000","4,177,000","5,664,000","14,711,000","14,691,000","14,677,000","14,350,000","14,395,000",,,,,,,,,,,,,,,,,
TotalCapitalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"878,817,000","823,373,000","751,469,000","620,510,000","619,038,000","579,816,000","522,164,000","488,467,000","445,189,000","391,092,000","502,572,000","500,678,000","492,173,000","485,383,000","479,414,000","410,171,000","403,244,000","395,365,000","387,708,000","385,200,000","381,157,000","380,768,000","376,223,000","323,400,000","338,500,000","234,600,000","258,000,000","250,200,000","221,500,000","216,800,000","204,600,000","184,200,000"
