name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
TotalAssets,"12,360,000,000","12,209,000,000","11,033,000,000","10,530,000,000","9,950,000,000","9,532,000,000","7,881,000,000","7,876,000,000","7,129,000,000","6,787,000,000","6,701,000,000","6,690,000,000","7,579,000,000","7,154,000,000","8,051,000,000","8,763,000,000","9,133,000,000","8,471,000,000","8,954,000,000","8,583,000,000","8,038,000,000","7,449,000,000","7,570,000,000","7,202,000,000","7,183,000,000","6,576,000,000","5,915,031,000","5,736,159,000","5,169,789,000","4,477,215,000","4,056,140,000","3,452,029,000","3,293,481,000","3,002,937,000","2,925,066,000","2,579,916,000","2,488,089,000","1,934,822,000","1,907,067,000","1,917,468,000","1,740,004,000","1,652,146,000","1,618,304,000","1,600,421,000","1,583,154,000","1,509,214,000","1,431,430,000","1,361,404,000","1,190,948,000","1,245,235,000","1,224,005,000","1,203,159,000","1,206,954,000","1,149,186,000","1,157,873,000","1,171,754,000","1,145,418,000","1,171,305,000","946,017,000","922,725,000","877,037,000","864,475,000","777,574,000","746,622,000","659,193,000","621,814,000","591,929,000","555,639,000","543,107,000","533,859,000","488,477,000","416,029,000","400,555,000","344,585,000","320,949,000","245,718,000","212,111,000"
	CurrentAssets,"10,146,000,000","10,064,000,000","9,366,000,000","8,874,000,000","8,308,000,000","7,876,000,000","6,953,000,000","7,062,000,000","6,324,000,000","5,967,000,000","5,877,000,000","5,863,000,000","6,731,000,000","6,462,000,000","7,301,000,000","8,027,000,000","8,196,000,000","7,511,000,000","7,708,000,000","7,169,000,000","6,402,000,000","5,988,000,000","6,113,000,000","5,545,000,000","5,764,000,000","5,306,000,000","4,910,324,000","4,806,227,000","4,275,570,000","3,245,397,000","2,987,520,000","2,371,845,000","2,281,231,000","2,039,664,000","1,966,215,000","1,744,802,000","1,727,038,000","1,349,126,000","1,314,349,000","1,321,036,000","1,152,013,000","1,048,082,000","1,034,595,000","1,028,156,000","1,015,727,000","957,939,000","882,880,000","821,303,000","765,254,000","811,406,000","785,365,000","770,538,000","787,383,000","728,982,000","744,446,000","761,330,000","736,322,000","834,593,000","691,901,000","672,142,000","626,682,000","613,502,000","529,957,000","499,086,000","476,575,000","438,846,000","417,555,000","381,152,000","400,636,000","394,318,000","372,930,000","360,328,000","361,797,000","302,057,000","289,805,000","217,006,000",
		CashCashEquivalentsAndShortTermInvestments,"7,792,000,000","7,640,000,000","7,257,000,000","6,849,000,000","6,369,000,000","6,029,000,000","4,965,000,000","5,209,000,000","4,375,000,000","4,398,000,000","4,436,000,000","4,323,000,000","4,732,000,000","4,507,000,000","4,626,000,000","5,568,000,000","6,173,000,000","5,710,000,000","5,721,000,000","5,171,000,000","5,254,000,000","4,577,000,000","4,577,000,000","4,313,000,000","4,226,000,000","4,130,000,000","3,625,677,000","3,480,504,000","3,073,890,000","2,558,525,000","2,441,279,000","1,768,225,000","1,779,569,000","1,638,947,000","1,591,707,000","1,461,214,000","1,511,457,000","1,138,615,000","1,072,375,000","1,072,002,000","875,704,000","830,743,000","812,394,000","815,813,000","801,306,000","751,261,000","621,813,000","636,197,000","614,192,000","644,345,000","619,663,000","598,235,000","607,381,000","577,032,000","546,112,000","621,692,000","596,282,000","701,919,000","555,755,000","549,994,000","503,057,000","485,131,000","428,743,000","406,688,000","390,037,000","352,640,000","332,988,000","288,078,000","315,607,000","316,601,000","296,132,000","295,526,000","302,423,000","240,672,000","223,502,000","135,598,000","2,000,000"
			CashAndCashEquivalents,"4,804,000,000","4,438,000,000","4,357,000,000","4,608,000,000","4,431,000,000","4,154,000,000","3,196,000,000","3,303,000,000","2,365,000,000","2,452,000,000","2,679,000,000","2,253,000,000","3,224,000,000","2,826,000,000","2,814,000,000","3,392,000,000","3,729,000,000","3,186,000,000","3,934,000,000","2,979,000,000","3,198,000,000","2,819,000,000","2,842,000,000","2,345,000,000","2,156,000,000","2,329,000,000","2,164,210,000","2,013,882,000","1,870,024,000","1,539,063,000","1,598,596,000","1,027,351,000","1,083,369,000","935,895,000","856,556,000","742,670,000","1,169,511,000","795,770,000","715,480,000","727,092,000","517,723,000","493,827,000","487,492,000","459,213,000","463,792,000","455,886,000","426,455,000","460,985,000","438,281,000","469,501,000","449,469,000","417,837,000","405,187,000","387,162,000","382,436,000","425,424,000","412,153,000","459,064,000","447,594,000","471,502,000","419,967,000","403,650,000","337,084,000","312,118,000","288,347,000","249,203,000","223,493,000","202,463,000","242,425,000","228,071,000","219,387,000","178,339,000","170,138,000","141,850,000","161,205,000","133,598,000","0"
			OtherShortTermInvestments,"2,988,000,000","3,202,000,000","2,900,000,000","2,241,000,000","1,938,000,000","1,875,000,000","1,769,000,000","1,906,000,000","2,010,000,000","1,946,000,000","1,757,000,000","2,070,000,000","1,508,000,000","1,681,000,000","1,812,000,000","2,176,000,000","2,444,000,000","2,524,000,000","1,787,000,000","2,192,000,000","2,056,000,000","1,758,000,000","1,735,000,000","1,968,000,000","2,070,000,000","1,801,000,000","1,461,467,000","1,466,622,000","1,203,866,000","1,019,462,000","842,683,000","740,874,000","696,200,000","703,052,000","735,151,000","718,544,000","341,946,000","342,845,000","356,895,000","344,910,000","357,981,000","336,916,000","324,902,000","356,600,000","337,514,000","295,375,000","195,358,000","175,212,000","175,911,000","174,844,000","170,194,000","180,398,000","202,194,000","189,870,000","163,676,000","196,268,000","184,129,000","242,855,000","108,161,000","78,492,000","83,090,000","81,481,000","91,659,000","94,570,000","101,690,000","103,437,000","109,495,000","85,615,000","73,182,000","88,530,000","76,745,000","117,187,000","132,285,000","98,822,000","62,297,000","2,000,000","2,000,000"
		Receivables,"2,156,000,000","2,177,000,000","1,912,000,000","1,857,000,000","1,776,000,000","1,672,000,000","1,775,000,000","1,580,000,000","1,603,000,000","1,406,000,000","1,280,000,000","1,239,000,000","1,359,000,000","1,330,000,000","1,346,000,000","1,148,000,000","950,000,000","925,000,000","1,062,000,000","1,074,000,000","1,006,000,000","1,013,000,000","1,053,000,000","1,035,000,000","901,000,000","610,000,000","619,891,000","631,124,000","491,430,000","596,456,000","433,362,000","490,240,000","366,332,000","331,677,000","293,967,000","213,776,000","150,251,000","149,682,000","190,439,000","192,396,000","237,569,000","179,577,000","185,820,000","172,674,000","170,418,000","168,190,000","228,302,000","156,537,000","131,732,000","142,721,000","144,129,000","151,440,000","158,440,000","132,581,000","169,760,000","113,597,000","117,553,000","111,537,000","124,145,000","108,824,000","111,393,000","118,795,000","90,577,000","81,986,000","73,884,000","73,546,000","71,191,000","80,905,000","74,115,000","65,430,000","65,260,000","56,489,000","52,545,000","53,689,000","50,212,000","70,005,000",
			AccountsReceivable,"2,156,000,000","0","25,000,000","24,000,000","54,000,000","104,000,000","1,775,000,000","1,580,000,000","1,603,000,000","1,406,000,000","1,280,000,000","1,239,000,000","1,359,000,000","1,330,000,000","1,346,000,000","1,148,000,000","950,000,000","871,000,000","1,002,000,000","1,006,000,000","1,006,000,000","974,000,000","1,053,000,000","1,012,000,000","863,000,000","597,000,000","619,891,000","631,124,000","491,430,000","596,456,000","425,683,000","473,514,000","338,232,000","298,935,000","293,967,000","213,776,000","150,251,000","149,682,000","156,909,000","161,007,000","222,254,000","167,898,000","180,039,000",,,"168,190,000","225,547,000","155,380,000","128,600,000","136,654,000","144,129,000","151,440,000","158,175,000","128,562,000",,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,"54,000,000","60,000,000","68,000,000","0","39,000,000","0","23,000,000","38,000,000","13,000,000",,,,"0","7,679,000","16,726,000","28,100,000","32,742,000",,,,"0","33,530,000","31,389,000","15,315,000","11,679,000","5,781,000",,,"0","2,755,000","1,157,000","3,132,000","6,067,000","0","0","265,000","4,019,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"2,156,000,000","2,177,000,000","1,887,000,000","1,833,000,000","1,722,000,000","1,568,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"198,000,000","247,000,000","197,000,000","168,000,000","163,000,000","175,000,000","213,000,000","273,000,000","346,000,000","134,000,000","140,000,000","132,000,000","124,000,000","149,000,000","486,000,000","344,000,000","411,000,000","185,000,000","174,000,000","159,000,000","142,000,000","131,000,000","169,000,000","197,000,000","260,000,000","192,000,000","120,438,000","148,615,000","193,498,000","50,884,000","82,062,000","93,862,000","112,916,000","42,484,000","50,061,000","47,817,000","39,577,000","28,386,000","30,002,000","29,780,000","24,715,000","19,435,000","22,285,000","23,246,000","28,608,000","22,772,000","25,185,000","23,843,000","15,051,000","15,583,000","14,312,000","14,034,000","17,678,000","14,766,000","14,402,000","14,484,000","13,778,000","12,521,000","11,424,000","10,616,000","11,512,000","9,263,000","8,564,000","7,534,000","9,615,000","10,321,000","9,667,000","8,593,000","7,828,000","8,306,000","8,115,000","5,827,000","4,680,000","5,254,000","14,304,000","10,279,000",
