name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalRevenue,"1,069,047,000","243,385,000","284,964,000","279,042,000","261,656,000","179,112,000","190,929,000","224,645,000","217,041,000","168,679,000","175,314,000","237,317,000","227,290,000","164,304,000","154,327,000","215,701,000","195,075,000","118,899,000","150,421,000","187,627,000","148,099,000","110,366,000","122,120,000"
	OperatingRevenue,"1,069,047,000","243,385,000","284,964,000","279,042,000","261,656,000","179,112,000","190,929,000","224,645,000","217,041,000","168,679,000","175,314,000","237,317,000","227,290,000","164,304,000","154,327,000","215,701,000","195,075,000","118,899,000","150,421,000","187,627,000","148,099,000","110,366,000","122,120,000"
CostOfRevenue,"952,316,000","230,888,000","252,000,000","244,389,000","225,039,000","161,040,000","160,335,000","183,653,000","180,549,000","147,708,000","151,557,000","198,385,000","189,198,000","144,503,000","133,199,000","182,181,000","165,606,000","105,150,000","127,623,000","153,728,000","124,117,000","96,005,000","103,391,000"
GrossProfit,"116,731,000","12,497,000","32,964,000","34,653,000","36,617,000","18,072,000","30,594,000","40,992,000","36,492,000","20,971,000","23,757,000","38,932,000","38,092,000","19,801,000","21,128,000","33,520,000","29,469,000","13,749,000","22,798,000","33,899,000","23,982,000","14,361,000","18,729,000"
OperatingExpense,"97,265,000","25,000,000","24,946,000","24,124,000","23,195,000","24,475,000","20,084,000","17,811,000","16,852,000","16,821,000","17,113,000","17,554,000","15,968,000","14,771,000","14,431,000","14,731,000","14,788,000","13,358,000","12,426,000","13,862,000","12,477,000","10,965,000","10,563,000"
	SellingGeneralAndAdministration,"97,265,000","25,000,000","24,946,000","24,124,000","23,195,000","24,475,000","20,084,000","17,811,000","16,852,000","16,821,000","17,113,000","17,554,000","15,968,000","14,771,000","14,431,000","14,731,000","14,788,000","13,358,000","12,426,000","13,862,000","12,477,000","10,965,000","10,563,000"
		GeneralAndAdministrativeExpense,"97,265,000","25,000,000","24,946,000","24,124,000","23,195,000","24,475,000","20,084,000","17,811,000","16,852,000","16,821,000","17,113,000","17,554,000","15,968,000","14,771,000","14,431,000","14,731,000","14,788,000","13,358,000","12,426,000","13,862,000","12,477,000","10,965,000","10,563,000"
			OtherGandA,"97,265,000","25,000,000","24,946,000","24,124,000","23,195,000","24,475,000","20,084,000","17,811,000","16,852,000","16,821,000","17,113,000","17,554,000","15,968,000","14,771,000","14,431,000","14,731,000","14,788,000","13,358,000","12,426,000","13,862,000","12,477,000","10,965,000","10,563,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,"0",,"-14,803,000",,,,,
OperatingIncome,"19,466,000","-12,503,000","8,018,000","10,529,000","13,422,000","-6,403,000","10,510,000","23,181,000","19,640,000","4,150,000","6,644,000","21,378,000","22,124,000","5,030,000","6,697,000","18,789,000","14,681,000","391,000","10,372,000","20,037,000","11,505,000","3,396,000","8,166,000"
NetNonOperatingInterestIncomeExpense,"-3,761,000","-859,000","-1,264,000","-1,070,000","-568,000","-298,000","-468,000","-423,000","-575,000","-1,834,000","-281,000","-352,000","-615,000","-379,000","-515,000","-314,000","-406,000","-253,000","-297,000","-1,158,000","-659,000","-1,096,000","-1,047,000"
	InterestExpenseNonOperating,"3,761,000","859,000","1,264,000","1,070,000","568,000","298,000","468,000","423,000","575,000","1,834,000","281,000","352,000","615,000","379,000","515,000","314,000","406,000","253,000","297,000","1,158,000","659,000","1,096,000","1,047,000"
	TotalOtherFinanceCost,"1,627,000",,,,,,,,,"1,834,000","281,000","352,000","615,000","379,000","515,000","314,000","406,000","253,000","297,000","1,158,000","659,000","1,096,000","1,047,000"
OtherIncomeExpense,"3,725,000","1,057,000","557,000","1,024,000","1,087,000","253,000","498,000","861,000","1,035,000","-318,000","374,000","944,000","248,000","816,000","317,000","1,219,000","101,000","15,650,000","124,000","735,000","-1,403,000","2,078,000","228,000"
	SpecialIncomeCharges,"3,156,000","1,014,000","441,000","866,000","835,000","9,000","333,000","482,000","390,000","435,000","309,000","824,000","58,000","693,000","334,000","1,275,000","86,000","15,689,000","145,000","806,000","-1,400,000","2,183,000","254,000"
		OtherSpecialCharges,,,,,,,,,,,,,,,,"0",,"-14,803,000",,"0","1,638,000",,
		GainOnSaleOfPPE,"3,156,000","1,014,000","441,000","866,000","835,000","9,000","333,000","482,000","390,000","435,000","309,000","824,000","58,000","693,000","334,000","1,275,000","86,000","886,000","145,000","806,000","238,000","2,183,000","254,000"
	OtherNonOperatingIncomeExpenses,"569,000","43,000","116,000","158,000","252,000","244,000","165,000","379,000","645,000","-753,000","65,000","120,000","190,000","123,000","-17,000","-56,000","15,000","-39,000","-21,000","-71,000","-3,000","-105,000","-26,000"
PretaxIncome,"19,430,000","-12,305,000","7,311,000","10,483,000","13,941,000","-6,448,000","10,540,000","23,619,000","20,100,000","1,998,000","6,737,000","21,970,000","21,757,000","5,467,000","6,499,000","19,694,000","14,376,000","15,788,000","10,199,000","19,614,000","9,443,000","4,378,000","7,347,000"
