name,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,01/31/2017
TotalAssets,"1,766,384,000","1,706,897,000","1,653,482,000","1,687,054,000","1,663,444,000","1,664,890,000","1,536,652,000","1,522,364,000","1,467,817,000","1,461,127,000","1,360,178,000","1,341,018,000","1,300,857,000","231,530,499","231,422,540","231,357,031","230,997,322","235,351","98,000"
	CurrentAssets,"533,498,000","486,415,000","499,466,000","515,217,000","489,815,000","490,539,000","415,862,000","403,209,000","380,219,000","398,674,000","314,786,000","354,120,000","314,320,000","272,264","868,516","1,399,627","1,572,612","28,879","25,000"
		CashCashEquivalentsAndShortTermInvestments,"101,018,000","66,074,000","89,268,000","75,012,000","50,487,000","79,317,000","49,017,000","73,201,000","43,082,000","69,643,000","19,935,000","67,560,000","36,901,000","120,476","741,096","1,244,689","1,394,045","28,879","25,000"
			CashAndCashEquivalents,"101,018,000","66,074,000","89,268,000","75,012,000","50,487,000","79,317,000","49,017,000","73,201,000","43,082,000","69,643,000","19,935,000","67,560,000","36,901,000","120,476","741,096","1,244,689","1,394,045","28,879","25,000"
				CashFinancial,,,,,,,,,,,,"67,560,000","36,901,000","120,476","741,096","1,244,689","1,394,045","28,879","25,000"
		Receivables,"261,065,000","253,719,000","265,172,000","293,746,000","304,035,000","255,217,000","229,405,000","189,165,000","213,961,000","217,342,000","174,006,000","173,653,000","180,959,000",,,,,,
			AccountsReceivable,"98,223,000","116,483,000","127,509,000","116,835,000","128,719,000","113,454,000","106,620,000","98,799,000","107,369,000","102,731,000","85,120,000","76,758,000","78,860,000",,,,,,
				GrossAccountsReceivable,"99,662,000","118,138,000","129,050,000","118,557,000","130,714,000","115,819,000","109,062,000","100,642,000","108,394,000","103,181,000","85,880,000","83,762,000","78,860,000",,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,439,000","-1,655,000","-1,541,000","-1,722,000","-1,995,000","-2,365,000","-2,442,000","-1,843,000","-1,025,000","-450,000","-760,000","-7,004,000",,,,,,,
			TaxesReceivable,,,,,,"49,671,000","38,475,000","40,970,000","29,689,000","27,887,000","22,657,000",,,,,,,,
			OtherReceivables,"162,842,000","137,236,000","137,663,000","176,911,000","175,316,000","141,763,000","122,785,000","90,366,000","106,592,000","114,611,000","88,886,000","96,895,000","102,099,000",,,,,,
		Inventory,"100,757,000","103,305,000","95,789,000","94,263,000","94,415,000","91,764,000","84,115,000","78,841,000","72,341,000","65,057,000","60,589,000","65,765,000","63,503,000",,,,,,
			RawMaterials,,"76,068,000","74,494,000","72,348,000","69,789,000","69,566,000","61,736,000","57,766,000","58,008,000","52,021,000","46,587,000","50,027,000","44,055,000",,,,,,
			OtherInventories,,"27,237,000","21,295,000","24,527,000","27,224,000","24,589,000","24,456,000","22,852,000","16,420,000","15,247,000","15,155,000","19,906,000","20,724,000",,,,,,
			InventoriesAdjustmentsAllowances,,,,"-2,612,000","-2,598,000","-2,391,000","-2,077,000","-1,777,000","-2,087,000","-2,211,000","-1,153,000","-4,168,000","-1,276,000",,,,,,
		PrepaidAssets,"20,068,000","13,238,000","13,600,000","11,480,000","8,267,000","9,412,000","9,200,000","9,590,000","11,083,000","9,306,000","6,963,000",,,"151,788","127,420","154,938","178,567",,
		OtherCurrentAssets,"50,590,000","50,079,000","35,637,000","40,716,000","32,611,000","54,829,000","44,125,000","52,412,000","39,752,000","37,326,000","53,293,000","47,142,000","32,957,000",,"0","0","0","0","0"
	TotalNonCurrentAssets,"1,232,886,000","1,220,482,000","1,154,016,000","1,171,837,000","1,173,629,000","1,174,350,000","1,120,790,000","1,119,155,000","1,087,598,000","1,062,453,000","1,045,392,000","986,898,000","986,537,000","231,258,235","230,554,024","229,957,404","229,424,710","206,472","73,000"
		NetPPE,"466,732,000","452,453,000","423,649,000","437,743,000","458,505,000","458,161,000","426,064,000","419,307,000","383,485,000","354,034,000","336,468,000","304,727,000","324,379,000",,,,,,
			GrossPPE,"728,232,000","683,322,000","633,898,000","631,004,000","628,568,000","609,601,000","556,063,000","523,996,000","463,333,000","416,931,000","383,382,000","322,169,000","327,616,000",,,,,,
				Properties,"622,302,000",,"535,564,000","534,964,000","524,808,000","505,504,000","450,554,000","411,984,000","370,227,000","321,214,000","299,105,000","243,825,000","247,406,000",,,,,,
				LandAndImprovements,"5,104,000",,"5,104,000","5,104,000","5,104,000","5,104,000","5,104,000","5,104,000","5,104,000","5,104,000","5,104,000","5,266,000","5,266,000",,,,,,
				BuildingsAndImprovements,"40,594,000",,"32,044,000","31,827,000","40,020,000","38,701,000","35,809,000","36,853,000","24,635,000","21,525,000","21,648,000","14,324,000","22,715,000",,,,,,
				MachineryFurnitureEquipment,"50,440,000",,"50,367,000","48,885,000","49,919,000","49,354,000","47,310,000","52,003,000","41,716,000","42,503,000","39,209,000","45,925,000","44,620,000",,,,,,
				ConstructionInProgress,"9,792,000",,"10,819,000","10,224,000","8,717,000","10,938,000","17,286,000","18,052,000","21,651,000","26,585,000","18,316,000","12,829,000","7,609,000",,,,,,
			AccumulatedDepreciation,"-261,500,000","-230,869,000","-210,249,000","-193,261,000","-170,063,000","-151,440,000","-129,999,000","-104,689,000","-79,848,000","-62,897,000","-46,914,000","-17,442,000","-3,237,000",,,,,,
		GoodwillAndOtherIntangibleAssets,"755,998,000","760,176,000","727,317,000","731,297,000","712,055,000","714,911,000","693,643,000","697,478,000","701,312,000","705,147,000","704,758,000","673,335,000","652,137,000",,,,,,
			Goodwill,"629,675,000","628,752,000","620,921,000","620,921,000","596,857,000","595,706,000","574,764,000","574,764,000","574,764,000","574,764,000","570,540,000","532,441,000","475,663,000",,,,,,
			OtherIntangibleAssets,"126,323,000","131,424,000","106,396,000","110,376,000","115,198,000","119,205,000","118,879,000","122,714,000","126,548,000","130,383,000","134,218,000","140,894,000","176,474,000",,,,,,
		InvestmentsAndAdvances,,,,,,,,,,,,,,"231,258,235","230,554,024","229,957,404","229,424,710",,
			InvestmentinFinancialAssets,,,,,,,,,,,,,,"231,258,235",,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,"206,472","73,000"
		OtherNonCurrentAssets,"10,156,000","7,853,000","3,050,000","2,797,000","3,069,000","1,278,000","1,083,000","2,370,000","2,801,000","3,272,000","4,166,000","8,836,000","10,021,000","231,258,235","230,554,024","229,957,404","229,424,710","0","0"
TotalLiabilitiesNetMinorityInterest,"777,554,000","722,751,000","682,545,000","742,636,000","737,473,000","752,659,000","637,149,000","635,892,000","586,665,000","593,028,000","504,791,000","529,471,000","508,839,000","14,456,395","12,496,729","9,304,816","10,636,225","216,095","78,280"
	CurrentLiabilities,"368,939,000","354,786,000","327,087,000","359,366,000","337,488,000","330,236,000","243,877,000","228,136,000","187,367,000","169,012,000","228,965,000","236,381,000","312,854,000","5,438,180","3,474,500","348,823","49,610","216,095","78,280"
		PayablesAndAccruedExpenses,"224,215,000","191,458,000","209,628,000","239,106,000","219,661,000","190,811,000","154,923,000","149,572,000","146,934,000","157,285,000","140,483,000","110,140,000","138,166,000","5,437,191","3,473,511","325,692","39,610","216,095","78,280"
			Payables,"155,167,000","151,481,000","162,684,000","165,323,000","168,070,000","141,418,000","103,722,000","80,435,000","74,668,000","86,021,000","91,959,000","54,345,000","75,244,000","5,437,191","3,474,500","23,131","10,000","216,095","78,280"
				AccountsPayable,"143,753,000","138,914,000","137,751,000","144,614,000","147,268,000","123,213,000","91,662,000","65,704,000","65,108,000","68,235,000","81,350,000","54,345,000","75,244,000","5,437,191","3,473,511",,,,
				TotalTaxPayable,"11,414,000","12,567,000","24,933,000","20,709,000","20,802,000","18,205,000","12,060,000","14,731,000","9,560,000","17,786,000","10,609,000",,,,,,,,
					IncomeTaxPayable,"9,272,000","7,472,000","10,941,000","9,420,000","9,336,000","9,138,000","7,558,000","7,542,000","5,015,000","3,584,000","10,609,000",,,,,,,,
				DuetoRelatedPartiesCurrent,,,,,,,,,,,,,,,"989","23,131","10,000","216,095","78,280"
				OtherPayable,,,,,,,,,,,,,,,"0","0","0","0","0"
			CurrentAccruedExpenses,"69,048,000","39,977,000","46,944,000","73,783,000","51,591,000","49,393,000","51,201,000","69,137,000","72,266,000","71,264,000","48,524,000","55,795,000","62,922,000",,,"325,692","39,610",,
		CurrentDebtAndCapitalLeaseObligation,"96,468,000","113,786,000","92,437,000","89,860,000","80,142,000","86,153,000","62,069,000","52,963,000","35,761,000","5,267,000","70,137,000","88,308,000","134,779,000",,,,,"137,815",
			CurrentDebt,"96,468,000","113,786,000","92,437,000","89,860,000","80,142,000","86,153,000","62,069,000","52,963,000","35,761,000","5,267,000","70,137,000","88,308,000","134,779,000",,,,,"137,815",
				CurrentNotesPayable,,,,,,,,,,,,,,,,,,"137,815",
				LineOfCredit,"36,871,000","11,499,000","3,440,000","4,377,000","5,656,000",,,,,,,,,,,,,,
				OtherCurrentBorrowings,"59,597,000","102,287,000","88,997,000","85,483,000","74,486,000","86,153,000","62,069,000","52,963,000","35,761,000","5,267,000","70,137,000","88,308,000","134,779,000",,,,,,
		CurrentDeferredLiabilities,,,,,,,,,,,,,,"989","989","23,131","10,000","78,280","78,280"
			CurrentDeferredRevenue,,,,,,,,,,,,,,"989","989","23,131","10,000","78,280","78,280"
		OtherCurrentLiabilities,"48,256,000","49,542,000","25,022,000","30,400,000","37,685,000","53,272,000","26,885,000","25,601,000","4,672,000","6,460,000","18,345,000","37,933,000","39,909,000",,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"408,615,000","367,965,000","355,458,000","383,270,000","399,985,000","422,423,000","393,272,000","407,756,000","399,298,000","424,016,000","275,826,000","293,090,000","195,985,000","9,018,215","9,022,229","8,955,993","10,586,615","0","0"
		LongTermDebtAndCapitalLeaseObligation,"330,569,000","287,483,000","298,480,000","308,614,000","319,738,000","335,457,000","323,244,000","330,564,000","337,885,000","361,234,000","213,661,000","266,964,000","170,890,000",,,,,,
			LongTermDebt,"330,569,000","287,483,000","298,480,000","308,614,000","319,738,000","335,457,000","323,244,000","330,564,000","337,885,000","361,234,000","213,661,000","266,964,000","170,890,000",,,,,,
		NonCurrentDeferredLiabilities,"17,148,000","19,447,000","20,176,000","21,070,000","22,885,000","24,090,000","24,960,000","26,217,000","29,322,000","29,967,000","29,763,000",,,"9,018,215","9,022,229","8,955,993","10,586,615",,
			NonCurrentDeferredTaxesLiabilities,"17,148,000","19,447,000","20,176,000","21,070,000","22,885,000","24,090,000","24,960,000","26,217,000","29,322,000","29,967,000","29,763,000",,,,,,,,
		EmployeeBenefits,"25,203,000","23,520,000","22,066,000","21,515,000","19,438,000","18,900,000","17,784,000","16,745,000","14,682,000","14,239,000",,,,,,,,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,,,,,"16,745,000","14,682,000","14,239,000",,,,,,,,,
		RestrictedCommonStock,,,,,,,,,,,,,,"164,801,325",,,,,
		OtherNonCurrentLiabilities,"35,695,000","37,515,000","14,736,000","32,071,000","37,924,000","43,976,000","27,284,000","34,230,000","17,409,000","18,576,000","32,402,000","26,126,000","25,095,000",,"164,281,449","163,841,000","163,447,745",,
TotalEquityGrossMinorityInterest,"988,830,000","984,146,000","970,937,000","944,418,000","925,971,000","912,231,000","899,503,000","886,472,000","881,152,000","868,099,000","855,387,000","811,547,000","792,018,000","217,074,104","218,925,811","222,052,215","220,361,097","19,256","19,720"
	StockholdersEquity,"988,838,000","984,154,000","970,945,000","944,426,000","925,915,000","912,172,000","899,503,000","886,472,000","881,152,000","868,099,000","855,387,000","810,622,000","794,183,000","217,074,104","218,925,811","222,052,215","220,361,097","19,256","19,720"
		CapitalStock,"854,301,000","851,548,000","846,160,000","826,614,000","801,545,000","801,545,000","801,545,000","801,545,000","801,545,000","801,545,000","801,545,000","801,546,000","801,545,000","221,789,842","221,789,842","221,789,842","220,067,672","25,000","25,000"
			PreferredStock,,"0",,"0","0","0","0","0","0","0","0",,"0","0",,"0","0","0","0"
			CommonStock,"854,301,000","851,548,000","846,160,000","826,614,000","801,545,000","801,545,000","801,545,000","801,545,000","801,545,000","801,545,000","801,545,000","801,546,000","801,545,000","221,789,842","221,789,842","221,789,842","220,067,672","25,000","25,000"
		AdditionalPaidInCapital,,,,,"23,076,000","20,999,000","18,872,000","17,237,000","15,641,000","13,698,000","12,322,000","331,000","0","221,789,842","221,789,842","221,789,842","220,067,672","25,000","25,000"
		RetainedEarnings,"134,440,000","132,509,000","124,688,000","117,748,000","101,230,000","89,564,000","79,028,000","67,661,000","63,937,000","52,827,000","41,472,000","8,745,000","-7,362,000","-4,715,738","-2,864,031","262,373","293,425","-5,744","-5,280"
		GainsLossesNotAffectingRetainedEarnings,"97,000","97,000","97,000","64,000","64,000","64,000","58,000","29,000","29,000","29,000","48,000",,"0",,,,,,
	MinorityInterest,"-8,000","-8,000","-8,000","-8,000","56,000","59,000","0","0","0","0","0","925,000","-2,165,000",,,,,,
TotalCapitalization,"1,319,407,000","1,271,637,000","1,269,425,000","1,253,040,000","1,245,653,000","1,247,629,000","1,222,747,000","1,217,036,000","1,219,037,000","1,229,333,000","1,069,048,000","1,077,586,000","965,073,000","217,074,104","218,925,811","222,052,215","220,361,097","19,256","19,720"
CommonStockEquity,"988,838,000","984,154,000","970,945,000","944,426,000","925,915,000","912,172,000","899,503,000","886,472,000","881,152,000","868,099,000","855,387,000","810,622,000","794,183,000","217,074,104","218,925,811","222,052,215","220,361,097","19,256","19,720"
NetTangibleAssets,"232,840,000","223,978,000","243,628,000","213,129,000","213,860,000","197,261,000","205,860,000","188,994,000","179,840,000","162,952,000","150,629,000","137,287,000","142,046,000","217,074,104","218,925,811","222,052,215","220,361,097","19,256","19,720"
WorkingCapital,"164,559,000","131,629,000","172,379,000","155,851,000","152,327,000","160,303,000","171,985,000","175,073,000","192,852,000","229,662,000","85,821,000","117,739,000","1,466,000","-5,165,916","-2,605,984","1,050,804","1,523,002","-187,216","-53,280"
InvestedCapital,"1,415,875,000","1,385,423,000","1,361,862,000","1,342,900,000","1,325,795,000","1,333,782,000","1,284,816,000","1,269,999,000","1,254,798,000","1,234,600,000","1,139,185,000","1,165,894,000","1,099,852,000","217,074,104","218,925,811","222,052,215","220,361,097","157,071","19,720"
TangibleBookValue,"232,840,000","223,978,000","243,628,000","213,129,000","213,860,000","197,261,000","205,860,000","188,994,000","179,840,000","162,952,000","150,629,000","137,287,000","142,046,000","217,074,104","218,925,811","222,052,215","220,361,097","19,256","19,720"
TotalDebt,"427,037,000","401,269,000","390,917,000","398,474,000","399,880,000","421,610,000","385,313,000","383,527,000","373,646,000","366,501,000","283,798,000","355,272,000","305,669,000",,,,,"137,815",
NetDebt,"326,019,000","335,195,000","301,649,000","323,462,000","349,393,000","342,293,000","336,296,000","310,326,000","330,564,000","296,858,000","263,863,000","287,712,000","268,768,000",,,,,"108,936",
