name,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,03/31/2003,09/30/2002,06/30/2002,03/31/2002,09/30/2001,06/30/2001,03/31/2001,09/30/2000,06/30/2000,03/31/2000
TotalAssets,"52,988,000,000","53,281,000,000","53,344,000,000","53,514,000,000","55,064,000,000","57,226,000,000","53,593,000,000","50,818,000,000","49,817,000,000","46,943,000,000","45,058,000,000","44,001,000,000","44,512,000,000","43,930,000,000","42,401,000,000","41,753,000,000","42,184,000,000","41,441,000,000","40,778,000,000","40,643,000,000","40,451,000,000","38,703,000,000","38,936,000,000","39,332,000,000","39,851,000,000","38,446,000,000","39,237,000,000","38,797,000,000","38,611,000,000","38,714,000,000","39,532,000,000","39,997,000,000","40,526,000,000","39,905,000,000","40,104,000,000","40,393,000,000","39,979,000,000","38,675,000,000","39,161,000,000","39,082,000,000","39,462,000,000","38,963,000,000","38,637,000,000","40,026,000,000","39,763,000,000","37,965,000,000","37,490,000,000","36,847,000,000","36,029,000,000","36,732,000,000","36,835,000,000","36,359,000,000","35,545,000,000","32,836,000,000","33,400,000,000","35,278,000,000","35,472,000,000","34,145,000,000","34,180,997,059","33,188,000,000","33,187,000,000","30,461,000,000","30,552,000,000","29,866,000,000","29,304,000,000","28,316,000,000","28,432,000,000","28,766,000,000","28,306,000,000","27,599,000,000","27,636,000,000","26,436,000,000","26,403,000,000","25,506,000,000","24,491,000,000","23,397,015,000","23,363,465,000","0","5,782,767,656.797","5,728,170,223.203","5,329,311,426.778","4,862,596,094.371","4,924,201,637.811","4,853,968,568.878","0","4,135,905,278.139","4,418,067,394.248"
	CurrentAssets,"8,554,000,000","8,057,000,000","10,133,000,000","8,909,000,000","10,198,000,000","12,459,000,000","10,563,000,000","9,268,000,000","8,222,000,000","2,885,000,000","2,059,000,000","2,712,000,000","2,835,000,000","2,101,000,000","2,225,000,000","1,755,000,000","2,278,000,000","1,667,000,000","1,596,000,000","1,661,000,000","1,774,000,000","1,597,000,000","1,689,000,000","1,554,000,000","1,600,000,000","1,860,000,000","2,451,000,000","1,617,000,000","1,479,000,000","1,426,000,000","1,503,000,000","1,602,000,000","1,625,000,000","1,645,000,000","1,937,000,000","2,634,000,000","2,324,000,000","1,792,000,000","1,821,000,000","1,941,000,000","2,169,000,000","2,173,000,000","1,312,000,000","1,397,000,000","1,499,000,000","1,365,000,000","1,244,000,000","1,445,000,000","1,586,000,000","1,745,000,000","1,518,000,000","2,098,000,000","1,534,000,000","1,559,000,000","1,650,000,000","2,053,000,000","2,179,000,000","2,023,000,000","1,975,998,456.2","2,722,000,000","3,019,000,000","1,509,000,000","1,995,000,000","1,551,000,000","1,506,000,000","1,307,000,000","2,215,000,000","2,412,000,000","2,099,000,000","1,356,000,000","1,728,000,000","1,582,000,000","1,450,000,000","1,592,000,000","2,132,000,000","1,910,388,000","2,547,086,000","0","579,955,750.129","549,576,894.776","488,761,480.974","454,331,242.084","615,312,685.954","450,068,729.009","0","377,918,420.495","414,880,904.963"
		CashCashEquivalentsAndShortTermInvestments,"7,205,000,000","6,929,000,000","9,139,000,000","7,798,000,000","9,271,000,000","11,514,000,000","9,513,000,000","8,176,000,000","6,881,000,000","1,354,000,000","518,000,000","1,153,000,000","1,202,000,000","649,000,000","982,000,000","526,000,000","1,053,000,000","453,000,000","395,000,000","489,000,000","597,000,000","437,000,000","603,000,000","462,000,000","519,000,000","778,000,000","1,395,000,000","539,000,000","298,000,000","280,000,000","331,000,000","436,000,000","343,000,000","421,000,000","462,000,000","981,000,000","711,000,000","476,000,000","465,000,000","568,000,000","900,000,000","471,000,000","450,000,000","430,000,000","557,000,000","465,000,000","429,000,000","527,000,000","594,000,000","753,000,000","538,000,000","976,000,000","485,000,000","607,000,000","650,000,000","801,000,000","996,000,000","978,000,000","942,999,423.5","1,753,000,000","2,073,000,000","685,000,000","1,163,000,000","594,000,000","583,000,000","406,000,000","1,187,000,000","1,373,000,000","1,024,000,000","321,000,000","660,000,000","594,000,000","443,000,000","563,000,000","1,071,000,000","1,048,982,000","1,449,032,000","0","210,579,171.178","167,555,800.834","151,748,531.006","140,791,140.173","230,937,066.108","120,027,775.022","0","0","0"
			CashAndCashEquivalents,"7,054,000,000","6,414,000,000","8,939,000,000","7,151,000,000","7,067,000,000","9,674,000,000","9,513,000,000","8,176,000,000","6,881,000,000","1,354,000,000","518,000,000","1,153,000,000","1,202,000,000","649,000,000","982,000,000","526,000,000","1,053,000,000","453,000,000","395,000,000","489,000,000","597,000,000","437,000,000","603,000,000","462,000,000","519,000,000","778,000,000","1,395,000,000","539,000,000","298,000,000","280,000,000","331,000,000","436,000,000","343,000,000","421,000,000","462,000,000","981,000,000","711,000,000","476,000,000","465,000,000","568,000,000","900,000,000","471,000,000","450,000,000","430,000,000","557,000,000","465,000,000","429,000,000","527,000,000","594,000,000","753,000,000","538,000,000","976,000,000","485,000,000","607,000,000","650,000,000","792,000,000","988,000,000","966,000,000","942,999,423.5","1,412,000,000","1,859,000,000","581,000,000","1,163,000,000","594,000,000","570,000,000","395,000,000","1,178,000,000","1,139,000,000","721,000,000","321,000,000","643,000,000","594,000,000","443,000,000","563,000,000","1,070,000,000","988,008,000","1,381,033,000","0","210,579,171.178","167,555,800.834","151,748,531.006","140,791,140.173","230,937,066.108","120,027,775.022","0","0","0"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"210,579,171.178","167,555,800.834","151,748,531.006","140,791,140.173","230,937,066.108","120,027,775.022",,,
			OtherShortTermInvestments,"151,000,000","515,000,000","200,000,000","647,000,000","2,204,000,000","1,840,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,000,000","8,000,000","12,000,000",,"341,000,000","214,000,000","104,000,000",,,"13,000,000","11,000,000","9,000,000","234,000,000","303,000,000",,"17,000,000",,,,"1,000,000","60,974,000","67,999,000",,,,,,,,,,
		Inventory,"425,000,000","392,000,000","356,000,000","322,000,000","308,000,000","312,000,000","335,000,000","349,000,000","362,000,000","440,000,000","427,000,000","482,000,000","501,000,000","444,000,000","450,000,000","405,000,000","402,000,000","394,000,000","387,000,000","357,000,000","351,000,000","361,000,000","322,000,000","314,000,000","315,000,000","333,000,000","330,000,000","305,000,000","327,000,000","332,000,000","364,000,000","358,000,000","383,000,000","381,000,000","374,000,000","388,000,000","381,000,000","383,000,000","390,000,000","364,000,000","377,000,000","381,000,000","374,000,000","366,000,000","365,000,000","343,000,000","320,000,000","291,000,000","297,000,000","321,000,000","320,000,000","309,000,000","308,000,000","305,000,000","315,000,000","365,000,000","349,000,000","331,000,000","330,999,202.4","297,000,000","282,000,000","265,000,000","263,000,000","278,000,000","278,000,000","266,000,000","250,000,000","253,000,000","253,000,000","245,000,000","240,000,000","223,000,000","211,000,000","200,000,000","171,000,000","159,644,000","157,779,000","0","80,026,361.625","85,540,838.852","77,157,852.701","70,984,654.355","84,015,754.725","74,113,962.617","0","75,704,811.798","92,886,162.67"
			FinishedGoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"330,999,202.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"566,000,000","470,000,000","392,000,000","508,000,000","400,000,000","382,000,000","443,000,000","366,000,000","359,000,000","687,000,000","671,000,000","619,000,000","727,000,000","603,000,000","436,000,000","458,000,000","481,000,000","475,000,000","502,000,000","491,000,000","507,000,000","492,000,000","466,000,000","355,000,000","324,000,000","326,000,000","314,000,000","321,000,000","298,000,000","322,000,000","322,000,000","330,000,000","312,000,000","316,000,000","315,000,000","371,000,000","187,000,000","196,000,000","236,000,000","221,000,000","203,000,000","184,000,000","225,000,000","248,000,000","217,000,000","249,000,000","247,000,000","239,000,000","240,000,000","279,000,000","298,000,000","337,000,000","317,000,000","245,000,000","267,000,000","245,000,000","292,000,000","280,000,000","265,999,713.1","249,000,000","263,000,000","272,000,000","289,000,000","283,000,000","240,000,000","210,000,000","370,000,000","352,000,000","404,000,000","458,000,000","266,000,000","229,000,000","270,000,000","237,000,000","212,000,000","240,491,000","292,136,000",,,,,,,,,,
		RestrictedCash,,,,,,,,,"15,000,000",,,"16,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
