name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016
TotalRevenue,"11,091,117,000","2,899,571,000","3,222,114,000","2,688,884,000","2,280,548,000","1,763,644,000","1,566,550,000","1,212,160,000","882,034,000","714,920,000","777,224,000","610,137,000","436,151,000","351,866,000","283,224,000","204,921,000","183,779,000","155,044,000","124,604,000","94,094,000","101,547,000","93,945,000","88,461,000","90,523,000"
	OperatingRevenue,"11,091,117,000","2,899,571,000","3,222,114,000","2,688,884,000","2,280,548,000","1,763,644,000","1,566,550,000","1,212,160,000","882,034,000","714,920,000","777,224,000","610,137,000","436,151,000","351,866,000","495,761,000","112,520,000","108,029,000","110,658,000","106,323,000","79,799,000","91,459,000","87,586,000","82,407,000","86,178,000"
CostOfRevenue,"6,670,763,000","1,729,543,000","1,911,386,000","1,680,180,000","1,349,654,000","1,118,235,000","1,032,838,000","804,593,000","681,208,000","508,120,000","512,372,000","406,969,000","338,707,000","312,410,000","291,183,000","199,311,000","175,197,000","146,519,000","101,059,000","83,275,000","75,706,000","66,838,000","63,177,000","58,749,000"
GrossProfit,"4,420,354,000","1,170,028,000","1,310,728,000","1,008,704,000","930,894,000","645,409,000","533,712,000","407,567,000","200,826,000","206,800,000","264,852,000","203,168,000","97,444,000","39,456,000","-7,959,000","5,610,000","8,582,000","8,525,000","23,545,000","10,819,000","25,841,000","27,107,000","25,284,000","31,774,000"
OperatingExpense,"6,153,033,000","1,668,060,000","1,752,803,000","1,467,260,000","1,264,910,000","993,822,000","891,037,000","713,040,000","573,634,000","474,519,000","494,897,000","390,630,000","331,963,000","278,662,000","316,998,000","251,810,000","228,099,000","206,619,000","214,686,000","171,535,000","108,307,000","95,140,000","108,438,000","84,688,000"
	SellingGeneralAndAdministration,"5,408,565,000","1,401,307,000","1,538,455,000","1,304,449,000","1,164,354,000","927,780,000","854,227,000","667,718,000","530,896,000","435,249,000","451,445,000","351,016,000","299,341,000","253,606,000","294,647,000","237,589,000","216,924,000","196,636,000","208,172,000","164,833,000","101,731,000","89,106,000","103,067,000","79,464,000"
		GeneralAndAdministrativeExpense,"1,252,570,000","396,133,000","318,597,000","294,848,000","242,992,000","248,858,000","189,005,000","196,730,000","144,547,000","126,933,000","109,705,000","99,265,000","101,267,000","75,628,000","87,160,000","57,285,000","51,849,000","44,487,000","51,754,000","33,262,000","27,644,000","25,208,000","41,304,000","27,934,000"
			OtherGandA,"1,252,570,000","396,133,000","318,597,000","294,848,000","242,992,000","248,858,000","189,005,000","196,730,000","144,547,000","126,933,000","109,705,000","99,265,000","101,267,000","75,628,000","87,160,000","57,285,000","51,849,000","44,487,000","51,754,000","33,262,000","27,644,000","25,208,000","41,304,000","27,934,000"
		SellingAndMarketingExpense,"4,155,995,000","1,005,174,000","1,219,858,000","1,009,601,000","921,362,000","678,922,000","665,222,000","470,988,000","386,349,000","308,316,000","341,740,000","251,751,000","198,074,000","177,978,000","207,487,000","180,304,000","165,075,000","152,149,000","156,418,000","131,571,000","74,087,000","63,898,000","61,763,000","51,530,000"
	ResearchAndDevelopment,"1,030,981,000","340,408,000","286,642,000","231,368,000","172,563,000","141,130,000","109,507,000","104,345,000","75,347,000","64,586,000","49,467,000","43,599,000","35,059,000","28,509,000","26,642,000","17,293,000","12,882,000","10,712,000","8,671,000","7,661,000","6,739,000","6,252,000","5,786,000","5,591,000"
	OtherOperatingExpenses,"-286,513,000","-73,655,000","-72,294,000","-68,557,000","-72,007,000","-75,088,000","-72,697,000","-59,023,000","-32,609,000","-25,316,000","-6,015,000","-3,985,000","-2,437,000","-3,453,000","-4,291,000","-3,072,000","-1,707,000","-729,000","-2,157,000","-959,000","-163,000","-218,000","-415,000","-367,000"
OperatingIncome,"-1,732,679,000","-498,032,000","-442,075,000","-458,556,000","-334,016,000","-348,413,000","-357,325,000","-305,473,000","-372,808,000","-267,719,000","-230,045,000","-187,462,000","-234,519,000","-239,206,000","-324,957,000","-246,200,000","-219,517,000","-198,094,000","-191,141,000","-160,716,000","-82,466,000","-68,033,000","-83,154,000","-52,914,000"
NetNonOperatingInterestIncomeExpense,"-84,278,000","-836,000","-41,368,000","-26,858,000","-15,216,000","-19,421,000","-30,614,000","-40,104,000","-37,403,000","-15,318,000","-7,771,000","-1,066,000","-31,138,000","-6,054,000","-6,929,000","29,387,000","-37,874,000","-5,491,000","-8,283,000","-6,772,000","-6,418,000","-2,106,000","262,000","179,000"
	InterestIncomeNonOperating,"39,345,000","10,781,000","10,924,000","10,189,000","7,451,000","7,518,000","4,275,000","5,323,000","5,915,000","9,291,000","9,396,000","9,727,000","10,800,000","4,012,000","2,953,000","3,217,000","2,259,000","3,091,000","760,000","1,689,000","329,000","144,000","271,000","184,000"
	InterestExpenseNonOperating,"123,623,000","11,617,000","52,292,000","37,047,000","22,667,000","26,939,000","34,889,000","45,427,000","43,318,000","24,609,000","17,167,000","10,793,000","10,182,000","10,066,000","9,882,000","9,858,000","2,973,000","8,582,000","9,043,000","8,461,000","6,747,000","2,250,000","9,000","5,000"
	TotalOtherFinanceCost,"404,915,000",,,,,,,,,,,,"31,756,000","436,120,000","-61,187,000","-36,028,000","37,160,000","18,796,000","51,950,000",,,,,
OtherIncomeExpense,"-30,654,000","-5,224,000","-29,627,000","14,042,000","-9,845,000","-3,831,000","-93,845,000","-34,197,000","7,612,000","26,553,000","-7,412,000","9,786,000","-29,210,000","-436,726,000","59,913,000","30,903,000","-30,752,000","-12,756,000","-54,000,000","32,574,000","-7,193,000","-373,000","14,888,000","-4,051,000"
	GainOnSaleOfSecurity,"-30,654,000","-5,224,000","-29,627,000","14,042,000","-9,845,000","-3,831,000","-93,845,000","-34,197,000","45,015,000","26,640,000","-637,000","9,078,000","1,928,000","-606,000","-1,274,000","1,516,000","7,122,000","6,040,000","-2,050,000","32,574,000","-775,000","-373,000","14,888,000","-4,051,000"
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,"-49,793,000","959,000",,,"415,000","367,000"
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,"49,793,000",,,,,
	OtherNonOperatingIncomeExpenses,,,,,,,"0","0","0","-87,000","-6,775,000","1,774,000",,"-436,120,000","61,187,000",,,"-18,796,000","-51,950,000",,,,,
PretaxIncome,"-1,847,611,000","-504,092,000","-513,070,000","-471,372,000","-359,077,000","-371,665,000","-481,784,000","-379,774,000","-365,196,000","-256,484,000","-245,228,000","-177,676,000","-263,729,000","-681,986,000","-271,973,000","-215,297,000","-250,269,000","-216,341,000","-253,424,000","-134,914,000","-89,659,000","-70,512,000","-68,004,000","-56,786,000"
TaxProvision,"363,646,000","81,806,000","105,609,000","101,040,000","75,191,000","51,025,000","44,166,000","46,416,000","27,821,000","23,237,000","36,011,000","27,370,000","15,278,000","7,205,000","2,993,000","2,020,000","-170,000","-755,000","8,730,000","-2,147,000","2,230,000","1,932,000","-1,047,000","3,522,000"
EarningsFromEquityInterestNetOfTax,"10,182,000","5,762,000","2,390,000","1,431,000","599,000","599,000","1,381,000","928,000","-518,000","-1,070,000","-681,000","-1,051,000","-1,089,000","-418,000","-1,092,000","-702,000","-689,000","-583,000","-986,000","-64,000","-230,000","-632,000","-5,279,000","-5,284,000"
NetIncomeCommonStockholders,"-2,203,878,000","-579,809,000","-617,608,000","-573,019,000","-433,442,000","-422,690,000","-523,592,000","-419,990,000","-393,535,000","-281,513,000","-283,789,000","-206,097,000","-280,096,000","-690,355,000","-276,623,000","-218,019,000","-250,788,000","-215,613,000","-262,660,000","-132,681,000","-92,119,000","-73,086,000","-72,240,000","-64,928,000"
	NetIncome,"-2,203,878,000","-579,809,000","-617,608,000","-573,019,000","-433,442,000","-422,690,000","-523,592,000","-419,990,000","-393,535,000","-281,513,000","-283,789,000","-206,097,000","-280,096,000","-690,355,000","-276,623,000","-218,019,000","-250,788,000","-215,613,000","-262,660,000","-132,681,000","-92,119,000","-73,086,000","-72,240,000","-64,928,000"
		NetIncomeIncludingNoncontrollingInterests,"-2,201,075,000","-580,136,000","-616,289,000","-570,981,000","-433,669,000","-422,091,000","-524,569,000","-425,262,000","-393,535,000","-280,791,000","-281,920,000","-206,097,000","-280,096,000","-689,609,000","-276,058,000","-218,019,000","-250,788,000","-216,169,000","-263,140,000","-132,831,000","-92,119,000","-73,076,000","-72,236,000","-65,592,000"
			NetIncomeContinuousOperations,"-2,201,075,000","-580,136,000","-616,289,000","-570,981,000","-433,669,000","-422,091,000","-524,569,000","-425,262,000","-393,535,000","-280,791,000","-281,920,000","-206,097,000","-280,096,000","-689,609,000","-276,058,000","-218,019,000","-250,788,000","-216,169,000","-263,140,000","-132,831,000","-92,119,000","-73,076,000","-72,236,000","-65,592,000"
		MinorityInterests,"-2,803,000","327,000","-1,319,000","-2,038,000","227,000","-599,000","977,000","5,272,000","574,000","-722,000","-1,869,000","-1,491,000",,"-746,000","-565,000",,,"556,000","480,000","150,000",,"-10,000","-4,000","664,000"
DilutedNIAvailtoComStockholders,"-2,203,878,000","-579,809,000","-617,608,000","-573,019,000","-433,442,000","-422,690,000","-523,592,000","-419,990,000","-393,535,000","-281,513,000","-283,789,000","-206,097,000","-280,096,000","-690,355,000","-276,623,000","-218,019,000","-250,788,000","-215,613,000","-262,660,000","-132,681,000","-92,119,000","-73,086,000","-72,240,000","-64,928,000"
