name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,03/31/2017,12/31/2016
OperatingCashFlow,"-40,777,000","32,854,000","31,223,000","-4,795,000","-100,059,000","172,335,000","39,756,000","4,958,000","-39,995,000","43,167,000","93,990,000","30,555,000","-18,528,000","17,753,000","9,958,000","16,847,000","19,458,000","10,331,000","2,326,000","4,262,000","9,876,000"
	CashFlowFromContinuingOperatingActivities,"-40,777,000","32,854,000","31,223,000","-4,795,000","-100,059,000","172,335,000","39,756,000","4,958,000","-39,995,000","43,167,000","93,990,000","30,555,000","-18,528,000","17,753,000","9,958,000","16,847,000","19,458,000","10,331,000","2,326,000","4,262,000","9,876,000"
		NetIncomeFromContinuingOperations,"91,408,000","20,404,000","23,334,000","20,982,000","26,688,000","21,045,000","20,654,000","15,087,000","15,097,000","6,765,000","13,549,000","14,218,000","12,031,000","14,919,000","14,867,000","10,827,000","-14,742,000","11,784,000","3,678,000","10,293,000","9,993,000"
		OperatingGainsLosses,"-8,550,000","-82,000","2,157,000","-2,436,000","-8,189,000","-1,401,000","-1,979,000","-1,873,000","-774,000","-454,000","-963,000","-1,638,000","-535,000","-258,000","-608,000","0","-16,000","-115,000","60,000","409,000","-820,000"
			GainLossOnSaleOfPPE,"116,000","28,000","34,000","0","54,000","7,000","43,000","0","21,000","670,000",,,,,"-5,000",,,,,,
			GainLossOnInvestmentSecurities,"-2,569,000","0","-10,000","-2,296,000","-263,000","-1,715,000","-2,021,000","-1,523,000","0","-370,000","-891,000","-1,256,000","-339,000","-126,000","0","0","-1,000","-115,000","60,000","0","-411,000"
		DepreciationAmortizationDepletion,"11,780,000","3,022,000","2,929,000","2,891,000","2,938,000","2,884,000","1,906,000","3,131,000","3,441,000","1,884,000","1,705,000","1,170,000","1,082,000","1,036,000","946,000","931,000","952,000","922,000","885,000","850,000","891,000"
			DepreciationAndAmortization,"11,780,000","3,022,000","2,929,000","2,891,000","2,938,000","2,884,000","1,906,000","3,131,000","3,441,000","1,884,000","1,705,000","1,170,000","1,082,000","1,036,000","946,000","931,000","952,000","922,000","885,000","850,000","891,000"
				Depreciation,"10,500,000","2,711,000","2,612,000","2,566,000","2,611,000","2,562,000","1,596,000","2,834,000","3,139,000","1,615,000","1,514,000","1,196,000","1,113,000","1,057,000","1,091,000","914,000","933,000","901,000","863,000","822,000","862,000"
				AmortizationCashFlow,"1,280,000","311,000","317,000","325,000","327,000","322,000","310,000","297,000","302,000","269,000","191,000","-26,000","-31,000","-21,000","-145,000","17,000","19,000","21,000","22,000","28,000","29,000"
